Era,Name,Notes,Length,File Date,Leak Date,Available Length,Quality,Link(s)
Bow Down,Check Yo Self (Remix) [Music Video],"Music video for ""Check Yo Self (Remix)"".",,,,Full,High Quality,https://www.youtube.com/watch?v=bueFTrwHFEs
,Never Recorded,,,,,,,
Bow Down,"Dr. Dre - Bow Down
(prod. Bud'da)","In a Chad Kiser interview with Bud'da, the beat for ""Bow Down"" was almost given to Dr. Dre.

""We were up at Dre’s house for some function, and I was playing him some tracks.  He heard the “Bow Down” track in the group I played and he mentioned he wanted it.""",,,,Never Recorded,Not Available,https://chadkiser.com/2018/06/01/budda-speaks-on-producing-bow-down-album-for-westside-connection/
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","War & Peace, Vol. 1 (The War Disc)","(10/22/1996) (Bow Down officially releases)
(11/17/1998) (War & Peace, Vol. 1 officially releases)",,,"""War & Peace, Vol. 1 (The War Disc)"" is the fifth studio album by Ice Cube.",,,
"War & Peace, Vol. 1",,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","War & Peace, Vol. 2 (The Peace Disc)","(11/17/1998) (War & Peace, Vol. 1 officially releases)
(03/20/2000) (War & Peace, Vol. 2 officially releases)",,,"""War & Peace, Vol. 2 (The Peace Disc)"" is the sixth studio album by Ice Cube.",,,
,Never Recorded,,,,,,,
"War & Peace, Vol. 2","King T - Hello
(prod. Dr. Dre & Chris ""The Glove"" Taylor)","In an AllHipHop interview with Chris ""The Glove"" Taylor, he said both the beats for ""Xxxplosive"" and ""Hello"" were made for King T's album, ""The Kingdom Come"". It's unknown if he recorded on it, thus it is here.

""I did that “Xxplosive” track for King T. As a matter of fact, that track and the one used by the reunited N.W.A called “Hello,” were done at that same session. Those were both originally for King T. “Hello” was a track that me and Dre both worked on together. He did the drum beat and I put everything else on top of it. “Xxplosive” that was some sh*t that I did.""",,,,Never Recorded,Not Available,https://allhiphop.com/features/exclusive-chris-the-glove-taylor-talks-death-row-aftermath-and-dr-dre-part-2/
,Music Videos,,,,,,,
"War & Peace, Vol. 2",Hello [Music Video],"Music video for ""Hello"".",3:56,,,Full,High Quality,https://www.youtube.com/watch?v=ShWDx9g7zbg
"War & Peace, Vol. 2",You Can Do It [Music Video],"Music video for ""You Can Do It"".",4:06,,,Full,High Quality,https://www.youtube.com/watch?v=6auk1TkGtVQ
"War & Peace, Vol. 2",Until We Rich [Music Video],"Music video for ""Until We Rich"".",4:20,,,Full,High Quality,https://www.youtube.com/watch?v=phITXWICxlM
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Terrorist Threats
(Collaboration with Mack 10 and WC as Westside Connection)","(03/20/2000) (War & Peace, Vol. 2 officially releases)
(12/09/2003) (Terrorist Threats officially releases)",,,"""Terrorist Threats"" is the second studio collab album under Westside Connection.",,,
Terrorist Threats,,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Laugh Now, Cry Later","(12/09/2003) (Terrorist Threats officially releases)
(06/06/2006) (Laugh Now, Cry Later officially releases)",,,"""Laugh Now, Cry Later"" is the seventh studio album by Ice Cube.",,,
"Laugh Now, Cry Later",,,,,,,,https://www.youtube.com/watch?v=FRZ3TdpEn-o
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Raw Footage,"(06/06/2006) (Laugh Now, Cry Later officially releases)
(08/19/2008) (Raw Footage officially releases)",,,"""Raw Footage"" is the eighth studio album by Ice Cube.",,,
,Music Videos,,,,,,,
Raw Footage,Do Ya Thang [Music Video],"Music video for ""Do Ya Thang"".",3:33,,,Full,High Quality,https://www.youtube.com/watch?v=0_3eTdbYDCs
Raw Footage,Why Me? [Music Video],"Music video for ""Why Me?"".",4:34,,,Full,High Quality,https://www.youtube.com/watch?v=ZFr0uvjYX1A&pp=0gcJCYUJAYcqIYzv
Raw Footage,Gangsta Rap Made Me Do It [Music Video],"Music video for ""Gangsta Rap Made Me Do It""",6:54,,,Full,High Quality,https://www.youtube.com/watch?v=1WkvomHrfVo
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",I Am The West,"(08/19/2008) (Raw Footage officially releases)
(09/28/2010) (I Am The West officially releases)",,,"""I Am The West"" is the ninth studio album by Ice Cube.",,,
,Music Videos,,,,,,,
I Am The West,I Rep That West [Music Video],"Music video for ""I Rep That West"".",5:15,,,Full,High Quality,https://www.youtube.com/watch?v=TC9JbuENoYQ
I Am The West,Drink The Kool-Aid [Music Video],"Music video for ""Drink The Kool-Aid"".",3:30,,,Full,High Quality,https://www.youtube.com/watch?v=Fx2Eyn4JKbM
I Am The West,She Couldn't Make It on Her Own [Music Video],"Music video for ""She Couldn't Make It on Her Own"".",3:16,,,Full,High Quality,https://www.youtube.com/watch?v=3BudgtDwWf4
I Am The West,Ya'll Know How I Am [Music Video],"Music video for ""Ya'll Know How I Am"".",2:29,,,Full,High Quality,https://www.youtube.com/watch?v=JhAII1EfkWw
I Am The West,Too West Coast [Music Video],"Music video for ""Too West Coast"".",3:18,,,Full,High Quality,https://www.youtube.com/watch?v=jJioa4AUenI
,Other Videos,,,,,,,
I Am The West,Ice Cube on AmeriKKKa's Most Wanted Album Cover,"Ice Cube speaking about the album cover for ""AmeriKKKa's Most Wanted"".",1:58,,,Full,High Quality,https://www.youtube.com/watch?v=GW5HViU4hu4
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Everythangs Corrupt,"(09/28/2010) (I Am The West officially releases)
(12/07/2018) (Everythangs Corrupt officially releases)",,,"""Everythangs Corrupt"" is the tenth studio album by Ice Cube.",,,
,Music Videos,,,,,,,
Everythangs Corrupt,Sasquatch [Music Video],"Music video for ""Sasquatch"".",4:02,,,Full,High Quality,https://www.youtube.com/watch?v=D7lOmfQPHN0
Everythangs Corrupt,Sic Them Youngins On 'Em [Music Video],"Music video for ""Sic Them Youngins On 'Em"".",5:04,,,Full,High Quality,https://www.youtube.com/watch?v=PATuA-mYXtY
Everythangs Corrupt,Drop Girl [Music Video],"Music video for ""Drop Girl"".",3:00,,,Full,High Quality,https://www.youtube.com/watch?v=DeUPieLL_aI
Everythangs Corrupt,That New Funkadelic [Music Video],"Music video for ""That New Funkadelic"".",3:58,,,Full,High Quality,https://www.youtube.com/watch?v=m2l1ffEB5NU
Everythangs Corrupt,Ain't Got No Haters [Music Video],"Music video for ""Ain't Got No Haters"".",,,,Full,High Quality,https://www.youtube.com/watch?v=nCkblLhs0-4
,Interviews,,,,,,,
Everythangs Corrupt,Ice Cube on Power 106 Los Angeles,Ice Cube interview on the Power 106 Los Angeles radio station.,20:13,,,Full,High Quality,https://www.youtube.com/watch?v=uILxwxAT5RY
Everythangs Corrupt,Ice Cube on Wendy Williams Show,"Ice Cube interview on the Wendy Williams Show the day before ""Everythang's Corrupt"" released.",9:52,,,Full,High Quality,https://www.youtube.com/watch?v=86ekSk_GAUs
,Other Videos,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","SNOOP CUBE 40 $HORT
(Collaboration with Snoop Dogg, E-40 and Too Short as Mount Westmore)
(Bad MF's)","(12/07/2018) (Everythangs Corrupt officially releases)
(12/09/2022) (SNOOP CUBE 40 $HORT officially releases)",,,"""SNOOP CUBE 40 $HORT"" is the debut studio collab album under Mount Westmore.",,,
SNOOP CUBE 40 $HORT,,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Man Down,"(12/09/2022) (SNOOP CUBE 40 $HORT officially releases)
(11/22/2024) (Man Down officially releases)",,,"""Man Down"" is the 11th studio album by Ice Cube.",,,
Man Down,,,,,,,,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Man Up,"(11/22/2024) (Man Down officially releases)
(09/12/2025) (Man Up officially releases)",,,"""Man Up"" is the 12th studio album by Ice Cube.",,,
Man Up,,,,,,,,
