Era,Name,Notes,Length,Release Date,On Streaming?,Link(s),Type
CuRRy Wuz Here,"95 TIL I DIE 94 TIL I GO
(feat. Halo Kidd)","2010 Denzel track. Posted by karma archives who posted ""CuRRy Wuz Here"" online.",,2010,Off Streaming,https://pillows.su/f/435543a32e223b1c9b523690abc34a87,Single
CuRRy Wuz Here,The Ghost of Christopher Wallace [Remix],2010 Denzel remix of The Ghost of Christopher Wallace by Jay Electronica.,,2010,Off Streaming,https://pillows.su/f/d8371b19b4231bfec3af30828d6a763a,Single
CuRRy Wuz Here,You May Die,2011 Denzel track.,,Feb 2011,Off Streaming,https://pillows.su/f/e0f31aab9099bcc3b20c19e3f0dc362e,Single
King Remembered Underground Tape 1991-1995,,,,,,,
,King Remembered Underground Tape 1991-1995,,,,,,
King Remembered,[1991] INTRO [INDIVUAL NIGGA TRILLEST RAWEST OUTBREAKS],"Track 1 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/3bd3f021a24a70a24ed4aba37d4efd2e,Mixtape Track
King Remembered,THE PHONK FREESTYLE,"Track 2 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/29a556335fa5396965652d2348bf1bc4,Mixtape Track
King Remembered,RVIDXR,"Track 3 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/f6fcb884b53bb58acf7a3ee5edec2e3e,Mixtape Track
King Remembered,RVIDXR KLVN X RAIDER KLAN,"Track 4 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/81dc545d8db023b642d4b183b2441435,Mixtape Track
King Remembered,MUTHAPHUKKIN TRILL,"Track 5 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/d69e68fc1e7def8f7f9f78e76b4295d7,Mixtape Track
King Remembered,5A.M. IN OPA-LOCKA,"Track 6 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/0e5e19760b0562ec815fd0cd717d3f6c,Mixtape Track
King Remembered,PLAY PUSSY ( DON’T GET EFF OVA) RMX 95',"Track 7 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/d0f5b98792eefd7b509e62dcb5cfb4df,Mixtape Track
King Remembered,DROP IT ON YO ASS FOOL,"Track 8 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/f7f8df9b72684ebfb5a0fa658c6e21c1,Mixtape Track
King Remembered,PURRPLE DRANK AND GOOD DANK 91',"Track 9 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/34a9999118ff23da71c97d6a910c0648,Mixtape Track
King Remembered,THE TRILL (INTERMISSION),"Track 10 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/3a7eca9dc72f956795cee2cf47b6959b,Mixtape Track
King Remembered,TEAR DA CLUB UP 97 FREESTYLE,"Track 11 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/4e93d9675ee2da097c7d1abbc33dc535,Mixtape Track
King Remembered,UNCLE AL PARTY,"Track 12 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/8342cbbae3d5eaf94e7b7680d54636dd,Mixtape Track
King Remembered,DJ PAUL MIXXIN,"Track 13 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/c6b5e70b9733f42fd8964f04695cc8ab,Mixtape Track
King Remembered,UGK TRIBUTE THROWED CS,"Track 14 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/a29226e42880e75e6b872a4bf6c4a785,Mixtape Track
King Remembered,THE TRILLEST 95' (THROWBACK),"Track 15 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/7d7fdedc138516dae79ed799a3614fab,Mixtape Track
King Remembered,"Yung Simmie - X-FILES
(feat. Denzel Curry)","Track 16 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/0199210ce896b310f95501286d9f6577,Mixtape Track
King Remembered,THE TWILIGHT ZONE INTERLUDE MOTHERSHIP 93,"Track 17 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/5e9d5726e4fdfa3dcb6ebafe4ff9f5dd,Mixtape Track
King Remembered,MUTHAPHUKKIN TRILL S.U.C STYLE 95 RMX,"Track 18 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/93613d7ff0d462a4a45329a77bae64a5,Mixtape Track
King Remembered,"RUN RUN LIL JITT 94
(feat. Freebase)","Track 19 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/deac8d818e6a10266f7e1eb59c168caf,Mixtape Track
King Remembered,(1992)VQVVRIVZ’KILLV’CURRY INTERLUDE FREESTYLE,"Track 20 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/056a0efef34864848f760d13b91a1aa1,Mixtape Track
King Remembered,"HOW I FEEL THROWED
(feat. Mike Dece)","Track 21 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/0f10cd3c0687ba39066ec28fdac06a03,Mixtape Track
King Remembered,"BARRY WHITE
(feat. Yung Simmie)","Track 22 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/67a8ea1e0e336208a4ebe343c4624ae2,Mixtape Track
King Remembered,(1995) HOPE (HIS OUTRO PERFECTED EVRYTHING),"Track 23 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/6d371a8e038147d322f22e7222fd86c5,Mixtape Track
King Remembered,BLACK BLAZE (RARE) BONUS,"Track 24 off of Denzel Curry's 2011 mixtape, ""King Remembered Underground Tape 1991-1995"".",,"Sep 24, 2011",Off Streaming,https://pillows.su/f/5e668353e2fa28e09fee0230a59a7cd6,Mixtape Track
,Singles/Loose Songs,,,,,,
King Remembered,"CCM Raiders
(feat. CCM Ray)",Rare Denzel song from 2011.,,2011,Off Streaming,https://pillows.su/f/f88584f9ad3a6e11bd46e5d7696335ca,Single
,Features,,,,,,
King Remembered,"Yung Kane - I'ma Boss Snappin
(feat. Denzel Curry)",,,"Sep 14, 2011",Off Streaming,https://pillows.su/f/6b9e4e34f151df1c14c4a51b3fb963ea,Feature
King Of The Mischievous South Vol 1 Underground Tape 1996,,,,,,,
,King Of The Mischievous South Vol 1 Underground Tape 1996,,,,,,
King of the Mischievous South,(1996)INTRO(INSIDE NAIVE TEENS RAVEN OPENS),"Track 1 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"". Samples ""Cell Therapy"" by Goodie Mob.",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/6444caa79d5881f5a99c981051236b6c,Mixtape Track
King of the Mischievous South,"HEADCRACK 96
(feat. Yung Simmie) (prod. Spaceghostpurrp)
(Headcrack)","Track 2 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"" & track 11 off of Denzel Curry's mixtape ""Strictly for My R.V.I.D.X.R.Z (1993)"". Might have inspired HEADCRACK INTERLUDE from KING OF THE MISCHEVIOUS SOUTH VOL 2",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/1a62de71f3a2e78f82bb7eca97cce5d2,Mixtape Track
King of the Mischievous South,SLIM OF THE MAGNOLIA PYRAMIDS(R.I.P. SOULJA SLIM) NO LIMIT,"Track 3 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/9ae9530d7c00a38c2f7415ea1dac5771,Mixtape Track
King of the Mischievous South,"PHANTAZM 96
(feat. SpaceGhostPurrp)","Track 4 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/cf8d59921026b34362f755a571a79219,Mixtape Track
King of the Mischievous South,"J.K. The Reaper - Gankin
(feat. Denzel Curry)
(GANKIN 1993 - 1995)","Track 5 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/b6b820fa8a342c7b6ce9a4c9c73c73e7,Mixtape Track
King of the Mischievous South,"Lil Ugly Mane - TWISTIN
(feat. Denzel Curry)","Track 6 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"". Earliest Denzel song on streaming.",,"Jan 12, 2012",On Streaming ,https://open.spotify.com/track/7E6GfNEX3RCq26vzS0PBly?si=ff561e1ccf994ce2,Mixtape Track
King of the Mischievous South,"DEMONZ ON MY MIND
(feat. Ruben Slikk)","Track 7 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/c26518f59b417529c77d2e431cdfcc2d,Mixtape Track
King of the Mischievous South,CREEP CREEP DEVILZ 93,"Track 8 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/55375b71205d91bfb0d650c6771ffc3b,Mixtape Track
King of the Mischievous South,(1993) GOLD TEETH AND A GLOCK (THE CREEPERS SONG),"Track 9 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/2173151e7da9c7fde0a7149592737ce7,Mixtape Track
King of the Mischievous South,ONE LIFE TO LIVE (R.I.P. CHYNAMAN) 94,"Track 10 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/038c3cd2b4d4507b3103c21cb96d3099,Mixtape Track
King of the Mischievous South,"RAIDER KLVN PHONK SCREWED AND CHOPPED
(feat. Ruben Slikk & SpaceGhostPurrp)","Track 11 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"". Chopped and screwed version of track 15, ""RAIDER KLAN PHONK FREESTYLE"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/296167ec0dcb6c593bf3c900506bf8bc,Mixtape Track
King of the Mischievous South,DJ PAUL MIXXIN X JUICY J 95,"Track 12 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"". Samples ""Neighboorhood Hoe"" by Three 6 Mafia.",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/dad0a9e3726285831073086871aaf6ac,Mixtape Track
King of the Mischievous South,(1991) RVVXN MIYVGI CVRRY INTERLUDE FREESTYLE,"Track 13 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/3a048d1052110b16bc7dd3b828073c89,Mixtape Track
King of the Mischievous South,"SMOKED OUT LOCCED OUT
(feat. J.K. The Reaper)","Track 14 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/ba449bbb897dace1a2ba37c661eec81b,Mixtape Track
King of the Mischievous South,"RAIDER KLAN PHONK FREESTYLE
(feat. Ruben Slikk & SpaceGhostPurrp)","Track 15 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"". This is on streaming as a single released by Ruben Slikk.",,"Jan 12, 2012",On Streaming,https://open.spotify.com/track/4cQEsGoIFI3AMOieHc5i11?si=eSdBXLcwTdeo9Y7OMRNRSQ,Mixtape Track
King of the Mischievous South,"PLANET SHROOMS
(feat. Supa SortaHuman & Yung Simmie)","Track 16 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/14c197f097e816e544cdad06d8fc2a34,Mixtape Track
King of the Mischievous South,"KLVN SHXT
(feat. Mike Dece, Ruben Slikk & Yung Simmie)","Track 17 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/675f04398b18dfaff6627dde403ae38e,Mixtape Track
King of the Mischievous South,(1997)OUTRO(OPENS UNDERGROUND TRILL RAGING OUTBURST),"Track 18 off of Denzel Curry's 2012 mixtape, ""King Of The Mischievous South Vol 1 Underground Tape 1996"".",,"Jan 12, 2012",Off Streaming,https://pillows.su/f/6f30c8d956e8dd38017915f4308fd966,Mixtape Track
,Singles/Loose Songs,,,,,,
King of the Mischievous South,(1992) MYSTICAL VIRUS,Part 1 to his Mystical Virus series. Very rare. Unknown what era so placed in this era because of the title having (1992) and the song saying R.I.P Chynaman which is in the title of ONE LIFE TO LIVE from King of the Mischievous South. Also because number 2 is from S4MR era.,,Unknown,Off Streaming,https://pillows.su/f/e1f7fa493d31bb8a5c9d33049179b330,Single
King of the Mischievous South,Project Pat 1996,Denzel song released a month before King of the Mischievous South.,,"Dec 10, 2011",Off Streaming,https://pillows.su/f/aeafd1477b72ef460a0ed8703bea9a0f,Single
King of the Mischievous South,1993 FREESTYLE RAIDER KLAN S/O TO YOUNG RENEGADE,Song released on his Youtube channel in 2011.,,"Dec 16, 2011",Off Streaming,https://youtu.be/LzBVpIs2eiI?si=NcdHOdjeWDYzd8ti,Single
,Features,,,,,,
King of the Mischievous South,"Metro Zu - Pantheon
(feat. Denzel Curry, Ruben Slikk & Lofty305)",,,"Jan 29, 2012",Off Streaming,https://pillows.su/f/ec918ce62a80f286a765b4366ac160d0,Feature
King of the Mischievous South,"Metro Zu - Wave Cap
(feat. Denzel Curry & J Boog)",,,"Jan 29, 2012",On Streaming,https://open.spotify.com/track/0a7yUnrwiRCm3LNOaCPJVp?si=GgG2fks4QO627RivWj6D5Q,Feature
King of the Mischievous South,"Propr Boyz - Chop Em Up
(feat. Denzel Curry)",,,"Feb 10, 2012",On Streaming ,https://open.spotify.com/track/3LRQVDzZCXY6oytxbKnhzS,Feature
King of the Mischievous South,"Propr Boyz - Magnificent
(feat. Denzel Curry)",,,"Feb 10, 2012",Off Streaming,https://pillows.su/f/d79218d7a59ea79cfffdffef75169c06,Feature
"Strictly 4 My R.V.I.D.X.R.Z (1993)
(S.4.M.R)",,,,,,,
Strictly 4 My R.V.I.D.X.R.Z.,"Art Of God [S.4.M.R. Intro]
(prod. POSHstronaut)","Track 1 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/de992a9a860f0571c196b2b934355d84,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"A Life In The Day Of Denzel Curry
(prod. Lofty305)","Track 2 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z"". The storyline of this song is continued in ""A Day in the Life of Denzel Curry Pt. 2"".",,"May 13, 2012",Off Streaming,https://pillows.su/f/3cb7f9bc16b70f2b2917e10b1511422d,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"STRICTLY 4 MY R.V.I.D.X.R.Z. (S.4.M.R.)
(prod. DJ Manny Virgo)","Track 3 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/81f86cfa00096d7bf9911cc5add10660,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Trippy Phonk
(feat. Nell & Yung Kane) (prod. Metro Zu & Freebase)
(Trippy Phonk 1993)","Track 4 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",On Streaming ,https://open.spotify.com/track/7qGUIKMyaBb9y6suhVnhjY,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Champ's n G's
(feat. Harvey G & Lil Champ Fway) (prod. DJ Troublesome)","Track 5 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/70b86281165d8a71921cfdc25cc80556,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"PhonkyChevySouthernKlvnZuPimpinMuzik
(feat. Lofty305 & POSHstronaut) (prod. Contact Lens)","Track 6 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z"". The title of the song is a reference to OutKast's ""Southernplayalisticadillacmuzik""",,"May 13, 2012",Off Streaming,https://pillows.su/f/21cc69b3b756f9cdd730f9c83383a747,Feature
Strictly 4 My R.V.I.D.X.R.Z.,1995 Phonk Blvcklvnd Rvdix 66.6,"Track 7 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/51b6d54f3f1e1499a2bdb690a1af5099,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Mike Dece - Drogas
(feat. Denzel Curry, Lofty305, Ruben Slikk & Speak) (prod. Freebase)","Track 8 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z"". Later became track 6 on Propr Boyz (Ruben Slikk & Mike Dece's duo)'s album Propr Boyz, Vol. 2.",,"May 13, 2012",Off Streaming,https://open.spotify.com/track/2pmoAmOVVp4s3txESZkugq?si=J9g_YlVbQBmEvLPceIFbsQ,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Nigga Like Me
(feat. Yung Simmie) (prod. Shawn Kemp)","Track 9 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/ea69042244efa73c1e182a2975fa37a2,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"R.V.I.D.X.R.Z. Revenge
(prod. DJ Troublesome)","Track 10 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/5c03d43a82886270610960cd9c635c75,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Cokey Conversation
(feat. Mike Dece & Ruben Slikk) (prod. DJ Troublesome)","Track 12 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/7163b6a20b120e68ee930f1e977c02d0,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Ridin' N Tha Bvck
(feat. Amber London & Xavier Wulf) (prod. Spaceghostpurrp)","Track 13 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/2dfb434468798c58345b80dd54d6db6a,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Blvcklvnd Goddess
(prod. Contact Lens)","Track 14 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/fb792b16e546a5f61634028365b87266,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Ending Hour (S.4.M.R. Outro)
(prod. DJ Shlohmo)","Track 15 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/4f3a09a923a9ea0e7c74a60853df77b4,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Son Of Sam (S.4.M.R. Bonus) Fang Tribute
(prod. Spaceghostpurrp)","Track 16 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z""",,"May 13, 2012",Off Streaming,https://pillows.su/f/6c5be92eb8d335a174ad10072d6813cf,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Headcrack Remix
(feat. Yung Simmie & Young Renegade) (prod. Spaceghostpurrp)","Track 17 off of Denzel Curry's 2012 mixtape, ""Strictly 4 My R.V.I.D.X.R.Z"". Features a new verse from Young Renegade.",,"May 13, 2012",Off Streaming,https://pillows.su/f/d1b2bcdb3c89dfe4b00b8eacee7cc797,Feature
,Singles/Loose Songs,,,,,,
Strictly 4 My R.V.I.D.X.R.Z.,"Mystical Virus Pt. 2
(prod. SpaceGhostPurrp & Raven Miyagi)","2012 Denzel song. From his series of songs ""Mystical Virus""",,~August 2012,Off Streaming,https://pillows.su/f/2f37f398d8dd0ebdbf2d4c9108a11159,Single
Strictly 4 My R.V.I.D.X.R.Z.,"INYVZHV (Wishing Well)
(feat. Key Nyata)",2012 rare Denzel song.,,"Aug 31, 2012",Off Streaming,https://pillows.su/f/45f94fe2273a6e31f03abb3e259b07a4,Single
Strictly 4 My R.V.I.D.X.R.Z.,Return Of The C,Rare Denzel song released in 2012.,,"Jul 20, 2012",Off Streaming,https://pillows.su/f/c8c730c77241014e4e0fb1222e37966e,Single
Strictly 4 My R.V.I.D.X.R.Z.,Loccin' Wit Da Mask On,Rare Denzel song released in 2012.,,"Jul 10, 2012",Off Streaming,https://pillows.su/f/d58207ddb1f6b73823bd64c6de1e4865,Single
,Features,,,,,,
Strictly 4 My R.V.I.D.X.R.Z.,"Soulja Mook - I Be Trippin Sometimes
(feat. Denzel Curry) (prod. DjKenKenSwagg)",2012 song from Soulja Mook featuring Denzel Curry.,,Unknown,Off Streaming,https://pillows.su/f/720d91404c32887b828dc8adc82ee28b,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Soulja Mook - Outro
(feat. Pouya, Denzel Curry, Lofty305, Yung Raw & SpaceGhostPurrp) (prod. DjKen)",2012 song from Soulja Mook featuring Denzel Curry.,,Unknown,Off Streaming,https://pillows.su/f/d5641a8aafb20076329d8404e3f33ff4,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"O'Grime - Vagina Dentata (Remix)
(feat. Denzel Curry & SpaceGhostPurrp)",,,Unknown,Off Streaming,https://pillows.su/f/f649cddd9b4cd3839a94f0cb2bcb87d5,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Lil Champ FWAY - SOS (1995) Fatality Edition
(feat. Denzel Curry, DoughDoughDaDon, Harvey G & Young Renegade)",,,Unknown,Off Streaming,https://pillows.su/f/6d669b950009e47bd361884ac167601a,Feature
