Era,Title,Notes,Length,Release Date,File Date,Availability,Quality,Link(s)
The Blair Bitch Project,The Blair Bitch Project,"Album copy, confirmed to be had. Was set to be groupbought, but had to be cancelled due to internal conflict.",,,,Confirmed,Not Available,N/A
,"The Odd Future Tape
(Collaboration with Odd Future)
(The FUCKING Tape)","(2007 - 2008) (as Ace, Ace Creator, & Tyler Creator)
The Odd Future Tape is the debut mixtape from Odd Future, released on November 16, 2008.",,,,,,
The OF Tape Vol. 1,The Odd Future Tape,"Released copy, tagged as a collaboration between Tyler & Hodgy.",1:01:35,"Nov 16, 2008",,Full,High Quality,https://pixeldrain.com/u/GUBK5CQK
,PinkGoldSquarePixals,"(2008) (as Poly/Mono)
Album made under the Poly/Mono alias and was teased on Tyler's BlogSpot & on his MySpace alongside SuperDuperSteezMonster. Tyler talked on a Blogspot post about doing a ""Ghetto Tech Album, 808's And Sy.ths With Reverbs, Just Talking About Super Dumb Shit And Femals And Waffle, Shit That Can Get A Club Cracking."" ",,,,,,
PinkGold SquarePixals,PinkGoldSquarePixals,"Album copy, confirmed to be had.",,,,Confirmed,Not Available,N/A
,SuperDuperSteezMonster,"(2008) (as Poly/Mono)
Album made under the Poly/Mono alias and was teased on Tyler's MySpace alongside PinkGoldSquarePixals.",,,,,,
SuperDuper SteezMonster,SuperDuperSteezMonster,"Album copy, confirmed to be had. Was set to be privately groupbought, but had to be cancelled due to the Vish situation.",,,,Confirmed,Not Available,N/A
,The Au79,"(2008 - 2009) (as Tyler, The Creator)
The Au79 was a Jazz instrumental album Tyler worked on from around 2008 to 2009, promotion was uploaded on his Vimeo account using the Untitled 63 beat.",,,,,,
The Au79,The Au79,"Album copy, confirmed to be had.",,,,Confirmed,Not Available,N/A
,Bastard,"(2009) (as Tyler, The Creator)
Bastard is Tyler's first mixtape and his debut studio album, released on December 25, 2009. An updated version of this album was released on the same day in 2010. Likely started in September or October of 2009.",,,,,,
Bastard,Bastard,"Released copy, has brandUn DeShay on Session. Exported using Logic Pro 8.0.2 & GarageBand 4.1.2.",,"Dec 25, 2009",,Full,High Quality,LINK NEEDED
Bastard,Bastard,"2010 reissue, has Mike G replacing brandUn on Session.",,"Dec 25, 2010",,Full,High Quality,https://pixeldrain.com/l/ruhSbzTQ
Bastard,Bastard,"According to a trusted source, Bastard CDs were going to be made around 2013. Tyler has stated that an extended version of AssMilk & two more songs were going to be on these hard copies, no other differences are known. It's also rumored that Llama, Dem Hoes & Let's Dance were going to be on here as well.",,,,Rumored,Not Available,SOURCE NEEDED
,"Earl
(Collaboration with Earl Sweatshirt)
(Self Titled)","(2009 - 2010) (as Wolf Haley & Ace Creator)
Earl is Earl Sweatshirt's debut mixtape, released on March 3rd, 2010. This era mainly contains a bunch of beats used on the project.",,,,,,
Earl,Earl,"Released copy, has Tyler credited as Wolf Haley & Ace Creator on ""Couch"" & ""Pigions"" respectively.",,"Mar 3, 2010",,Full,High Quality,https://pixeldrain.com/l/rzWagoUj
,"Radical
(Collaboration with Odd Future)","(2009 - 2010) (as Tyler, The Creator)
Radical is the second mixtape by Odd Future, released on May 7, 2010. This whole project consists of Odd Future members rapping over other people's instrumentals. Also notable for being the first time the EarlWolf name would be used.",,,,,,
Radical,Radical,Released copy.,,"May 7, 2010",,Full,High Quality,https://pixeldrain.com/l/d3d7idWC
,"Rolling Papers
(Collaboration with Domo Genesis)","(2009 - 2010) (as Wolf Haley & Ace Creator)
Rolling Papers is Domo Genesis's debut mixtape, released on August 30th, 2010. This era mainly contains a bunch of beats used on the project.",,,,,,
Rolling Papers,Rolling Papers,"Released copy, has Tyler credited as Ace Creator & Wolf Haley on ""Rolling Papers"" & ""Super Market"" respectively.",,"Aug 30, 2010",,Full,High Quality,LINK NEEDED
,Goblin,"(2009 - 2011) (as Tyler, The Creator)
Goblin is Tyler's second studio album, released on May 10, 2011. This album is an attempt to expand upon the style that Bastard had, but falls short. Even Tyler himself says this is his worst album.",,,,,,
Goblin,Goblin,"Early demo CD, contains Mars, Toilet Milk, & a rough draft of She. Could be had, but I believe this is all skepticism.",,,,Rumored,Not Available,SOURCE NEEDED
Goblin,Goblin,"Japanese promotional CD of Goblin, exactly the same as the release version.",,,,Full,CD Quality,LINK NEEDED
Goblin,Goblin,"Released copy, leaked 3 days before release.",1:13:56,"May 10, 2011",,Full,Lossless,LINK NEEDED
Goblin,Goblin [Deluxe Edition],"Deluxe copy, includes Burger, Untitled 63, & Steak Sauce.",1:22:14,"May 10, 2011",,Full,Lossless,https://pixeldrain.com/l/vcsnMx8G
,"The OF Tape Vol. 2
(Collaboration with Odd Future)","(2010 - 2012) (as Tyler, The Creator)
The OF Tape Vol. 2 is the debut album and second installation to the Odd Future Tape series, released on March 20th, 2012.",,,,,,
The OF Tape Vol. 2,The OF Tape Vol. 2,Released copy.,1:03:30,"Mar 20, 2012",,Full,Lossless,LINK NEEDED
,The Dead Sams,"(2011 - 2013) (as The Dead Sams)
The Dead Sams is a Tyler project that was first mentioned on Wolf and scrapped in late 2013, the concept for this project was conceived (or at least mentioned) in the Freeperm archive on June 7th, 2012. This project is said to sound like ""early Toro stuff and shitty N.E.R.D.,"" as well as ""all jazz chords but like garage rock."" Also to be noted that The Dead Sams is the name of Tyler's ""dream band,"" in which they would do covers of songs.",,,,,,
The Dead Sams,The Dead Sams,Album copy.,,,,Confirmed,Not Available,N/A
,WOLF [V3],"(Mid 2012 - Early 2013) (as Tyler, The Creator)
Wolf is Tyler's third studio album, released on April 1, 2013. This album is a big departure from his earlier work because he didn't want to be talking about the same stuff he used to, ""Talking about rape and cutting bodies up, it just doesn't interest me anymore... what interests me is making weird hippie music for people to get high to.""",,,,,,
WOLF [V3],WOLF,"Test pressing copy, differences unknown.",,,"Feb 13, 2013",Confirmed,Not Available,N/A
WOLF [V3],WOLF,Released copy.,,"Apr 1, 2013",,Full,Lossless,LINK NEEDED
WOLF [V3],WOLF,"Copy used for physical release, has an alternate outro on Domo23 which helps the song transition into Answer. Has other notable & noticable alternate mixes on some songs (for example, the outro on IFHY & the intro on Lone). Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",1:11:25,,,Full,Lossless,https://pixeldrain.com/l/FQqQCuk4
WOLF [V3],WOLF + Instrumentals,Copy with the instrumentals attached.,,"Apr 7, 2023",,Full,Lossless,LINK NEEDED
,"Cherry Bomb
(CHUR BUM, Buffalo)","(2013 - 2015) (as Tyler, The Creator)
Cherry Bomb is Tyler's fourth studio album, released on April 9, 2015. Was heavily influenced by Death Grips and N.E.R.D, and more specifically, their 2001 album, In Search Of.",,,,,,
Cherry Bomb,Cherry Bomb,Released copy.,54:10,"Apr 9, 2015",,Full,Lossless,LINK NEEDED
Cherry Bomb,Cherry Bomb,"Copy used for physical release, has YELLOW as a bonus track. Has other notable & noticable differences (for example, the song SPECIAL at the end of THE BROWN STAINS OF DARKEESE LATIFAH & the alternate second half on BLOW MY LOAD). Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",58:12,,,Full,Lossless,https://pixeldrain.com/l/jLByAD29
Cherry Bomb,Cherry Bomb + Instrumentals,Copy with the instrumentals attached.,,"Oct 12, 2018",,Full,Lossless,LINK NEEDED
Cherry Bomb,Cherry Bomb [2020 RSD Instrumentals],"Copy with just the instrumentals & the addition of an edited version of the YELLOW instrumental. Only pressed on vinyl, so any copies you find of this are gonna sound a little iffy.",,"Aug 29, 2020",,Full,Lossless,LINK NEEDED
,"Flower Boy
(Scum Fuck Flower Boy [V2])","(2016 - 2017) (as Tyler, The Creator)
Flower Boy is Tyler's fifth studio album, leaked on July 10th, 2017 and released on July 21st, 2017.",,,,,,
Flower Boy,Flower Boy,"Released copy, leaked a week before it was supposed to drop.",,"Jul 21, 2017",,Full,Lossless,LINK NEEDED
"0 OG File(s)
0 Full
0 Tagged
0 Stem Bounce(s)
0 Partial
0 Snippet(s)
0 Unavailable","WANG$AP
(Collaboration with A$AP Rocky)
(DON'T TAP THE GLASS)","(2017 - 2019) (as Tyler, The Creator)
WANG$AP is the planned collaboration album between Tyler & A$AP Rocky that came out of the Flower Boy sessions, first mentioned Tyler's freeperm account on Feb 10, 2016 to be a ""9 song album"". The only official release from this album was Potato Salad, with it being considered scrapped in early 2019 after Tyler stated “i wish rocky would shut the fuck up and stop always saying what he's working on 40 years before its even a fleshed out idea.” and “that shit dont exist yall =)” in reference to WANG$AP. Tyler later revealed in 2025 that him and Rocky as a duo were originally meant to be called ""DON'T TAP THE GLASS"", a phrase which he would eventually reuse as the name of his ninth studio album.",,,(Shoutout to the A$AP Rocky Tracker for all of this information),,,
WANG$AP,WANG$AP,"Album copy, might exist due to the substancial amount of sessions that are known to be had, yet this is unconfirmed.",,,,Rumored,Not Available,SOURCE NEEDED
,"Music Inspired by Illumination & Dr. Seuss's The Grinch
(Grinch EP)","(2018) (as Tyler, The Creator)
Music Inspired by Illumination & Dr. Seuss' The Grinch is Tyler's first extended play, released on November 16, 2018. Tyler commented that ""making christmas themed music, but not making it too xmasy was the goal [and] keeping 7 year olds in mind but also wanting the parents to listen also.""",,,,,,
Grinch EP,Music Inspired by Illumination & Dr. Seuss's The Grinch,Released copy.,,"Nov 16, 2018",,Full,Lossless,LINK NEEDED
,IGOR,"(2017 - 2019) (as Tyler, The Creator)
IGOR is Tyler's sixth studio album, being his most popular release to date. Released on May 17, 2019, this album is widely considered as one of Tyler's best, and has even earned himself a Grammy for Best Rap Album of 2019. Something to note, IGOR was first mentioned by Tyler on his freeperm Twitter on March 11th, 2014.",,,,,,
IGOR,IGOR,Released copy. Shoutout to awesome_pheonix for the rip.,,"May 17, 2019",,Full,Lossless,https://pixeldrain.com/l/sByBrwXW
IGOR,IGOR,Copy that replaced the original release about a week after the album's release. Only real difference is the removal of a sample on WHAT'S GOOD.,39:46,,,Full,Lossless,LINK NEEDED
IGOR,IGOR,"Copy used for physical release, has BOYFRIEND in place of EXACTLY WHAT YOU RUN FROM YOU END UP CHASING, and potentially some alternate mixing on IGOR'S THEME. Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",43:30,,,Full,Lossless,https://pixeldrain.com/l/XRWJoYU7
,CALL ME IF YOU GET LOST,"(2020 - 2021) (2023) (as Tyler, The Creator)
CALL ME IF YOU GET LOST is Tyler's seventh studio album, released on June 25, 2021. Tyler later rereleased this album as ""CALL ME IF YOU GET LOST: The Estate Sale"" on March 31, 2023. This project was considered done in November 2020, but later turned into what we have right now.",,,,,,
CALL ME IF YOU GET LOST [V2],CALL ME IF YOU GET LOST,Released copy.,,"Jun 25, 2021",,Full,Lossless,LINK NEEDED
CALL ME IF YOU GET LOST [V2],CALL ME IF YOU GET LOST,"Copy used for physical release, has FISHTAIL in place of SAFARI. Might have some alternate mixing on some songs, but the only one I can notice is some alternate instrumentation on JUGGERNAUT. Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",,,,Full,Lossless,LINK NEEDED
CALL ME IF YOU GET LOST [V2],CALL ME IF YOU GET LOST: The Estate Sale,"Deluxe copy, includes eight new tracks.",,"Mar 31, 2023",,Full,Lossless,LINK NEEDED
CALL ME IF YOU GET LOST [V2],CALL ME IF YOU GET LOST: The Estate Sale,"Copy used for physical release, literally the exact same as the previous physical release but with the inclusion of Estate Sale songs. Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",,,,Full,Lossless,https://pixeldrain.com/l/7gNFuRgE
,CHROMAKOPIA,"(2020 - 2024) (2025) (as Tyler, The Creator)
CHROMAKOPIA is Tyler's eighth studio album, released on October 28th, 2024. This album is the first album by Tyler, The Creator to break many of his ""traditions"" when it comes to releasing albums: he broke his 2 year rule (a rule where he only drops an album every two years, The Estate Sale dropped just last year) & his 10th track rule (when there are two or three tracks in one track, specifically on the 10th track of the album). Work on the album began as far back as 2020 alongside CALL ME IF YOU GET LOST with the creation of “Mother.” Tyler has since shared that he once planned for CHROMAKOPIA to be his final album.",,,,,,
CHROMAKOPIA,CHROMAKOPIA,"Test pressing copy, has several mixing differences on songs & has Mother replacing Balloon on the tracklist but placed in between Tomorrow & Dead. Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",,,,Full,Lossless,https://pixeldrain.com/l/p3BQ8mE9
CHROMAKOPIA,CHROMAKOPIA,Released copy.,,"Oct 28, 2024",,Full,Lossless,LINK NEEDED
CHROMAKOPIA,CHROMAKOPIA [Clean Version],Clean copy.,,"Jan 15, 2025",,Full,Lossless,LINK NEEDED
CHROMAKOPIA,CHROMAKOPIA +,"Deluxe copy, includes Mother. Like Him has alternate mixing as well.",,"Oct 28, 2025",,Full,Lossless,LINK NEEDED
,DON'T TAP THE GLASS,"(2024 - 2025) (as Tyler, The Creator)
DON'T TAP THE GLASS is Tyler's ninth studio album, released on July 21st, 2025. This project started on December 31st, 2024 and all of the verses were recorded in May 2025 during the CHROMAKOPIA tour. It was first teased on July 16th with a photo of him with a trumpet in a marching band outfit, this is where fans got the idea that this was either for the Sticky music video that was teased months prior or a CHROMAKOPIA deluxe. On July 18th, the album's physicals were released on the Golf Wang store, which is how the fans got their first taste of the album.",,,,,,
DON'T TAP THE GLASS,DON'T TAP THE GLASS,"Test pressing copy, has several mixing differences on songs & has an untitled song (nicknamed Down Bad) in between I'll Take Care Of You & Tell Me What It Is. Shoutout to tctrackeruploader (or whatever his name is now) for the rip.",,,,Full,Lossless,https://pixeldrain.com/l/RA6u7xA6
DON'T TAP THE GLASS,DON'T TAP THE GLASS,Released copy.,,"Jul 21, 2025",,Full,Lossless,LINK NEEDED
DON'T TAP THE GLASS,DON'T TAP THE GLASS [Clean Version],Clean copy.,,"Jul 25, 2025",,Full,Lossless,LINK NEEDED
