Era,Name,Info/Notes,Length,Leak Date,File Date,File Date,Type,"Availability
(aka Snippet Central)",Quality,Link(s)
my good beats,Cones and Bones,"Instrumental made in 2004 under ""my good beats"". ",,"Apr 24, 2026","Jun 26, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/VXcXLEzn
The Dead Sams,"Trickdaddy [V1]
(48 (Instrumental))","Original version of 48's instrumental with an alternate intro, played in the Wolf Documentary. Snippet leaked on December 23rd, 2025, tagged by Gloggiepoodle (second link).
Played in vc on 4/18/26 (3rd link)",,"Apr 18, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/ohunqWtw
https://pixeldrain.com/u/JRvGaMMi
https://pillows.su/f/4083df1681768d84ec4033794c07643b"
Zombie Circus,Couch (Instrumental) [V1],"Earlier version of the main part of the Couch instrumental. Meant to be combined with the earlier version of the 2nd part. Made in 2008, under the Poly/Mono alias.",,"Apr 17, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/DGor4CbP 
https://pixeldrain.com/u/AzwZVtiZ"
PinkGold SquarePixals,Pink Gold [V2],"PinkGoldSquarePixals title track, track 1 on the project.",,"Apr 11, 2026","Jun 30, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/WAwp4rwJ
Stereo-Type,"Odd Future Pt. 2 (Instrumental) [V2]
(Orange Gumdrops)","Final version of Odd Future Pt. 2, has a beat switch. Audio ripped from a YouTube upload",3:20,"Apr 10, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/XKwCtQD4
Ace,✨ Yukon,"Loose instrumental, made in 2008.",2:11,"Apr 6, 2026","Jun 30, 1905",,Instrumental,Full,CD Quality,https://pixeldrain.com/u/sd2XqAZg
Ace,🏅 ???,"Loose instrumental, year unknown.",,"Apr 5, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/RUqyjy2w
https://pixeldrain.com/u/dsTxYSQk
https://pixeldrain.com/u/EB7U7qje
https://pixeldrain.com/u/wTPa2Tpz
https://pixeldrain.com/u/BgrvuBvP"
At Your Own Risk [V2],✨ 12:01 (Instrumental) [V3],"Final At Your Own Risk version of ""12:01,"" completely different from the first 2 versions. Made in 2007-2008 for the final copy of the album. Instrumental only.",4:01,"Apr 5, 2026",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/CY4XPU14
PinkGold SquarePixals,Base,PinkGoldSquarePixals track. Possibly the beatswitch to Pixal.,2:12,"Apr 4, 2026","Jun 30, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/KzAaa3VX
Eargasm,Moon,"Eargasm era instrumental, full version of the beatswitch on ""Late... Again.""",3:12,"Apr 3, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/SpAJkED9
Ace,Leena,Loose instrumental made in 2007.,2:56,"Apr 1, 2026","Jun 29, 1905",,Instrumental,OG File,High Quality,https://pixeldrain.com/u/EqNCUh73
WOLF [V1],Secret Garden (Instrumental) [V2],"2010 rework of ""Secret Garden"" made and recorded on for Wolf [V1] in 2010. Differences are mostly unknown as of now.",,"Mar 31, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/V8rx8Tgx
https://pixeldrain.com/u/Xr3vM2xo"
At Your Own Risk [V1],Retail Price (Instrumental) [V2],"At Your Own Risk version of ""Retail Price,"" made in 2007. Completely different from the Dreams In 3-D version.",2:12,"Mar 29, 2026","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/l/vL12hkh8#item=1
At Your Own Risk [V1],"✨ 12:01 (Instrumental) [V1]
(Bored Freestyle)","Earlier version of 12:01, with quite a few differences.",2:38,"Mar 29, 2026","Jun 29, 1905",,Instrumental,Full,High Quality,https://pixeldrain.com/l/vL12hkh8#item=0
Poly/Mono,DJLR,"Poly/Mono-era beat, date is unknown.",2:18,"Mar 29, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/l/vL12hkh8#item=2
Ace,???,"Loose instrumental, year unknown.",,"Mar 28, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/jeV2ELdm
Bastard,Inglorious (Instrumental),"Instrumental to ""Inglorious""",,"Mar 28, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/sCiDDN1b
Ace,"Blueballed [V1] 
(Blue Balls [V1])","Earlier version of ""Blue Balls"" with slightly different instrumentation, no piano, and a different clap. Made on March 5th, 2008.",2:22,"Mar 25, 2026","Mar 5, 2008",,Instrumental,OG File,High Quality,https://pixeldrain.com/u/k3H5Bfqg
Ace,Whirl,"Loose instrumental, made in 2008.",2:48,"Mar 25, 2026","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/x6137iEh
Ace,"🏆 ???
(Finally Something Different Freestyle)","Solo freestyle Tyler recorded over the instrumental for ""Finally Something Different"". Unknown if it uses the first or second version of the instrumental. This has to be some of the shittiest quality audio ever (slightly better sounding version can be found in fakes).",,"Mar 25, 2026",,,Freestyle,Partial,Recording,https://pixeldrain.com/u/fBrHVfym
The Blair Bitch Project,Nose Eye Mouth,Instrumental made for The Blair Bitch Project. Track 7 on the project.,2:57,"Mar 25, 2026","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/HxBCPqxd
The Dead Sams,"Oh, Hai","Confirmed to be from The Dead Sams, mentioned by Tyler on the freeperm archive in September 2012. Stated to be better than 48, according to Tyler. ",3:03,"Mar 25, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/CPUTvmVL
The Dead Sams,⭐ Salem (Instrumental),"Confirmed to be from The Dead Sams, mentioned on the Freeperm archive alongside lyrics to the song in August 2012. Said to be about Salem leaving ""Camp Nilbog"", and Tyler and Slater being sad. Track 8 on the project. Tyler is heard adlibbing ""Salem"". Was recorded over.",3:04,"Mar 25, 2026",,,Song,Full,High Quality,https://pixeldrain.com/u/TpKbAvtu
WOLF [V1],Bitches Brewin' (Instrumental) [V2],"Reworked version of the instrumental to ""Bitches Brewin'"". Meant for the rerecorded version of the song.",,"Mar 24, 2026","Jul 2, 1905",,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/Cox9i4b4
https://pixeldrain.com/u/xYC5UBct"
Ace,"Freeperm
(Free Perm)","Loose instrumental, made in 2008. Named after Tyler and Jasper Dolphin's dream TV show.",2:46,"Mar 23, 2026","Jun 30, 1905",,Instrumental,Full,High Quality,https://pixeldrain.com/u/thRabrJU
The Blair Bitch Project,Frog Paddle [V2],"Blair Bitch Project instrumental, differences from V1 are unknown. Audio ripped from a Youtube file",2:55,"Mar 23, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/XzVvgapv
Ace,MOREPUTRPLE,"Loose instrumental, year unknown. Found in a screenshot of Mike G's files.",3:57,"Mar 22, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/sjBgKMTn
Ace,Instrumentation [V2],"Later version of Instrumentation, year unknown.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/eoqqzDow
Ace,???,"Loose instrumental, year unknown. Tagged.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/F1upn5o9
https://pixeldrain.com/u/PeNSruWV"
Ace,???,"Loose instrumental, year unknown. Tagged.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/PNcFfbFR
Ace,???,"Loose instrumental, year unknown. Tagged.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/A5g5XvuZ
Ace,???,"Loose instrumental, year unknown. Tagged.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/fuFkZvZM
Unique Style,Thrashed [V2],"Later version of the loose instrumental ""Thrashed"". One of the 16 tracks that make up ""Unique Style"" year and track number unknown.",,"Mar 21, 2026",,Instrumental,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/chTe1Ezd
Unique Style,???,"One of the 16 tracks that make up ""Unique Style"" year and track number unknown.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/ig5DwcBj
https://pixeldrain.com/u/EgUBN5qi"
Rolling Papers,Kickin It (Instrumental),"Instrumental to ""Kickin It"" by Domo Genesis. Tagged.",,"Mar 21, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/BFynB285
Dreams In 3-D,MusiC LoVe [V1],"Earlier version of MusiC LoVe, with different production from the project version and it is shorter than the project version.",2:11,"Mar 20, 2026","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/sQ1YGn5G
The Blair Bitch Project,Frog Paddle [V1],"Blair Bitch Project instrumental, differences from V2 are unknown.",,"Mar 19, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/SmcUrWZ9
Personal Stash,Fresher Than This (Instrumental),"Instrumental to ""Fresher Than This"" by Skoolie300. Skoolie confirmed that Tyler made this beat for him on the spot and then recorded it same day. ",~3:15,"Mar 16, 2026",,,Instrumental,Snippet,Low Quality,https://pixeldrain.com/u/tLKn24MD
WOLF [V3],"✨ Tamale [V4] (Live Version)
(SANTIAGO)","Live version of ""Tamale""  made for the LatAm DTTG tour with an extended intro and outro (the outro is a replay the the intro). Fan dubbed ""SANTIAGO"" as that is where he first played it.",,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/41pkkLKy
IGOR,✨ EARFQUAKE [V5] (Live Version),"Another live version of ""EARFQUAKE"" with an extended intro and a new extended outro.",,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/GUssiSeK
CALL ME IF YOU GET LOST [V2],"WUSYANAME [V3]
(feat. Youngboy Never Broke Again & Ty Dolla $ign)","Live version of ""WUSYANAME"" which as an extended intro (its just a one bar drum break).",3:51,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/Qe4ZSTZi
CHROMAKOPIA,"Darling, I [V2] (Live Version)
(feat. Teezo Touchdown)","Live version of 'Darling, I' played at Lollapalooza Argentina 2026. Contains an extended intro, and a slow breakdown with no drums during the verse.",,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/Gvx8X9dn
CHROMAKOPIA,I Hope You Find Your Way Home (Live Version),"Live version of ""I Hope You Find Your Way Home"" with some alternate, piano based production.",1:33,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/aVNm59oP
DON'T TAP THE GLASS,Big Poe [V3] (Live Version),"Live version of 'Big Poe' made for the DTTG LatAm Tour, with some alternate dropouts and an extended outro. First few seconds are cut due to the official stream starting slightly after the song.",3:45,"Mar 13, 2026",,,Performance,Partial,Stream,https://pixeldrain.com/u/MmjVL7Pu
DON'T TAP THE GLASS,Tell Me What It Is (Live Version),"Live version of ""Tell Me What It Is"" with an extended intro and some alternate production.",,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/utAihbV7
DON'T TAP THE GLASS,Sugar On My Tongue (Freak Mix) / Stop Playing With Me (Live Version),"Live version of the ""Sugar On My Tongue (Freak Mix) / Stop Playing With Me"". SOMTFM has some alternate production, a bonus interlude and an extended siren outro that transitions into SPWM which has some slightly alternate production and an extended interlude.",,"Mar 13, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/4H5MXdH4
Dinosaur,"🏅 Potu
(Potu Freestyle)",Track made sometime in 2009 & later freestyled over by brandUn Deshay as per Tyler's request. BrandUn's vocals are off-beat due to a mistake on Tyler's end when putting BrandUn's vocals on the track.,1:46,"Mar 7, 2026","Jul 1, 1905",2009,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/y1R5vMrQ
Cherry Bomb,"✨ Kali Uchis - Ray Gay [V2]
(prod. Tyler, The Creator)
(Not Impossible)","OG Filename: Ray Gay BNCE 1.0 RUFF
Kali Uchis song with Tyler production, mentioned on the freeperm archive in July 2014. Leaked as a donator exclusive at first, later leaked for the public.",4:34,"Mar 5, 2026",,,Production,OG File,CD Quality,https://pixeldrain.com/u/B3STNjbN
CALL ME IF YOU GET LOST [V1],"Snoh Aalegra - IN THE MOMENT [V1]
(feat. Tyler, The Creator) (prod. Tyler, The Creator)","OG Filename : SN X T - DR DRE RUFF SKETCH 89.5 BPM
Version of ""IN THE MOMENT"" with a demo Tyler verse. This song has leaked on Feb 3, 2026 as a donator exclusive to its respective groupbuy but it got forceleaked a month after.",,"Mar 5, 2026",,,Feature,Full,CD Quality,https://pixeldrain.com/u/PsFuKAhQ
Ace,Afd [V2],"Updated version of Afd, differences unknown.",,"Mar 4, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/kX9CuRe7
Ace,Shake Junt,"Loose instrumental, year unknown. Named after a skateboard company Tyler liked. Abe publically called this beat fake, this is wrong. He had no part in the buying / selling of this instrumental.",2:16,"Mar 4, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/cDDxikvS
https://pixeldrain.com/u/KEzeer1T
https://pixeldrain.com/u/T7krytWi"
Cherry Bomb,"Toronto [V2]
(feat. Kali Uchis)
(See You Again)","OG Filename: Toronto BNCE KALI REF
Solo Kali Uchis version, snippet posted by Vlone on leaked.cx. Has vocals from Kali working out her delivery on the chorus. Snippet initially surfaced Jan 5. 2026, leaked in full after a successful groupbuy.",3:13,"Mar 1, 2026","Jul 6, 1905",,Song,OG File,CD Quality,https://pixeldrain.com/u/gxoB1YyZ
Cherry Bomb,"Kali Uchis - Call Me [V1]
(prod. Tyler, The Creator)","OG Filename: DEOMNS-CALL ME AE ROUGH1
Demo of Call me from ""Por Vida"". Leaked as a bonus to the Raygay groupbuy.",3:15,"Mar 1, 2026","Jul 14, 2014","Jul 14, 2016",Production,OG File,CD Quality,https://pixeldrain.com/u/bmxZhQ2o
At Your Own Risk [V2],Lounges X Blox (Instrumental) [V4],"Final At Your Own Risk version of ""Lounges X Blox,"" completely different from the first 3 versions. Made in 2008 for the final copy of the album. Instrumental only.",2:33,"Feb 25, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/XCuHhUzH
SuperDuper SteezMonster,"⭐ Caprisun
(prod. Tyler, The Creator, Syd, StereoHype, & Kyd)","SuperDuperSteezMonster track Tyler co produced with multiple of his classmates/friends at his music production school, made in 2008. Track #7",1:43,"Feb 25, 2026","Jun 30, 1905",2008,Instrumental,Full,CD Quality,https://pixeldrain.com/u/9VYqa5hB
SuperDuper SteezMonster,Fast and Furious,"SuperDuperSteezMonster track, made in 2008. Contains an album cover for the project. Track #4",2:51,"Feb 25, 2026","Jun 30, 1905",2008,Instrumental,Full,CD Quality,https://pixeldrain.com/u/BEjsma3d
SuperDuper SteezMonster,✨ Gabba,"SuperDuperSteezMonster track, made in 2008. Track #3",2:25,"Feb 25, 2026","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/oCmvkFpM
Cherry Bomb,"Kali Uchis - In My Bed
(prod. Tyler, The Creator)",2014 Kali Uchis song with production from Tyler.,3:00,"Feb 24, 2026","Sep 14, 2014","Sep 14, 2014",Production,Full,CD Quality,https://pixeldrain.com/u/UdipK2AW
Poly/Mono,Juicy [V2],"Poly/Mono-era beat, made in 2008.",,"Feb 23, 2026",,,Instrumental,Snippet,Low Quality,https://pixeldrain.com/u/oza4sMEn
Zombie Circus,✨ Crackshot,Zombie Circus instrumental made in 2008.,2:52,"Feb 23, 2026","Jun 30, 1905",,Instrumental,Full,High Quality,https://pixeldrain.com/u/f4UPWHj9
Ace,"Blue Balls [V2] 
(Blueballed [V2])",Loose instrumental made in 2008.,2:22,"Feb 21, 2026","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/DZKuaUBq
Ace,Eat My Ass,"Loose instrumental, made in 2010. Mentioned on Twitter in 2011.",,"Feb 21, 2026","Jul 2, 1905",2010,Instrumental,Full,High Quality,https://pixeldrain.com/u/oJgoqwL4
Ace,"Cool Fat Drunk Bitch
(Kickin It (Instrumental))","Loose instrumental made in and posted to myspace 2007. Later used by Domo Genesis for ""Kickin It"" off of his 2010 album Rolling Papers..",2:08,"Feb 15, 2026","Jun 29, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/jGcF7Uwn
Ace,✨ ineedlove,Loose instrumental made in 2008. Mentioned by a fan on Formspring.,,"Feb 15, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/zAj8wToZ
At Your Own Risk [V2],I Dream (Instrumental) [V5],"Final At Your Own Risk version of ""I Dream,"" completely different from the first 4 versions. Made in 2008 for the final copy of the album. Instrumental only.",2:40,"Feb 6, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/Fh663HHE
CALL ME IF YOU GET LOST [V1],"✨ Snoh Aalegra - NEON PEACH [V3]
(feat. Tyler, The Creator) (prod. Tyler, The Creator)","Version of ""NEON PEACH"" with an alternate Tyler verse.",,"Feb 6, 2026",,,Feature,Full,CD Quality,https://pixeldrain.com/u/qeSi2H6g
Soundz On Acid,"Akon [V1]
(Outro)","Soundz On Acid instrumental, full version of the beat played at the end of ""Outro"" from Bodega. Made in 2008. Later planned on being reworked/reused for Goblin sometime in 2010-2011.",,"Feb 3, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/6VSFFx8x
https://pixeldrain.com/u/7VL4uqxC"
CHROMAKOPIA,"✨ Thought I Was Dead / Like Him (Live Version)
(feat. ScHoolboy Q & Santigold)","Live version of ""Thought I Was Dead / Like Him"". ""Thought I Was Dead"" has an alternate verse, alternate (clean) lyrics and some alternate production before transitioning into an interlude that uses an altered version of the ""Like Him"" instrumental.",,"Feb 2, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/idhFFFnx
DON'T TAP THE GLASS,Sugar On My Tongue (Live Version),"Live version of ""Sugar On My Tongue"" with some alternate production.",,"Feb 2, 2026",,,Performance,Full,Stream,https://pixeldrain.com/u/vWsEBhB1
Ace,✨ I'm Going To Fuck My Family,Loose instrumental made in 2008. Mentioned on OFWGKTA's Twitter in 2010.,3:23,"Feb 1, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/GhadaM3R
Ace,⭐️ Stusssy [V2],"Reworked version of ""Stusssy"", made in 2010. This version is slowed down and features additional production.",2:19,"Feb 1, 2026","Jul 2, 1905",2010,Instrumental,OG File,High Quality,https://pixeldrain.com/u/47u5ZTiq
Dreams In 3-D,✨ Toys & Blox! [V1],"Earlier version of Toys & Blox, made in 2006. This version is extended, pitched up and slightly different",2:41,"Feb 1, 2026","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/mcP247T7
Eargasm,"⭐️ Late... Again (1/2)
(Classic Tyler 10, Lunchbox)","Eargasm track, made in 2007. Track 10 on a scrapped Eargasm tracklist. Formerly known as ""Classic Tyler 10"" & ""Lunchbox"" but neither of these are official names. Scrapped in late 2007, and the name ""Late... Again"" was reused for an unrelated loose 2008 beat.",3:42,"Feb 1, 2026","Jun 29, 1905",2007,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/fr8kcB62
Zombie Circus,Hookline,"Zombie Circus beat, made in 2009",1:37,"Feb 1, 2026","Jul 1, 1905",2009,Instrumental,OG File,High Quality,https://pixeldrain.com/u/Mv1XT9MA
WOLF [V1],"✨ Haack [V3]
(In The Sun (Instrumental))","OG Filename: hhaackk
Final version of ""Haack"", recorded on for ""In The Sun"". This version features some bridges, additional production and is longer by a few seconds. It's named after electronic musician Bruce Haack.",4:06,"Feb 1, 2026","Jul 2, 1905",2010,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/Vp8sg8Dz
Ace,⭐️ Sound On Acid [V2],"Reworked version of ""Sound On Acid"", made in 2010. This version adds more layers of synths and is slightly pitched.",,"Jan 31, 2026","Jul 2, 1905",2010,Instrumental,Full,High Quality,https://pixeldrain.com/u/EXXorh52
At Your Own Risk [V2],✨ Get Fresh (Instrumental) [V2],"Final At Your Own Risk version of ""Get Fresh,"" shares some instruments, but mostly different in every other aspect. Planned to feature Burtono. Made in 2008 for the final copy of the album.  The file we have has fake adlibs that are not on the actual beat, abenotbabe added them to the file. A remake without the adlibs can be found in the Blacklist.",3:12,"Jan 31, 2026","Jun 30, 1905",2008,Instrumental,Tagged,High Quality,https://pixeldrain.com/u/MWdRGdKB
At Your Own Risk [V2],Purple X Toys [V4],"Final At Your Own Risk version of ""Purple X Toys,"" completely different from the first 3 versions. Made in 2008 for the final copy of the album. Instrumental only.",2:31,"Jan 31, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/FroACJog
Soundz On Acid,Cat [V2],"Soundz On Acid-era version of Cat, year is unknown.",,"Jan 31, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/mXVfcwPr
SuperDuper SteezMonster,"✨ LGK
(prod. Tyler, The Creator & KyD)
(Let's Go KyD!)","SuperDuperSteezMonster track, was co produced with KyD (Skoolie300's cousin) from StereoHype. Track #9",2:47,"Jan 31, 2026","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/K9pVzB3g
WOLF [V1],Adams Family (Instrumental),"Instrumental to ""Adams Family,"" which is currently all we have of the lost track. Samples ""Western Eyes"" by Portishead. Made on February 9th, 2009 at 1:15 AM",3:27,"Jan 31, 2026","Feb 9, 2009","Feb 9, 2009",Instrumental,Full,High Quality,https://pixeldrain.com/u/K5naXqLE
