Era,"Name
Check out the Tracker Website! ","Notes
(Join the Discord: CudiZone)",Length,Date,Type,Currently Available,Link(s),
Passion Pain & Demon Slayin,Surfin (Official Music Video),Official Music Video for Surfin.,,,Music Video,Yes,https://www.youtube.com/watch?v=F5KgsubkMCA,
,Entergalactic [V1],"(6/08/2018) (Kids See Ghost releases and Cudi begins working on other projects.)
(??/??/19) (Kid Cudi makes ""2 or 3"" songs that don't fit the current projects and creates Man On The Moon III)",,,,,,
Entergalactic [V1],"Travis Scott - STOP TRYING TO BE GOD
(feat. Kid Cudi)",Official Music Video for STOP TRYING TO BE GOD. Kid Cudi's hums are present but he does not make an appearance.,,,Music Video,Yes,https://youtu.be/YqvCptqhHfs,
Entergalactic [V1],"ScHoolboy Q - Dangerous (Official Music Video)
(feat. Kid Cudi)",Official Music Video for Dangerous.,,,Music Video,Yes,https://youtu.be/N5Qj7ohJmrE,
,Man On The Moon III: The Chosen,"(??/??/2019) (Kid Cudi makes ""2 or 3"" songs that don't fit the current projects, he turns them into Man On The Moon III: The Chosen) 
(12/11/2020) (Man On The Moon III: The Chosen officially releases)",,,,,,
Man On The Moon III,Coachella 2019 Highlight Video,,,,,Yes,https://www.youtube.com/watch?v=OEWQ_ZA2h5s,
Man On The Moon III,The Trilogy Continues...,First trailer for Kid Cudi's 10th Studio Album Man on the Moon III: The Chosen.,,,Advertisement,Yes,https://youtu.be/eKIBalMiO-4,
Man On The Moon III,She Knows This (Official Music Video),Official Music Video for She Knows This.,,,Music Video,Yes,https://www.youtube.com/watch?v=jgkRLRj4y7k,
Man On The Moon III,Heaven On Earth (Official Music Video),Official Music Video for Heaven On Earth.,,,Music Video,Yes,https://www.youtube.com/watch?v=H2ijRKurtw4,
Man On The Moon III,A Sweeter Place (Official Music Video),Official Music Video for A Sweeter Place.,,,Music Video,Yes,https://www.youtube.com/watch?v=W61MeZ35El0,
Man On The Moon III,M3tamorphosis (Official Music Video),Official Music Video for M3tamorphosis.,,,Music Video,Yes,https://www.youtube.com/watch?v=wGBsIelFe-E,
Man On The Moon III,"KIDS SEE GHOSTS 
(Animated Show Story Board Screenshot)","Animated character ""Kid Fox"" (Kid Cudi) seen looking at fox porn in an unreleased Kanye West x Hype Williams x SNT John Netflix film concept (2020).",,,Other,Yes,https://media.discordapp.net/attachments/1079605821811458168/1082088551916769311/Screen_Shot_2023-03-05_at_3.53.27_pm.png?width=694&height=585,
,Unknown Album,"(12/11/20) (Man On The Moon III releases.
(12/11/21) (Kid Cudi announces an unnamed album at Rolling Loud)",,,,,,
Unknown Album,Solo Dolo Part III (Official Music Video),Official Music Video for Solo Dolo Part III.,,,Music Video,Yes,https://www.youtube.com/watch?v=F5vPmRPCp50,
Unknown Album,Kanye West - Moon (Official Music Video),Official Music Video for Moon.,,,Music Video,Yes,https://www.youtube.com/watch?v=K_fgFHaBAoM,
,Entergalactic [V2],"(6/23/2019) (Netflix announces that Kid Cudi would write and produce an animated TV series based off of Cudi's album Entergalactic)
(9/30/2022) (Entergalactic is officially released along with its TV series counterpart)",,,,,,
Entergalactic [V2],Kid Cudi Reborn,Esquire Magazine. Photoshoot and interview.,,,Art,Yes,https://www.esquire.com/entertainment/a40895903/kid-cudi-entergalactic-reborn/,
Entergalactic [V2],"Behind The Scenes ""In Love""","Dot Da Genius captures behind the scenes footage of the making of ""In Love"" with Kid Cudi, Pharrell, Omar, and Bill. Includes them writing ""In love,"" and a demo version of ""In Love."" Shows a Pharrell Williams reference track as well.",,,Behind The Scenes,Yes,https://www.youtube.com/watch?v=Wg3Cu4GtUSI,
Entergalactic [V2],Entergalactic Teaser Trailer,Official Teaser trailer for Kid Cudi's Netflix show Entergalactic.,,,Advertisement,Yes,https://www.youtube.com/watch?v=T9vnzySyj0I,
Entergalactic [V2],ENTERGALACTIC | The Making Of: Entergalactic,Enter the cosmic journey of ENTERGALACTIC with this exclusive behind the scenes making of with the cast and creators.,,,Behind The Scenes,Yes,Welcome to Camp McDonald's,
Entergalactic [V2],Burrow by Kid Cudi,Bose ad featuring Kid Cudi and Joe Burrow.,,,Advertisement,Yes,https://www.youtube.com/watch?v=Zlw-NAeUMHw&ab_channel=Bose,
Entergalactic [V2],NBA All-Star 2022 Promo Teaser,TNT Collaborated with Cleveland born artist Kid Cudi to make this promotional video for the NBA All-Star 2022. Small music video. Takes images from the Want It Bad video.,,,Advertisement,Yes,https://www.youtube.com/watch?v=bdDNIBrYDeM&ab_channel=JonesDronesCle,
Entergalactic [V2],Stars In The Sky (Official Music Video),Official Music Video for Stars In The Sky.,,,Music Video,Yes,https://www.youtube.com/watch?v=efiLdiBk1f8,
Entergalactic [V2],Stars In The Sky (Behind The Scenes),Behind the scenes footage of the Stars In The Sky Music Video.,,,Behind The Scenes,Yes,https://www.youtube.com/watch?v=V7jUpupQTvw,
Entergalactic [V2],Arya (Official Music Video),Official Music Video for Arya. Kid Cudi makes a cameo.,,,Music Video,Yes,https://www.youtube.com/watch?v=4LRJoKWgT9U&ab_channel=Nigo,
Entergalactic [V2],Want It Bad (Official Music Video),Official Music Video for Want It Bad.,,,Music Video,Yes,https://www.youtube.com/watch?v=HOjKGCF4pno,
Entergalactic [V2],Talk About Me (Official Music Video),Official Music Video for Talk About Me.,,,Music Video,Yes,https://www.youtube.com/watch?v=86e7ORFoFVk,
Entergalactic [V2],Talk About Me (Behind The Scenes),Behind the scenes footage of the Talk About Me Music Video.,,,Behind The Scenes,Yes,https://www.youtube.com/watch?v=6L9OgaCopuY,
Entergalactic [V2],Welcome to Camp McDonald's,Kid Cudi and McDonalds collaboration commercial.,,,Advertisement,Yes,https://www.youtube.com/watch?v=f9A9La9ZvQI&ab_channel=TheAdsCurators,
Entergalactic [V2],Kid Cudi x Camp McDonalds,Kid Cudi Camp McDonalds Virtual Performance 7/31/2022,,,Other,Yes,https://www.youtube.com/watch?v=zYcEavUxew0&ab_channel=ChiLLzMesCudi,
,"INSANO
(Collaboration With DJ Drama)","(9/30/2022) ('Entergalactic' album and the show releases. Cudi tweets that the next album is dropping fall 2023 and singles are coming in summer)
(9/4/23) (Cudi announces INSANO is delayed until January 2024)",,,,,,
INSANO,Unknown Music Video,An unknown music video with Brittany Snow. Kid Cudi said it might not release. Probably for Porsche Topless or Flex (Shine).,,,Music Video,No,https://www.instagram.com/p/CuhcJ2hLz6A/?hl=en,https://people.com/brittany-snow-y2k-fashion-unreleased-kid-cudi-video-7558797
INSANO,Star Trek (Promo),"Promotional video for the ""Boldly Be"" Star Trek x Kid Cudi collaboration. Purchasable skin on Fortnite, Merchandise, and a Single. ",,,Advertisement,Yes,https://www.ddinstagram.com/videos/Cw8T-3cvQFD/1?,
INSANO,Flex (Official Music Video),Possibly the music video with Brittany Snow. Most likely will not be released.,,,Music Video,No,https://twitter.com/kidcudi/status/1688952166634139648?s=46,
INSANO,First Pitch At The Guardians Game,Kid Cudi throws a very bad pitch to open a Baseball game. His practice pitches weren't bad though.,,,Other,Yes,"https://x.com/Complex/status/1705395332169814070?s=20
https://x.com/KiDCuDi/status/1705609018172121295?s=20",
INSANO,Comic Book Series,"Kid Cudi will be working with Massive-Verse creator Kyle Higgins on a brand new Image Comics title, Moon Man. Co-written by Mescudi and Kyle Higgins, the series centers around Ramon Townsend, an astronaut who has flown missions for NASA but now works for Janus, which Higgins described as “kind of a SpaceX.” After a mission for Janus goes wrong, there are seven minutes of undocumented time before Ramon pilots the entire crew back to Earth safely… but comes back with some new powers that will emerge over time. ""The Moon Man idea has been with me since around 2012.""",,,Other,No,https://www.thepopverse.com/kid-cudi-moon-man-image-comics-2023,
INSANO,ILL WHAT I BLEED (Official Music Video),"Official Music Video for ILL WHAT I BLEED. Shot in Seoul, South Korea.",,Oct 2023,Music Video,Yes,https://youtu.be/MGMTEeIFNOE?si=A3ri0N2dRSTl0f7I,
,"INSANO
(NITRO MEGA)","(1/12/2024) ('INSANO"" is released)
(ONGOING) (Cudi says he wants to do a collab album with Jaden Smith)",,,,,,
INSANO (NITRO MEGA),SUPERBOY (Official Music Video),Official Music Video for SUPERBOY. Also shot in South Korea.,,,,Yes,https://www.youtube.com/watch?v=QRS_ZiZQAgQ,
INSANO (NITRO MEGA),Cudi (The Memoir),Memoir Book will be releasing in the near future.,,,,No,,
