Era,Name,Notes,Length,"Release
Date",Type,Streaming,Link(s),Alternate Link(s)
A Kid Named Cudi,"The Prayer
(prod. Plain Pat)","Track 6 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Contains a sample of the song ""The Funeral"" by Band Of Horses.",3:39,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=8LQKDrqQQCQ,https://pillowcase.su/f/b6950d80724dabd10b01f268114140d5
A Kid Named Cudi,"Day N Nite
(prod. Kid Cudi, & Dot Da Genius)",Track 7 from Kid Cudi's 2008 mixtape A Kid Named Cudi.,2:48,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=Pbn4t1wQhic&list=PL1EBAE8ACCD7642B9&index=8,https://pillowcase.su/f/18c30cfe37ae71ab10337b13929ed750
A Kid Named Cudi,"Embrace The Martian
(prod. Crookers)",Track 8 from Kid Cudi's 2008 mixtape A Kid Named Cudi.,3:35,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=EAT2njohbo4,https://pillowcase.su/f/be2e4781307dea1a7cca8d8f69061a6f
A Kid Named Cudi,"Maui Wowie
(prod. Plain Pat, & Emile)","Track 9 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""I'm So High"" by Grind Mode.",2:24,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=thtfEv1CNbc&list=PL1EBAE8ACCD7642B9&index=10,https://pillowcase.su/f/68bdf513394fe48b1cbd8682ff654887
A Kid Named Cudi,"50 Ways To Make A Record
(prod. Plain Pat, & Emile)","Track 10 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""50 Ways to Leave Your Lover"" by Paul Simon.",2:55,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=q4swP-4g9zo&list=OLAK5uy_mrspEHCoR-XEEQIyw3v-l3xFrWY_d4TEA&index=10,https://pillowcase.su/f/83b4dd03af93ab7ac767d077884e9da5
A Kid Named Cudi,"Whenever
(prod. André 3000, & Emile)","Track 11 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""Pink & Blue"" by OutKast.",2:04,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=PhUwXtqcHFw,https://pillowcase.su/f/ff8b177b1440e8e20742f07953e7bce9
A Kid Named Cudi,"Pillow Talk
(prod. Bernard Jackson, & Emile)","Track 12 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Contains a sample of the song ""Happy"" by Surface.",3:24,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=jUUhi08xOUU,https://pillowcase.su/f/7a8d343ba97e60309202c97d101487cf
A Kid Named Cudi,"Save My Soul (The Cudi Confession)
(prod. Danger Mouse, & Emile)","Track 13 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""Who's Gonna Save My Soul"" by Gnarls Barkley.",2:03,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=DYWVVqx16zY&list=PL1EBAE8ACCD7642B9&index=14,https://pillowcase.su/f/66a7ba472aedccd46a39c8926b366dc9
A Kid Named Cudi,"T.G.I.F.
(prod. The KickDrums) (feat. Chip Tha Ripper)",Track 14 from Kid Cudi's 2008 mixtape A Kid Named Cudi.,2:23,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=-aAZr8NFVhQ&list=PL1EBAE8ACCD7642B9&index=15,https://pillowcase.su/f/5c399c0c86c2711a0da43c2ab92bc489
A Kid Named Cudi,"Cudi Spazzin'
(prod. The Neptunes, & Emile)","Track 15 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""Spaz"" by N.E.R.D.",3:06,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=s_JaO2ZX1X8&list=PL1EBAE8ACCD7642B9&index=16,https://pillowcase.su/f/5bc7539d5a831eaa468dde1eb10e9557
A Kid Named Cudi,"Cleveland Is The Reason
(prod. Dot Da Genius)",Track 16 from Kid Cudi's 2008 mixtape A Kid Named Cudi.,3:46,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=PEncRiOr0OY&list=PL1EBAE8ACCD7642B9&index=17,https://pillowcase.su/f/e52434bc70b2d429b9c67fd6520345e4
A Kid Named Cudi,"Heaven At Nite
(prod. Ratatat, & Emile)","Track 17 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over a sample of the Instrumental ""Tacobel Canon"" by Ratatat.",3:17,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=NNs6J32HjwI,https://pillowcase.su/f/49c50842ec12f7e874b38d14af75d671
A Kid Named Cudi,"88-Keys - Wasting My Minutes
(prod. 88-Keys) (feat. Kid Cudi)","Track 3 from 88-Keys 2008 mixtape 'Adam's Case Files.' Written by Charles Misodi Njapa, & Scott Mescudi. Contains a sample of the song ""Never Let Her Slip Away"" by Andrew Gold.",3:07,May 2008,Feature,No,https://www.youtube.com/watch?v=ffAJHwZtM5E&themeRefresh=1,https://krakenfiles.com/view/YiBzTiMBTN/file.html
A Kid Named Cudi,"Diplo & Santigold - You'll Find A Way (Graeme & Switch Mix)
(prod. Santigold, John Hill, Joonie ""Most"" Davis, & Diplo) (feat. Kid Cudi)","Track 14 from Santigold & Diplo's compilation tape 'Top Ranking: A Diplo Dub.' Contains a sample of the song ""Lunar Camel"" by Siouxsie and the Banshees.",2:16,Jul 2008,Feature,No,https://www.youtube.com/watch?v=HpYT-rxQdag,https://krakenfiles.com/view/IET7ut2OIR/file.html
,"Man On The Moon: The Guardians
(The Demo Tape)","(07/17/08) ('A Kid Named Cudi' officially releases, and Cudi keeps working on music at Avex Recording Studio)
(07/23/2009) (Demo tapes start leaking online and Cudi decides to redo a lot of the album.)
(2008-2009)",,,"Kanye & Kid Cudi would work on ""808s & Heartbreak"" at this time, and go on to grow in popularity, leading to the release of ""Man On The Moon: The Guardians."" This was the original version and concept for ""Man On The Moon: The End Of Day."" At this time Cudi was giving out CD demo tapes to people around New York. Around July 23rd, 2009, Kid Cudi had his demo tape start leaking online. We are uncertain if it was a result of an email being hacked or a CD having been left in a car. Cudi decided to redo most of the album and scrap a lot of material. The final product was the released ""Man On The Moon: The End Of Day.""",,,
Man On The Moon [V1],Day 'n' Nite - EP,Some available some not.,,Jan 2009,EP,Yes,https://open.spotify.com/album/2FgMzBAT3ZbgQqML2J2ICA?si=Ia4xZ0ElTcemS2zYEaRDGQ,
Man On The Moon [V1],"88-Keys - Ho' Is Short For Honey
(prod. 88-Keys) (feat. Kid Cudi)","Track 11 from 88-Keys album 'The Death Of Adam.' Written by Charles Njapa, Scott Mescudi, Paul McCartney, & Linda McCartney. Recorded by Charley ""Charley Hustle"" Caripides. Mixed by Maurizio ""Irko"" Sera. Mastered by Tatsuya ""Tats"" Sato. This track samples the song ""Mrs. Vanderbilt"" by Paul McCartney & The Wings. Executive Produced by Kanye West.",3:03,Nov 2008,Feature,Yes,https://open.spotify.com/track/2ND2WFcRrgrqrtFssqj4UR?si=c2cb35d4e31c4ded,
Man On The Moon [V1],"Chip Tha Ripper - Ask About Me
(prod. Dez, & Ramibeatz) (feat. Kid Cudi)",Track 8 from Chip Tha Ripper's 2008 mixtape 'Can't Stop Me'.,3:46,Sep 2008,Feature,Yes,https://open.spotify.com/track/6x6RUewzDuzsNAoihhiDDX?si=105422390abf4662,https://krakenfiles.com/view/EN8XxvTbXu/file.html
Man On The Moon [V1],"Chip Tha Ripper - Can't Stop Me
(prod. Ramibeatz) (feat. Kid Cudi)","Track 2 from Chip Tha Ripper's 2008 mixtape 'Can't Stop Me'. When asked if there would be a remaster for this track, producer Ramibeatz replied with  ""I wish I still had the files.""",4:56,Sep 2008,Feature,Yes,https://open.spotify.com/track/57G0XdC9Ic3l8IYs4TqKRD?si=4aa0e4fa84f34bf5,https://krakenfiles.com/view/1UhQNhOYlN/file.html
Man On The Moon [V1],"Day N Nite (Crookers Remix)
(prod. Crookers)","Most popular remix to ""Day N Nite."" Released alongside ""Day N Nite"" on the Day N Nite - EP.'",4:41,Jan 2009,Remix,Yes,https://open.spotify.com/track/6ouTGbETM7ZdID1eMXZJde?si=35bab2102bf845dd,
Man On The Moon [V1],"Embrace The Martian (Round Table Knights) (Remix)
(prod. Round Table Knights)","Remix to ""Embrace The Martian."" Contains one extra line ""I've embraced what you can't be, do what you claim, do what you aim.""",5:32,Sep 2009,Remix,Yes,https://open.spotify.com/track/5dbAHQBZq9cYa5CDSUEqGJ?si=b6064552e4874e6d,
Man On The Moon [V1],"J. Period & Q-Tip - Buggin Out 2009 (Tribute Remix)
(prod. Q-Tip, & Ali Shaheed Muhammad) (feat. Kid Cudi, & Consequence)","Track 27 from J. Period & Q-Tip's The [Abstract] Best Vol 1. Kid Cudi, & Consequence rap over the instrumental ""Buggin Out"" by A Tribe Called Quest.",2:00,Feb 2009,Feature,Yes,https://open.spotify.com/track/3Fy98HPWSdgWcHxgi7zQHm?si=fc704ed3ee274ff8,https://pillowcase.su/f/43fa0d3624046fbce0df0e57a4fa8c53
Man On The Moon [V1],"K. Sparks - Take Em High
(prod. Pajozo) (feat. Kid Cudi)","Released on the album titled 'Definition.' The track was also released on November 15th, 2009, on the mixtape titled 'Area 51'.",3:28,Sep 2008,Feature,Yes,https://open.spotify.com/track/2qGfPPeJ0P6FC9D5r8ogb8?si=5a4bf212f9734ac0,https://krakenfiles.com/view/1FCRVGtZeW/file.html
Man On The Moon [V1],"The Alchemist - Therapy (2008 Version)
(prod. The Alchemist) (feat. Kid Cudi, Evidence, & Blu)","Track 5 from The Alchemist's 2008 EP 'The Cookbook.' Written by Alan Maman, Michael Perretta, Johnson Barnes, & Scott Mescudi. Recorded by The Alchemist. Mixed by The Alchemist. Mastered by Arnold Mischkulnig. Executive Produced by Neil Maman. Less production and no Talib Kweli verse. Samples the songs ""Watch Out For the Riders"" by D. J. Rogers, & ""Heaven Is Across The Street I"" by Frank vandenkloot. Samples Vocals from the song ""Latin Lingo"" by Cypress Hill.",3:07,Nov 2008,Feature,Yes,https://open.spotify.com/track/2kgun0IBsTzjFrPhdJGqpU?si=61ced2058670426f,
Man On The Moon [V1],"Kanye West - Welcome to Heartbreak
(prod. Kanye West, Plain Pat, & Jeff Bhasker) (feat. Kid Cudi)","Track 2 from Kanye West's 2008 album '808s & Heartbreak.' Also released as a single on May 18th, 2009. Features keyboards from Jeff Bhasker. Features bass from Miles Davis. Features cello from James J. Cooper, III and Jennie Lorenzo. Features viola from Davis Barnett, Alexandra Leem, and Emma Kummrow. Features violin from Igor Szwec, Luigi Mazzochi, Gregory Teperman, Olga Konopelsky, and Charles Parker. Written by Kanye West, Jeff Bhasker, S. Mescudi, and Patrick ""Plain Pat"" Reynolds. Mixed by Manny Marroquin, Christian Plata, and Erik Madrid. Mastered by Vlado Miller. Engineered by Andrew Dawson, Christian Mochizuki, Gaylord Holomalia, Chad Carlisle, Isha Erskine, Anthony Kilhoffer, Jeff Chestek, Montez Roberts, Rick Friedrich, John Stahl, and Ryan West. Samples the song ""Fiori Mistici"" by Michele Fedrigotti & Danilo Lorenzini.",4:23,Nov 2008,Feature,Yes,https://open.spotify.com/track/3F18I7LhWKxlf1PytSoTBH?si=b7b40da53ccf4adb,
Man On The Moon [V1],"Kanye West - Paranoid
(prod. Kanye West, Plain Pat, & Jeff Bhasker) (feat. Kid Cudi, & Mr. Hudson)","Track 6 from Kanye West's 2008 album '808s & Heartbreak.' Also released as a single on March 24th, 2009. Features keyboards from Jeff Bhasker. Written by Kanye West, Jeff Bhasker, D. Mills, Scott Mescudi, and Patrick ""Plain Pat"" Reynolds. Mixed by Manny Marroquin, Christian Plata, and Erik Madrid. Mastered by Vlado Miller. Engineered by Andrew Dawson, Christian Mochizuki, Gaylord Holomalia, Chad Carlisle, Isha Erskine, and Anthony Kilhoffer.",4:38,Nov 2008,Feature,Yes,https://open.spotify.com/track/0w2piYWj1F2bzUftzGJgK9?si=d144d5768ec74473,
Man On The Moon [V1],"Robin Thicke - Elevatas
(prod. Jeff Bhasker, & Robin Thicke) (feat. Kid Cudi)","Track 7 from Robin Thicke's 2009 album 'Sex Therapy: The Session.' Written by Robin Thicke, Scott Mescudi, & Jeff Bhasker. Recorded by Ari Raskin. Engineered by Bill Malina. Mixed by Rich Travali. Guitar by Joe Augello, & Adam Smirnoff. Executive produced by Jimmy Iovine, Andre Harrell, Pharrell Williams, & Rob Walker.",4:39,Jan 2009,Feature,Yes,https://open.spotify.com/track/3xQ7yd4bbEIb7zPhY57FKN?si=6187821f7dc84a2f,
Man On The Moon [V1],"3OH!3 - Don't Trust Me (Benny Blanco Remix)
(prod. Benny Blanco, Matt Squire, & 3OH!3) (feat. Kid Cudi)","Track 14 from 3OH!3's 2009 album 'Want (Deluxe Edition)'. Written by Sean Foreman, Nathaniel Motte, & Scott Mescudi. Co-Written by Benny Blanco. Mixed by Serban Ghenea. Mix Engineered by Travis Huff, & Eric Stenman. Mastered by Ted Jensen, & UE Nastasi.",3:16,Jan 2009,Feature,Yes,https://open.spotify.com/track/1T2vMZzXZ2mJGhshNYRwPF?si=f415ba4818024433,
Man On The Moon [V1],"Mr. Hudson - Everything Is Broken
(prod. The Bullitts, & Mr. Hudson) (feat. Kid Cudi)","Track 11 from Mr Hudson's 2009 album 'Straight No Chaser.' Written by Benjamin Mcildowie, Jeymes Samuel, & Scott Mescudi. Mix Engineered by Andy Savours. Vocal Engineered by Catherine Marks. Executive produced by Kanye West.",2:43 ,Jan 2009,Feature,Yes,https://open.spotify.com/track/5FUvtZYXMn8cr3EOe0M2tt?si=45cf96a930374c6c,
Man On The Moon [V1],"Jackie Chain - Rollin [V1]
(prod. Block Beattaz) (feat. Kid Cudi)",Released on The New Deal mixtape by DJ Benzi. Different structure.,,Dec 2008,Feature,No,https://pillowcase.su/f/860281fc41ba1e5c2f56d737aca35e75,
Man On The Moon [V1],"Jackie Chain - Rollin
(prod. Block Beattaz) (feat. Kid Cudi)","Single by Jackie Chain.
Written by Scott Mescudi. Contains a sample of ""Children"" by Robert Miles, & ""Pillz"" by Gucci Mane.",4:47,Jan 2009,Feature,Yes,https://open.spotify.com/track/186ZXoxIb200k9pNy4s0SO?si=5af2a3456f5949f7&nd=1,
Man On The Moon [V1],"The Black Eyed Peas - Boom Boom Style (Zuper Blahq MegaMix)
(prod. Zuper Blahq) (feat. Kid Cudi)","Track 3 from The Black Eyed Peas 2009 EP 'Invasion of Boom Boom Pow (Megamix).' Written by William Adams Jr., Allen Pineda, Stacy Ferguson, Jaime Gomez, & Scott Mescudi.",3:37,Jan 2009,Feature,Yes,https://open.spotify.com/track/1PqwgXYUERdn2nCViJUl5A?si=24d0b7b7cf2f4952,
Man On The Moon [V1],"Shakira - Did It Again (Remix)
(prod. The Neptunes) (feat. Kid Cudi)","Track 14 from Shakira's 2009 album 'She Wolf (Deluxe Version). Written by Shakira Mebarak, Scott Mescudi, & Pharrell Williams. Recorded by Gustavo Celis, & Andrew Coleman. Mixed by Gustavo Celis, & Dave Pensado. Assistant Engineers by Hart Gunther, PJ McGinnis, Michael Larsen, & Julian Vasquez. Background Vocals by Jon Secada. Mastered by Stephen Marcussen.",3:47,Jan 2009,Feature,Yes,https://open.spotify.com/track/6AoGe1Zp6WNpPTvNC6Ehca?si=7d38b65239b747f6,
Man On The Moon [V1],"Kevin Rudolf - Welcome to The World
(prod. by Kevin Rudolph, & Ill Factor)
(feat. Kid Cudi)","Kevin Rudolf's 2009 Welcome to The World Single. Written by Kevin Rudolph, Scott Mescudi, Jacob Kasher, William Roberts, & Ivan Corraliza. Recorded by Joshua Berkman. Mixed by Serban Ghenea. Mixing Assistant by Tim Roberts. Pro Tools Engineer by John Hanes. Additional Arrangement by Joe Zook. Mastered by Chris Gehringer. ",3:05,Mar 2009,Feature,No,https://krakenfiles.com/view/YMhMlsvO29/file.html,
Man On The Moon [V1],"Sharam - She Came Along
(prod. Sharam) (feat. Kid Cudi)","Track 2 from Sharam's 2009 album 'Get Wild.' Written by Fred B. Burch, Sharam Tayebi, Scott Mescudi, & Mel Tillis. Mixed by Matt Nordstrom. Engineered by Matt Nordstrom. Keyboards by Sharam. Additional Instruments by Sharam. Contains elements and a sample of ""Strange"" by Patsy Cline.",5:34,May 2009,Feature,Yes,https://open.spotify.com/track/4ci4waIwdWn6X54Ez7Yjja?si=12dde0c98e264157,
Man On The Moon [V1],"Switchin Lanes
(prod. Emile)",Track 1 from Midnight Club Los Angeles - The South Central - EP. Written by Scott Mescudi.,3:34,Mar 2009,Single,No,https://krakenfiles.com/view/2rQ9HON6mj/file.html,
Man On The Moon [V1],"Make Her Say (Edited)
(prod. Kanye West) (feat. Kanye West, & Common)","Single from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi, Kanye West, Lonnie Lynn, Stefani Germanotta, Nadir Khayat, Faheem Najm, Nathan Walker, Breyon Prescott, Christopher Henderson, Brandon Melancon, James T. Brown, John Conte, Jr., Terius Nash, Christopher Stewart, & Jamie Foxx. Recorded by Andrew Dawson, & Anthony Kilhoffer. Assisted by Christian Mochizuki, & Taylor Rohrbacher. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Keyboards by Jeff Bhasker. Mastered by Vlado Meller. Contains a sample of the song ""Poker Face (Live at The Cherrytree House, Piano & Voice Version)"" by Lady Gaga, ""Let's Ride"" by Q-Tip, & ""Humpty Dump"" by The Vibrettes. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",3:57,Jun 2009,Single,Yes,https://krakenfiles.com/view/piQcEYrNeK/file.html,
Man On The Moon [V1],"Make Her Say (Explicit)
(prod. Kanye West) (feat. Kanye West, & Common)","Single from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi, Kanye West, Lonnie Lynn, Stefani Germanotta, Nadir Khayat, Faheem Najm, Nathan Walker, Breyon Prescott, Christopher Henderson, Brandon Melancon, James T. Brown, John Conte, Jr., Terius Nash, Christopher Stewart, & Jamie Foxx. Recorded by Andrew Dawson, & Anthony Kilhoffer. Assisted by Christian Mochizuki, & Taylor Rohrbacher. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Keyboards by Jeff Bhasker. Mastered by Vlado Meller. Contains a sample of the song ""Poker Face (Live at The Cherrytree House, Piano & Voice Version)"" by Lady Gaga, ""Let's Ride"" by Q-Tip, & ""Humpty Dump"" by The Vibrettes. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",3:57,Jun 2009,Single,No,https://open.spotify.com/track/7yq95shQUyiyuTBvlbZmHj?si=30c08c25f669401c,https://krakenfiles.com/view/YWAoN4ydBZ/file.html
Man On The Moon [V1],"Make Her Say (Instrumental)
(prod. Kanye West)","Single from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi, Kanye West, Lonnie Lynn, Stefani Germanotta, Nadir Khayat, Faheem Najm, Nathan Walker, Breyon Prescott, Christopher Henderson, Brandon Melancon, James T. Brown, John Conte, Jr., Terius Nash, Christopher Stewart, & Jamie Foxx. Recorded by Andrew Dawson, & Anthony Kilhoffer. Assisted by Christian Mochizuki, & Taylor Rohrbacher. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Keyboards by Jeff Bhasker. Mastered by Vlado Meller. Contains a sample of the song ""Poker Face (Live at The Cherrytree House, Piano & Voice Version)"" by Lady Gaga, ""Let's Ride"" by Q-Tip, & ""Humpty Dump"" by The Vibrettes. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",3:57,Jun 2009,Single,No,https://krakenfiles.com/view/rVLHTXfkQS/file.html,
Man On The Moon [V1],"The Alchemist - Therapy
(prod. The Alchemist) (feat. Kid Cudi, Evidence, Blu, & Talib Kweli)","Track 6 from The Alchemist's 2009 album Chemical Warfare. Written by Alan Maman, Michael Perretta, Johnson Barnes, Talib Kweli Greene, & Scott Mescudi. Recorded by The Alchemist. Mixed by The Alchemist. Mastered by Arnold Mischkulnig. Executive produced by Neil Maman. Talib Kweli now has a verse. Samples the songs ""Watch Out For the Riders"" by D. J. Rogers, & ""Heaven Is Across The Street I"" by Frank vandenkloot. Samples Vocals from the song ""Latin Lingo"" by Cypress Hill.",5:22,Jul 2009,Feature,Yes,https://open.spotify.com/track/2AciWT6Fik9SbcWhmGeKJo?si=190a2f7cfd484f80,
,"Man On The Moon: The End Of Day
(Man On The Moon)","(07/23/2009) (Demo tapes start leaking online and Kid Cudi decides to redo most of the album)
(9/15/2009) ('Man On The Moon: The End Of Day' officially releases)
(2009)",,,"""Man on the Moon: The End of Day"" is the debut studio album by Kid Cudi. It was released on September 15, 2009, through Dream On, GOOD Music, and Universal Motown Records. Narrated by fellow American rapper Common, it follows the release of his first full-length project 'A Kid Named Cudi' (2008), and is the first installment of the Man on the Moon trilogy. Production was handled by several high-profile record producers, including Kanye West, Emile Haynie, Plain Pat, and Jeff Bhasker, as well as contributions from Dot da Genius, Free School and The Kickdrums, among others.",,,
Man On The Moon,"In My Dreams (Cudder Anthem)
(prod. Emile Haynie)","Track 1 from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi, & Emile Haynie. Recorded by Emile Haynie. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Strings Arranged by Larry Gold. Strings Conducted by The Larry Gold Orchestra. Mastered by Vlado Meller. Contains a sample of the song ""Biceps"" by Garnegy & Maties. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",3:19,Sep 2009,Album Track,Yes,https://open.spotify.com/track/3AekRdo1dDMfszL3jAoViv?si=a563391991684d58,
Man On The Moon,"Soundtrack 2 My Life
(prod. Emile Haynie)","Track 2 from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi. Recorded by Emile Haynie. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Guitar by Morgan Whirledge. Strings Arranged by Larry Gold. Strings Conducted by The Larry Gold Orchestra. Mastered by Vlado Meller. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",3:56,Sep 2009,Album Track,Yes,https://open.spotify.com/track/0rFpcfF0YfvFUYsl99Bw9d?si=04f2ad8f24514421,
Man On The Moon,"Simple As...
(prod. Plain Pat)","Track 3 from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi, & Patrick Reynolds. Recorded by Anthony Kilhoffer. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Strings Arranged by Larry Gold. Strings Conducted by The Larry Gold Orchestra. Mastered by Vlado Meller. Contains a sample from the song ""ABC (Auto Industry)"" by Orchestral Manoeuvres in the Dark. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",2:31,Sep 2009,Album Track,Yes,https://open.spotify.com/track/0RXspLL7GwiGm9KIDdT0ma?si=20b900bcdd0e4100,
Man On The Moon,"Solo Dolo (Nightmare)
(prod. Emile Haynie)","Track 4 from Kid Cudi's 2009 album MOTM I: The End Of Day. Written by Scott Mescudi, Thomas Brenneck, Dave Guy, & Leon Michels. Recorded by Emile Haynie. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Strings Arranged by Larry Gold. Strings Conducted by The Larry Gold Orchestra. Mastered by Vlado Meller. Contains a sample of the song ""The Traitor"" by The Menahan Street Band. Executive produced by Kanye West. Co-executive produced by Kid Cudi, Plain Pat, Emile Haynie, & Sylvia Rhone.",4:26,Sep 2009,Album Track,Yes,https://open.spotify.com/track/6xeTNdPnP5imNgDzFMfVfD?si=57b1f6b935394347,
