Era,"Name
Check out the Tracker Website! ","Notes
(Join the Discord: CudiZone)",File Date,Full Length,BPM,Available Length,Quality,Link(s)
Entergalactic [V1],"Kanye West - XXX
(feat. Kid Cudi, XXXTENTACION, Ty Dolla $ign, Ant Clemons & Francis and the Lights) (prod. Ronny J & MIKE DEAN)
(Everything We Need, Jeet, Leave It In, The Storm, We Begin, We Begin After the Storm Inside)","Stems for the 10.04.18 version of XXX aka The Storm, features ant, ty$, xxxtentacion and cudi.",3:41,,,Full,Lossless,https://ulozto.net/tamhle/kXbmb6I5zALB/name/Uploaded-20-8-2022-at-1-57-26#!ZGN1AwR2AJD3ZGLlZwAvZGEyZwN5A0WZDKcdLJSKLxARDzEzAj==
Entergalactic [V1],"Kanye West  - Sky City
(feat. Ty Dolla $ign, Ant Clemons, Desiigner, 070 Shake & Kid Cudi) (prod. MIKE DEAN)
(City in the Sky, Ooh Child)",Stems for the first 10.04.18 version of sky city.,4:18,,,Full,Lossless,https://ulozto.net/tamhle/cM1Gaq4V5y2d/name/Uploaded-20-8-2022-at-2-26-47#!ZGtjMQR2AQNjBGD4AQpjZQZjAGL1ZzDlrGIwASWAMxSGFwIyMD==
Entergalactic [V1],"Kanye West - Sky City (Stems)
(feat. Ty Dolla $ign, Ant Clemons, Desiigner, 070 Shake & Kid Cudi) (prod. MIKE DEAN)
(City in the Sky, Ooh Child)",Stems for another 10.04.18 version of sky city.,3:47,,,Full,Lossless,https://ulozto.net/file/ZPupZOejAUQK/18-10-04-sky-city-alternate-79-zip#!ZGplAQR2AwuyBGMvZJWzAwxjBGIzMxgEIHSnA2Z0MTWMH2L2Zj==
Entergalactic [V1],"Kanye West - Sky City (Open Verse)
(feat. Ty Dolla $ign, Ant Clemons, Desiigner, 070 Shake & Kid Cudi) (prod. James Royo & MIKE DEAN)
(City in the Sky, Ooh Child)",Open verse for the 09.29.18 version of Sky City,,,,Full,CD Quality,https://krakenfiles.com/view/nzAdGEgRfm/file.html
Entergalactic [V1],"Kanye West - Alien [V?]
(ref. Kid Cudi)",Included in the alien mega bundle GB. 2 New cudi vocals on both references.,,,,Confirmed,Not Available,
Entergalactic [V1],"Kanye West - Alien [V?]
(ref. Kid Cudi)",Included in the alien mega bundle GB. 2 New cudi vocals on both references.,,,,Confirmed,Not Available,
Live Stems,,,,,,,,
Entergalactic [V1],"Kanye West - Ghost Town (Live at SNL)
(feat. Kid Cudi & 070 Shake)","Leaked stems for the SNL performance of ""Ghost Town."" Needs Video.",,,,Full,Lossless,https://krakenfiles.com/view/mj9v1OpQ3V/file.html
Instrumentals,,,,,,,,
Entergalactic [V1],"Kanye West - XXX
(feat. Kid Cudi, XXXTENTACION, Ty Dolla $ign, Ant Clemons & Francis and the Lights) (prod. Ronny J & MIKE DEAN)
(Everything We Need, Jeet, Leave It In, The Storm, We Begin, We Begin After the Storm Inside)",Instrumental for the 10.04.18 version of the storm,3:02,,,Full,CD Quality,https://krakenfiles.com/view/mq1yE6JwB6/file.html
,Man On The Moon III: The Chosen,,,,,,,
Sessions,,,,,,,,
Man On The Moon III,"Solo Dolo Pt.4 
(ft. Playboi Carti)","Leaked Sessions, however, the password protected is ""BellyFat69!"" . Zip surfaced on September 28th, 2023 with the Password being leaked on April 15th, 2024","Dec. 18, 2020",,,Confirmed,Not Available,https://krakenfiles.com/view/TsiXbMe7CV/file.html
Man On The Moon III,"The Adventures of Moon Man and Slim Shady Freestyle (Demo) + Ableton Session
(feat. Eminem)
(Trkin)",Ableton sessions of the demo for The Adventures of Moon Man and Slim Shady being sold.,,,,Snippet ,CD Quality,https://krakenfiles.com/view/RYnx5z61hD/file.html
Man On The Moon III,"Juice Wrld - All Life Long (Session)
(ft. Kid Cudi)",,,,,Full,Lossless,https://krakenfiles.com/view/5aaobpl0Eh/file.html
Instrumentals,,,,,,,,
Man On The Moon III,Juice Wrld - All Life Long (Instrumental),"OG FILENAME: ALL LIFE LONG INSTR
Instrumental for All Life Long.",,,,Full,Lossless,https://krakenfiles.com/view/undhTnsbTE/file.html
