Era,Name,Notes,Copy Length,File Date,Available Length,Quality,Link(s)
808s & Heartbreak,808s & Heartbreak,Early version of 808s & Heartbreak with differences in some track titles and the overall sound and mix of certain songs.,44:26,2008,Full,CD Quality,https://pillows.su/f/d85d5a81f6f076a56e828e9f81bf034b
,"Good Ass Job
(Winter Spring Summer Fall)","(11/24/2008) (808s & Heartbreak officially releases)
(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)",,,"As far back as 2003, Kanye had planned a four-album series revolving around going to college, with Good Ass Job concluding the series. The death of his mother derailed this plan, with his fourth album becoming the somber 808s & Heartbreak. People still expected Good Ass Job to release, though, as Kanye's next album as late as early 2010. When the wake of the 2009 VMAs incident happened, it would cause Good Ass Job not to release. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. The cover included for this era is the original cover for the single ""POWER.""",,
Good Ass Job,Good Ass Job,"OG Filename: Good Ass Job beats for Kanye
Instrumental copy zip for Good Ass Job that was lined up for the album. Has files ranging from 2008-2010, and was most likely finished on April 19th, 2010, as that's the most recent file. Titled ""Good Ass Job beats for Kanye"" and it's the closest thing to an official copy of the album + one of the only folders with ""Good Ass Job"" in the name. Around February of 2009 they started working on ""Good Ass Job"" and brought some work over from 2008, with development really kicking in around April 2009. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. ""Runaway"", ""So Appalled"", ""Hell Of A Life"", and some others were made very early on. ""Blame Game"", ""See Me Now"" and ""Lost In The World"" were some of the last songs made/finished.",50:24,2010,Full,Lossless,https://pillows.su/f/1b4a90cfed943ff4ab6214866f56fe11
,"My Beautiful Dark Twisted Fantasy
(My Dark Twisted Fantasy)","(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)
(07/28/2010) (Kanye announces the album title is no longer Good Ass Job)
(11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)",,,"Conceived during West's self-imposed exile following the 2009 VMA incident and further influenced by his deteriorating relationship with model Amber Rose, My Beautiful Dark Twisted Fantasy is a genre-bending masterpiece that explores the darker sides of celebrity, fame, and love. With grand production that sounds like the natural evolution of all the albums that came before it, this is seen by many as Kanye's best album, even earning an extremely rare 10/10 rating from Pitchfork.",,
My Beautiful Dark Twisted Fantasy,Record4Hype,"Earlier version of Record4Hype, owned by @dp16 on Twitter. Seemingly untagged. Has shorter versions of ""Power"", ""Runaway"", ""Monster"", ""So Appalled"", and ""Lost In The World"". Has a version of ""The Joy"" with a CyHi verse.",,2010,Confirmed,Not Available,
My Beautiful Dark Twisted Fantasy,Record4Hype,"OG Filename: record4hype
OG Password: wewantmoney
Full zip file leaked in 2010, but was password protected for 10 years. After a number of posts by Maker reinvigorated interest, an anonymous 4chan user found the master password to be ""wewantmoney"" in 6 hours. The day after the zip was cracked, multiple articles came out about it, some with interviews from people involved.",1:09:12,"Jul 7, 2010",Tagged,High Quality,https://pillows.su/f/f9c2b22432b2daee3517b9d35c6643bd
,Thank God For Drugs,"(09/14/2012) (Cruel Summer officially releases)
(05/16/2013) (Kanye changes the album title to Yeezus)",,,"Before Kanye chose the name Yeezus for his sixth solo album, the name was Thank God For Drugs. Recording started in 2012 and accelerated in early 2013, with Kanye and his producers producing material very quickly. The tracklist for the album boasted 20 songs, with around 3.5 hours of rough material created for the album. After changing the album's name to Yeezus, Kanye recruited Rick Rubin to cut down this material and take the music in a minimal direction.",,
Thank God For Drugs,Thank God For Drugs,"May 2012 copy of the album, includes ""Guilt Trip"" as track 18.",,May 2012,Rumored,Not Available,
,"Yeezus
(Nigger Cock)","(05/16/2013) (Kanye changes the album title to Yeezus)
(05/20/2013) (Yeezus pre-orders are taken down) (Era starts here)
(06/18/2013) (Yeezus officially releases)",,,"Yeezus marked a complete reverse from the bombastic production that Kanye accomplished on My Beautiful Dark Twisted Fantasy. He swapped lush soul and anthemic hooks for splintering electro, acid house, and industrial force while packaging some of his most lewd and heart-crushing tales. Initially envisioned as Thank God For Drugs, a much larger project, Kanye would play the album for Rick Rubin, he later recalled listening to roughly 3-hours of unfinished material that seemed to need months worth of work - despite the release date being a month away. Kanye enlisted Rubin to refine and complete the project, finishing a majority of the songs just two days before release.",,
Yeezus,Yeezus,"OG Filename: yeezus001
March copy of the album, containing 15 tracks. 12 out of 15 tracks are currently leaked.",,Mar 2013,Partial,CD Quality,https://pixeldrain.com/u/wdaqyU3k
Yeezus,Yeezus,"An early version of the album, containing 15 tracks. It is unknown when exactly was this copy complied, but based of the fact that the latest dated song on the album is May 17, it was no earlier than that.",1:00:06,May 2013,OG File,CD Quality,https://pillows.su/f/ec218fd4aefd25fdc46a923f08cf6fda
,"Yeezus 2
(Lost Yeezus, New Yeezus)","(06/18/2013) (Yeezus officially releases)
(07/16/2014) (Kanye begins hosting recording sessions while staying in Mexico)",,,"After Rick Rubin and Kanye West cut down Yeezus to the final ten tracks, Kanye still saw potential in much of the cut material. Thus, shortly after Yeezus was released, an EP of leftovers titled Lost Yeezus was already being teased. The project then evolved into a full-fledged album of mostly new material, with Yeezus 2 acting as a codename before they could choose the last name. This project would develop into So Help Me God as the songs evolved.",,
Yeezus 2,Yeezus 2,"Unordered copy of the album from November 11th, 2013. Earliest known copy of ""LP7"" as a whole.",30:00,"Nov 11, 2013",OG File,Lossless,https://pillows.su/f/cadb91834c67008bd8214f7dfc39f80d
Yeezus 2,Yeezus 2,An early version of Yeezus 2 with more songs that would either appear on The Life Of Pablo or would become songs where Kanye is a feature. Includes a track that has Travis Scott.,36:35,"Jan 12, 2014",OG File,Lossless,https://pillows.su/f/86dadef922b4b6c8d4cafa8407ab1b66
Yeezus 2,Yeezus 2,"Copy of Yeezus 2 that is said to be from April 2014 and includes an early version of The Weeknd song ""King Of The Fall"".",,Apr 2014,Rumored,Not Available,
Yeezus 2,YPM,"A Spotify playlist created by CyHi the Prynce containing Yeezus 2 songs, titled ""ypm"". Track names are abbreviated. The acronym was said by REDACTED to be ""Your Prayers Mattered"", but there is no proof of this; it's more possible it was something like ""Yeezus Paul McCartney"". Leaked on July 22nd, 2022 from a $250 groupbuy.",18:38,2014,OG File,CD Quality,https://pillows.su/f/4b2bd0e7170e1f79d1604eda21110505
,SWISH,"(06/28/2015) (Kanye performs at Glastonbury)
(12/31/2015) (Kanye drops ""Facts"" and the rollout begins)",,,"After changing the name of his 7th solo album from So Help Me God to SWISH, Kanye began to develop all new songs throughout mid-late 2015 meant for the album, with most of them eventually making it onto the final release of The Life Of Pablo. Kanye also continued to work on many So Help Me God and Yeezus 2 tracks, but by the end of 2015 and the start of 2016, Kanye had dropped most of these tracks from the tracklist for SWISH, which began to resemble the final TLOP tracklist strongly.",,
SWISH,SWISH,A copy of SWISH from November 2015 is said to exist.,,Nov 2015,Rumored,Not Available,
,"The Life Of Pablo
(So Help Me God, SWISH, WAVES, ULTRA, The White Picket Fence)","(12/31/2015) (Kanye drops ""Facts"" and the rollout begins)
(02/14/2016) (The Life Of Pablo officially releases)
(06/14/2016) (The Life Of Pablo receives its last update)",,,"The Life Of Pablo is Kanye's 7th studio album, with constant name changes before release. Sporadic and scatter-shot, the album is one of a kind. The title refers to three people: artist Pablo Picasso, drug dealer Pablo Escobar, and Paul the Apostle, whose name is Pablo in Spanish. The album was initially released only on TIDAL, but later made its way to other streaming services with some updates. Kanye finally finished it by adding the track ""Saint Pablo.""",,
The Life Of Pablo,The Life Of Pablo [DJDS Version],"OG Filename: TLOP - DJDS Version
DJDS copy of The Life Of Pablo. Track order is:

1. Ultralight Beams
2. Father Stretch
3. Famous / Nina Chop
4. Highlights Intro
5. Highlights (DJDS FULL SONG)
6. Highlights (DJDS - reference song)
7. Freestyle 4
8. FML
9. 30 Hours
10. Facts
11. Fade
12. I Feel Like That
13. Spread My Wings
14. We Deserve",59:25,Feb 2016,OG File,CD Quality,https://pillows.su/f/0e7a84633f82775be22d1e5643917d81
The Life Of Pablo,The Life Of Pablo [DJDS Extended Version],"OG Filename: TLOP - DJDS Extended Version
DJDS copy of The Life Of Pablo with extended versions of songs. Features a version of ""Father Stretch My Hands"" that is 1 hour long.",1:21:09,Feb 2016,OG File,CD Quality,https://pillows.su/f/5c1a4e0b7a2e8821a362ecfefd8f75c6
The Life Of Pablo,The Life Of Pablo [Release V1],The original release version of The Life Of Pablo.,58:30,"Feb 14, 2016",Full,CD Quality,https://pillows.su/f/2babb559fd55151dd9de1b31e16a83fa
The Life Of Pablo,The Life Of Pablo [Release V1.1],"An early release version of The Life Of Pablo. Has many small mixing changes throughout, and notably replaces the original ""She be Puerto Rican day parade wavin'"" lyric on ""Famous"" for the ""She in school to be a real estate agent"" line heard in the final release.",58:31,"Mar 13, 2016",Full,CD Quality,https://pillows.su/f/c22356639ad558dd39a96c904783e2c4
The Life Of Pablo,The Life Of Pablo [Release V1.2],"An early release version of The Life Of Pablo. Features an updated version of ""Wolves"" and seperates ""Franks Track"" into it's own standalone track, among other small changes.",59:56,"Mar 16, 2016",Full,CD Quality,https://pillows.su/f/d9a1f236bc508a56723764e460a2bbb7
The Life Of Pablo,The Life Of Pablo [Release V2],"An early release version of The Life Of Pablo. There are many changes among at least 12 tracks whether that be features, length, structure etc.",59:55,"Mar 30, 2016",Full,CD Quality,https://pillows.su/f/46e599d7b9557ad13c1ea0ee3e0e5a00
The Life Of Pablo,The Life Of Pablo [Release V2.1],"An early release version of The Life Of Pablo. This version has only a small change to ""30 Hours"", fixing the outro vocals which had been rendered off-time by the previous update.",59:55,"Apr 2, 2016",Full,CD Quality,https://pillows.su/f/12b528c6557bb2029250b45491e9a602
The Life Of Pablo,The Life Of Pablo [Release V2.2],"The ""finished"" release version of The Life Of Pablo. There are many changes to tracks compared to the original whether that be features, length, structure etc, alongside the addition of ""Saint Pablo"".",1:06:01,"Jun 14, 2016",Full,CD Quality,https://pillows.su/f/20df9b7425bb418af19aa8a23556f11d
,"DAYTONA
(Album by Pusha T)
(exec. prod. Kanye West)
(King Push, Blowbama, Blobama)","(12/18/2015) (King Push – Darkest Before Dawn: The Prelude officially releases)
(05/25/2018) (DAYTONA officially releases)",,,"DAYTONA is the third studio album by American rapper Pusha T. It was released on May 25, 2018, by G.O.O.D. Music and Def Jam Recordings. DAYTONA was announced by Kanye West via Twitter on April 19, 2018, alongside the album's release date. It was one of the Wyoming projects worked on during 2018 by Kanye.",,
DAYTONA,Blowbama,"OG Filename: Blowbama
Early copy of ""Blowbama"". Has 11 tracks. Leaked on May 16th, 2024, as part of a groupbuy.",33:39,"Jul 17, 2017",OG File,CD Quality,https://pillows.su/f/5ca8815e7763518779b7c144b2d76ca3
,"K.T.S.E.
(Album by Teyana Taylor)
(exec. prod. Kanye West)","(11/04/2014) (Teyana Taylor's debut album VII officially releases)
(03/??/2018) (Teyana and Kanye start collaborating in Wyoming)
(06/23/2018) (K.T.S.E. officially releases)",,,"In an interview with Hot 97 in March of 2018, Taylor revealed that she had been working on music with Kanye in Wyoming, referring to him as ""Polo 'Ye"" - alluding to him returning to his old ""Polo-shirt roots"" (i.e. TCD-era production). The album was eventually put on the tail end of the Wyoming releases, releasing June 22nd, 2018. Kanye was notably still finishing the album on the plane ride to the albums LP, as confirmed in a Tweet from Kim Kardashian. 			",,
K.T.S.E.,"K.T.S.E.
(exec. prod. Kanye West)","OG Filename: KTSE 6.22.18 24 BIT
Copy of K.T.S.E. Made one day before release and with the release mixes. Has 9 tracks that are ordered slightly differently from release (the extra track is a solo version of ""We Got Love""). Leaked on June 9th, 2024,",33:39,"Jun 22, 2018",OG File,Lossless,https://pillows.su/f/395d927262b528ccb12e779c0c5bb4f1
,Yandhi [V1],"(06/01/2018) (ye officially releases)
(11/13/2018) (Kanye delays Yandhi again after performing at Camp Flog Gnaw)",,,"Upon hearing the beat to ""Hurricane"" during sessions for Good Ass Job (2018), Kanye became inspired to create a whole new album titled Yandhi. With the album's concept in his mind, Kanye and his producers began frenzied work as they developed multiple new songs throughout September 2018, aiming for a September 29 release date. As they did not meet this deadline, Kanye went to Uganda to conduct further work on the album, but delayed it indefinitely on November 13.",,
Yandhi [V1],Yandhi,"OG Filename: REFS
Unordered copy of the album from October 1st, 2018. Has 10 tracks.",30:26,"Oct 1, 2018",OG File,CD Quality,https://pillows.su/f/8b3af8d57d90f2d4267222f2ac2727bf
Yandhi [V1],Yandhi,"OG Filename: Ref Mixes 10.5.18
Copy of placeholder versions and mixes of songs. Only has eight ordered tracks, and includes a ""POSSIBLE"" folder for other songs.",,"Oct 5, 2018",Confirmed,Not Available,https://ibb.co/5Xzb3xsg
,Yandhi [V2],"(11/13/2018) (Kanye delays Yandhi again after performing at Camp Flog Gnaw)
(04/21/2019) (Kanye performs at Coachella with Sunday Service Choir)",,,"After Kanye delayed Yandhi indefinitely, he began working with record producer Timbaland to create ""more healing music"" for the album. Shortly after the announcement of the delay, Kanye underwent a sudden and dramatic conversion towards born-again evangelical Christianity, debuting the Sunday Service Choir at the start of 2019. The creation of the choir coincided with the songs on Yandhi taking a new Christian lyrical focus. Eventually, the album would morph into the thoroughly Christian JESUS IS KING by mid-2019.",,
Yandhi [V2],Yandhi,"OG Filename: YE - Previous Current Refs
Unordered copy of the album from December 16th, 2018. Has 10 tracks and Drew Falty's phone number.",33:56,"Dec 16, 2018",OG File,CD Quality,https://pillows.su/f/a2c9ccddf1983daadd33a37118792c51
,"JESUS IS KING
(Christ Jesus, SOUL CHILDREN)","(04/21/2019) (Kanye performs at Coachella with Sunday Service Choir)
(10/25/2019) (JESUS IS KING officially releases)
(10/31/2019) (JESUS IS KING receives its last update)",,,"Following a revelation on Easter 2019 at Coachella, Kanye scrapped Yandhi and reworked it to focus on God and Christianity. This album ended up being JESUS IS KING. After a private listening party in Detroit, Kim Kardashian announced that the album would release on Sunday, September 29, following listening parties in Chicago and New York. It didn't, and there were no updates for almost a month. On October 20, 2019, Kanye suddenly reappeared on Twitter to announce the final release date.",,
JESUS IS KING,"SOUL CHILDREN
(with E.VAX)","OG Filename: SOUL CHILDREN (ye x evax)
Copy for a collaborative album between E.VAX and Kanye.",42:15,,OG File,CD Quality,https://workupload.com/file/HLGpX7EykvD
JESUS IS KING,"SOUL CHILDREN
(with E.VAX)","Copy with E.VAX reworks of ""lifeoftheloop"", ""Wake The Dead"", and several unheard tracks, said to exist by crave.",,,Rumored,Not Available,
JESUS IS KING,JESUS IS KING,"OG Filename: Track List 8.30
This version of the album is the exact copy posted to Kim Kardashian's Twitter, with an extra outro by Labrinth at the end. Leaked as part of the JESUS IS KING bundle groupbuy.",32:48,"Aug 30, 2019",OG File,CD Quality,https://pillows.su/f/1932561be740a97b65a0207e7aae8422
JESUS IS KING,JESUS IS KING [Alien Reference Tracks],"OG Filename: Writer Refs - Alien
Playlist for every JESUS IS KING reference track version of ""Alien"". Seen in a screenshot of John Monopoly's playlists.",,,Confirmed,Not Available,https://pillows.su/f/7f473ad1bc980832f80cd3b1f113326a
JESUS IS KING,JESUS IS KING [Everything We Need Reference Tracks],"OG Filename: Writer Refs - Everything We Need
Playlist for every JESUS IS KING reference track version of ""Everything We Need"". Seen in a screenshot of John Monopoly's playlists.",,,Confirmed,Not Available,https://pillows.su/f/7f473ad1bc980832f80cd3b1f113326a
JESUS IS KING,JESUS IS KING [God Is Reference Tracks],"OG Filename: Writer Refs - God Is
Playlist for every ""God Is"" reference track. Seen in a screenshot of John Monopoly's playlists.",,,Confirmed,Not Available,https://pillows.su/f/7f473ad1bc980832f80cd3b1f113326a
JESUS IS KING,JESUS IS KING [Hands On Reference Tracks],"OG Filename: Writer Refs - Hands On
Playlist for every ""Hands On"" reference track. Seen in a screenshot of John Monopoly's playlists.",,,Confirmed,Not Available,https://pillows.su/f/7f473ad1bc980832f80cd3b1f113326a
JESUS IS KING,JESUS IS KING [Selah Reference Tracks],"OG Filename: Writer Refs - Selah
Playlist for every JESUS IS KING reference track version of ""Selah"". Seen in a screenshot of John Monopoly's playlists.",,,Confirmed,Not Available,https://pillows.su/f/7f473ad1bc980832f80cd3b1f113326a
JESUS IS KING,JESUS IS KING [Wake The Dead Reference Tracks],"OG Filename: Writer Refs - Wake The Dead
Playlist for every ""Wake The Dead"" reference track. Seen in a screenshot of John Monopoly's playlists.",,,Confirmed,Not Available,https://pillows.su/f/7f473ad1bc980832f80cd3b1f113326a
JESUS IS KING,JESUS IS KING [Teenage Engineering Stem Player],"Copy of an earlier, unmastered version of JESUS IS KING from the Teenage Engineering Stem Player. Likely dated on or around October 23rd, 2019. Tracklist slightly differs from release. Full copy leaked November 7th, 2025, after the EAGLES 1 LISTENING EXPERIENCE in the Temu Tracker Discord server and a week of edging from ErickHatesBMC.",27:01,"Oct 23, 2019?",Full,Lossless,https://pixeldrain.com/u/gqQuKzjv
JESUS IS KING,JESUS IS KING,"OG Filename: JESUS IS KING
iTunes copy seen on Kanye's computer during the Zane Lowe Beats 1 interview. Compiled on either October 23rd or 24th.",,,Confirmed,Not Available,https://ibb.co/GvkSM45H
JESUS IS KING,JESUS IS KING [Album Masters],"Zip file containing JESUS IS KING masters leaked by Waterfalls. Has some alternate mixes, OG files, and some different versions of songs versions (""Everything We Need"", ""Hands On"", etc) in 24 bit quality. Files range from October 23rd-October 28th, with most being dated October 24th.",,"Oct 28, 2019",OG File,Lossless,https://pillows.su/f/05f066edddf3a108712653aa1d6363ec
,"God's Country
(JESUS IS LORD, JESUS IS LORD: END OF NIGHT, No Country For Old Men, Our Beautiful Amazing Reality, Our Beautiful Light Clear Reality, Palm Springs, Palm Sunday, The Light)","(10/25/2019) (JESUS IS KING officially releases)
(07/18/2020) (Kanye announces his new album titled DONDA)",,,"Shortly after the release of JESUS IS KING, Kanye (almost immediately) started working on new material. Songs from this era revolve around his faith while also consisting of dark themes (such as prison) and lyrics about current social issues. Initially announced as God's Country on May 20th, 2020 by Arthur Jafa, tracks from this album would go on to be developed further in the DONDA [V1] era, following Kanye getting new inspiration to make an album dedicated to his mother.",,
God's Country,JESUS IS LORD,"OG Filename: JIL - Free
Presumably the initial copy of freestyles done in November. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,Palm Springs,"OG Filename: - Palm Springs - Current Refs
Super early copy of the album, titled Palm Springs. Dated around November 13th, 2019.",31:25,"Nov 13, 2019",OG File,CD Quality,https://pillows.su/f/d16315e3a3baa450eb929838a2400e3f
God's Country,"JESUS IS LORD [CyHi Reference Tracks]
(ref. CyHi)","OG Filename: JIL - CyHi
Copy of CyHi's reference tracks. Presumably from November when CyHi first started doing references for the Boogz freestyles. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD [Budgie Edits],"OG Filename: JIL - Budgie Edits
Copy of freestyles that were arranged, cut-down, or otherwise edited by Budgie Beats. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: 191218 Freestyles For Opera
Presumably a copy of freestyles meant to played at the Nebuchadnezzar Opera, but it's dated a month after it occurred. Seen in a leaked selling list.",,"Dec 18, 2019",Confirmed,Not Available,
God's Country,"JESUS IS LORD
(prod. FROMDABUNKA)","OG Filename: JIL - Bunker
Copy of songs produced by FROMDABUNKA. Likely from Janurary 2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(prod. FROMDABUNKA)","OG Filename: JIL - Bunker Picks
Cut-down version of the FROMDABUNKA copy. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Exp Vocals
Album copy seen in a leaked selling list. 'Exp Vocals' likely refers to 'Export Vocals'. but it's unknown what exactly that means in the context of the copy.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Fede
Version of the album from January 16th, 2020. Unordered, but contains sessions for each song. The ""Fede"" in the filename refers to this copy being compiled to be sent to Federico Vindver.",,"Jan 16, 2020",OG File,Lossless,https://pillows.su/f/3e60eed5c0367aad5271ac1fefd03f2e
God's Country,JESUS IS LORD,"OG Filename: -- Ye or Nay
Copy of songs meant to be played to Ye so he could decide whether or not he liked them. Unknown if they were played to get feedback on specific alternate versions, or for the songs entirely. Seen in a leaked selling list.	",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: NEW CABO
Copy of songs recorded in Cabo, Mexico. Made between Feburary–April 2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: CABO Freestyles
Copy of freestyles recorded in Cabo, Mexico. Made between February–April 2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: Cabo - Ye Marked
Curated copy of songs recorded in Cabo that were picked by Ye to be worked on further. Made between February–April 2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. John Monopoly)","OG Filename: Cabo Monop
Curated copy of songs recorded in Cabo that were picked by John Monopoly to be worked on further. Made between February–April 2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: CABO PICKS
Curated copy of songs recorded in Cabo that were picked to be worked on further. Made between February–April 2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Older Copy
Recompiled version of an older copy. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: ALL SONGS
Seemingly a copy of every song that was in consideration for the album at the time. Likely sent to people like Josh Berg and John Monopoly to cut-down and curate.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. Jalil Peraza)","OG Filename: JIL - Jalil Picks
Album copy curated by Jalil Peraza. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. John Monopoly)","OG Filename: JIL - Monop
Album copy curated by John Monopoly. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. Josh Berg)","OG Filename: JIL - JB
Album copy curated by Josh Berg. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. ""Ross"")","OG Filename: Ross
Presumably an album copy curated by someone named 'Ross'. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD [Orchestral],"OG Filename: JIL - Orchestration
Album copy with orchestral production. Possibly created by Steve Hackman ,as he was working with Kanye around this time and is an orchestra composer. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,No Country For Old Men,"OG Filename: - no country for old men -
Album copy seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD: END OF NIGHT,"OG Filename: jil end of night
Album copy seen in a leaked selling list. Unknown when it's from, but it was likely made early on during the album's development.",,,Confirmed,Not Available,
God's Country,The Light,"OG Filename: -- The Light --
Album copy seen in a leaked selling list. Unknown when it's from, but it was likely made early on during the album's development.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: - Jesus Is Lord -
Album copy seen in a leaked selling list. Unknown when exactly it was made.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: - Jesus Is Lord - 1
Album copy seen in a leaked selling list. Unknown when exactly it was made.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: - Jesus Is Lord - Full List
Album copy seen in a leaked selling list. Unknown when exactly it was made. Likely includes every song considered for the album at the time.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: - Jesus Is Lord - Album
Album copy seen in a leaked selling list. Unknown when exactly it was nade. Likely a cut-down version of the full list into a sequenced album.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: - Jesus Is Lord - Originals
Album copy seen in a leaked selling list. Unknown when exactly it was made. Likely a recompiled copy of old freestyles.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Raps
Album copy seen in a leaked selling list. 'Raps' potentially refers to finished lyrics as that's what Ye seemingly refers to finished verses as in the context of ""putting raps over mumble"", but a full copy of finished songs at this point in the albums development seems unlikely. Could be a reference track copy that includes rapped reference tracks from various artists (i.e. CyHi, Consequence, etc.).",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Sidelist
Album copy seen in a leaked selling list. Unknown what 'Sidelist' is referring to.",,,Confirmed,Not Available,
