Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
"nostalgia, ULTRA.","lovecrimes
(prod. Troy NōKA)","Track 7 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",4:00,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/915525689e8cf424d6f6eff2dc5d9b45
"nostalgia, ULTRA.","goldeneye
(prod. Mr. Hudson)","Track 8 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",0:18,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/cef9be9903e19b453b9252ed675cb01b
"nostalgia, ULTRA.","there will be tears
(prod. Troy NōKA & Mr. Hudson)","Track 9 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",2:51,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/a25d61e6bcbd7d7f01526946340e35a8
"nostalgia, ULTRA.","Swim Good
(prod. Midi Mafia)","Track 10 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011. Officially put on streaming on October 18th, 2011. The streaming version is slightly different and is in lower quality.",4:16,"Feb 16, 2011",Mixtape Track,Yes,"https://pillows.su/f/05cb487a025499ebcd878c169c874622
 <https://pillows.su/f/9965d07ba66434eb34e959331bdd8cd1>https://pillows.su/f/a5602e39e3efb0822e06b4515c022018"
"nostalgia, ULTRA.","dust
(prod. Maejor & Troy NōKA)","Track 11 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",2:33,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/62bc7834db93b8542689aa4aa665470c <https://pillows.su/f/77e776dc8054325311cc3ffaab3ce93f>
"nostalgia, ULTRA.","american wedding
(feat. James Fauntleroy) (prod. James Fauntleroy & Bill Szymczyk)","Track 12 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011. Samples ""Hotel California"" by The Eagles. <https://www.youtube.com/watch?v=dLl4PZtxia8>",7:00,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/08e5e72f8ba515276c8425016ca80dc1 <https://pillows.su/f/b0d973946d734d9dc056320010d331c0>
"nostalgia, ULTRA.","soul calibur
(prod. MGMT)","Track 13 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011.",0:18,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/75b9f6feb37f21853abe7d9752fc3a26 <https://pillows.su/f/7ab8a39ba67654843afb193924d172ff>
"nostalgia, ULTRA.","nature feels
(prod. MGMT)","Track 14 from Frank Ocean's album ""nostalgia, ULTRA."" Released on February 16th, 2011. Samples ""Electric Feel"" by MGMT <https://www.youtube.com/watch?v=MmZexg8sxyk>.",3:43,"Feb 16, 2011",Mixtape Track,No,https://pillows.su/f/13a0d71c44c4c78c931d66773a0a428c <https://pillows.su/f/e64cb803a10541a7a0b0febb92eaf8ec>
"nostalgia, ULTRA.","nostalgia, ULTRA. [Tumblr Copy]",M4A AAC 256Kbps 44Khz version of the album.,42:36,"Feb 16, 2011",Mixtape,No,https://pillows.su/f/70f734fdead0f9d2929cac2d90430d41
"nostalgia, ULTRA.","nostalgia, ULTRA. [Odd Future Copy]","MP3 192Kbps version of the album. That was posted on Odd Future official website back in March 23rd, 2011.",42:50,"Mar 23, 2011",Mixtape,No,https://pillows.su/f/60ac591936bbc0b0887b774e37a4babb
,Features
"nostalgia, ULTRA.","Bishop Lamont - Get My Gun
(feat. Frank Ocean & Twiz) (prod. Twiz)","Track 3 on The Shawshank Redemption: Angola 3 by Bishop Lamont. Released on October 1st, 2010. Featuring Frank Ocean and Twiz.",3:48,"Oct 1, 2010",Feature,Yes,https://open.spotify.com/track/17meln86XMXI56FzQqBECo?autoplay_ok=1 <https://open.spotify.com/track/0e3yW24pAKiiJfrG9idB0B?si=bb9bc92142d54364>
"nostalgia, ULTRA.","Domo Genesis - Steamroller
(feat. Frank Ocean & Hodgy) (prod. Tyler, The Creator)","Track 7 on Domo Genesis' debut mixtape ""Rolling Papers"" and track 11 on 12 Odd Future Songs.",4:42,"Aug 30, 2010",Feature,Yes,https://open.spotify.com/track/0e3yW24pAKiiJfrG9idB0B?si=bb9bc92142d54364
"nostalgia, ULTRA.","Kent M$ney - Gotta Be
(feat. Frank Ocean)","Song by Kent M$ney on his album ""Becoming."" Released September 10th, 2010. Features Frank Ocean. The song is only available on Apple Music.",2:30,"Sep 10, 2010",Feature,Limited,"https://music.apple.com/us/song/gotta-be-feat-frank-ocean/1376922747
https://pillows.su/f/8d647e35978d02909a254df4dd617858"
"nostalgia, ULTRA.","MellowHype - Hell
(feat. Frank Ocean)","Song by MellowHype on his album ""BlackenedWhite."" Released October 31st, 2010. Features Frank Ocean. The song is only available on Qobuz.",3:33,"Oct 31, 2010",Feature,Limited,"https://www.qobuz.com/us-en/album/mellowhypeweek-mellowhype/0669913362416
https://pillows.su/f/1a25b040d2bec33110cdf72ea8f490d1"
"nostalgia, ULTRA.","MellowHype - Rico
(feat. Frank Ocean)","Song by MellowHype on his album ""BlackenedWhite."" Released October 31st, 2010. Features Frank Ocean.",2:35,"Oct 31, 2010",Feature,Yes,https://open.spotify.com/track/5GJNPgGnX5JRaD25pASJIO?si=ff29fade48ee4c68
"nostalgia, ULTRA.","Odd Future - Swag Me Out
(feat. Jasper Dolphin, Left Brain, Hodgy, Earl Sweatshirt, Mike G, Travis Bennett & Tyler, The Creator) (prod. DJ Fletch)","Song by Odd Future on their album ""Radical."" Released May 7th, 2010. Features uncredited vocals from Syd and Frank Ocean.",2:35,"May 7, 2010",Feature,No,https://pillows.su/f/748e7986746560eaa2146aca8f0936c2
"nostalgia, ULTRA.","Tyga - Reminded
(prod. Michael Keenee & Happy Perez)","Remix released by Tyga on his album ""Black Thoughts 2"". Released on April 12th, 2011. Instrumental is sightly different compared to ""we all try"".",3:02,"Apr 12, 2011",Remix,No,https://pillows.su/f/916a2ba03841079c3039be80142312e4
"nostalgia, ULTRA.","Tyler, The Creator - She
(feat. Frank Ocean) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Goblin."" Released May 10th, 2011. Features Frank Ocean.",4:13,"May 10, 2011",Feature,Yes,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V?si=7aa463ea1c3b48f4
"nostalgia, ULTRA.","Tyler, The Creator - She [Clean]
(feat. Frank Ocean) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Goblin."" Released May 10th, 2011. Features Frank Ocean. Clean version of this track is only exclusive to CD.",4:15,"May 10, 2011",Feature,No,https://pillows.su/f/d3e8545b568b4e8624b5fc0b8489d9b8
"nostalgia, ULTRA.","Tyler, The Creator - Fish / Boppin' Bitch
(prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Goblin."" Released May 10th, 2011. Features uncredited vocals from Frank Ocean & Syd.",8:00,"May 10, 2011",Feature,Yes,https://open.spotify.com/track/6VkmMpgrvypnV9dTLwaDdW?si=TEk-4FGtSluxYtJVW4HOCg&utm_source=copy-link <https://open.spotify.com/track/0hHDsP3aHpnOq4uvCdiCdC?si=f21ac513982d4661>
"nostalgia, ULTRA.","Tyler, The Creator - Window
(feat. Frank Ocean, Hodgy, Domo Genesis & Mike G) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Goblin."" Released May 10th, 2011. Features Frank Ocean , Hodgy, Domo Genesis & Mike G.",8:00,"May 10, 2011",Feature,Yes,https://open.spotify.com/track/0hHDsP3aHpnOq4uvCdiCdC?si=f21ac513982d4661
"nostalgia, ULTRA.","Beyoncé - I Miss You
(prod. Beyoncé & Shea Taylor)","Released on Beyoncé's Album ""4,"" it was written by Frank. Small portion of vocals from the reference track can be heard at the very beginning of the release song. Performed by Frank live in 2011 with a live instrumental completely different than release.",2:59,"Jun 24, 2011",Feature,Yes,https://open.spotify.com/track/6Vv9wMxIc6OKRluQefy441?si=d1fc076142bb4ec4
"nostalgia, ULTRA.","JAŸ-Z & Kanye West - No Church In The Wild
(feat. Frank Ocean & The-Dream) (prod. Om’Mas Keith, MIKE DEAN, 88-Keys & Kanye West)","Song by JAŸ-Z & Kanye West on their album ""Watch The Throne."" Released August 8th, 2011. Features Frank Ocean & The-Dream.",4:32,"Aug 8, 2011",Feature,Yes,https://open.spotify.com/track/3Osd3Yf8K73aj4ySn6LrvK?si=5d1334805349474e
"nostalgia, ULTRA.","JAŸ-Z & Kanye West - Made In America
(feat. Frank Ocean) (prod. SAK PASE)","Song by Jay-Z & Kanye West on their album ""Watch The Throne."" Released August 8th, 2011. Features Frank Ocean.",4:52,"Aug 8, 2011",Feature,Yes,https://open.spotify.com/track/4Mx5gDSGBHbrsgJR7r1QwJ?si=9c5b86bf09fa4193
"nostalgia, ULTRA.","Stacey Barthe - Without You
(feat. Frank Ocean) (prod. B.CaRR)","Song by Stacy Barthe on his album ""Sincerely Yours EP."" Released August 29th, 2011. Features Frank Ocean.",5:50,"Aug 29, 2011",Feature,No,https://pillows.su/f/bd2ed09212d91b40d022b12320000b15
"nostalgia, ULTRA.","Bridget Kelly - Thinking About Forever
(prod. Frank Ocean & Shea Taylor)","Song by Bridge Kelly on her EP ""Every Girl."" Released October 19th, 2011. Written by and has background vocals by Frank Ocean. Later taken back by Frank for his album channel ORANGE and renamed to ""Thinkin Bout You.""",3:15,"Oct 19, 2011",Feature,No,https://pillows.su/f/50fe83aed095510aa5e35147b3a2f8c8
"18 Album Tracks
0 Singles
4 Features
0 Productions
0 Removed
0 Remixes
0 Other","channel ORANGE
(Nostalgia, LITE.)","(Feburary 16th, 2011) (nostalgia, ULTRA. is released.)
(July 10th, 2012) (channel ORANGE is released.)",,"In February 2011, directly after Nostalgia, ULTRA, Ocean began writing new songs with Malay, a producer and songwriter who then assisted him with recording channel ORANGE at EastWest Studios in Hollywood. Rather than rely on samples as he had with his mixtape, Ocean wanted to approach sound and song structure differently on the album. channel ORANGE is the debut studio album by Ocean. It was released on July 10, 2012, by Def Jam Recordings. The lyrics on the album eventually led to Ocean coming out as gay on his Tumblr page in 2012."
,Album Tracks
channel ORANGE,"Start
(prod. Malay)","Track 1 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",0:45,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/0GAE689kVy7sFT2QWZH1Xa?si=0d7c47dee5b94823
channel ORANGE,"Thinkin Bout You
(prod. Frank Ocean & Shea Taylor)","Track 2 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",3:20,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/7DfFc7a6Rwfi3YQMRbDMau?si=2830648629ba428e
channel ORANGE,"Fertilizer
(prod. Frank Ocean & Malay)","Track 3 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",0:39,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/6jypaMkKsoc5npsVzxhksl?si=51a3fc9383b646b8
channel ORANGE,"Sierra Leone
(prod. Frank Ocean, Om’Mas Keith & Malay)","Track 4 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",2:28,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/1HwbgJAU9PZ7YbzKgVgoIF?si=3e290f17bfdc41ff
channel ORANGE,"Sweet Life
(prod. Om’Mas Keith, Malay, Frank Ocean & Pharrell Williams)","Track 5 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",4:22,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/6MEDfjHxnVNcYmHe3mM6L2?si=501d6359d6a04b89
channel ORANGE,"Not Just Money
(prod. Jonathan Ikpeazu & Frank Ocean)","Track 6 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",0:59,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/3iW3y326xuRpNVXzOMBZy5?si=3f26bc6a35ac4388
channel ORANGE,"Super Rich Kids
(feat. Earl Sweatshirt) (prod. Frank Ocean, Om’Mas Keith & Malay)","Track 7 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",5:04,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/0725YWm6Z0TpZ6wrNk64Eb?si=9a5712c471064fa4
channel ORANGE,"Pilot Jones
(prod. Om’Mas Keith, Malay & Frank Ocean)","Track 8 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",3:04,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/2ohegz9maxzroKBu9YhcCM?si=2aeec86e17c04195
channel ORANGE,"Crack Rock
(prod. Frank Ocean, Om’Mas Keith & Malay)","Track 9 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",3:44,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/5lcyIeEfwZTs8Ajw3kdF7P?si=1bf54f66d6234177
channel ORANGE,"Pyramids
(prod. Om’Mas Keith, Malay & Frank Ocean)","Track 10 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",9:52,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/4QhWbupniDd44EDtnh2bFJ?si=d2f3bf210ec74928
channel ORANGE,"Lost
(prod. Om’Mas Keith, Frank Ocean & Malay)","Track 11 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",3:54,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723?si=740f7f138a084c54
channel ORANGE,"White
(prod. John Mayer)","Track 12 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",1:16,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/1VMdwVq0yaTc4DeqSCi7DO?si=918b54fb5a55490d
channel ORANGE,"Monks
(prod. Frank Ocean, Om’Mas Keith & Malay)","Track 13 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",3:20,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/0msrDPXxZpts4FRnoX0bFr?si=a55a024cafe3465a
channel ORANGE,"Bad Religion
(prod. Frank Ocean, Malay & Om’Mas Keith)","Track 14 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",2:55,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/2pMPWE7PJH1PizfgGRMnR9?si=8d9d50c0e8aa4c2e
channel ORANGE,"Pink Matter
(feat. André 3000) (prod. Om’Mas Keith, Frank Ocean & Malay)","Track 15 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012. Second link is from the 2025 channel ORANGE vinyl. Which doesn't include an intro verse. Andre verse is sightly different in mixing wise.",4:28,"Jul 10, 2012",Album Track,Yes,"https://open.spotify.com/track/1fOkmYW3ZFkkjIdOZSf596?si=cfa13068f4e14632
https://pillows.su/f/4b229b32bb61fde6b57d5674afb8d3c5"
channel ORANGE,"Forrest Gump
(prod. Frank Ocean, Om’Mas Keith & Malay)","Track 16 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012.",3:14,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/4YZbVct8l9MnAVIROnLQdx?si=8ddbdeccc70a44a1
channel ORANGE,"End
(prod. Frank Ocean & Malay)","Track 17 from Frank Ocean's album ""channel ORANGE."" Released on July 10th, 2012. It features ""Voodoo"" in the background of the track with sfx's overlaying it. The track is trim down on streaming and vinyl. Cutting ""Golden Girl"".",2:14,"Jul 10, 2012",Album Track,Yes,https://open.spotify.com/track/05tFLPSXJ1BbqIXy4Jeqfh?si=c6ad96fefe634c44
channel ORANGE,"End / Golden Girl
(feat. Tyler, The Creator) (prod. Pharrell Williams, Frank Ocean & Malay)","A bonus track from the ""channel ORANGE"" CD. Released on July 20th, 2012. At the end of the track ""End"". right after the TV clicks off. You could hear faint static in the background of the track for around four minutes before ""Golden Girl"" starts playing.",8:43,"Jul 20, 2012",Album Track,No,https://pillows.su/f/1ef1ed9335f87da548d6bcdd2a9cc0e9
channel ORANGE,channel ORANGE [Clean Version CD Copy],"Full FLAC 44Khz/16BIT Clean version of ""channel ORANGE"" that is not available on streaming.",46:42,"Jul 20, 2012",Album,No,https://pillows.su/f/2642d75444869f5aefb5c325ada82787
channel ORANGE,channel ORANGE [2025 Release Vinyl Copy],"Full FLAC 96khz/24BIT Vinyl version of ""channel ORANGE' that has been officially released on his website,""Blonded.co"", On June 26th, 2025. Mastering is different, way less clipping and distortions. There is a lot of noise, but it's probably due to the poor ripping of the vinyl.",58:28,"Jun 26, 2025",Album,No,https://pillows.su/f/e37df5cb0bad51688a53698f60da11e9 <https://pillows.su/f/2642d75444869f5aefb5c325ada82787>
,Features
channel ORANGE,"Odd Future - Analog 2
(feat. Tyler, the Creator, Frank Ocean & Syd) (prod. Tyler, The Creator)","Song by Odd Future on their album ""The OF Tape Vol. 2."" Released March 16th, 2012. Features Frank Ocean, Tyler, The Creator & Syd.",4:36,"Mar 16, 2012",Feature,Yes,https://open.spotify.com/track/0d8ONGx43ZprlHlmLZODpD?si=ef1573fa954c4fc5
channel ORANGE,"Odd Future - Snow White
(feat. Hodgy & Frank Ocean) (prod. Left Brain)","Song by Odd Future on their album ""The OF Tape Vol. 2."" Released March 16th, 2012. Features Hodgy & Frank Ocean.",2:27,"Mar 16, 2012",Feature,Yes,https://open.spotify.com/track/4ZFtG5iuaJKr8XN4OO5BBa?si=6beb6f8c1e1c4e91
channel ORANGE,"Odd Future - White
(feat. Frank Ocean) (prod. Tyler, The Creator & Frank Ocean)","Song by Odd Future on their album ""The OF Tape Vol. 2."" Released March 16th, 2012. Features Frank Ocean.",2:02,"Mar 16, 2012",Feature,Yes,https://open.spotify.com/track/2gEmgpnxseKEVRTwkSGopN?si=0fbaf920bde145a8
channel ORANGE,"Odd Future - Oldie
(prod. Tyler, the Creator)","Song by Odd Future on their album ""The OF Tape Vol. 2."" Released March 16th, 2012.",10:36,"Mar 16, 2012",Feature,Yes,https://open.spotify.com/track/53dkS3h9uTNsWYZTPacnpx?si=22365ff4e3644c32
"41 Album Tracks
0 Singles
0 Features
0 Productions
0 Removed
0 Remixes
0 Other","Endless
(46 Minutes of 120 hours in the life of Frank Ocean)","(July 10th, 2012) (channel ORANGE is released.)
(August 19th, 2016) (Endless is released.)
(November 27th, 2017) Endless is reworked. Being sold on his webiste for 24 hour period as part of the cybermonday event.",,"In 2013, Ocean confirmed that his follow up to Channel Orange would be another concept album. Endless was recorded in various studios across California, as well as in London, Miami, and Berlin, with production handled primarily by Ocean, Vegyn, Michael Uzowuru, and Troy Noka. After an interminable wait, Ocean fulfilled his contractual obligations and increased his potential profit share from 14 percent to 70 percent of total revenues from Blond within a 24-hour period, seemingly pulling a fast one on the biggest music company in the world."
,Visual Album Tracks
Endless,"Wolfgang Tillmans - Device Control
(prod. Wolfgang Tillmans, Tim Knapp & Kyle Combs)","Track 1 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",0:56,"Aug 19, 2016",Album Track,No,https://pillows.su/f/c26a3e48422b86fb58a4ecd2e2117c70
Endless,"At Your Best (You Are Love)
(prod. Frank Ocean)
(You Are Luhh)","Track 2 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",5:20,"Aug 19, 2016",Album Track,No,https://pillows.su/f/583006df1fdb34d4233bdee4e25aee6d
Endless,"Alabama
(prod. Frank Ocean)","Track 3 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",1:32,"Aug 19, 2016",Album Track,No,https://pillows.su/f/6bc95219053422c80479c63e240dddf2
Endless,"Mine
(prod. Arca & Frank Ocean)","Track 4 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",0:23,"Aug 19, 2016",Album Track,No,https://pillows.su/f/d566f34d4a8a069e48c473693c924f53
Endless,"Unity
(prod. Stwo, Ging & Frank Ocean)
(U-N-I-T-Y)","Track 5 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",2:56,"Aug 19, 2016",Album Track,No,https://pillows.su/f/544e32cb7914bad25e7df9da4796bd37
Endless,"A Certain Way (Ambience 001)
(prod. Arca & Frank Ocean)","Track 6 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",0:08,"Aug 19, 2016",Album Track,No,https://pillows.su/f/342a446280b3ee9b7842269fdbc19b76
Endless,"Comme Des Garçons
(prod. Frank Ocean, TROY NōKA & Vegyn)","Track 7 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",0:58,"Aug 19, 2016",Album Track,No,https://pillows.su/f/3039b5cdf33df98a11904cff9cd8c0fa
Endless,"Xenons
(prod. Frank Ocean & Vegyn)","Track 8 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",0:31,"Aug 19, 2016",Album Track,No,https://pillows.su/f/8807d1b5c51b32fbc8ff44f65c973005
Endless,"Honeybaby (Ambience 002)
(prod. Frank Ocean)","Track 9 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",0:09,"Aug 19, 2016",Album Track,No,https://pillows.su/f/0e007280eea64c0a572f39b47994aa71
Endless,"Wither
(prod. Frank Ocean)","Track 10 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",2:23,"Aug 19, 2016",Album Track,No,https://pillows.su/f/78b9e15fba641a7127a79101885923e7
Endless,"Hublots
(prod. 88-Keys & Frank Ocean)","Track 11 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",1:29,"Aug 19, 2016",Album Track,No,https://pillows.su/f/0edd28ece0f94cebda0ce739200d0e93
Endless,"Walk Away
(prod. Frank Ocean)","Track 12 from Frank Ocean's album ""Endless (Visual)"". Released on August 19th, 2016. The track remained unlisted until its appearance in the title sequence of the 2017 DVD/VHS reissue.",0:18,"Aug 19, 2016",Album Track,No,https://pillows.su/f/0f4c4dc6ddc366d9173769da72903cbd
Endless,"In Here Somewhere
(prod. Frank Ocean, TROY NōKA & Vegyn)","Track 13 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",2:03,"Aug 19, 2016",Album Track,No,https://pillows.su/f/95254a4e14689760c71a00d9219cc199
Endless,"Slide On Me
(prod. Frank Ocean, Vegyn & SebastiAn)","Track 14 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",3:07,"Aug 19, 2016",Album Track,No,https://pillows.su/f/f88e4928be2f1aaf0d4423959c163478
Endless,"Sideways
(prod. Frank Ocean, Nolife & Vegyn)","Track 15 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",1:53,"Aug 19, 2016",Album Track,No,https://pillows.su/f/af157e0d3e8753f76e50792c9b92ed17
Endless,"Florida
(prod. Frank Ocean)","Track 16 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",1:15,"Aug 19, 2016",Album Track,No,https://pillows.su/f/ab0d82ebae020efd8c8d982c712e6fd3
Endless,"Impietas + Deathwish (ASR)
(prod. Frank Ocean, TROY NōKA & Vegyn)","Track 17 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",1:55,"Aug 19, 2016",Album Track,No,https://pillows.su/f/b907c6c5f9dda6d43a8817a08291fbdf
