Era,Name,Notes,Media Length,Date,Type,Streaming,Link(s)
"2 Released
0 Unreleased
0 Other
0 On Streaming
2 Not On Streaming
1 Limited","Endless
(46 Minutes of 120 hours in the life of Frank Ocean)","(July 10th, 2012) (channel ORANGE is released.)
(August 19th, 2016) (Endless is released.)",,"In 2013, Ocean confirmed that his follow up to Channel Orange would be another concept album. Endless was recorded in various studios across California, as well as in London, Miami, and Berlin, with production handled primarily by Ocean, Vegyn, Michael Uzowuru, and Troy Noka. After an interminable wait, Ocean fulfilled his contractual obligations and increased his potential profit share from 14 percent to 70 percent of total revenues from Blond within a 24-hour period, seemingly pulling a fast one on the biggest music company in the world."
Endless,Endless [V1] (Full Stream),"OG version of the album that was played on the livestream. Has differences in track listing, transitions and some songs have pretty significant changes overall. It's in low quality.",,"Aug 19, 2016",Live,No,Link Needed
Endless,Endless [V2] (Visual Album),"OG Filename: 45_Day_1-5_ENDLESS_CC_01_SM
Version of Endless in color and HD. Snippets posted on May 8th, 2024, later was found on May 25th, 2024.",45:54,"May 25, 2024",Released,No,https://pillows.su/f/2ffa6100d0d784bc35575f837a562e20
Endless,Endless [V3] (Visual Album),"The music video version that was posted on Apple Music. Released on August 19th, 2016.",,"Aug 19, 2016",Released,Limited,https://pillows.su/f/9d6da275f562ffc64d8351aa7db56634
"1 Released
1 Unreleased
1 Other
0 On Streaming
3 Not On Streaming
1 Limited","blonde
(blond, Boys Don't Cry)","(July 10th, 2012) Channel Orange is released.
(August 19th, 2016) Endless is released.
(August 20th, 2016) blonde is released.",,"In 2013, Ocean confirmed that his follow up to Channel Orange would be another concept album. Initially known as Boys Don't Cry and teased for a July 2015 release, the album suffered several delays and was the subject of widespread media anticipation leading up to its release. Beginning in 2013 and ending in 2016, recording for the album took place at New York's Electric Lady Studios and, after a period of writer's block, in London at Abbey Road Studios and in Los Angeles' Henson Recording Studios."
blonde,"Drive In
(dir. Frank Ocean, Scott O'DDonnell & Chris Massey)","2014 ""slides project"" made for ""Boys Don't Cry"" stated to exist, shown by producer Rohan Scully's resume. 
Directed by Frank, with Scott O'Donnell as the producer and Chris Massey as the executive producer.",,,Rumored,No,https://twitter.com/teamfrankdaily/status/679533900926857216?lang=en
blonde,"Nikes
(dir. Andre Chemetoff)","Music video that was premiered on Apple Music, has an alternate intro and outro. 
Directed by Andre Chemetoff.",4:55,"Aug 20, 2016",Released,Limited,http://pillows.su/f/830cb2463ac62493f13570af063cf4c8
blonde,🏆 Nights,Music video for Nights is said to exist and be owned by members of the communtiy.,,,Unreleased,No,https://twitter.com/teamfrankdaily/status/679533900926857216?lang=en
blonde,Boy's Don't Cry Interview,Interview of Frank made for Boys Don't Cry.,2:38,,Other,No,https://pillows.su/f/86d6720ea3ea513b673c43c995c56655
"0 Released
0 Unreleased
3 Other
0 On Streaming
3 Not On Streaming
0 Limited",blonded radio,"(August 20th, 2016) blonde is released.
(Feburary 14th, 2018) Last loosie single is released.",,"After the release of Blonde, Frank decided to host a radio show, where he would show off his and other's music. In the first run of Blonded Radio, the first episode aired February 2017, and the last in May 2017. No other episodes aired until GTA 5 added the radio station, ""blonded Los Santos 97.8 FM."" This was mainly a playlist of music and showed off no new tracks. On November 6, 2018, 3 episodes aired encouraging viewers to vote during the midterm elections. This would be the last of Blonded Radio until the rollout of Frank's next project."
blonded radio,#mycalvins Advertisement,Advertisement made for Calvin Klien in 2016 featuring Frank.,2:38,,Other,No,https://pillows.su/f/86d6720ea3ea513b673c43c995c56655
blonded radio,Biking (Promo),Promo video made for blonded radio episode 003. Has alternate version of biking.,0:57,,Other,No,https://pillows.su/f/3695eac41a9e434856228bf0e73a1ed9
blonded radio,"Provider
(dir. Tom Sachs)",Lyric video directed by Tom Sachs.,5:15,"Nov 24, 2017",Other,No,https://pillows.su/f/65f81a82a34a194b27f236d63be63ee5
"0 Released
3 Unreleased
0 Other
0 On Streaming
4 Not On Streaming
0 Limited","Look At Us, We're In Love
(PACO, PrEP+)","(Feburary 14th, 2018) Last loosie single is released
(Feburary 8th, 2020) Ryan Breaux passes away",,"""Look At Us, We're In Love"" was an unreleased, house-and-techno-inspired Frank Ocean project. Rather than a traditional album, it was designed as a series of singles for listeners to playlist, with several tracks dropping between 2019 and 2020. The project was shelved in 2020 due to the pandemic (which canceled his tour) and the tragic death of his brother, Ryan Breaux. However, recent promotional posters hint that Ocean is interested in making albums again."
"Look At Us, We're In Love","Choices
(feat. Rosalía) (prod. Michael Uzowuru & Frank Ocean)
(Changes)","Music video for unreleased collaboration with Rosalia named Choices. Produced by Walter Pictures, choreography by Charm La'Donna, and assistant choreography by Jessica Castro. Said to be directed by HidjiFilms, but later confirmed to be false.",,"May 1, 2023",Unreleased,No,https://pillows.su/f/dd5faa409a69b9adf74d7e21ea06c09a
"Look At Us, We're In Love","Feelings Gone
(dir. Glen Luchford)","A music video was filmed for ""Feelings Gone"" Music video was done by March 17th.
Directed by Glen Luchford and with stylist Pau Avia.",,"Dec 22, 2023",Unreleased,No,https://pillows.su/f/99dcc324f94e4ef90a142c6244f7abfb
"Look At Us, We're In Love",🏆 Moon River,A music video was planned for the song before being scrapped. Was directed by Spike Jonze and had Cinematography by Darren Lew.,,"Sep 26, 2018",Rumored,No,https://blonded.blog/news/a-moon-river-video
"Look At Us, We're In Love",Homer Documentary,Documentary for Homer supposedly shot in 2019.,,"Sep 26, 2022",Unreleased,No,https://pillows.su/f/1fda36b2a045a20f9f90ca35bc87ad52
"0 Released
2 Unreleased
0 Other
0 On Streaming
2 Not On Streaming
0 Limited",Upcoming,"(Feburary 8th, 2020) Ryan Breaux passes away
(Ongoing)",,"Following the cancellation of his 2020 project due to the pandemic and the tragic death of his brother, Frank Ocean went largely silent until headlining Coachella 2023. Since then, he has been spotted with camera crews and music gear in multiple countries, hinting at a potential documentary. Most notably, promotional posters released in late 2022 revealed that Ocean has abandoned his previous ""singles model"" in favor of full-length albums again. This new direction is already underway, with recording sessions confirmed in Miami, Amsterdam, and Austin."
Upcoming,Little Demon (Visualizer),Claymation visualizer for Little Demon said to exist and be owned by members of the community. Was supposed to be released in 2022 before being scrapped.,,,Unreleased,No,N/A
Upcoming,Travis Scott - Lost Forever [Music Video],"Snippet for a supposed music video leaked September 26, 2022; apparently directed by Frank Ocean, though it appears instead to be a promotional video for Frank using the song. Unconfirmed until more information surfaces.",,"Sep 26, 2022",Unreleased,No,https://pillows.su/f/3498a6ab8d3a1d7c67a3e15b04778558 <https://blonded.blog/news/a-moon-river-video>
Links,Type
"🔗 22 Total Links
❌ 1 Missing Links
📚 0 Sources Needed
🚫 1 Not Available","🔊 1 On Streaming
📴 22 Not On Streaming
🟡 2 Limited
✅ 0 Released
❌ 0 Unreleased"
