Era,"Name
(Check out the tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Length,Date,Director(s),Currently Available,In Circulation?,Link(s)
Certified Lover Boy [V1],"Lil Yachty - Oprah's Bank Account
(feat. Drake & DaBaby)","Music video for ""Oprah's Bank Account"" by Lil Yachty.",9:05,"Mar 9, 2020",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=-eb4CtV8zTk&pp=ygUaZHJha2Ugb3ByYWgncyBiYW5rIGFjY291bnQ%3D
Certified Lover Boy [V1],"DJ Khaled - POPSTAR 
(feat. Drake)","Music video for ""POPSTAR"" by DJ Khaled. Starring Justin Bieber.",8:06,"Sep 4, 2020",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=3CxtK7-XtE0
Certified Lover Boy [V1],"Travis Scott - SICKO MODE
(feat. Drake)","Music video for ""SICKO MODE"" by Travis Scott.",5:23,"Oct 19, 2018",Dave Meyers,Officially Released,Officially Released,https://www.youtube.com/watch?v=6ONRf7h3Mdk
,Certified Lover Boy [V2],,,,,,,
Certified Lover Boy [V2],"Knife Talk
(feat. 21 Savage & Project Pat)","Music video for ""Knife Talk"".",4:05,"Nov 4, 2021",Pablo Rochat,Officially Released,Officially Released,https://www.youtube.com/watch?v=XqpQpt_cmhE
Certified Lover Boy [V2],"Way 2 Sexy
(feat. Future & Young Thug)","Music video for ""Way 2 Sexy"".",4:41,"Sep 3, 2021",Dave Meyers,Officially Released,Officially Released,https://www.youtube.com/watch?v=vX9msKu75qs
Certified Lover Boy [V2],What's Next,"Music video for ""What's Next"".",3:21,"Mar 5, 2021",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=7EUVJaKJtBY
,"Honestly, Nevermind
(I Wish I Could Sing, Titles Ruin Everything)",,,,,,,
"Honestly, Nevermind",Falling Back,"Music video for ""Falling Back"".",4:41,"Jun 17, 2022",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=rJi7GobzRgY&pp=ygUSZHJha2UgZmFsbGluZyBiYWNr
"Honestly, Nevermind",Falling Back [Extended Music Video],"Extended music video for ""Falling Back"".",9:34,"Jun 17, 2022",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=sOreUnGoIMg
"Honestly, Nevermind","Jimmy Cooks
(feat. 21 Savage)","Music video for ""Jimmy Cooks"". This video is also the announcement of Drake & 21 Savage's collaboration album, Her Loss, which was set to release on October 28th, 2022, but was delayed due to 40 getting COVID-19 and would eventually release on November 4th, 2022.",2:52,"Oct 22, 2022",Mahfuz Sultan,Officially Released,Officially Released,https://www.youtube.com/watch?v=4nyld2SqleU
"Honestly, Nevermind",Sticky,"Music video for ""Sticky"".",4:07,"Aug 2, 2022",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=AnZcWgXZOKM
"Honestly, Nevermind",Unknown [J. Cole Collaboration],"An unknown source claimed J. Cole and Drake were filming a music video in Toronto. The source said, ""Drake shooting another video in Toronto right now and J Cole a guest in it"".",,,Unknown,Rumored,Not Available,
,Features,"
",,,,,,
"Honestly, Nevermind","DJ Khaled - STAYING ALIVE
(feat. Drake & Lil Baby)","Music video for ""STAYING ALIVE"" by DJ Khaled.",3:07,"Aug 5, 2022",RT!,Officially Released,Officially Released,https://www.youtube.com/watch?v=PM2f835zx88
"Honestly, Nevermind","DJ Khaled - STAYING ALIVE [Extended Music Video]
(feat. Drake & Lil Baby)","Extended music video for ""STAYING ALIVE"" by DJ Khaled.",7:59,"Aug 5, 2022",RT!,Officially Released,Officially Released,https://www.youtube.com/watch?v=toMyiXEspNc&pp=ygUTZHJha2Ugc3RheWluZyBhbGl2ZQ%3D%3D
"Honestly, Nevermind","Future - WAIT FOR U
(feat. Drake & Tems)","Music video for ""WAIT FOR U"" by Future.",3:59,"May 5, 2022",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=rP09GUQFDFk
"Honestly, Nevermind","Jack Harlow - Churchill Downs
(feat. Drake)","Music video for ""Churchill Downs"" by Jack Harlow.",5:11,"Jun 1, 2022",Ace Pro,Officially Released,Officially Released,https://youtu.be/GGOyFnrZRt0
,"Her Loss
(Collaboration with 21 Savage)",,,,,,,
Her Loss,Jumbotron Shit Poppin,"Music video of ""Jumbotron Shit Poppin"".",2:23,"Jan 17, 2023",Tristian C-M,Officially Released,Officially Released,https://www.youtube.com/watch?v=Iu9xmEaHwpU
Her Loss,"On BS 
(with 21 Savage)","Music video for ""On BS"". Wasn't actually performed at SNL. Has a Michael B. Jordan cameo.",3:46,"Nov 6, 2022",Unknown,Officially Released,Officially Released,https://www.youtube.com/watch?v=vZo3KgqU6oY
Her Loss,"Privileged Rappers 
(with 21 Savage)","Music video for ""Privileged Rappers"". Wasn't actually performed at the iconic COLORS SHOW studio.",2:26,"Nov 7, 2022",Unknown,Officially Released,Officially Released,https://www.youtube.com/watch?v=WlaGHS_qs58
Her Loss,"Rich Flex [Her Loss Recap]
(with 21 Savage)","Music video for ""Rich Flex"". The video recaps the Her Loss rollout. Features cameos from Jack Harlow and more.",3:45,"Nov 16, 2022",Drake,Officially Released,Officially Released,https://www.youtube.com/watch?v=PrSBuEFdRFU
Her Loss,"Spin Bout U
(with 21 Savage)","Music video of ""Spin Bout U"".",3:50,"Feb 24, 2023",Dave Meyers,Officially Released,Officially Released,https://www.youtube.com/watch?v=T8nbNQpRwNo
,"For All The Dogs
(FOR ALL THE DOGSDEM, Scary Hours 3)",,,,,,,
For All The Dogs,8am In Charlotte,"Music video for ""8am In Charlotte"". The intro features Adonis explaining an drawing he made, which features a goat (which is featured on the album cover for FATD).",5:58,"Oct 5, 2023",Zong Li,Officially Released,Officially Released,https://youtu.be/VEW9E1EIQ1M?si=AZCPZv-y5FSyakzM
For All The Dogs,"Another Late Night
(feat. Lil Yachty)","Music video for ""Another Late Night"".",3:09,"Oct 6, 2023",Cole Bennett,Officially Released,Officially Released,https://www.youtube.com/watch?si=kOxw2VVJNCvmvnd9&v=DGVjmJpCRUg&feature=youtu.be
For All The Dogs,"First Person Shooter
(feat. J. Cole)","Music video for ""First Person Shooter"" with J. Cole. Unintentionally the funniest Drake video.",5:01,"Nov 16, 2023",Gibson Hazard,Officially Released,Officially Released,https://www.youtube.com/watch?v=Xty2gi5cMa8
For All The Dogs,Adonis - My Man Freestyle [Music Video],"Music video for ""My Man Freestyle"" by the greatest rapper of all time, Adonis. Features him playing basketball with his friends alongside other things. Drake makes a cameo (obviously).",2:56,"Oct 16, 2023",Drake,Officially Released,Officially Released,https://www.youtube.com/watch?v=S3ES0IQQdG8&ab_channel=Drake
For All The Dogs,Polar Opposites,"Music video for ""Polar Opposites"".",4:13,"Nov 29, 2023",Unknown,Officially Released,Officially Released,https://youtu.be/0bxhAxRmrJw?si=X1VMdHTtzSWGL6vJ
For All The Dogs,"Rich Baby Daddy
(feat. Sexyy Red & SZA)","Music video for ""Rich Baby Daddy"".",6:31,"Feb 14, 2024",Drake,Officially Released,Officially Released,https://www.youtube.com/watch?v=UcsSdIXHCWM&ab_channel=DrakeVEVO
For All The Dogs,You Broke My Heart,"Music video for ""You Broke My Heart"". Morgan Wallen is in the video for some reason.",4:53,"Dec 20, 2023",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=w1-jss2mZlY&ab_channel=DrakeVEVO
,Features,,,,,,,
For All The Dogs,"Young Thug - Oh U Went
(feat. Drake)",,,,"Garfield Larmond
Nicolas Manterola",Officially Released,Officially Released,
,"100 GIGS
(100 GIGS FOR YOUR HEADTOP)
(exec prod. Drake, 40, Oliver El-Khatib & Noel Cadastre)",,,,,,,
100 GIGS,Family Matters,"Official music video for ""Family Matters"".",7:38,"May 3, 2024","Drake
Theo Skudra",Officially Released,Officially Released,https://www.youtube.com/watch?v=ZkXG3ZrXlbc
100 GIGS,No Face,"Official music video for ""No Face"", uploaded on Drake's ""plottttwistttttt"" Instagram account.",1:13,"Oct 30, 2024",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=E2eHcpXPpKE&pp=ygUNZHJha2Ugbm8gZmFjZQ%3D%3D
,"$ome $exy $ongs 4 U
(Collaboration with PARTYNEXTDOOR)",,,,,,,
$ome $exy $ongs 4 U,NOKIA,"Official music video for ""NOKIA"".",3:46,"Mar 31, 2025",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=8ekJMC8OtGU&ab_channel=Drake
