Era,"Name
(A$AP Rocky Tracker website!)","Notes
(Join the Rocky Hub Discord server!)",Full Length,"File
Date",Key,BPM [WIP],Available Length,Quality,Link(s)
LIVE.LOVE.A$AP,"Bass
(prod. Clams Casino)
(Base)","The instrumental for the song ""Bass"" which was released on Clams Casino's mixtape titled ""Instrumentals 2"" that was released on June 5th, 2013 after appearing on Rocky's ""LIVE.LOVE.A$AP"" mixtape on October 31st, 2011. The song samples ""Just for Now"" by Imogen Heap which is a commonly used sample for the producer, Clams Casino, as he has used it on many songs before. The instrumental is in significantly higher quality than the released version of the song for unknown reasons, but an earlier version of the song with the higher quality version seemingly exists as it was previewed live on October 15th, 2011.",3:02,"Jun 5, 2012",F# Minor,75,Full,CD Quality,https://pillows.su/f/1418842e8ca0b0ee1bde3a220a48621a
LIVE.LOVE.A$AP,"Brand New Guy
(feat. ScHoolboy Q) (prod. Don Cannon & Lyle Leduff)","The instrumental for the Rocky & ScHoolboy Q song ""Brand New Guy"" produced by Don Cannon & Lyle Leduff. Seemingly posted online by Lyle Leduff himself and for now can only be found in badish quality with parts of it being distorted.",5:00,,Ab Major,114,Full,High Quality,https://pillows.su/f/6f64941bae535c9230662da19d27ca48
LIVE.LOVE.A$AP,"Demons
(prod. Clams Casino)","Instrumental for the song ""Demons"" which was released on Clams Casino's mixtape titled ""Instrumentals"" on March 7th, 2011 under the title ""Numb"" and was made before the release of ""Demons"". It has been said that Rocky found this instrumental and recorded over it before him and Clams Casino ever met and the song would appear on two mixtapes. One of these mixtapes having an unknown title that was deleted by an engineer with this song being one of the three recovered songs. The other mixtape is titled ""Mouth Fulla Gold"" where an early mix of the song would appear as track six. The song was later released on ""LIVE.LOVE.A$AP"" later that year on October 31st, 2011 under the final name of ""Demons"".",3:55,"Mar 7, 2011",B Minor,70,Full,Lossless,https://pillows.su/f/f0e1f40ea9ddc09bbf09f78371f29467
LIVE.LOVE.A$AP,"Ghost X
(feat. SpaceGhostPurrp) (prod. Clams Casino)","Instrumental for ""Ghost X"". Leaked on February 1st, 2025 as a bonus for the ""Sometimes"" groupbuy. Leaked as stereo files.",,,,128,Full,Lossless,"https://pillows.su/f/a4b7c6226d317c25ecffe1d3d677a7f5
https://pillows.su/f/a36f2bf6a0acd9096a73c4add054c002"
LIVE.LOVE.A$AP,"Houston Old Head
(prod. DJ Burn One)","Instrumental for ""Houston Old Head"" released on January 27th, 2012 for DJ Burn One's mixtape ""Where's The Smoke"".",3:55,"Jan 27, 2012",G# Minor,148,Full,CD Quality,https://pillows.su/f/b5db7e08adef86cd369a93356fa23d99
LIVE.LOVE.A$AP,"Keep It G
(feat. Chace Infinite & SpaceGhostPurrp) (prod. SpaceGhostPurrp)
(Eh Young Blood)","Instrumental to the song ""Keep It G"" uploaded by SpaceGhostPurrp under the name ""LONDON BLUES"" on December 29th, 2011. This version of the instrumental has slight differences than the released version.",5:32,"Dec 29, 2011",F Minor,130,Full,CD Quality,https://pillows.su/f/61a9a48379e0cac35b0553e3c548e029
LIVE.LOVE.A$AP,"Kissin' Pink
(feat. A$AP Ferg) (prod. Beautiful Lou)","Instrumental to ""Kissin' Pink"" released on Beautiful Lou's Bandcamp account on October 17th, 2013 with some alternate production. The lossless file was obtained and leaked by Zanthin on January 4th, 2024.",2:07,"Jan 4, 2024",,158,Full,Lossless,https://pillows.su/f/2f5867bfb50de0ecd97067992ea2ad77
LIVE.LOVE.A$AP,"Leaf
(feat. Main Attrakionz) (prod. Clams Casino)
(Take 1)","Instrumental to ""Leaf"" which was posted on Clams Casino's SoundCloud account clammyclams on his ""Instrumental Mixtape 2"" which released on June 5th, 2013.",3:20,"Jun 5, 2012",G Minor,140,Full,Lossless,https://pillows.su/f/6b09a17bcd3146088347d9cd5947323b
LIVE.LOVE.A$AP,"Out Of This World
(prod. The Olympicks)","OG Filename: Outter Tantra bpm84
Instrumental for ""Out Of This World"" posted on The Olympicks'
official SoundCloud account on April 27th, 2014.",3:42,"Apr 27, 2014",,84,OG File,High Quality,https://pillows.su/f/ab668b58601f4f40388f0d19890a04d7
LIVE.LOVE.A$AP,"Palace
(prod. Clams Casino)","Instrumental to ""Palace"" which was posted on Clams Casino's SoundCloud account clammyclams on his ""Instrumental Mixtape 2"" which released on June 5th, 2013. The song samples  ""Adiemus"" by Karl Jenkins.",2:58,"Jun 5, 2012",B Minor,133.64,Full,CD Quality,https://pillows.su/f/e3ee65cc93fd237253c944504cab9185
LIVE.LOVE.A$AP,"Roll One Up
(prod. DJ Burn One)","Instrumental for ""Roll One Up"" released on January 27th, 2012 for DJ Burn One's mixtape ""Where's The Smoke"".",2:36,"Jan 27, 2012",G# Minor,149,Full,CD Quality,https://pillows.su/f/6b3e8690640105b888b4ec3f6cc72601
LIVE.LOVE.A$AP,"Trilla
(prod. Beautiful Lou)","Instrumental to ""Trilla"" released on Beautiful Lou's Bandcamp account on October 17th, 2013. The lossless file was obtained and leaked by Zanthin on January 11th, 2024. Samples ""Friendship Train"" by The Undisputed Truth",3:39,"Jan 11, 2024",D Minor,142,Full,Lossless,https://pillows.su/f/1848ef26c69eeec54603747daba33f6c
LIVE.LOVE.A$AP,"Wassup
(prod. Clams Casino)","Instrumental to ""Wassup"" which was posted on Clams Casino's SoundCloud account clammyclams on his ""Instrumental Mixtape 2"" which released on June 5th, 2013.",2:40,"Jun 5, 2012",Db Major,144,Full,CD Quality,https://pillows.su/f/6ecffa2d3926bbb47016265dde0b563b
LIVE.LOVE.A$AP,"Clams Casino - Candle
(prod. Clams Casino)
(Sometimes)","Instrumental for the unreleased song ""Sometimes"", originally titled ""Candle"", produced by Clams Casino leaked on February 1st, 2025 as a bonus for the ""Sometimes"" groupbuy.",3:09,,Ab Major,132,Full,CD Quality,https://pillows.su/f/727bd5be674edbd038e85a6d79606724
LIVE.LOVE.A$AP,"Smoke DZA - 4 Loko
(feat. A$AP Rocky) (prod. 183rd)","Instrumental to Smoke DZA's song ""4 Loko"" featuring Rocky that released along with the single on August 18th, 2011.",3:18,"Aug 18, 2011",,,Full,Lossless,https://pillows.su/f/48e42a97eec98a7f447310b72e51c4a6
,Sessions,,,,,,,,
LIVE.LOVE.A$AP,"Ghost X
(feat. SpaceGhostPurrp) (prod. Clams Casino)","The sessions of the track ""Ghost X"" dating back to August 2011 has been confirmed owned. The sessions feature the unreleased Clams Casino instrumental and no additional vocals.",,,,,Confirmed,Not Available,
LIVE.LOVE.A$AP,Unknown [Tracks],The sessions of various LIVE.LOVE.A$AP tracks are confirmed to be in circulation. It is unknown precisely which tracks however there has been mention of multiple.,,,,,Confirmed,Not Available,
,"B.M.W
(Collaboration with SpaceGhostPurrp)
(Black Man's Wealth)",,,,,,,,
,Instrumental,,,,,,,,
B.M.W,"???
(with SpaceGhostPurrp)
(R.I.P. Yams, Black Man's Wealth, Ridin' N The Back)","Official instrumental for ""R.I.P. Yams"", ""Black Man's Wealth"" or ""Ridin' N The Back"". An alternative version of the beat is also available for purchase on SpaceGhostPurrp's Traktrain for $20 titled ""MARDRAGON 2"".",3:43,"Oct 4, 2016",,114,Full,CD Quality,https://krakenfiles.com/view/MkZrdMWI8g/file.html
,"Lord$ Never Worry
(Collaboration with A$AP Mob)
(Trilluminati, LONG.LIVE.A$AP)",,,,,,,,
,Instrumental,,,,,,,,
Lord$ Never Worry,"Bangin' On Wax
(with A$AP Ferg & A$AP Nast) (prod. A$AP Ty Beats)","Snippet of the instrumental for ""Bangin' On Wax"" shown on A$AP Ty Beats Instagram on May 9th, 2016.",,"May 9, 2016",,,Snippet,Recording,Link Needed
Lord$ Never Worry,"Freeze
(perf. A$AP Rocky & Jim Jones) (prod. Clams Casino)","Instrumental to ""Freeze"" which was posted on Clams Casino's SoundCloud account clammyclams on his ""Instrumental Mixtape 3"" which released on December 18th, 2013.",,"Dec 18, 2013",,,Full,CD Quality,https://pillows.su/f/141d2a538c3b3fadecb1519f48ecbcde
Lord$ Never Worry,"Purple Kisses
(perf. A$AP Rocky) (prod. VERYRVRE)","Instrumental to ""Purple Kisses"". Not currently known how it surfaced as of right now.",,,,,Full,CD Quality,Link Needed
,Pre-LONG.LIVE.A$AP,,,,,,,,
,Instrumental,,,,,,,,
Pre-LONG.  LIVE.A$AP,"Pretty Flacko
(prod. SpaceGhostPurrp)","Instrumental for ""Pretty Flacko"" produced by SpaceGhostPurrp and appeared on the internet on a bootleg SpaceGhostPurrp instrumental tape. Is mixed different with the snare breaking the sound barrier.",,,,,Full,CD Quality,https://pillows.su/f/100a0eb8a35d01b3d7d6928caf360831
Pre-LONG.  LIVE.A$AP,"ScHoolboy Q - Hands On The Wheel
(feat. A$AP Rocky) (prod. Best Kept Secret)","Instrumental to ""Hands On The Wheel"" by ScHoolboy Q which was posted on  the website InstrumentalFX by Adedeji Kehinde",,"Dec 9, 2017",,,Full,High Quality,https://pillows.su/f/164729ba67e75b3286d39d3e58d4da5d
,LONG.LIVE.A$AP,,,,,,,,
,Instrumental,,,,,,,,
LONG.LIVE.A$AP,"Fashion Killa
(prod. A$AP Rocky, FRIENDZONE & Héctor Delgado)","Instrumental to ""Fashion Killa"" released by the producer FRIENDZONE on their ""COLLECTION II"" album on July 1st, 2022. Samples ""Mr. Yeah"" by The-Dream.",,"July 1, 2022",,140,Full,Lossless,https://pillows.su/f/b059bd032308659ec47e0a29a54881b0
LONG.LIVE.A$AP,"Hell
(prod. Clams Casino)","Instrumental to ""Hell"" which was posted on Clams Casino's SoundCloud account clammyclams on his ""Instrumental Mixtape 3"" which released on December 18th, 2013.",,"Dec 18, 2013",,,Full,CD Quality,https://pillows.su/f/256fe388102acf92beee29a6094d2399
LONG.LIVE.A$AP,"LVL
(prod. Clams Casino)","Instrumental to ""LVL"" which was posted on Clams Casino's SoundCloud account clammyclams on his ""Instrumental Mixtape 3"" which released on December 18th, 2013.",,"Dec 18, 2013",,120,Full,CD Quality,https://pillows.su/f/ed2d3abf07e763f4692100f47fb60c74
LONG.LIVE.A$AP,"Swizz Beatz - Street Knock
(feat. A$AP Rocky) (prod. araabMUZIK & Swizz 
Beatz)","Instrumental to ""Street Knock"" which was posted on araabMUZIKS's Spotify on his mixtape ""For Profession Use Only"" which released on Feburary 13th, 2013.",,"Feb 13, 2013",,,Full,Lossless,https://pillows.su/f/557da4e8379565314bb3a2c506ca991c
,Sessions,,,,,,,,
LONG.LIVE.A$AP,"1Train
(feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.) (prod. Hit-Boy)","Sessions for ""1Train"" confirmed in circulation. Features various vocal takes from every artist. The acapella for an early take for ""1Train"" showing that Rocky had some alternate lines, but it's unknown if a version with these vocals was ever bounced. The snippet was posted by a seller called ""dj german susman"" on February 1st, 2024.",,"Feb 1, 2024",,,Snippet,CD Quality,https://pillows.su/f/76260f925ff07ebb3612709eb8161c8e
,Stems,,,,,,,,
LONG.LIVE.A$AP,"Fuckin' Problems
(feat. Drake, 2 Chainz & Kendrick Lamar) (prod. Drake & 40)","Stems for ""Fuckin' Problems"" that leaked as a bonus for the Mr. 
Morale sessions groupbuy on May 18th, 2023.",,"May 18, 2023",,,Full,Lossless,https://pixeldrain.com/u/rxFRGpDT
,AT.LONG.LAST.A$AP,,,,,,,,
,Instrumental,,,,,,,,
,Sessions,,,,,,,,
AT.LONG.    LAST.A$AP,"Preme - We Them Niggas [V1]
(feat. A$AP Rocky)","Seller has and will sell the studio session along with the song ""We Them Niggas"".",,,,,Rumored,Not Available,
,Pre-TESTING,,,,,,,,
,Instrumental,,,,,,,,
Pre-TESTING,"Selena Gomez - Good For You
(feat. A$AP Rocky & Haywood) (prod. Héctor Delgado, A$AP Rocky, Hit-Boy, Nick Monson & Rock Mafia)",,,,,,Full,CD Quality,https://pillows.su/f/3bb34d97c6c478c20600bf919d8e06e2
Pre-TESTING,"Clams Casino - Be Somebody
(feat. A$AP Rocky & Lil B) (prod. Clams Casino)","Official instrumental for the Clams Casino song ""Be Somebody"" featuring Rocky and The Based God Lil B released on the deluxe edition of ""32 Levels"" which was released on July 15th, 2016.",,"Jul 15, 2016",,,Full,Lossless,https://pillows.su/f/507965c162a6022fed57e7441ff85e3c
,Stems,,,,,,,,
Pre-TESTING,Euro 2 [Sample Stem],"OG Filename: devil inside 35bpm
Stem for the sample of ""Euro 2"".",124,,,35,OG File,Lossless,https://pillows.su/f/e9193585bb8a052fd1bb054d166e22c0
,TESTING,,,,,,,,
,Acapella,,,,,,,,
TESTING,"G Eazy - No Limit
(feat. A$AP Rocky)","Accapella for G-Eazy's song ""No Limit"" featuring Rocky leaked on October 12th, 2023 in a mass leak.",,"Oct 12, 2023",,,Full,CD Quality,
,Instrumental,,,,,,,,
TESTING,"A$AP Forever [mV6B]
(prod. Jordie X, Hector Delgado & A$AP Rocky)",Original Filename: AR-A$AP FOREVER ( HEC VER ) v  6 B INST pre master,3:54,"Apr 25, 2018",,,Full,Lossless,https://pillows.su/f/31f1ccff495479a47aa35e4ad1625ff1
TESTING,"Bad Company [mV8D]
(prod. Hector Delgado, Kintaro & Ricci Riera)",Original Filename: AR- BLCBYjB - BadCPMY Ver 8 D ( HEC ) INSTR,3:04,"Mar 28, 2018",,,Full,Lossless,https://pillows.su/f/16d79737f42bfc9f12a6547e65d0d5d8
TESTING,"Buck Shots
(prod. Kelvin Krash)",Posted by Kelvin Krash to his Instagram sometime in 2018.,,,,,Partial,High Quality,https://pillows.su/f/7c68118c6888b7a87fea35e351010f01
TESTING,"Testing The Kid
(prod. Kelvin Krash)","Instrumental for the song ""Testing The Kid"" was played by Kelvin Krash on Instagram live on a now lost date.",,,,,Partial,Recording,https://pillows.su/f/4c264b27663de08c0e0527ebda24088d
TESTING,"Lana Del Rey - Groupie Love
(feat. A$AP Rocky) (prod. Rick Nowels, Kieron 
Menzies, Dean Reid & Héctor Delgado)","Instrumental for the song ""Groupie Love"".",,,,,Full,CD Quality,https://pillows.su/f/a296d468a1909fe96e2f3fbf60cbc513
TESTING,"Lana Del Rey - Summer Bummer (Demo)
(prod. Boi-1da, T-Minus, Jahaan Sweet, BigWhiteBeatz & Rick Nowels)
(So Good, Summer Bummer (Solo))","Instrumental for the demo version of the song ""Summer Bummer"".",,,,,Full,CD Quality,https://pillows.su/f/5d4d8f9085e17124fd3b9352b236f26d
TESTING,"Lana Del Rey - Summer Bummer
(feat. A$AP Rocky & Playboi Carti) (prod. Rick Nowels, T-Minus, BigWhiteBeatz, Boi-1da & Jahaan Sweet)","Instrumental for the song ""Summer Bummer"".",,,,,Full,CD Quality,https://pillows.su/f/ad7c760a4676d6fff7cef076a111c656
TESTING,"Tyler, The Creator - I Ain't Got Time!
(feat. A$AP Rocky) (prod. Tyler, The Creator)","Snippet of what seems to be the released version of ""I Ain't Got Time"" by Tyler, The Creator leaked on April 26th, 2023.",,"Apr 26, 2023",,,Snippet,Low Quality,
,"WANG$AP
(Collaboration with Tyler, The Creator)","(??/??/2017) (Project is conceived during the Flower Boy sessions)
(01/22/2019) (Tyler announces the project will not release)",,,,,,,
,Acapella,,,,,,,,
WANG$AP,"Potato Salad [V2] 
(Sexydick)","Acapella for unused takes of ""Potato Salad"". Contains the intro skit and 
entirely new lyrics.",,,,,Snippet,Low Quality,
WANG$AP,"Run It
(with Tyler, The Creator)","Was shown by Shogani on a discord call. Snippet leaked in a 1 hour 
VC recording.",,,,,Snippet,High Quality,
,Instrumental,,,,,,,,
WANG$AP,"Sexydick [V1]
(Potato Salad)","Instrumental for an early version of Potato Salad. Is slightly pitched up and longer than release, making it basically just ""Knock, Knock"" which is the sample used.",3:07,2017,A Major,86,Full,CD Quality,https://pillows.su/f/131f26fdd5c9bde92dbc0e0cf4640c79
,"ALL SMILE$
(STILL TESTING, Injured Generation)",,,,,,,,
,Acapella,,,,,,,,
ALL SMILE$,"Night School
(feat. Young Thug) (prod. Wheezy)","Snippet for the accapella for the leaked track ""Night School"" leaked on a unknown date.",,,,,Snippet,CD Quality,
,Instrumental,,,,,,,,
ALL SMILE$,"Shittin' Me [V2]
(prod. Kelvin Krash)","A beat switch for the song ""Shittin' Me"" was played by Kelvin Krash on Instagram live on a now lost date.",,,,,Partial,Recording,
,DON'T BE DUMB,,,,,,,,
,Acapella,,,,,,,,
DON'T BE DUMB,"Yebba - Far Away [Accapella]
(feat. A$AP Rocky)","Accapella for ""Far Away"" by Yebba featuring Rocky. It's unknown when the snippet for this accapella leaked.",,,,,Snippet,CD Quality,
,Instrumental,,,,,,,,
DON'T BE DUMB,"Air Force (Black Demarco)
(prod. A$AP Rocky, Manny Laurenko & Zach Fogarty) (co-prod. Digital Nas)","Instrumental for ""Air Force (Black Demarco)"" from the merch CD.",3:43,,,,Full,CD Quality,https://pillows.su/f/4b622de3ec829cbab78b1ab867ef5b6b
DON'T BE DUMB,"Grim Freestyle
(prod. A$AP P on the Boards, A$AP Rocky & Ghost)
(NO I.D., NO I.D. (GRIM), NO I.D. (GRIM FREESTYLE), GRIM)","Instrumental for ""GRIM FREESTYLE"" played on awge.com",2:15,,,,Full,CD Quality,https://pillows.su/f/481d9c3e8f3264a74b5892df377c2d7f
DON'T BE DUMB,"Helicopter
(prod. Kelvin Krash & Soufien 3000) (co-prod. A$AP Rocky)","Instrumental for ""Helicopter"" from the merch CD.",2:41,,,,Full,CD Quality,https://pillows.su/f/cc86698350f5f0ec899499a5698c3204
DON'T BE DUMB,"I Smoked Away My Brain (I’m God x Demons Mashup)
(with Clams Casino & Imogen Heap) (prod. Clams Casino)","Instrumental for ""I Smoked Away My Brain (I’m God x Demons Mashup)"" being ""I'm God"" by Clams Casino released on his mixtape ""Instrumentals 2"" June 5th, 2012",4:37,"Jun 5, 2012",Db Major,142,Full,Lossless,https://pillows.su/f/e587a48dc54ee2b373b9562ad94bc1b3
DON'T BE DUMB,"Punk Rocky
(prod. A$AP Rocky, Cristoforo Donadi, Ging & Zach Fogarty)","Original Filename: Punk Rocky (REVISION 2) - instrumental (mastered ts)
Instrumental for ""Punk Rocky"" from the merch CD. Despite having the original metadata attached, this is not the OG file.",3:55,,,,Full,CD Quality,https://pillows.su/f/bf62a31f9c11c9bfa634305addaf3ebb
DON'T BE DUMB,"Stole Ya Flow
(prod. ICYTWAT & Kelvin Krash)","Instrumental for ""Stole Ya Flow"" from the merch CD.",3:22,,,,Full,CD Quality,https://pillows.su/f/d0ad66214241c0fd9fb2a928e1f543eb
DON'T BE DUMB,"Shittin' Me
(prod. Kelvin Krash)","Official instrumental for ""Shittin' Me"" produced by Kelvin Krash released onto Hipinstrumentals",2:22,,,148,Full,CD Quality,https://pillows.su/f/a34f24cbd3f2b6568845e08cb58ab84d
DON'T BE DUMB,"Doja Cat - URRRGE!!!!!!!!!!
(feat. A$AP Rocky) (prod. DZL, Runway the Catwalker, Kory Adams & Kelvin Krash)","Official instrumental for ""URRRGE!!!!!!!!!!"" by Doja Cat produced by DZL, Runway the Catwalker, Kory Adams & Kelvin Krash.",2:32,"Jun 9, 2024",,,Full,Lossless,https://pillows.su/f/9350d3f547bf8234609e009c09277303
DON'T BE DUMB,"Metro Boomin - Am I Dreaming
(feat. A$AP Rocky, Roisee) (prod. Metro Boomin, 
MIKE DEAN, Peter Lee Johnson & Scriptplugg)","Offical instrumental for ""Am I Dreaming"" released on ""METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE [METROVERSE INSTRUMENTAL EDITION])"" which released on August 4th, 2023.",4:16,"Aug 4, 2023",,,Full,Lossless,https://pillows.su/f/2d123f1d058a9a83daea45c57d8605f7
DON'T BE DUMB,"Metro Boomin - Feel The Fiyaaaah
(feat. A$AP Rocky, Takeoff) (prod. Metro Boomin)","Offical instrumental for ""Feel The Fiyaaaah"" released on ""HEROS & VILLAINS (Heroes Version)"" by Metro Boomin on December 5th, 2022.",3:08,"Dec 5, 2022",,,Full,Lossless,https://pillows.su/f/d7d90a9596cfe43522f1e6e858a3f282
DON'T BE DUMB,"Metro Boomin - I Can’t Save You (Interlude)
(feat. Don Toliver, 21 Savage, A$AP Rocky & Young 
Thug) (prod. Metro Boomin, Allen Ritter & D. Rich)","Offical instrumental for ""I Can't Save You (Interlude)"" released on ""HEROS & VILLAINS (Heroes Version)"" by Metro Boomin on December 5th, 2022.",1:30,"Dec 5, 2022",,,Full,Lossless,https://pillows.su/f/430eaa97015da06d37247bb4d01f71d6
DON'T BE DUMB,"Metro Boomin - Nonviolent Communication
(feat. A$AP Rocky, 21 Savage, James Blake) (prod. Dre Moon, Metro Boomin & TRAKGIRL)","Offical instrumental for ""Nonviolent Communication"" released on ""METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE [METROVERSE INSTRUMENTAL EDITION])"" which released on August 4th, 2023.",3:29,"Aug 4, 2023",,,Full,Lossless,https://pillows.su/f/dc8a8706187d562d3c9e3f4583c45e0e
DON'T BE DUMB,"Metro Boomin - On Time
(feat. John Legend, A$AP Rocky, Morgan Freeman) 
(prod. Metro Boomin, TM88, Peter Lee Johnson, DJ 
Moon & ​​johan lenox)","Offical instrumental for ""On Time"" released on ""HEROS & VILLAINS (Heroes Version)"" by Metro Boomin on December 5th, 2022.",2:48,"Dec 5, 2022",,,Full,Lossless,https://pillows.su/f/9eb015d393723cafed8439bcb534ce07
,Sessions,,,,,,,,
DON'T BE DUMB,"⭐️ Untitled
(feat. ICYTWAT) (prod. The Alchemist)
(Shirt)",,N/A,"Dec 29, 2024",,N/A,Full,Lossless,Link Needed
