Era,"Name
(A$AP Rocky Tracker website!)","Notes
(Join the Rocky Hub Discord server!)",Copy Length,Cover Art,Date,Available Length,Quality,Link
LIVE.LOVE.A$AP,LIVE.LOVE.A$AP [2021 Re-release],"Full lossless copy of the 2021 re-release of the 2011 mixtape ""LIVE.LOVE.A$AP"". Features the addition of a new song titled ""Sandman"" and the removal of ""Kissin' Pink"" and ""Out Of This World"" as well as differences to original songs.",,,"Oct 29, 2021",Full,"Lossless
(FLAC)",https://archive.org/details/05-brand-new-guy
,"B.M.W
(Collaboration with SpaceGhostPurrp)
(Black Man's Wealth)","(September 14th, 2011) (EP is announced in a interview on Ballers Eve)
(Early 2012) (Rocky and SpaceGhostPurrp's friendship ends over beef)",,,,"It was revealed in a interview at Ballers Eve on September 14th, 2011 that Rocky and SpaceGhostPurrp planned to release a six track collaboration EP titled ""B.M.W"" under the group name of TWIN meaning ""two wild ignorant niggas"" as the two would often call each other their twin at the time. On Rocky's debut mixtape SpaceGhostPurrp featured on two songs which were ""Purple Swag: Chapter 2"" and ""Keep It G"". Later on, SpaceGhostPurrp would produce Rocky's song ""Pretty Flacko"", but as April 2012 was underway the two artists started to have some beef as SpaceGhostPurrp claimed Rocky stole his style in music, fashion style among other things such as how the A$AP Mob began to use hieroglyphics just as the SpaceGhostPurrp lead Raider Klan would. He called out Rocky for using lyrics from his song ""My Enemie"" on his ""Goldie"" single in April. From there the beef got worse and SpaceGhostPurrp would often diss Rocky while even Rocky would throw disses his way telling him to stick to making beats. On December 17th, 2012 SpaceGhostPurrp released a solo EP with the same title so it's possible some of the songs that appeared on that project were originally for the collab tape. On the deluxe version of Rocky's first studio album the songs ""Jodye"" and ""Angels"" have direct disses to SpaceGhostPurrp.",,
B.M.W,"🏆 B.M.W. [EP]
(with SpaceGhostPurrp)
(Black Man's Wealth)","It was revealed in a interview on Ballers Eve that Rocky and SpaceGhostPurrp planned to release a collab EP titled ""B.M.W."" under the name TWIN meaning ""two wild ignorant niggas"". The EP was planned to feature six tracks, but it's unknown what songs they were as of right now, the only seemingly confirmed song is ""R.I.P. Yams"" that released in 2016. On December 17th, 2012 SpaceGhostPurrp released a solo EP with the same title so it's possible some of the songs that appeared on that project were originally for the collab tape.",??:??,???,Mid-Late 2011,Confirmed,Not Available,N/A
"0 Album
0 Single
0 Feature
0 Other","Live Love Purple
(Collaboration with OG Ron C & Chopstars)","(October 31st, 2011) (LIVE.LOVE.A$AP is released)
(March 23rd, 2012) (Live Love Purple is released) ",,,,,,
Live Love Purple,⭐️ Live Love Purple,"""Live Love Purple"" is a chopped and screwed version of ""LIVE.LOVE.A$AP"" released March 23rd 2012 and is hosted by OG Ron C.",,,"Mar 23, 2012",Full,"CD Quality
(320kbps)",https://pillows.su/f/c73965263ec4c256d7a43d4ac4220406
,"Lord$ Never Worry
(Collaboration with A$AP Mob)
(Trilluminati, LONG.LIVE.A$AP)","(November 29th, 2011) (Project is announced in a HipHopDX interview)
(August 28th, 2012) (Lord$ Never Worry is released)",,,,"With Rocky on the rise with massive success from his mixtape “LIVE.LOVE.A$AP” it only made sense for the A$AP Mob to all make a project together so more of the other members of A$AP could be recognized for their talents, and they did just that. The project was first announced by Rocky in a November 29th, 2011 interview with HipHopDX with him stating “Yeah, “LONG.LIVE.A$AP.” That’s like the joint with everybody on it. It’s a compilation. I plan on dropping that after “LIVE.LOVE.A$AP” drops again, because we gonna do a deluxe version of “LIVE.LOVE.A$AP”. Right after that, we gonna drop the A$AP compilation with everybody on it.” The project has been described as a compilation at the time and the title would later become the name of Rocky’s first studio album. The project was said for a February 2012 release which was eventually pushed back for an April release but by the time March came around a May release was revealed. This was revealed in a Tumblr post from the A$AP Mob speaking on the release of A$AP Ant and Bodega Bamz song “Told Ya” on March 26th, 2012 states “The baby goon of the year A$AP Ant brings you his first visual alongside Bodega Bamz produced by DJ Carnage. Look out for TRILLUMINVTI this May featuring new music from Pretty Flacko, Nasty Baby 90’s Nigga, Twelvy the Good Goon, Fergenstein aka Diamond Dolla$ Page, and the rest of the Mob”. In this post a new name for the project can be seen “Trilluminati” and again, was set to be released in May 2012. A fan asked where the project was in April and Yams responded on his Tumblr on May 2nd, 2012  saying that the A$AP Mob thought moving to LA “would be the move”, but it ended up being the total opposite. He claimed “The energy is dead here there was no motivation here to make music”. He then said they’re going back to New York City to get the inspiration they needed again, Yams stated “the music will be rawer than ever believe that....TRILLUMINATI will be here” again confirming the title. With the project still not coming out in May many still wondered if it would be released any time soon, finally in July Yams announced the first single for the album “Bath Salt” which was released on July 27th. Yams stated there were no more delays and the album would come out on August 28th officially announcing the title “Lord$ Never Worry”. Before this another single “Purple Kisses” released on August 13th and the last single “Work” released on August 20th. Finally, after all the delays “Lord$ Never Worry” released on the planned date of August 28th, 2012.",,
Lord$ Never Worry,⭐️ Lord$ Never Worry,"Full copy of the A$AP Mob mixtape ""Lord$ Never Worry"" released 28th of August 2012. It was released as a free digital download on August 28, 2012, by ASAP Worldwide, Polo Grounds Music, and RCA Records.",1:01:52,,"Aug 28, 2012",Full,"CD Quality
(320kbps)",https://pillows.su/f/dafd545d0141ce1cff751922d08e503c
,LONG.LIVE.A$AP,"(October 31st, 2011) (LIVE.LOVE.A$AP is released)
(January 15th, 2013) (LONG.LIVE.A$AP is released) ",,,,"After the massive success of Rocky’s first mixtape and a revolutionary three million dollar record deal he decided to go full force into his first studio album seemingly right away. While still being a part of the Club Paradise Tour with Drake and Kendrick Lamar he began to make connections with bigger names in the industry. Not too long after the release of the hit mixtape Rocky talked about compilation album with the A$AP Mob then titled ""LONG.LIVE.A$AP"". Still working on his own album by March 2012 Rocky's album name was rumored to be ""A$AP Rocky Forever Part 1"" which was quickly debunked and was now titled ""LONG.LIVE.A$AP"" with the A$AP Mob's project being renamed to ""Trilluminati"". At this point the album was planned to drop on July 4th, 2012, but the album would later be delayed. Fans were hungry for more solo Rocky music as he had been featuring on a handful of songs up until April 16th, 2012 when the first single for his album ""Goldie"" released with production from a very well respected producer Hit-Boy. The album was delayed once the July release day hit for unknown reasons, but Rocky still worked on the album with a second single titled ""Fuckin' Problems"" releasing on October 24th, 2012. This song has the likes of Drake, Kendrick Lamar and 2 Chainz and quickly became Rocky's most popular song at that point, and remains as one of them to this day. It was then announced in December 2012 that the album would release on January 15th, 2013 with the title track ""Long Live A$AP"" releasing as a single on December 18th, 2012. Just two days later on December 20th, 2012 a listening event for the album took place at a local Harlem music store. The album was completely finished and ready to release on its planned day, this was when just two days after that on December 22nd, 2012 the whole album was leaked online for everyone to hear. Surprisingly, Rocky was not upset by this, infact he was completely okay with it as long as people liked the album as he spent so much time making it. Just four days before the album the last pre-release single titled ""Wild for the Night"" with Skrillex and Birdy Nam Nam, which was also a huge hit. The album then released on the planned date of January 15th, 2013 along with a deluxe edition adding four more songs to the tracklist. The album is credited for its creative direction as well as big time features after being for the most part unknown not too long before the release. Despite this, Rocky knew the songs such as ""Fuckin' Problems"" and ""Wild for the Night"" were made as hits for his record label in a sense and knew he wanted to create a more personal and creative album next.",,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [V1],"A full copy of an early version of ""LONG.LIVE.A$AP"" that leaked in December of 2012 a whole month before the album released. Most of the songs are unmastered and song have different names like ""Angels"" being called ""Ticket"" and ""I Come Apart"" being called ""Like I'm Apart"".",,,"Dec 18, 2012",Full,High Quality (192kbps),https://krakenfiles.com/view/zMRXIL19S0/file.html
LONG.LIVE.A$AP,LONG.LIVE.A$AP [V2],"Full lossless copy of A$AP Rocky's first studio album ""LONG.LIVE.A$AP"" released January 15th 2013 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"Jan 15, 2013",Full,"Lossless
(FLAC)",https://archive.org/details/a-ap-rocky-long.-live.-a-ap-09-1-train/folder.jpg
LONG.LIVE.A$AP,💎 LONG.LIVE.A$AP (Deluxe) [V2],"Full lossless copy of the deluxe version A$AP Rocky's first studio album ""LONG.LIVE.A$AP"" which contains new tracks like ""Angels"", ""Ghetto Symphony"", ""Jodye"" and more released January 15th 2013 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"Jan 15, 2013",Full,"Lossless
(FLAC)",https://archive.org/details/09-1-train-feat.-kendrick-lamar-joey-badass-yelawolf-danny-brown-action-bronson-big-k.-r.-i.-t.-cr-1
LONG.LIVE.A$AP,LONG.LIVE.PURPLE,"""LONG.LIVE.PURPLE"" is an official chopped and screwed version of ""LONG.LIVE.A$AP"" hosted DJ Slim K.",,,2013,Full,"CD Quality
(320kbps)",https://archive.org/details/AsAP_Rocky_-_Long_Live_Purple_Chopped_Not_Slopped_By_DJ_Slim_K-2013
,"Beauty and the Beast: Slowed Down Sessions, Chapter 1","(January 15th, 2013) (LONG.LIVE.A$AP is released)
(April 12th, 2013) (The mixtape is announced)
(April 21st, 2015) (Rocky explains the mixtape is delayed for AT.LONG.LAST.A$AP)",,,,"It was revealed in a 2019 interview with Kerwin Frost that Rocky was taught how to make beats in 2011 by close collaborators at the time A$AP Ty Beats and SpaceGhostPurrp, so on his first studio album that was titled  ""LONG.LIVE.A$AP"" he had a number of production credits. Some songs that he had a large amount of production on is ""Suddenly"" and ""Jodye"" which he produced with the likes of Héctor Delgado and Joey Fatts. After the release of that studio album Rocky had a plan to being working on a mixtape full of self-produced instrumentals. This mixtape would not be announced until a interview with WiLD 94.9 on April 12th, 2013 where he said ""I'm working on an instrumental album right now. I'm doing all my own beats,"" he says. ""It's going to be interesting to see how people react towards my production."" Rocky said he's ""not even going to announce it, just drop it"" very soon. Although fans would not see a release of the mixtape anytime in 2013 Rocky continued to work on it while touring with the likes of Héctor Delgado, who evidently had a lot of influence on the project. Then later on Rocky would speak on the project in a interview with MTV saying ""I think people are gonna be intrigued by it because it's actually good,"" he continued. ""I wouldn't do nothing that I didn't feel confident or comfortable about. I think people gonna like this shit"". He revealed the title to be ""Beauty and the Beast: Slowed Down Sessions, Chapter 1"" and described the mixtape as ""really druggy, ambient shit"", following up saying ""everything is like classical beautiful music and boom-bap Wu-Tang shit mixed together. It's slowed down and it's real vibey, with no lyrics. I feel like it's gonna get people through the summer"" stating it would release for free that summer of 2013 with visuals. [Unfinished description]",,
"Beauty and the Beast: Slowed Down Sessions, Chapter 1","Beauty and the Beast: Slowed Down Sessions, Chapter 1","A full copy of the instrumental mixtape ""Beauty and the Beast: Slowed Down Sessions, Chapter 1"" is confirmed to exist.",,,,Confirmed,Not Available,N/A
,AT.LONG.LAST.A$AP,"(January 15th, 2013) (LONG.LIVE.A$AP is released)
(May 26th, 2015) (AT.LONG.LAST.A$AP is released)",,,,When Rocky’s second album “AT.LONG.LAST.A$AP” was in production it was first going to have a similar idea to its predecessor until the tragic death of Rocky’s friend and mentor A$AP Yams in January 2015. After this devastating event he changed the entire concept of the album to a new direction; he had some lesser known features such as a homeless man from London named Joe Fox who featured on a plethora of tracks while still having big names such as Kanye West and Lil Wayne. The project again gained attention through its singles such as “L$D” and “Everyday” among many other songs on the album.,,
AT.LONG.    LAST.A$AP,💎 AT.LONG.LAST.A$AP,"""AT.LONG.LAST.A$AP"" is the second studio album by ASAP Rocky. It was released on May 26, 2015, by ASAP Worldwide, Polo Grounds Music, and RCA Records.",1:06:09,,"May 26, 2015",Full,"Lossless
(FLAC)",https://archive.org/details/09-jukebox-joints_202601
AT.LONG.    LAST.A$AP,💎 AT.LONG.LAST.A$AP [Apple Music Rip],"""AT.LONG.LAST.A$AP"" is the second studio album by ASAP Rocky. It was released on May 26, 2015, by ASAP Worldwide, Polo Grounds Music, and RCA Records.",1:06:09,,"May 26, 2015",Full,"Lossless
(ALAC)",https://archive.org/details/09-jukebox-joints-feat.-joe-fox-x-kanye-west
AT.LONG.    LAST.A$AP,AT.LONG.LAST.PURPLE,"""AT.LONG.LAST.PURPLE"" is an official chopped and screwed version of ""AT.LONG.LAST.A$AP"" released December 29th, 2015 and is hosted by DJ Candlestick, DJ Slim K, OG Ron C and Chopstars.",,,"Dec 29, 2015",Full,"CD Quality
(320kbps)",https://pillows.su/f/831d044fc58348dc5ac2f16f3d19706e
,"Cozy Tapes Vol. 1: Friends
(Collaboration with A$AP Mob) ","(January 18th, 2015) (A$AP Yams passes away)
(October 31st, 2016) (Cozy Tapes Vol. 1: Friends - is released)",,,,"Around the time of A$AP Yams' unfortunate death in January of 2015 the A$AP Mob decided to produce an album as a whole group, with this being the first one since 2012’s ‘Lord$ Never Worry’. The title of this project was titled ‘Cozy Tapes Vol. 1: Friends -‘ with the friends in the title signifying the many other collaborators outside of the mob including people such as Tyler, The Creator, Playboi Carti and even Lil Uzi Vert. This project gained lots of success through songs like ‘Telephone Calls’ and ‘Yamborghini High’, two of the singles for the tape, the success of this project motivated the A$AP Mob to release a second volume in the future.",,
Cozy Tapes Vol. 1: Friends -,⭐️ Cozy Tapes Vol. 1: Friends ,"Full lossless copy of the streaming release of the first studio A$AP Mob collaboration album ""Cozy Tapes Vol. 1: Friends -"" released October 31, 2016 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"Oct 31, 2016",Full,"Lossless
(FLAC)",https://archive.org/details/01-yamborghini-high
,"Cozy Tapes Vol. 2: Too Cozy
(Collaboration with A$AP Mob)","(October 31st, 2016) (Cozy Tapes Vol. 1: Friends - is released)
(August 25th, 2017) (Cozy Tapes Vol. 2: Too Cozy is released)",,,,"Around nine months after the release of the first tape the Rocky announced that the highly anticipated second volume of the ‘Cozy Tapes’ series was finished, being titled “Cozy Tapes: Vol. 2 Too Cozy”. One of the singles titled ‘Wrong’ didn’t end up making the album. Two of the singles that did end up on the album were ‘Feels So Good’ and ‘RAF’ with a super-star roster with artists Frank Ocean, Lil Uzi Vert, Playboi Carti and Quavo. With other collaborators like ScHoolboy Q, Joey Bada$$, Gucci Mane and many other artists appeared on the album. Many fans of the A$AP Mob are still waiting for the third addition to the series.",,
Cozy Tapes Vol. 2: Too Cozy,⭐️ Cozy Tapes Vol. 2: Too Cozy,"Full lossless copy of the streaming release of the second studio A$AP Mob collaboration album ""Cozy Tapes Vol. 2: Too Cozy"" released October 31, 2016 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"Aug 25, 2017",Full,"Lossless
(FLAC)",https://archive.org/details/08-get-the-bag
,"DUMMIE
(DUMMY)","(2016) (Album gets worked on with TESTING)
(May 2018) (Album gets scrapped weeks before TESTING's release)",,,,"Sometime while working on “TESTING” in 2016 Rocky began work on a second project, which was intended to release alongside the main album, then titled “DUMMY”. On June 23rd, 2017 Rocky played a snippet of a song from the album titled “Darkside” at a fashion show. Later, on September 21st, 2017 Instagram user blamedemcracka shared a video showing snippets for the songs “Pretty Guy”, “Keep It Trill” and “Smokin’ Dope” and the tracks “Tropical” and “Smokin’ Dope” leaked not long after. Around this time a leaked tracklist for the album surfaced that would only resurface on October 8th, 2023, it was also stated by Mod that multiple unleaked tracklists for the album exist but it is unknown how different they may be. The project had gone under the radar until January 13th, 2018 when Rocky would release a single titled “☆☆☆☆☆ 5IVE $TAR$” onto SoundCloud with the songs “Above” and “Money Bags Freestyle” releasing on Janurary 14th and 15th respectively. These three SoundCloud singles all had the same cover art with the new title of “DUMMIE” with a which would have likely been the final album art. It has been stated by Mod that the album was intended to drop with “TESTING” on May 25th, 2018, but the whole album was entirely scrapped just a few weeks before for unknown reasons.",,
DUMMIE,DUMMY,"An album copy of ""DUMMY"" from 2017 was shown featuring seven songs, three of which are grails that have yet to surface as of now. It is unknown if anyone still owns this copy of the album other than Twitter user @blamedemcrackas as he was the one who leaked several songs and snippets from the album throughout September 2017.",,,,Confirmed,Not Available,N/A
,TESTING,"(December 19th, 2016) (Rocky teases the TESTING title for the first time)
(May 25th, 2018) (TESTING is released)",,,,"Similar to Rocky’s previous solo project he totally changed the direction of his third studio album “TESTING”, for example the well known psychedelic production of Rocky’s music now had a more industrial feel and the style in overall took a big turn compared to his last release. He worked with many new faces such as Dean Blunt and Kelvin Krash for this project making a big difference. The album saw success through songs such as ‘Praise The Lord (Da Shine)’ which is now Rocky’s most popular song to date. The album was not praised as much as his past releases and this fact motivated him to change his sound on his next release.",,
TESTING,💎 TESTING,"Full lossless copy of A$AP Rocky's third studio album ""TESTING"" released May 25th 2018 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"May 25, 2018",Full,"Lossless
(FLAC)",https://archive.org/details/02-a-ap-forever-remix
TESTING,TESTING [Master Files],"OG Files for TESTING leaked as a bonus for a Kanye West groupbuy for his song ""Pressure (Can U Be)"". Songs have super minor differences",,,,OG File,Lossless,Link Needed
,"TESTING 
(Chopped & Screwed)
[Hosted by DJ Slim K]","(May 25th, 2018) (TESTING is released)
(May 2nd, 2019) (Chopped and screwed version of TESTING is made by Slim K)
(2019) (The project never releases for unknown reasons)",,,,WIP,,
TESTING             (Chopped & Screwed),TESTING (Chopped & Screwed),"Chopped and screwed version of TESTING made by long time collaborator DJ Slim K. Did not release for unknown reasons, despite being almost 100% complete.",,,N/A,OG File,"Lossless
(WAV)",https://mega.nz/file/RMMj0Z4Z#rCcIp7EPpAElGNw-dK5owEn4lDkkn-GHVTV6rUFvSd8
,"DON'T BE DUMB
(Executive produced by AWGE & A$AP Rocky)","(May 25th, 2018) (TESTING is released)
(December 16th, 2025) (DON'T BE DUMB is announced with the cover art for January 16th, 2025)
(January 5th, 2026) (""Punk Rocky"" releases as lead single for DON'T BE DUMB)
(January 12th, 2026) (""Helicopter"" releases as secondary single for DON'T BE DUMB)
(January 16th 2026) (DON'T BE DUMB is released)",,,,"After all of 2025 passed by, on December 16 of 2025 Don't Be Dumb would finally be offically annoucned with its cover.
Afterwards two singles, ""Punk Rocky"" and ""Helicopter"" Will release on their respective dates. 
And finally, one month after being offically announced, Don't Be Dumb will release on all DPS services                        ",,
DON'T BE DUMB,💎 DON'T BE DUMB [Streaming Rip],"Full lossless copy of A$AP Rocky's fourth studio album ""DON'T BE DUMB"" released January 16th 2026 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"Jan 16, 2026",Full,"Lossless
(FLAC)",https://archive.org/details/105.-stay-here-4-life
DON'T BE DUMB,💎 DON'T BE DUMB [CD Rip],"Full lossless copy of A$AP Rocky's fourth studio album ""DON'T BE DUMB"" released January 16th 2026 by ASAP Worldwide, Polo Grounds Music, and RCA Records. Contains no crossfade compared to the vinyl release.",,,"Jan 16, 2026",Full,"Lossless
(WAV)",https://archive.org/details/05-stay-here-4-life_202601
DON'T BE DUMB,💎 DON'T BE DUMB [Apple Music Rip],"Full lossless copy of A$AP Rocky's fourth studio album ""DON'T BE DUMB"" released January 16th 2026 by ASAP Worldwide, Polo Grounds Music, and RCA Records.",,,"Jan 15, 2026",Full,"Lossless
(ALAC)",https://archive.org/details/05-a-ap-rocky-dont-be-dumb-stay-here-4-life
DON'T BE DUMB,✨ Songline,"Songline is a live album released April 3, 2026, exclusively on Amazon Music. It's comprised of mainly tracks from his freshly released fourth studio album ""Don't Be Dumb""",,,"Apr 16, 2026",Full,"Lossless
(FLAC)",https://mega.nz/file/5RFhyBhb#R8RFJusDHh1foRDmwItaz88fBO9RuzJg3bDH5pjp-Tg
