Era,Name,Notes,Image,Date Made,Available Length,In Circulation?,Link(s)
LIVE.LOVE.A$AP,"Real Shit From A Real Nigga
(feat. Von) (prod. Clams Casino)","2011 freestyle over Clams Casino's ""Real Shit From A Real Nigga"" which was originally by Lil B. Rocky is seen freestyling along with Von. Uploaded September 18th, 2012 onto TheFilmatics YouTube channel and is shot by Jon Filmatic and was edited by Chris Filmatic.",3:12,"Sep 18, 2012",Full,Recording,https://youtu.be/-ctmoaYKBts
,Music Videos,,,,,,
LIVE.LOVE.A$AP,"Peso
(feat. Kevin Andres) (dir. Abteen Bagheri & A$AP Rocky)","Music video for the song ""Peso"" which was directed by Abteen Bagheri and A$AP Rocky. The video released on August 10th, 2011. Totally separate from the ""Peso"" video interlude shown in the video for ""Purple Swag"".",,Aug 2011,Full,CD Quality,https://youtu.be/ob3ktDxAjWI
LIVE.LOVE.A$AP,"Demons
(dir. Donjai)","Music video for the song ""Demons"" which was directed by Donjai. The video leaked online without consent from Rocky on November 29th, 2011. Rocky's response on Twitter to the music video leaking was ""THE GARBAGE ASS DEMONS VIDEO THAT LEAKED WAS NOT CLEARED BY US"".",,Nov 2011,Full,CD Quality,Link Needed
LIVE.LOVE.A$AP,"Wassup
(dir. Andy Capper & A$AP Rocky)","Music video for the song ""Wassup"" was directed by Andy Capper and A$AP Rocky. The video released on January 20th, 2012. Rocky teamed up with VICE to make a Scarface, Belly, Enter The Dragon, The Warriors and Willy Wonka and The Chocolate Factory inspired video. The video depicts Rocky going through a dreamy fantasy world filled with the 40s, Ferraris, homies and hoards of cash as the description of the music video states.",,Jan 2012,Full,CD Quality,https://youtu.be/r6I2Ek_j_Xc
LIVE.LOVE.A$AP,"Brand New Guy
(feat. ScHoolboy Q) (dir. The ICU & A$AP Rocky)","Music video for the song ""Brand New Guy"" featuring ScHoolboy Q which was directed by The ICU & A$AP Rocky. The video was released on June 4th, 2012. A ""draft"" for the music video can be seen in a A$AP Yams Instagram post but the differences are unknown.",,Jun 2012,Full,CD Quality,https://youtu.be/nm_rtM2HgI4
,Never Recorded,,,,,,
LIVE.LOVE.A$AP,"Lil B - ???
(prod. Clams Casino)
(Bass)","Before Rocky would rap on the Bass instrumental, Clams Casino originally sent the beat to Lil B in 2009 but Lil B would pass on it due to it being ""too fast"". The beat would later be reworked into Lil B's ""I'm The Devil"" and Rocky would release ""Bass"" on LIVE.LOVE.A$AP only 2 years later. Unknown if Lil B actually rapped on the beat before passing it.",,,"Never
Recorded",,
,"Lord$ Never Worry
(LONG.LIVE.A$AP)
(Collaboration with A$AP Mob)",,,,,,
,Music Videos,,,,,,
Lord$ Never Worry,"Told Ya
(with A$AP Ant & Bodega Bamz) (dir. A$AP Ant)","Music video for the song ""Told Ya"" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by A$AP Ant and released on March 26th, 2012.",,Mar 2012,Full,CD Quality,https://youtu.be/TyTZJouDMeE?si=i7mP4QiHIVfXbPck
Lord$ Never Worry,"Purple Kisses
(perf. A$AP Rocky) (dir. Luke Monaghan & A$AP Rocky)","Music video for the song ""Purple Kisses"" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by Luke Monaghan and A$AP Rocky and released on August 14th, 2012.",,Aug 2012,Full,CD Quality,https://youtu.be/yweE80LMR50
Lord$ Never Worry,"Bath Salt
(perf. A$AP Rocky, A$AP Ant & Flatbush Zombies) (dir. Shomi Patwary & A$AP Rocky)","Music video for the song ""Bath Salt"" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by Shomi Patwary and A$AP Rocky and released on September 4th, 2012. ",,Sep 2012,Full,CD Quality,https://youtu.be/cmHkzRb90D8
Lord$ Never Worry,"Y.N.R.E.
(with A$AP Twelvyy) (dir. Simon Davis)","Music video for the song ""Y.N.R.E."" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by Simon Davis. Edited by Simon Davis. Shot by Jason Filmore. Produced by Marcus Williams. The video released on December 12th, 2012.",,Dec 2012,Full,CD Quality,
Lord$ Never Worry,"Work
(with A$AP Ferg) (dir. A$AP Ferg, Thuan Tran & Shomi Patwary)","Music video for the song ""Work"" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by A$AP Ferg, Thuan Tran and Shomi Patwary. The video released on January 14th, 2013.",,Jan 2013,Full,CD Quality,https://youtu.be/2gXfaffdy6Q?si=MCGyf0ZZysYL_qnY
Lord$ Never Worry,"Jay Reed
(with A$AP Twelvyy & Da$h) (dir. Simon Davis)","Music video for the song ""Jay Reed"" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by Simon Davis. The video released on April 10th, 2013. ",,Apr 2013,Full,CD Quality,
Lord$ Never Worry,"Persian White
(with A$AP Ferg) (dir. Thuan Tran & A$AP Ferg)","Music video for the song ""Persian White"" for the A$AP Mob's ""Lord$ Never Worry"" mixtape. Directed by Thuan Tran and A$AP Ferg. Photography directed by Thuan Tran and Justin Hogan. Edited by Thuan Tran. Produced by George Fernandez and anthony Blue. Sound design by Richie Batista. Colors by Thai Tran. Effects by Thai Tran. The video released on April 23rd, 2013.",,Apr 2013,Full,CD Quality,https://youtu.be/jIigWhNt4sI?si=ftd9DQ3M8048uPfh
,LONG.LIVE.A$AP,,,,,,
,Freestyles,,,,,,
LONG.LIVE.A$AP,"Pumped Up Kicks
(prod. Mark Foster)","A cover of Foster The People's song ""Pumped Up Kicks"" which changes some of the lyrics. During a session at BBC Radio 1's Maida Vale studios in London for Zane Lowe's show on August 1st, 2012. The song features alternate lyrics from the real Foster The People version.",1:46,"Aug 1, 2012",Full,High Quality,https://pillows.su/f/d02a5dd9e4a52f5fca8939eb2004c543
LONG.LIVE.A$AP,"Real Shit From A Real Nigga
(feat. Von) (prod. Clams Casino)","Freestyle over Clams Casino's ""Real Shit From A Real Nigga"" which was originally by Lil B. Rocky is seen freestyling along with Von. Uploaded September 18th, 2012 onto TheFilmatics YouTube channel and is shot by Jon Filmatic and was edited by Chris Filmatic.",3:12,"Sep 18, 2012",Full,Recording,https://youtu.be/-ctmoaYKBts
,Music Videos,,,,,,
LONG.LIVE.A$AP,"Goldie
(dir. A$AP Rocky)","Music video for the song ""Goldie"" which was directed by A$AP Rocky. The video released on May 8th, 2012.",,May 2012,Full,CD Quality,https://youtu.be/fLCf-URqIf0
LONG.LIVE.A$AP,"Fuckin' Problems
(feat. Drake, 2 Chainz & Kendrick Lamar) (dir. Sam Lecca & Clark Jackson)","Music video for the song ""Fuckin' Problems"" featuring Drake, Kendrick Lamar and 2 Chainz was directed by Sam Lecca and Clark Jackson. The video was released on December 4th, 2012.",,Dec 2012,Full,CD Quality,https://youtu.be/liZm1im2erU
LONG.LIVE.A$AP,"Long Live A$AP
(dir. Samantha Lecca & A$AP Rocky)","Music video for the song ""Long Live A$AP"" was directed by Samantha Lecca and A$AP Rocky. The video was released on December 24th, 2012.",,Dec 2012,Full,CD Quality,https://youtu.be/BysVzAnR9MY
LONG.LIVE.A$AP,"Wild for the Night
(dir. Chris Robinson & A$AP Rocky)","Music video for the song ""Wild for the Night"" was directed by Chris Robinson and A$AP Rocky. The video released on March 25th, 2013.",,Mar 2013,Full,CD Quality,https://youtu.be/1eWdbMBYlH4
LONG.LIVE.A$AP,"Fashion Killa
(dir. A$AP Rocky)","Music video for the song ""Fashion Killa"" was directed by A$AP Rocky. The video released on September 26th, 2013.",,Sep 2013,Full,CD Quality,https://youtu.be/F6VfsJ7LAlE
LONG.LIVE.A$AP,"Angels
(dir. Luke Monaghan & A$AP Rocky)","Music video for the song ""Angels"" was directed by Luke Monaghan and A$AP Rocky. The video released on Octtober 31st, 2013.",,Oct 2013,Full,CD Quality,https://youtu.be/-504g71bBE0
LONG.LIVE.A$AP,"Phoenix
(dir. Francesco Carrozzini)","Music video for the song ""Phoenix"" was directed by Francesco Carrozzini. The video was released on November 14th, 2013.",,Nov 2013,Full,CD Quality,https://youtu.be/OZkAePyJO6U
,Other,,,,,,
LONG.LIVE.A$AP,LONG.LIVE.A$AP [Physical Packaging and Artwork],"CD and vinyl packaging, and artwork for Rocky's album ""LONG.LIVE.A$AP"" designed by Joe Perez.",,,High-Res,,https://www.joerperez.com/long-live-asap-album/
,Never Recorded,,,,,,
LONG.LIVE.A$AP,"Ghetto Symphony
(feat. OutKast) (prod. )",,,,"Never
Recorded",N/A,
LONG.LIVE.A$AP,"JAY-Z - ???
(prod. Hit-Boy)
(Goldie)",,,,"Never
Recorded",N/A,
LONG.LIVE.A$AP,"Travis Scott - Quintana
(feat. A$AP Rocky) (prod. Sak Pase, Travis Scott & anthony Kilhoffer)","The original version of Travis Scott's ""Quintana"" was meant to feature Rocky. According to a notorious leaker by the name of Pharoahxx, Rocky was meant to record for the Owl Phaorah track but passed out in the studio off lean so A$AP Bari recorded instead.",,,"Never
Recorded",N/A,
,"L.O.R.D.
(Collaboration with A$AP Mob) ",,,,,,
,Music Videos,,,,,,
L.O.R.D.,"Trillmatic
(with A$AP Nast & Method Man) (dir. )",,,,Full,CD Quality,
L.O.R.D.,"Xscape
(with A$AP Twelvyy) (dir. )",,,,Full,CD Quality,
L.O.R.D.,"Hella Hoes
(perf. A$AP Rocky, A$AP Nast, A$AP Twelvyy & A$AP Ferg) (dir. )","Music video for ""Hella Hoes"".",,,Full,CD Quality,https://youtu.be/H0XsIwuQQ5I
,Freestyles,,,,,,
L.O.R.D.,Funk Flex Freestyle,"Freestyle on Funk Flex with A$AP Mob were they freestyle over the instrumental to ""Who Shot Ya?"" by The Notourious B.I.G.",,,Full,CD Quality,https://www.youtube.com/watch?v=_ZldaVyu164
,"AT.LONG.LAST.A$AP
(A.L.L.A.)",,,,,,
,Movies,,,,,,
AT.LONG.    LAST.A$AP,"SVDDXNLY [Documentary]
(dir. David Laven)",Five part documentary series about Rocky's upbringing by Noisy.,,,Full,CD Quality,https://www.youtube.com/playlist?list=PLdoAu1uCjE-g93Teb-8G9Gh1kiAP42PsY
,Music Videos,,,,,,
AT.LONG.    LAST.A$AP,"Drake - Wu-Tang Forever (Remix)
(feat. A$AP Rocky) (dir. A$AP Rocky & Jessy Terrero)","Photos of a music video for Drake's song ""Wu-Tang Forever"" surfaced with Rocky making an appearance surfaced in January 2014. This made many rumors for years to come that Rocky was on the song. In 2016 an official remix came out with a Rocky verse but, this music video hasn't been released to this day.",,Jan 2014,N/A,N/A,https://majorindieart.wordpress.com/2014/01/13/drake-shoots-wu-tang-forever-remix-video-w-aap-rocky-in-harlem/
AT.LONG.    LAST.A$AP,"Multiply
(dir. Shomi Patwary, A$AP Rocky)","Music video for the song ""Multiply"" released on __ and during the music video a snippet for ""Lord Pretty Flacko Jodye 2 (LPFJ2)"" is played. Directed by Shomi Patwary and A$AP Rocky. Photography directed by Thuan Tran and Sebastian Jimenez. Produced by Chad Gihron and Sameer Naseem. Editing and post by Shomi Patwary and Punom Patwary. First AD by Stephanie Lou Hague. Casting by Jorge Wright and Booki Powell. Wardrobe by Ling and Matthew Henson. PA by Ryan Cagide, Van Young and Tashfiq Patwary.",,,Full,CD Quality,https://youtu.be/5v6JUzxWoGw
AT.LONG.    LAST.A$AP,"Lord Pretty Flacko Jodye 2 (LPFJ2)
(dir. Samantha Lecca)","Music video for the song ""Lord Pretty Flacko Jodye 2 (LPFJ2)"" released on February 11th, 2015 as a tribute to A$AP Yams who passed away just a month before the videos release. Directed by Samantha Lecca.",,,Full,CD Quality,https://youtu.be/dcDqi6XQkfM
AT.LONG.    LAST.A$AP,"L$D
(dir. Dexter Navy & A$AP Rocky)","Music video for the song ""L$D"" released on May 19th, 2015 with the title ""L$D (LOVE x $EX x DREAMS)"" and is heavily inspired by Gaspar Noe's 2009 psychedelic art film ""Enter the Void"". The second half of the video features a snippet for the song ""Excuse Me"". Directed by Dexter Navy and A$AP Rocky.",,,Full,CD Quality,https://youtu.be/yEG2VTHS9yg
AT.LONG.    LAST.A$AP,"Jukebox Joints
(feat. Joe Fox) (dir. Shomi Patwary & A$AP Rocky)","Music video for the song ""Jukebox Joints"" was released on August 11th, 2015 and notably doesn't feature any vocals from Kanye West. Directed by Shomi Patwary and A$AP Rocky. Executive produced by A$AP Rocky and Chase Infinite. Photography directed by Thuan Tran. Produced by Chad Ghiron with Kode Media. Styling by Matthew A. Henson and Isamar Parache. Edited by Shomi Patwary and Tanzina Alam Patwary. Colors by Robert Simmons. Mary Attaway as art director. Motion design by Robert Simmons. Sebastian Jimenez as camera assistant. Booki Powell, Even Neuhausen, A$AP Lou, Wafiqu Chowdhury and Tash Patwary as assistant producers. Ken Shaffer as gaffer. Colin Kelly as best boy. Casting by Booki Powell, Tashfiq Patwary, Arelie Gutierrez and Gitoo. Make up by Erika B. and Cati James. Commissioned by Akila Robinson. Dame Lavie, Marquiz Tibbz, Kamil Boguski, Ryan Cotham, Keys Kravitz, Kate Macdougall, Jenn Levy, Matt McDonald, Daniel Cook and Mike Garcia. Video recording locations include TU Barrio Barbershop and Soho Arts Club. Sound design by Héctor Delgado. Intro produced by Stefanie Soho. Director of photography Marcus Gelhard. Steadycam by Joey Roesgen. Sound by Alexander Stark. 1st ad by Martin Kuehner. Co-Produced by Kyra Sophie. Set design by Chakir Hani. Styling by Dogukan Nesanir. Victoria Maschuw, Dinah Konyaté, Kyra Sophie, Alyssa Cordes, Gianna Petrovic and Juliette Mainx are women that appear in the video.",,"Aug 11, 2015",Full,CD Quality,https://youtu.be/lNq2ZN2IpoA
AT.LONG.    LAST.A$AP,"Everyday
(dir. Emmanuel Cossu & Fleaur & Manu)","Music video for the song ""Everyday"" was released on November 24th, 2015 and is described as a hip-hop Hollywood story. Directed by Emmanuel Cossu and Fleaur & Manu. Alex Courtes as 2nd unit director. Division as the production company. Executive produced by Jules De Chateleux.",,,Full,CD Quality,https://youtu.be/KfVIRigPyws
AT.LONG.    LAST.A$AP,JD [Music Video],"Music video for ""JD"".",,,Full,CD Quality,https://youtu.be/oshbQnXLeP8
,"Cozy Tapes Vol. 1: Friends -
(Collaboration with A$AP Mob) ",,,,,,
Cozy Tapes: Vol. 1,Yamborghini High [Music Video],"Music video for ""Yamborghini High"".",,,Full,CD Quality,https://youtu.be/tt7gP_IW-1w
Cozy Tapes: Vol. 1,Money Man / Put That On My Set [Music Video],"Music video for ""Money Man"" and ""Put That On My Set"".",,,Full,CD Quality,https://youtu.be/wQ274umjhFY
,"Rocky Montana
(Collaboration with French Montana)",,,,,,
Rocky Montana,Big Bag [2025 Version],,,,,,
,Pre-TESTING,,,,,,
,Music Videos,,,,,,
Pre-TESTING,"Selena Gomez - Good For You [Music Video]
(feat. A$AP Rocky) ","Music video for Selena Gomez's ""Good For You"".",,,Full,CD Quality,https://youtu.be/DXKHCgNFk1I
,"Cozy Tapes Vol. 2: Too Cozy
(Collaboration with A$AP Mob)",,,,,,
,Music Videos,,,,,,
Cozy Tapes: Vol. 2,Wrong [Music Video],"Music video for ""Wrong"".",,,Full,CD Quality,https://youtu.be/KMskscn8R-Y
Cozy Tapes: Vol. 2,RAF [Music Video],"Music video for ""RAF"".",,,Full,CD Quality,https://youtu.be/_eLryuBCO-M
Cozy Tapes: Vol. 2,Feels So Good [Music Video],"Music video for ""Feel So Good"".",,,Full,CD Quality,https://youtu.be/LtlO4FVzXew
Cozy Tapes: Vol. 2,AWGE DVD VOL. 1,"Released on September 7th, 2017.",,,Full,CD Quality,https://www.youtube.com/watch?v=3WslDlXv5U0
,TESTING,,,,,,
,Freestyles,,,,,,
TESTING,"Kanye West - Untitled Freestyle
(feat. A$AP Rocky & A$AP Ferg)","Freestyle session that was never recorded. Kanye spontaneously made the beat and freestyled over it with Rocky and Ferg. Confirmed from 2017. Beat was briefly played by Consequence on a November 2022 live stream. The song was later given to Rocky and the song was titled ""Music Is Above"".",,Dec 2017,Recording,N/A,
,Live Performances,,,,,,
TESTING,Rolling Loud LA 2019 Set,"Full Performance of Rolling Loud 2019 on December 15th 2019.
Setlist:
0:03 - Distorted Records
0:55 - Lord Pretty Flacko Joyde 2
3:19 - A$AP Forever
6:10 - Buckshot
7:30 - Praise The Lord
11:30 - Telephone Calls
14:39 - Pick It Up
17:00 - L$D
21:40 - Bandit (Juice WRLD)
23:34 - Plain Jane/Slob On My Knob/
28:27 - F***in Problems
39:56 - Yamborghini High
41:53 - Sundress",43:16,"Dec 15, 2019",Full,CD Quality,https://www.youtube.com/watch?v=9wHKGNRywjY
,Movies,,,,,,
TESTING,AWGE DVD VOL. 2,"Released on January 18th, 2018.",,"Jan 18, 2018",Full,CD Quality,https://archive.org/details/awgedvd-vol-2
,Music Videos,,,,,,
TESTING,"A$AP Forever [Music Video]
(dir. Dexter Navy)","Music video for ""A$AP Forever"".",,,Full,CD Quality,https://youtu.be/BNzc6hG3yN4
TESTING,"Praise The Lord (Da Shine) [Music Video]
(dir. Dexter Navy)","Music video for ""Praise The Lord (Da Shine)"".",,,Full,CD Quality,https://youtu.be/Kbj2Zss-5GY
TESTING,"Fukk Sleep [Music Video]
(dir. Dexter Navy)","Music video for ""Fukk Sleep"".",,,Full,CD Quality,https://youtu.be/pM5XogpX1JA
TESTING,Gunz N Butter [Music Video],"Music video for ""Gunz N Butter"".",,,Full,CD Quality,https://youtu.be/7i2Y44vXRZw
TESTING,"Tony Tone [Music Video]
(dir. Hidiji Films)","Music video for ""Tony Tone"".",,,Full,CD Quality,https://youtu.be/ulZrXxFaoUY
TESTING,"Kids Turned Out Fine [Music Video]
(dir. Dexter Navy)","Music video for ""Kids Turned Out Fine"".",,,Full,CD Quality,https://youtu.be/FUQI-o02JYU
TESTING,"Playboi Carti - New Choppa [Music Video]
(feat. A$AP Rocky)","Music video for ""New Choppa"".",,,Full,CD Quality,https://www.youtube.com/watch?v=_JZqoGz0b6o
TESTING,"Money Bags Freestyle (Dean Blunt Rotation)
[Alternate Video]","Alternate video for the song ""Money Bags Freestyle (Dean Blunt Rotation)"" that leaked sometime in 2017.",,,Full,CD Quality,https://youtu.be/T7-E-2sa7j8
,Other,,,,,,
TESTING,GUESS Commercial,,,,,,
TESTING,TESTING Vinyl Concept,,,,,,
,"WANG$AP
(Collaboration with Tyler, The Creator)",,,,,,
WANG$AP,"Potato Salad [Music Video]
(with Tyler, The Creator) (dir. AWGE & Kelvin Krash)","Music video for ""Potato Salad"". Video Directed and Shot By Kelvin Krash at the Eiffel Tower in Paris, France at 6am. Totally Unplanned and last minute. Edit & Animations by the one and only Jimmy Regular.",,,Full,CD Quality,https://youtu.be/93M1QtYDtpU
,"ALL $MILE$
(STILL TESTING, Injured Generation)",,,,,,
,Freestyle,,,,,,
ALL $MILE$,"Best For Me To Go [Freestyle]
(prod. Murda Beatz)",Snippet previewed in early Aug. of 2019. Features Rocky in the studio with some friends.,,Aug 2019,Recording,N/A,https://krakenfiles.com/view/En4wUs3vyl/file.html
,Live Performances,,,,,,
ALL $MILE$,Sitting On The Dock Of The Bay [Cover],"Cover of Otis Redding's song ""Sitting On The Dock Of The Bay"" performed on triple j's ""Like A Version"". Rocky was going to perform ""Jealous Guy"" by John Lennon but Rocky said his voice ""sucked"".",,,Full,CD Quality,https://www.dailymotion.com/video/x6ueaqu
,Other,,,,,,
ALL $MILE$,Leaked Sextape,"Leaked in December 2019. Rocky made a Tweet the next morning saying, ""MY PENIS AND I WOKE UP 2 THE ALARMING DISTURBANCE OF A VIDEO CLIP 2DAY .AS HIS DEFENSE ATTORNEY WE’RE PREPARED 2 DENY ANY SLOW STROKES OR LACK OF KILLIN THE PUSSY .A LONG LIST OF SATISFIED WOMEN CAN ATTEST TOO. BUT THE REAL PUNCHLINE IS SEEING PPL WHO NEVER FUCKED HIM RATE HIM 😮""",,Dec 2019,N/A,N/A,
,Movies,,,,,,
ALL $MILE$,AWGE DVD VOL. 3,"Released July 24th, 2018.",,Jul 2018,Full,CD Quality,https://archive.org/details/awge-dvd-vol-3
,Music Videos,,,,,,
ALL $MILE$,Sundress [Music Video],"Music video for ""Sundress"".",,,Full,CD Quality,https://youtu.be/Ec3LoKpGJxY
ALL $MILE$,Babushka Boi [Music Video],"Music video for ""Babushka Boi"".",,,Full,CD Quality,https://youtu.be/KViOTZ62zBg
ALL $MILE$,Psychodelics [Music Video] ,"Scrapped music video for ""Psychedelics"" being sold by Vlone.",,,CDQ Snippet,CD Quality,Link Needed
,Never Recorded,,,,,,
ALL $MILE$,"Pi'erre Bourne - Untitled
(feat. A$AP Rocky)
(In My Zone)","OG Filename: ok zone rocky p
Recorded on June 1st, 2018. Previewed by Pi'erre in 2018, with the entire song (excluding the open verse and the final hook) being previewed. Contains an open verse, which was meant for Rocky, but he never recorded for it.",,,"Never
Recorded",Full HQ,https://pillows.su/f/44eba7ad82ed18014bd0b62c3e277b25
,"GRIM
(THE GRIM)",,,,,,
,Live Performance,,,,,,
GRIM,Rolling Loud Miami 2021 Set,"Rocky's full Rolling Loud Miami 2021 performance.

1. GRIM FREESTYLE
2. A$AP Forever
3. A$AP Mob - Telephone Calls
4. LPFJ2
5. Uncle Luke - She Wanna Fuck
6. Purple Swag
7. A$AP Ferg - Plain Jane
8. Tear da Club Up Thugs - Slob On My Nob
9. G-Eazy - No Limit
10. Famous Dex - PICK IT UP
11. Praise The Lord (Da Shine)
12. A$AP Mob - Yamborghini High
13. Back Of The Beeper
14. A$AP Ant - The God Hour",,,Full HQ,Full HQ,https://vimeo.com/578737116?fl=pl&fe=cm
,Music Videos,,,,,,
GRIM,D.M.B. [Music Video],"Music video for ""D.M.B."".",,,Full CDQ,Full CDQ,https://youtu.be/0NzlbBmkM3E
GRIM,⭐️️ Sights [Music Video],"Music video for ""Sights"" leaked by Rocky in a now deleted Instagram post.",,,Full,Full CDQ,https://youtu.be/mHdxJMNn22s?si=4VZ6Gp1njqxHz7f5
GRIM,"Dean Blunt - STOOZY [Music Video]
(feat. A$AP Rocky)","Music video for Dean Blunt's ""STOOZY"".",,,CDQ Snippet,Full CDQ,https://youtu.be/c7IWUnqbpDU
GRIM,"Joey Bada$$ - Facts [Music Video]
(feat. A$AP Rocky)",A music video was allegedly filmed for the unreleased song Facts by Joey Bada$$ featuring Rocky. This however is unconfirmed,,,No Evidence,N/A,Link Needed
GRIM,"slowthai - MAZZA [Music Video]
(feat. A$AP Rocky)","Music video for slowthai's ""MAZZA"".",,,Full CDQ,Full CDQ,https://youtu.be/1NhyFEZKq48
,Never Recorded,,,,,,
GRIM,"Tyler, The Creator - CORSO
(feat. A$AP Rocky)","While on his ""CALL ME IF YOU GET LOST"" tour Tyler explained that he wanted Rocky to have a verse where DJ Drama is talking in the song. He then further explains that Rocky wouldn't answer him so he never ended up recording for the track.",,2021,"Never
Recorded",N/A,
GRIM,"Swedish House Mafia - Frankenstein
(feat. A$AP Rocky & Kanye West) (prod. Swedish House Mafia)","OG Filename: SHM x FRANKENSTEIN (OPEN YE VERSES)
A open verse version of ""Frankenstein"" by A$AP Rocky and Swedish House Mafia is said to exist where Kanye was meant to be over, but it is not likely he ever recorded for it.",,2022,"Never
Recorded",N/A,https://media.discordapp.net/attachments/992306005532758098/1028261322506379264/unknown.png?width=1440&height=456
,DON'T BE DUMB,,,,,,
,,,,,,,
,AWGE SS25 'AMERICAN SABOTAGE',,,,,,
,AWGE SS26 'OBLIGATORY FASHION' ,,,,,,
,Live Performance,,,,,,
DON'T BE DUMB,Rolling Loud New York 2022,"Rockys full Rolling Loud New York 2022 performance.

1. GRIM FREESTYLE
2. LPFJ2
3. RIOT (Rowdy Pipe'n)
4. A$AP Ant - The God Hour
5. Sights
6. F.N.F
7. A$AP Mob - Telephone Calls
8. THOTTWAT - SHIRT
9. French Montana - Mopstick",,,Full HQ,Full HQ,https://youtu.be/rFW0JJC_KJk?si=LbYThrvOktNB_7eo
DON'T BE DUMB,Rolling Loud Miami 2023,"Rockys full Rolling Loud Miami 2023 performance.

1. GRIM FREESTYLE
2. All Black (Stole Ya Flow)
3. RIOT (Rowdy Pipe'n)
4. Long Live A$AP
5. Multiply
6. LPFJ2
7. A$AP Forever
8. Praise The Lord (Da Shine)
9. Famous Dex - PICK IT UP
10. $NOT - Doja 
11. THOTTWAT - SHIRT
12. A$AP Ferg - Plain Jane
13. G-Eazy No Limit
14. A$AP Mob - Yamborghini High
15. A$AP Mob - Telephone Calls
16. Tailor Swift
17. Shittin' Me",,,Full HQ,Full HQ,https://youtu.be/ROnXIyMZHsk
