Era,Name,"Notes
Join our discord server here  (LINK RE-UPd)
And our telegram channel here",Track Length,Release Date,Type,Streaming,Link(s)
Whole Lotta Red [V1],"88rising & Rich Brian - Beam
(feat. Playboi Carti) (prod. Southside & Murda Beatz)","Track 10 off 88rising's album ""Head In The Clouds"".",2:31,"Jul 20, 2018",Feature,Yes,https://open.spotify.com/track/5qZIrB9CjgKdMspTFkUbNt?si=87ddd06f20544aad
Whole Lotta Red [V1],"⭐ K$upreme - Hang Up Da Phone
(feat. Playboi Carti) (prod. ISOBeats)",Track 11 on Flex Musik,3:43,"Jul 27, 2018",Feature,Yes,https://open.spotify.com/track/40Duf6hCElUKCpstTT7RNg?si=0107c993453640f5
,,Whole Lotta Red [V1],,,,,
Whole Lotta Red [V1],"Kap G - Top 5
(feat. Playboi Carti) (prod. ?)","Track 6 off Kap G's album ""no kap"".",2:41,"Sep 14, 2018",Feature,Yes,https://open.spotify.com/track/4fV6yeuoBSoW69WIPv25TN?si=018eda642afd4687
Whole Lotta Red [V1],"Lil Yachty - Get Dripped
(feat. Playboi Carti) (prod. Earl on the Beat & MitchGoneMad)","Track 2 off Lil Yachty's album ""Nuthin' 2 Prove"".",2:38,"Oct 19, 2018",Feature,Yes,https://open.spotify.com/track/3m2aDCqn8eT5ElXDUiboGU?si=6964cf9530964281
Whole Lotta Red [V1],"YRN Murk - I Don't Talk
(feat. Playboi Carti) (prod. Murda Beatz)","Track 2 off YRN Murk's mixtape ""Rather You Than Me"".",4:09,"Nov 21, 2018",Feature,No,https://soundcloud.com/yrnmurk/i-dont-talk-ft-playboi-carti-prod-by-murda-beatz?in=yrnmurk/sets/rather-you-than-me
Whole Lotta Red [V1],"Rubi Rose - On Top
(feat. Playboi Carti) (prod. MexikoDro & StoopidXool)","Released by Rubi Rose only on Audiomack, not really an official release.",3:55,"Jan 26, 2019",Feature,No,https://audiomack.com/rubi-rose/song/on-top
Whole Lotta Red [V1],"✨ Trvp T - Feelin' It
(with Playboi Carti) (prod. Dolan Beats)
(D.C)","Released as a single by Trvp T, remix of the leak 'D.C'",2:13,"Oct 30, 2018",Feature,Yes,https://music.apple.com/us/album/feelin-it-feat-playboi-carti/1459289232?i=1459289233
Whole Lotta Red [V1],"Gunna - Same Yung Nigga
(feat. Playboi Carti) (prod. Turbo & Wheezy)","Track 15 off Gunna's album ""Drip or Drown 2"".",3:00,"Feb 22, 2019",Feature,Yes,https://open.spotify.com/track/1q9jq5X5vwmewjOa2mHtQ1?si=85a58dd019344c77
Whole Lotta Red [V1],"⭐ Kash Kani - Tony Montana
(feat. Playboi Carti) (prod. Lucky)","Released by Kkanii1 on all platforms, but has been removed on most of them, except for Soundcloud.",2:32,"Feb 25, 2019",Feature,No,https://soundcloud.com/kash-kani-234118187/tony-montana-featplayboi-carti
Whole Lotta Red [V1],"⭐ Solange - Almeda
(feat. Playboi Carti) (prod. Pharrell Williams & John Carroll Kirby)","Track 9 off Solange's album ""When I Get Home"". (One of his best feature)",3:56,"Mar 1, 2019",Feature,Yes,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw?si=0529fc72332643fc
Whole Lotta Red [V1],"⭐ Gezin - Ronald
(feat. Juice WRLD & Playboi Carti) (prod. Gezin & Nobu)",Released onto soundcloud by Gezin. Later removed for unknown reasons.,2:30,"Mar 1, 2019",Feature,No,https://pillows.su/f/3adc9f17c007e57c8c7cb4cbfc61865e
Whole Lotta Red [V1],"SAFE - Paid In Full
(feat. Playboi Carti) (prod. Pluss)",Single released by SAFE featuring Playboi Carti.,3:22,"Apr 5, 2019",Feature,Yes,https://open.spotify.com/track/1CFbMhxQjCT3OH3YLvBkNF?si=e97a03d89d1441ef
Whole Lotta Red [V1],"92Jack - Ciggy Said Light
(feat. Playboi Carti)","Track 3 off 92Jack's album ""0001"".",2:42,"Apr 12, 2019",Feature,Yes,https://open.spotify.com/track/0X2oV0fltO10CJsttGwy6b?si=e3726fffa8bc4be5
Whole Lotta Red [V1],"⭐ Tyler, The Creator - EARFQUAKE
(feat. Playboi Carti) (prod. Tyler, The Creator)","Track 2 off Tyler, The Creator's album ""IGOR"" featuring Playboi Carti. Features uncredited vocals from Charlie Wilson. The song that changed everything",3:10,"May 17, 2019",Feature,Yes,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0?si=484d0b4c0a084788
Whole Lotta Red [V1],"BOOFBOIICY - HOTBOY
(prod. Chinatown)",A song using the same beat as Designer Shoes.,2:52,"Jun 8, 2019",Other,No,https://soundcloud.com/sporehank/hotboy?ref=clipboard&p=a&c=0&si=6dd30e24ad5345eb89bb35e7fe08d5f6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Whole Lotta Red [V1],"Young Jordan - Wake Up
(feat. Playboi Carti) (prod. CakeBoy Bally)",Released as a single on Young Jordan's Soundcloud.,2:13,"Jun 26, 2019",Feature,Yes,https://soundcloud.com/youngjordann/wake-up-ft-playboi-carti
Whole Lotta Red [V1],"Mustard - Baguettes in the Face
(feat. NAV, Playboi Carti & A Boogie Wit da Hoodie) (prod. Mustard & Larry Jayy)","Track 4 off Mustard's album ""Perfect Ten"".",2:54,"Jun 28, 2019",Feature,Yes,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo?si=0049558727e84857
Whole Lotta Red [V1],"Trippie Redd - They Afraid Of You
(feat. Playboi Carti) (prod. G Koop & Chopsquad DJ)","Removed off Trippie Redd's album ""!"" a week after it's release.",2:18,"Aug 9, 2019",Feature,No,http://music.froste.lol/song/8479f65ebcff1c4bd695ed3cb003928e/play
Whole Lotta Red [V1],"✨ Quality Control - 100 Racks
(feat. Playboi Carti & Offset) (prod. Pi'erre Bourne & Metro Boomin)","Track 11 on Quality Control's collaborative album ""Quality Control: Control The Streets Volume 2"".",2:37,"Aug 16, 2019",Feature,Yes,https://open.spotify.com/track/4T2dHb8XBYHlVj7Dyo1cW9?si=31cdde4403a64dbb
Whole Lotta Red [V1],"⭐ Brand New Bihh
(prod. Chinatown)",Released as a single on Chinatown's soundcloud.,3:00,"Aug 22, 2019",Feature,No,https://soundcloud.com/chinatownbeats/brand-new-bihh-produced-by-chinatown?ref=clipboard&p=a&c=0&si=92a955f3d0964d21bcf401ee2c5d972d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Whole Lotta Red [V1],"Lil Yachty - Balmain Jeans
(feat. Playboi Carti) (prod. Roark Bailey)","Track 4 on Lil Yachty's EP ""Birthday Mix 4""",1:45,"Aug 23, 2019",Feature,No,https://www.youtube.com/watch?v=3FrQVGOQCWY&t=307s
Whole Lotta Red [V1],"⭐️ * i promise you !
(prod. 16yrold)","Released by 16yrold on his soundcloud, but was taken down not too long after. Unlike the leaked version, this version has a reversed intro. This song is also both Carti's return to plugg beats, and his first known pluggnb song. Against the rumors, 16yrold didnt leak it. Carti told him to post it, sent him the cover and prepared the caption, but the song wasnt cleared in time, which concluded in it being taken down. [1]",3:19,"Aug 30, 2019",Feature,No,https://pillows.su/f/53c8d04d5212f476e30c8f7b0f55e871
,"Whole Lotta Red [V2]
(Blonde Era, Opium Era)","(Oct 2019) Carti fails to deliver ""in the next 60 days"", starting the 'Whole Lotta Red V2' era
(June 28, 2020) BigSosa, Carti's long-time friend passes sending Carti into a hiatus?*",,,,,
Whole Lotta Red [V2],"YRN Murk - What Type Of Shit You On
(feat. Playboi Carti) (prod. CHASETHEMONEY)","Track 8 off YRN Murk's album ""Cranberry Porch"". Seemingly the debut of Carti's high pitched experimentation with the baby voice.",2:38,"Nov 22, 2019",Feature,Yes,https://open.spotify.com/track/2oR1ucEkLN6Iifh5Ee2cmd?si=22c2142298264507
Whole Lotta Red [V2],"✨ Swoosh God - Like Im Swoosh [V1]
(feat. Lil Uzi Vert) (prod. Pi'erre Bourne) 
(X Candy, Candy)","Original version of the song with no Carti feature. Was track 1 on Swoosh Gods album 'Controversy' before being deleted, but was later reposted by Swoosh God in 2022. Uses the same beat as ""X Candy"" by Uzi and Carti.",1:33,"Mar 22, 2020",Other,No,https://soundcloud.com/swoosh516/like-im-swoosh-feat-lil-uzi-vert
Whole Lotta Red [V2],"✨ @ MEH [V2]
(prod. jetsonmade, Deskhop & Neeko Baby)
(HELL)","OG Filename: HELL (MAIN) HRA SING MASTER
Single released on April 16, 2020.",2:46,"Apr 16, 2020",Single,Yes,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe?si=9ba160890504427f
Whole Lotta Red [V2],"✨ i promise u
(prod. 16yrold)
(Red On Red, What You Talking Bout, Talm Bout, ""i got ur back slatt, * i promise you !)","Re-Released by 16yrold on his soundcloud after it was taken down. He renamed it to ""i promise u"" from ""* i promise you !""",3:19,"Apr 22, 2020",Feature,No,https://pillows.su/f/53c8d04d5212f476e30c8f7b0f55e871
Whole Lotta Red [V2],"✨ Drake - Pain 1993
(with Playboi Carti) (prod. Pi'erre Bourne)","Track 10 off Drake's album ""Dark Lane Demo Tapes"".",2:29,"May 1, 2020",Feature,Yes,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo?si=8f0ebd7248c94aa7
Whole Lotta Red [V2],"⭐ Yung Lean - Yayo [Vinyl Version]
(feat. Playboi Carti) (prod. Whitearmor)","Was originally released as part of ""Starz"" by Yung Lean, but was later replaced with a solo version for the album's final release.",2:56,"May 15, 2020",Feature,No,http://music.froste.lol/song/d8379df165068adb433e4459be21bbc4/play
,"Whole Lotta Red [V3]
(Pre-Kanye)","(June 28th, 2020) BigSosa, Carti's long-time friend passes away sending Carti into a hiatus?*
(November 2020) Ye becomes executive producer and the album sound shifts",,,,,
Whole Lotta Red [V3],"Sunny 2point0 - Alien Autopsy
(feat. NoCap, Playboi Carti & Trippie Redd) (prod. MTK & Hammad Beats)","Released on Sunny 2point0's soundcloud, after not getting clearance to drop it on his album. Carti's verse is cut and LQ, likely due to Carti not even sending vocals for the song after it was given to Sunny 2point0",3:31,"Jul 31, 2020",Feature,No,https://youtu.be/_SaeYm93s7w
Whole Lotta Red [V3],"⭐ K Suave - Perky97*
(feat. Playboi Carti) (prod. PinkGrillz)","Originally was released as a single on August 13th, 2020, and then later became Track 5 off K Suave's album ""Love Sick Deluxe"". Song was taken down from Soundcloud and later all streaming services most likely due to lack of clearance from Carti's label.",2:40,"Aug 13, 2020",Feature,No,https://pillows.su/f/3600f77a2db2945626e0db016fef4f3d
Whole Lotta Red [V3],"✨ Guap Tarantino - Say My Name
(feat. Playboi Carti) (prod. DMC Global)",Released on Guap Tarantino's youtube channel,3:08,"Sep 27, 2020",Feature,No,https://www.youtube.com/watch?v=o1iPQ9GeSzA
,"Whole Lotta Red [V4]
(exec. prod. Kanye West)","(November 2020) (Ye becomes executive producer and the album sound shifts)
(December 25, 2020) (Whole Lotta Red is officially released)",,,,,
Whole Lotta Red [V4],"Lil Yachty - Flex Up
(feat. Playboi Carti & Future) (prod. Pyrex, Southside & ATL Jacob)","Track 2 off Lil Yachty's album ""Lil Boat 3.5"" featuring Playboi Carti & Future.",2:50,"Nov 27, 2020",Feature,Yes,https://open.spotify.com/track/5Ryu0SlsYjKh78RkJUONFr?si=55c69d2a099446b3
Whole Lotta Red [V4],"⭐ Rockstar Made
(prod. F1LTHY & Jonah Abraham)","OG Filename:  01. Rockstar Made (EDIT)_SING MASTER
Track 1 off Playboi Carti's album ""Whole Lotta Red"".",3:13,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/3cWmqvMwVQKDigWLSZ3w9h?si=339968d7f99e46a4
Whole Lotta Red [V4],"✨ Go2DaMoon
(feat. Ye) (prod. Wheezy)","OG Filename: 02. Go2DaMoon(MIX2)_SING MASTER
Track 2 off Playboi Carti's album ""Whole Lotta Red"". Contains an uncredited sample from ""Soul of Bobby Theme, Pt. 2"" by Laxmikant-Pyarelal.",1:59,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/0F13K9dwYH2zpTWiR8d628?si=50b58281168d411a
Whole Lotta Red [V4],"⭐ Stop Breathing [V2]
(prod. F1LTHY, Lukrative & ssort)","OG Filename: 03. Stop Breathing (V2)_SING MASTER
Track 3 off Playboi Carti's album ""Whole Lotta Red"".",3:38,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/2lLG56qpLP3UbcLuzMvkWX?si=227f78d3119a4e3a
Whole Lotta Red [V4],"Beno!
(prod. Outtatown & Lil88)","OG Filename: 04. Beno!_SING MASTER
Track 4 off Playboi Carti's album ""Whole Lotta Red"".",2:33,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/4CYTQpr2jc4uBScYvpEK2w?si=fa7a46fe23354645
Whole Lotta Red [V4],"✨ JumpOutTheHouse 
(prod. Richie Souf) 
(JOTH, Jump Out The House)","OG Filename: 05. JumpOutTheHouse_SING MASTER 
Track 5 off Playboi Carti's album ""Whole Lotta Red"".",1:33,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/0cgD36xPIJBdKUNJRHYDgP?si=064dd1f99ea14ee4
Whole Lotta Red [V4],"M3tamorphosis
(feat. Kid Cudi) (prod. F1LTHY & Gab3)","OG Filename: 06. M3tamorphosis_SING MASTER
Track 6 off Playboi Carti's album ""Whole Lotta Red"".",5:12,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/7zLMYtNJcabv4h4wBnjNQI?si=07188dc454644fd3
Whole Lotta Red [V4],"⭐ Slay3r
(prod. Juberlee & Roark Bailey)","OG Filename: 07. Slay3r_SING MASTER
Track 7 off Playboi Carti's album ""Whole Lotta Red"".",2:44,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/1eMNW1HQjF1dbb4GtnmpaX?si=f55f111889af41ea
Whole Lotta Red [V4],"No Sl33p
(prod. KP & Jonah Abraham)","OG Filename: 08. No Sl33p_SING MASTER
Track 8 off Playboi Carti's album ""Whole Lotta Red"".",1:28,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/6i6whmV36EJmxs5zFahMrb?si=4bb90630a7fe4c82
Whole Lotta Red [V4],"⭐ New Tank
(prod. F1LTHY & Jonah Abraham)","OG Filename: 09. New Tank_SING MASTER
Track 9 off Playboi Carti's album ""Whole Lotta Red"".",1:29,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/4txKMpsSfZRV6durPuHVq0?si=f2e264dd9d1a4d15
Whole Lotta Red [V4],"✨ Teen X
(feat. Future) (prod. Maaly Raw)","OG Filename: 10. Teen X_SING MASTER
Track 10 off Playboi Carti's album ""Whole Lotta Red"".",3:25,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/5uYqmEN6TAAE8ss8YmprNV?si=d22053c8d57f45ef
Whole Lotta Red [V4],"⭐️ Meh
(prod. Outtatown, Art Dealer & star boy)","OG Filename: 11. Meh_SING MASTER
Track 11 off Playboi Carti's album ""Whole Lotta Red"".",1:58,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/15JRvf02KKGHKgC31jrpuh
Whole Lotta Red [V4],"Vamp Anthem
(prod. KP Beatz & Jasper Harris)","OG Filename: 12. Vamp Anthem_SING MASTER
Track 12 off Playboi Carti's album ""Whole Lotta Red"". ",2:04,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/4CzhtKifG867Lu5DNQVBSA?si=2908409c74c744f3
Whole Lotta Red [V4],"⭐ New N3on
(prod. Maaly Raw)","OG Filename: 13. New N3on_SING MASTER
Track 13 off Playboi Carti's album ""Whole Lotta Red"".",1:56,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/7ejepEh5DJ79YI6owGRfkk?si=2de75c9cd59e4139
Whole Lotta Red [V4],"✨ Control
(prod. Outtatown, Art Dealer & star boy)","OG Filename: 14. Control_SING MASTER
Track 14 off Playboi Carti's album ""Whole Lotta Red"". Features an uncredited sample by DJ Akademiks.",3:17,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/78YTl0P96kBCBXUSzKoqAm?si=c2702133a2d44e1e
Whole Lotta Red [V4],"✨ Punk Monk
(prod. F1LTHY, Lucian & Lukrative)","OG Filename: 15. Punk Monk_SING MASTER
Track 15 off Playboi Carti's album ""Whole Lotta Red"".",3:49,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/5fSZXFOZfPVW9gvnnG4ZVW?si=62bd6aee3caa4400
Whole Lotta Red [V4],"⭐ On That Time
(prod. F1LTHY & Ojivolta)","OG Filename: 16. On That Time_SING MASTER
Track 16 off Playboi Carti's album ""Whole Lotta Red"".",1:42,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/3dl8bSF08LQfCf4T6CCksf?si=567f21d558964518
Whole Lotta Red [V4],"✨ King Vamp
(prod. Outtatown, Art Dealer & star boy)","OG Filename: 17. King Vamp_SING MASTER
Track 17 off Playboi Carti's album ""Whole Lotta Red"".",3:06,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/2iqHcRoOfLl1fXCf1bGO0J?si=55bdeb7533724b3f
Whole Lotta Red [V4],"⭐ Place [V2]
(prod. Pi'erre Bourne)","OG Filename: 18. Place (V2)_SING MASTER
Track 18 off Playboi Carti's album ""Whole Lotta Red"".",1:57,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/1Bg2CNZw6S4e9cGWPmi0uI?si=9927eed0d4e8471d
Whole Lotta Red [V4],"⭐ Sky
(prod. Art Dealer)","OG Filename: 19. Sky_SING MASTER
Track 19 off Playboi Carti's album ""Whole Lotta Red"".",3:13,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ?si=ea2d8348e2fd44ba
Whole Lotta Red [V4],"⭐ Over [V3]
(prod. Art Dealer)","OG Filename: 20. Over (V2)_SING MASTER
Track 20 off Playboi Carti's album ""Whole Lotta Red"".",2:46,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/08dz3ygXyFur6bL7Au8u8J?si=44dc3b1887a049ae
Whole Lotta Red [V4],"⭐ ILoveUIHateU
(prod. Pi'erre Bourne)","OG Filename: 21. ILoveUIHateU_SING MASTER
Track 21 off Playboi Carti's album ""Whole Lotta Red"".",2:15,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/1BpKJw4RZxaFB88NE5uxXf?si=554a88b42f504a9b
Whole Lotta Red [V4],"✨ Die4Guy
(prod. Outtatown, Art Dealer & star boy)","OG Filename: 22. Die4Guy_SING MASTER
Track 22 off Playboi Carti's album ""Whole Lotta Red"".",2:11,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/7rbalRuIx7sIXFHYTphE0n?si=294a9f1365e74c77
Whole Lotta Red [V4],"✨Not PLaying
(prod. Art Dealer)","OG Filename: 23. Not Playing_SING MASTER
Track 23 off Playboi Carti's album ""Whole Lotta Red"".",2:10,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/03rcC8SVxCa9UdY5qgkITe?si=5d4b22fd6c2b4ad0
Whole Lotta Red [V4],"F33l Lik3 Dyin
(prod. Richie Souf & Roark Bailey)","OG Filename: 24. F33l Lik3 Dyin_SING MASTER
Track 24 off Playboi Carti's album ""Whole Lotta Red"". Samples ""iMi"" by Bon Iver.",3:24,"Dec 25, 2020",Album Track,Yes,https://open.spotify.com/track/1xVVYE1ahLotRpppJViVzs?si=56d6ffa39ce64884
Whole Lotta Red [V4],"Richie Souf - JumpOutTheHouse [Richie Souf Version]
(feat. Playboi Carti) (prod. Richie Souf)","Alternate version of ""JumpOutTheHouse"" with a Richie tag and kicks on the beat, alongside the song actually having an outro. Released by Richie shortly after Whole Lotta Red released. ",1:46,"Dec 25, 2020",Single,No,https://music.froste.lol/song/55f832116e601327a00436695f059ef7
,"Narcissist
(Mollyworld, Racist Era, Narcissist [V1])","(Early 2021) Whole Lotta Red (Deluxe) gets shelved
(August 23, 2021) Carti posts fit pic on IG captioned: ""NARCISSIST 09/13/21""
(September 13, 2021) NARCISSIST does not get released 
(December 23, 2021) King Vamp Tour is officially over
(Mar 2, 2022) First known Guapo voice song is recorded",,,,,
,Mollyworld*,"(March 10, 2021) Carti posts about wanting to drop soon
(June 2021) Carti starts recording music with Ye",,,,,
Narcissist,"Trippie Redd - Miss The Rage
(feat. Playboi Carti) (prod. Loesoe & Peter Jideonwo)","OG Filename: MTR Ft. PC (MASTER)
Single released by Trippie Redd featuring Playboi Carti. Later appeared on Trippie Redd's album ""Trip At Knight"" as Track 7.",3:56,"May 7, 2021",Feature,Yes,"https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq?si=3c5659ad18324d17
https://open.spotify.com/intl-it/track/5n4FTCMefvyKUjeWumdaWv?si=2f834faa02094782 "
,Narcissist (DONDA),"(June 2021) Carti starts recording music with Ye
(December 23, 2021) King Vamp Tour is officially over",,,,,
Narcissist,"⭐ Pi'erre Bourne - Switching Lanes
(feat. Playboi Carti) (prod. Pi'erre Bourne)","Track 2 off Pi'erre Bourne's album ""The Life Of Pi'erre 5"".
Fan-favorite leak from WLR v1 that was considered for TLOP4, WLR, and then finally TLOP5.",3:10,"Jun 11, 2021",Feature,Yes,https://open.spotify.com/track/09hbZ8vF8YmlVQq55Ai1Ay?si=03e0817dd1ad4486
Narcissist,"Lil 1 DTE - Homixide
(feat. Playboi Carti) (prod. KP Beatz & Noah Mejia)","Track 3 off Lil 1 DTE's album ""Lil 1 DTE"".",2:37,"Jun 25, 2021",Feature,Yes,https://open.spotify.com/track/4uu4CC1L13Q8ndvnXpud1J?si=8e90bf1838804e72
Narcissist,"✨ ABRA - Unlock It
(feat. Playboi Carti) (prod. Boys Noize & ABRA)",Single released by ABRA featuring Playboi Carti.,2:23,"Aug 20, 2021",Feature,Yes,https://open.spotify.com/track/4EoZiih7SmUSDyIw8y011F?si=f12e181f605d48d3
Narcissist,"⭐ Ye - Off The Grid [V1]
(feat. Justin Austin, Playboi Carti & Fivio Foreign) (prod. Kanye West, 30 Roc, AyoAA, Ojivolta, David & Eli & Sloane)",Track 4 from Ye's 2021 album Donda.,5:39,"Aug 29, 2021",Feature,Yes,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs?si=1c88fad37fba4cb4
Narcissist,"Ye - Off The Grid [V2]
(feat. Justin Austin, Playboi Carti & Fivio Foreign) (prod. Kanye West, 30 Roc, AyoAA, Ojivolta, David & Eli & Sloane)",Track 5 from Ye's Donda Deluxe. Censors opp blunt line.,5:39,"Aug 29, 2021",Feature,Yes,https://open.spotify.com/track/0YYMXRKWFKESvU7XVK5JlE?si=8c9fdbdbe95447d0
Narcissist,"Ye - Junya
(feat. Playboi Carti) (prod. Kanye West, Digital Nas, Ojivolta, Roark Bailey & Twisco)
(Godspeed, Junya Watanabe)","Track 9 off Ye's album ""Donda"" featuring Playboi Carti.",2:27,"Aug 29, 2021",Feature,Yes,https://open.spotify.com/track/1jgcODbfAL3tV7tikF6n1j?si=9505dc8810ec4ac5
Narcissist,"Ye - Junya pt 2
(feat. Playboi Carti & Ty Dolla $ign) (prod. Kanye West, Digital Nas, Ojivolta, Roark Bailey & Twisco)
(Godspeed, Junya Watanabe)","Track 26 off Ye's album ""Donda"" featuring Playboi Carti & Ty Dolla $ign.",3:02,"Aug 29, 2021",Feature,Yes,https://open.spotify.com/track/1jxtPdcRycy87IAnkq2HT3?si=e9d1d75598404213
,,DONDA 2,,,,,
Narcissist,"✨ Fivio Foreign - City of Gods
(with Kanye West & Alicia Keys) (feat. Playboi Carti) (prod. Kanye West, Tweek Tune, Hemz, Mav Beats, AyoAA, Ojivolta, Dem Jointz, MIKE DEAN & The Chainsmokers)
(NYC, Empire State Of Mind Pt. 2, Go Easy)",Single dropped by Fivio Foreign & Ye with Carti adlibs. Later featured as 4th song on Fivio's project B.I.B.L.E and track 14 on Donda 2.,4:16,"Feb 11, 2022",Feature,Yes,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c?si=442ce6a4734e4ecd
"0 Total Full
0 OG File
0 Partial / Cut
0 Snippet
0 Unavailable",MUSIC [V1],"(Apr 2022) Playboi Carti announces 'MUSIC' in a interview with XXL
(Late 2022) The album is finished, unknown if it was 'MUSIC' or something else; Swamp Izzo mentioned that he and Carti did have another album together, finished.
(May 2023) The rollout dies down
(Apr 10, 2025) DJ Swamp Izzo confirms that Carti finished an entire album at the end 2022, but that none of the songs made it to MUSIC.",,,,,
MUSIC [V1],"⭐ Lil L - Carti x Luxxk 
(feat. Playboi Carti) (prod. Digital Nas)","Previewed in a Snapchat Story. Song was released by Lil L under the name Carti & Luxxk (feat. Carti) on Feb 16, 2022, song wasnt found by fans untill Mar 16, 2022.",4:40,"Feb 16, 2022",Feature,Yes,https://open.spotify.com/track/0IocQguaOpz2jlRw2y5oBP
MUSIC [V1],"⭐ Fell In Love
(prod. Chinatown & ​captaincrunch)
(Finesse Remix, Aston Martin)",Released on Chinatowns Soundcloud. From 2016.,3:22,"May 26, 2022",Single,No,https://soundcloud.com/chinatownbeats/fell-in-love-prod-by-captain-crunch-x-chinatown
MUSIC [V1],"✨ Guap Tarantino - New Feelings 
(feat. Playboi Carti) (prod. D. Hill)
(Codeine Cup)","Released by Guap Tarantino on his soundcloud on August 14th, 2022. Was removed around 8 hours later due to Carti not clearing his verse.",3:13,"Aug 14, 2022",Feature,No,http://music.froste.lol/song/fb5a932a5eeae9cb8b83f7def5c8b678/play
MUSIC [V1],"TOKE
(feat. Jayy Balla) (prod. Pi'erre Bourne) 
(Toke Shit, Bust Down)","Released by Carti and Jayy Balla on spotify in October 2022. Sometime in early 2023, this version was later removed for unknown reasons.
""btw the second verse is some random who posted the song on cartis spotify, I was able to get it before it got taken down"".",2:51,"Oct 22, 2022",Single,No,    
MUSIC [V1],"zee! - dead guys II 
(prod. Dolan Beats) 
(D.C, box, killeverybodymusic)",Song released by zee! on soundcloud and streaming platforms that uses the same beat as D.C. 1 & 2 by Carti. Beat was most likely given after Carti scrapped his version.,2:01,"Nov 9, 2022",Single,Yes,"https://open.spotify.com/track/0uIKu1lBTd00qX0ZdrGLie 
https://soundcloud.com/teejayx6stolemyjob/killeverybodymusic"
MUSIC [V1],"⭐ Sights [V2]
(with A$AP Rocky) (prod. Evilgiane & BABYXSOSA)
(OUR DE$TINY)","Version used in the MV, has multiple SFX playing and a singular Rick Ross adlib. Has an outro.",2:58,"Dec 9, 2022",Feature,No,https://music.froste.lol/song/5d299d35137bc327d3483ed2b0714562
,"MUSIC [V2]
(Cave Era)","(May 2023) The rollout dies down
(June 2023) Carti tours across Europe, temporarily resides in Paris for the cave sessions where he records more 'experimental' music.
(August 2023) Carti returns to the states, switches sound for a ""darker"" theme",,,,,
MUSIC [V2],"✨ The Weeknd - Popular
(feat. Playboi Carti & Madonna) (prod. Metro Boomin, The Weeknd & MIKE DEAN)","Single released by The Weeknd featuring Playboi Carti & Madonna for ""The Idol"" Soundtrack.",3:35,"Jun 2, 2023",Feature,Yes,https://open.spotify.com/track/5xP9lQYA8YQmQh6BOxcAnR?si=74f224123a794e9d
MUSIC [V2],"⭐️ Travis Scott - FE!N [Streaming Version]
(feat. Playboi Carti & Sheck Wes) (prod. Travis Scott & Jahaan Sweet)",Track 8 on UTOPIA by Travis Scott. This is the first released song featuring Carti using the deep voice style.,3:11,"Jul 28, 2023",Feature,Yes,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA?si=aa21903c97654321
MUSIC [V2],"Travis Scott - FE!N [Vinyl Version]
(feat. Playboi Carti & Sheck Wes) (prod. Travis Scott & Jahaan Sweet)",Version of FE!N available on the Utopia First Pressing Physical Editions. Includes a rough demo take from Carti and an entirely new Sheck Wes verse. This version was also used in the Circus Maximus movie.,4:19,"Jul 28, 2023",Feature,No,https://pillows.su/f/6c59a99e96d888e6d5c8422c3d66e11c
