Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
</3³,"⭐ jumanji [V2]
(prod. Cade, Nova, Jasper Harris, Aaron Shadrow & Branden Akinyele)
(Get A Pass, Ain't Playin)","2nd lead single for </3³, released on September 11th, 2025 with a music video. Later became track 12 on </3³. Has the ""pour it up"" line at the beginning which was not present in the snippets.",2:17,"Sep 11, 2025",Mixtape Track,Yes,https://open.spotify.com/track/64wRr1jBEOB1knhbsNf896?si=9dd565b8d15740cf
</3³,"✨ leash
(prod. Bugz Ronin, 206Derek)",Track 13 on </3³.,2:29,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/0BYCnydVft9vKscEAfVhkm?si=33bd6e57e5f44eb7
</3³,"⭐ not the mayor [V2]
(prod. Cxdy, saintracks & whyeighteen)","Track 14 on </3³.
Lacks the Cxdy producer tag in the beginning, also has a transition into ""blowin smoke"" alongside a vocal tag at the very end saying ""Cœur brisé trois"" (Broken Hearts 3 in French).",2:25,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/2q4UuIOcWePFGjVpaSsGwC?si=5bae0a9506cb4208
</3³,"blowin smoke
(prod. Cxdy & RAFMADE)",Track 15 on </3³.,2:16,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/6RlqXk8bVFA0Cq8ychD6wL?si=dfee144b4c144de8
</3³,"kool on ya
(prod. Clayco & Lil 88)",Track 16 on </3³.,3:23,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/5CeRIPVn8DGNw7LbEq5XNc?si=ce1b2c3dc6824cb8
</3³,"⭐ soooo high
(prod. Cxdy, icedmn)
(So High, Take A Look, Money on the Floor)","Track 17 on </3³. Has a beat switch, however the second half is ran through a weird filter for some reason, making it sound like its being played through a phone speaker.",3:51,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/76gnHhCoK8ie5y6fuP3F2n?si=d42cdb29228b416c
</3³,"🗑️ open it up
(with Ken Carson) (prod. Bugz Ronin & Crystals)","Track 18 on </3³.
Was said by Lone to be their best song before the album dropped, but is considered by many fans to be their worst.",4:22,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/3Lir4xFT8g2t923T7d2Xmq?si=2b7a149b096f4c8c
</3³,"leave u out 2 dry
(prod. Bugz Ronin & Bhristo)",Track 19 on </3³.,3:00,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/6eya961N9x9j8TTu4iMc7w?si=9cf608b678f648a9
</3³,"not the mayor [Music Video]
(dir. afterlifeinparis)",Official music video for not the mayor.,2:10,"Jul 30, 2025",Music Video,Yes,https://www.youtube.com/watch?v=6M1rd4n9e44
</3³,</3³ [Dolby Atmos Masters],"Every song received a Dolby Atmos master on Apple Music, with small differences on most songs.",N/A,"Oct 14, 2025",Other,Yes,https://music.apple.com/us/album/3/1841516423
</3³,"screwed up [Music Video]
(dir. JMP)","Official music video for ""screwed up"", premiered right as the mixtape released. Pays homage to Avril Lavigne's ""I'm With You"".",2:36,"Sep 19, 2025",Music Video,Yes,https://www.youtube.com/watch?v=hG64Cc9VkTw
</3³,"A$AP Nast - AMG Music [Music Video]
(feat. Destroy Lonely)",Official music video for AMG Music.,2:24,"Jul 11, 2025",Music Video,Yes,https://www.youtube.com/watch?v=pguS60SGW6w
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
0 EP Track","Opium Twins [V2]
(Collaboration With Ken Carson)
(00 & 01)","(March 23, 2025) (Lone announces Broken Hearts 3 and a collab tape with Ken Carson)
(July 11, 2025) (Lone states at Beach Please that the tape is coming soon)
(September 19, 2025) (Destroy Lonely announces his next album will be called Drop Dead Gorgeous and that his next project will be the tape with Ken)
(Ongoing)",,,,"After the sudden halt on any word around the original version of Opium Twins from 2023, most fans assumed the album was scrapped, especially since at this point in time there was 0 news from insiders around the album. Ken & Lone continued to drop their respective albums (with features from eachother on each album) and focus on their own careers, leaving no hope for the project.

However, on a random sunday, after all the silence on the tape, with most fans believing it would never come, Lone took to twitter on March 23rd, 2025 to announce that he would be dropping two projects: Broken Hearts 3 and a collaboration with Ken Carson. The cover for this era is fanmade.",
Opium Twins [V2],"⭐ Ken Carson - the acronym
(with Destroy Lonely) (prod. Akachi, Sonickaboom & DJ Moon)
(Opium, Private Plane, Ostrich, O P I U M)","Snippet was posted on Ken Carson's new burner on Instagram (@xperimenting0_0), on Nov 15, 2025. According to Jamal, the song was in posession of sellers and could have been ran. Released on December 12, 2025 officially by Ken Carson.",2:27,"Dec 12, 2025",Feature,Yes,https://open.spotify.com/track/3Q1XHO8wAsa6WJ6urhF1xQ
"0 Album Track(s)
0 Single(s)
6 Feature(s))
0 Mixtape Track
5 EP Track","Drop Dead Gorgeous
(DDG, DL3)","(September 19, 2025) (</3³ releases, Lone announces on Tumblr that his next album will be called 'Drop Dead Gorgeous')
(Sep 28, 2025) (Lone surprise drops an untitled EP consisting of 5 songs)
(Ongoing)",,,,"On September 19th, 2025, after the release of his highly anticipated Broken Hearts 3, Lone took to Tumblr to announce his next album would be titled 'Drop Dead Gorgeous'.",
Drop Dead Gorgeous,"✨ with my bitch
(prod. Cxdy, saintracks, kayv)
(life ain't fair)","OG Filename: 01 9625 3_ WITH MY BITCH
Surprise dropped by Lone on Twitter (& later soundcloud) alongside 4
other songs, presumably they are all part of an EP as they share the
same 'cover' image but there's no title for the EP.",2:26,"Sep 28, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/with-my-bitch 
Drop Dead Gorgeous,"sipped too much
(prod. skai & Kush)
(big brother)","OG Filename: 09.26.2025 (3)
Surprise dropped by Lone on Twitter (& later soundcloud) alongside 4 other songs, presumably they are all part of an EP as they share the same 'cover' image but there's no title for the EP.",3:10,"Sep 28, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/sipped-too-much 
Drop Dead Gorgeous,"✨ hide it
(prod. Bugz Ronin & Murda Beatz)
(some days)","OG Filename: 91125 _ 3 _ HIDE IT 2
Surprise dropped by Lone on Twitter (& later soundcloud) alongside 4 other songs, presumably they are all part of an EP as they share the same 'cover' image but there's no title for the EP.",2:41,"Sep 28, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/hide-it 
Drop Dead Gorgeous,"⭐ exorcist
(prod. Bugz Ronin & nosaint)
(stop that shit)","OG Filename: 91125 3 _ EXORCIST
Surprise dropped by Lone on Twitter (& later soundcloud) alongside 4 other songs, presumably they are all part of an EP as they share the same 'cover' image but there's no title for the EP. Beat was used by Don Toliver on a leaked song called ""AT LEAST"" in 2024.",2:32,"Sep 28, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/exorcist 
Drop Dead Gorgeous,"⭐ rose gold ice
(prod. Cxdy, saintracks, kayv & dsbeats2k)
(Rose Gold, Thank God)","OG Filename: 05 ROSE GOLD ICE _ 5
Previewed on Feburary 21, 2025 on Instagram Live by Lone. Played in full at Rolling Loud California on March 16, 2025. Originally track 5 on Broken Hearts 3 and transitions into ""kansas"". It would then surprise released by Lone on Twitter (& later soundcloud) alongside the first four songs. ",3:00,"Sep 28, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/rose-gold-ice 
Drop Dead Gorgeous,"ApolloRed1 - Vamp Language
(feat. Destroy Lonely) (prod. Bugz Ronin & Leiso)","OG Filename: Vamp Language ft Destroy Lonely 
Bonus track for ApolloRed1 vs The World.",2:56,"Oct 1, 2025",Feature,SoundCloud,"https://soundcloud.com/user-236037367/vamp-language-ft-destroy 
OG File: https://pillows.su/f/9d84958eab04d0ec2515c0801e4d0fd8 "
Drop Dead Gorgeous,"✨ Ty Dolla $ign - ON REPEAT
(feat. Rich The Kid & Destroy Lonely) (prod. TheLabCook, Varg²™, Eurohead, Skarp V, FBG Goat & 6cppo)","Track 11 on TYCOON.
Most likely lone's verse is a stem edit from his unreleased track ""DOPE BOY SWAG"" where even Ty reuses lines from lone's verse there.",1:51,"Oct 17, 2025",Feature,Yes,https://open.spotify.com/track/3fRWLPnFfldOtZMm6YBUDu
Drop Dead Gorgeous,"✨ Sn8ke - Triple Cross
(feat. Destroy Lonely) (prod. HOMEBOYNIFTY, Emildollaz & 1nuntodo)
(Turn Up)","OG Filename: sn8ke lone triple
Previewed by Sn8ke on December 26, 2024. A partial recording of the song leaked randomly in Lone Hub on September 13, 2025. Single released by Sn8ke (formerly known as BigSmokeChapo)",2:24,"Dec 8, 2025",Feature,Yes,https://open.spotify.com/track/4Gih4TS3HK8kHzx6Qsetto
Drop Dead Gorgeous,"⭐ Lil 88 - Diamondz N' Gold
(with Destroy Lonely) (prod. Lil 88, saintracks & kayv)
(more than a 4)","OG Filename: 10825 4 _ MORE THAN A 4 (88)
Surprise released on SoundCloud by Lil 88 with the caption ""1st ONE UP IDGAF NO MORE SRRY I'll DEAL WIT IT!"" Would later get deleted from SoundCloud shortly after.",2:03,"Feb 23, 2026",Feature,SoundCloud,"https://soundcloud.com/lil8800/diamondz-n-gold
https://pillows.su/f/e41fb637ed1fc961aa73b9985166b041 "
Drop Dead Gorgeous,"✨ Steve Aoki - young [V3]
(feat. Destroy Lonely & BIA) (prod. Steve Aoki, Stargate & Kevo)
(Go Up)","Later version of 'Young' with an updated beat & mix. Released by Steve Aoki on May 15th, 2026.",2:48,"May 15, 2026",Feature,Yes,https://open.spotify.com/track/5IGgVDDTEXBZhtPIeUdYdD?si=b9a3b649b2654d94
Drop Dead Gorgeous,"✨ ApolloRed1 - Codeine Shower [V2]
(feat. Destroy Lonely) (prod. ADHD, MunMadeIt & coleigo)
(Codeine Shots, Codeine Showers)","OG Filename: 09 CODIENE SHOWERS FT DESTROY LONELY- OMV DIRTY **!
Previewed by Apollo on March 6, 2026. Leaked on May 1st, 2026 by Jamal, being the first DDG-era song to leak. Released as track 9 on DHR later after being reworked production-wise on June 5th, 2026.",1:59,"Jun 5, 2026",Feature,Yes,https://open.spotify.com/track/5zi2pjM0RAE35geLDPTpE8 
