Era,Name,Notes,Copy Length,File Date,Type,Available Length,Link(s)
Vol 2,"Jigga What, Jigga Who",,,,Music Video,High-Res,https://www.youtube.com/watch?v=frIA7tuBqqY
Vol 2,"Money, Cash, Hoes",,,,Music Video,High-Res,https://www.youtube.com/watch?v=31xa0CLbcls
Vol 2,"Big L - Platinum Plus
(feat. Jay-Z & Big Daddy Kane) (prod. DJ Premier)","According to DJ Premier on a Interview with Complex, he said that ""Jay-Z was supposed to be on ['Platinum Plus'] too. It was supposed to be the three of them, but he never had the chance to do it in the time frame. We really had to turn it in to make the date. So we just went ahead and did it without him""",,,Other,Never Recorded,https://www.complex.com/music/a/jaeki-cho/dj-premier-tells-all-stories-behind-classic-records
Vol 3,Big Pimpin',,,,Music Video,High-Res,https://www.youtube.com/watch?v=Cgoqrgc_0cM
Vol 3,Do It Again (Put Ya Hands Up),,,,Music Video,High-Res,https://www.youtube.com/watch?v=hp1QPTRs2U4
Vol 3,Anything,"Shorter (and better) version found on Beanie Segul's album ""The Truth""",,,Music Video,High-Res,https://www.youtube.com/watch?v=odThhIA2gUM
The Dynasty: Roc La Familia,I Just Wanna Love U (Give It 2 Me),,,,Music Video,High-Res,https://www.youtube.com/watch?v=nG8o_9RliwU
The Dynasty: Roc La Familia,Change The Game,,,,Music Video,High-Res,https://www.youtube.com/watch?v=9XiDG9acqRk
The Dynasty: Roc La Familia,"Jay-Z - We Gonna Make It
(prod. The Alchemist)","When the Alchemist finished producing the instrumental of the song, he first played it for DJ Premier, who liked it. Rapper Nas was originally intended to record a song with the instrumental, but he did not. Jay-Z also heard the beat, but passed as well. Jadakiss had expressed interest in rapping to the beat, and recorded ""We Gonna Make It"".",,,Other,Never Recorded,https://www.xxlmag.com/production-credit-alchemist-recalls-shopping-jadakisss-we-gonna-make-it-instrumental/
The Blueprint,Izzo (H.O.V.A),,,,Music Video,High-Res,https://www.youtube.com/watch?v=GRKmpn3SBdw
The Blueprint,"Girls, Girls, Girls",,,,Music Video,High-Res,https://www.youtube.com/watch?v=UCFAkD4EkYI
The Blueprint,Song Cry,,,,Music Video,High-Res,https://www.youtube.com/watch?v=w5srnNrICJo
The Blueprint,"DMX - Heart Of The City (Ain't No Love)
(prod. Kanye West)","Kanye mentions in ""Last Call"" that he wanted to give the ""Heart Of The City"" beat to DMX.",,,Other,Never Recorded,
The Blueprint,"Ghostface Killah - Girls, Girls, Girls
(prod. Just Blaze)","Just Blaze confirmed in an interview with The Alchemist that he originally produced the song ""Girls, Girls, Girls"" for Ghostface Killah. It's unknown if he recorded.",,,Other,Never Recorded,https://www.youtube.com/watch?v=yatx-oI7oo4
The Blueprint,"Prodigy - U Don't Know
(prod. Just Blaze)","In an interview, Just Blaze said that U Don't Know was originally meant for Prodigy & Busta Rhymes",,,Other,Never Recorded,https://www.youtube.com/watch?v=rUln84XA3ts
The Blueprint,"Busta Rhymes - U Don't Know
(prod. Just Blaze)","In an interview, Just Blaze said that U Don't Know was originally meant for Prodigy & Busta Rhymes",,,Other,Never Recorded,https://www.youtube.com/watch?v=rUln84XA3ts
The Blueprint 2,03' Bonnie & Clyde,,,,Music Video,High-Res,https://www.youtube.com/watch?v=hl5t3TyP8aY
The Blueprint 2,Excuse Me Miss,,,,Music Video,High-Res,https://www.youtube.com/watch?v=tnDh0JhmaFw
The Black Album,Encore,,,,Music Video,High-Res,https://www.youtube.com/watch?v=MaQZF0msXxE
The Black Album,Dirt Off Your Shoulders,,,,Music Video,High-Res,https://www.youtube.com/watch?v=Oz_-VaTHpc8
The Black Album,99 Problems,,,,Music Video,High-Res,https://www.youtube.com/watch?v=MzTLMp-vh9s
The Black Album,Change Clothes,,,,Music Video,High-Res,https://www.youtube.com/watch?v=j6G1uwe20wg
The Black Album,Fade To Black,Documentary,,,Film,High-Res,https://www.youtube.com/watch?v=GcWQcF0lu1U
The Black Album,"Last Call","Evidence said that he originally made the ""Last Call"" beat for JAY-Z to use for The Black Album. Evidence showed the beat to Kanye, so that he could give it to JAY-Z, but Kanye instead wanted the beat for himself stating ""I'm the new Mr. Rocafella."" Kanye eventually did show the beat to JAY-Z as depicted in the Fade To Black documentary, but kept it for himself.",,,Other,Never Recorded,https://uproxx.com/peoplesparty/evidence-kanye-last-call-jay-z-peoples-party-talib-kweli/
The Black Album,Kanye West - Lucifer Freestyle,"Kanye freestyling over the ""Lucifer"" beat while showing JAY-Z the beat for the first time, contains the line ""I'm from the capital where we murder for capital"" which was reused in the offical song. Freestyle showcased in the JAY-Z Fade To Black documentary.",3:44,,Freestyle,Full LQ,https://www.youtube.com/watch?v=PdyyNJcNavw
Kingdom Come,Show Me What You Got,,,,Music Video,High-Res,https://www.youtube.com/watch?v=FS4U-HAHwps
Kingdom Come,Lost One,,,,Music Video,High-Res,https://www.youtube.com/watch?v=Ng02QSUiL8M
American Gangster,Roc Boys (And The Winner Is)...,,,,Music Video,High-Res,https://www.youtube.com/watch?v=Revmkhxu7dk
American Gangster,Blue Magic (Single),,,,Music Video,High-Res,https://www.youtube.com/watch?v=0O3USgkwiJA
American Gangster,I Know,,,,Music Video,High-Res,https://www.youtube.com/watch?v=v8Up-BfOCKg
American Gangster,"Kanye West - Barry Bonds
(feat. Lil Wayne & JAY-Z)","JAY-Z was going to be on ""Barry Bonds"", ""but it was late in the day, so [he] didn't get to do it"".",,,Other,Never Recorded,https://ew.com/article/2007/09/20/jay-z-toasts-kanye-wests-graduation/
American Gangster,"Jay-Z - On Top Of The World
(prod. J Cole)","Song that was made to show to JAY-Z in hopes that he'd include it into American Gangsta, but he declined.",,,Instrumental,Never Recorded,https://pillows.su/f/0d71be9a52bf29cb7a8af21a5c52ecd1
The Blueprint 3,"Run This Town [Music Video]
(feat. Rihanna & Kanye West) (prod. Kanye West & No I.D.)","High-quality rip of the ""Run This Town"" music video.",5:08,,Music Video,High-Res,https://pillowcase.zip/f/28fa5daaea7d31f0d9329bdb3e11d5b5
The Blueprint 3,D.O.A. (Death Of Auto-Tune),,,,Music Video,High-Res,https://www.youtube.com/watch?v=RiflLKJHs-c
The Blueprint 3,Young Forever,,,,Music Video,High-Res,https://www.youtube.com/watch?v=Kzq15y2J4UM
The Blueprint 3,Onto The Next One,,,,Music Video,High-Res,https://www.youtube.com/watch?v=VTYXVwrWz4Y
The Blueprint 3,Legacy (Single),,,,Music Video,High-Res,https://www.youtube.com/watch?v=dHOTgIEmixc
The Blueprint 3,"Estelle - American Boy
(feat. Kanye West & JAY-Z)","JAY-Z performing a version of ""American Boy"" live. No evidence of it ever being studio recorded.",,,Live Performance,HQ Snippet,https://youtu.be/uml6h7BCS_o
The Blueprint 3,"Dark Fantasy
(prod. No I.D.)","No I.D. stated that Kanye West's ""Dark Fantasy"" beat was offered to JAY-Z for The Blueprint 3 before being given to Kanye.",,,Other,Never Recorded,
The Blueprint 3,Heartless,"Recorded as a reference track for JAY-Z by Kanye. Same version as the mumble demo. JAY-Z never recorded for it.",,,Other,Never Recorded,
The Blueprint 3,So Appalled,"Was originally given to JAY-Z for The Blueprint 3 but he didn't want to use it. It wasn't until he heard CyHi's verse that he decided he wanted to be on the song.",,,Other,Never Recorded,
The Blueprint 3,Welcome To Heartbreak,"An alt Cudi hook was recorded in intentions of being on ""Already Home"". Kanye made Cudi rewrite the hook for his own song. JAY-Z never recorded.",,,Other,Never Recorded,
The Blueprint 3,"All The Time
(feat. Mr Hudson) (prod. NO ID)","In an MTV Article, Kanye apperantly told Mr Hudson that he wanted him to to do the chorus for a track called 'She's Like That All the Time.'. It's is assumed this is a Earlier Version of All The Time due to the chorus on that track being ""She Like That All The Time"" and it being a Kanye and Jay-Z Track. It's unknown if Mr Hudson ever recorded on the chorus",,,Other,Never Recorded,https://web.archive.org/web/20150226154802/https://www.mtv.com/news/1611532/mr-hudson-on-working-with-jay-z-im-pinching-myself/
The Blueprint 3,"T.I. & JAY-Z - Swagga Like Us (Remix)
(feat. Jeezy) (prod. Kanye West & Mike Caren)","On his blog, Kanye said ""I already know what you [gonna] say ... we need Jeezy also ... I know ... I'm sure that's gonna be the official remix.""",,,Other,Never Recorded,https://web.archive.org/web/20230208003506/https://www.mtv.com/news/rd97ja/ti-talks-about-swagga-like-us-leaked-single-featuring-jay-z-lil-wayne-kanye-west-mtv-news-exclusive
Watch The Throne,"Lift Off [Music Video]
(feat. Beyoncé, Don Jazzy, Seal, Mr Hudson, Bankulli & Ricardo Lewis)","According to a journalists who attended a ""private listening session"" at the Mercer, ""Lift Off"" was going to have a music video. It's unknown whether or not this was recorded.",,,Music Video,N/A,https://hiphopdx.com/news/id.15880/title.details-emerge-on-jay-z-kanye-wests-watch-the-throne
Watch The Throne,"Niggas In Paris
(prod. Kanye West, MIKE DEAN, Anthony Kilhoffer & Hit-Boy)","Lossless music video for ""Niggas In Paris"".",4:04,,Music Video,Full Lossless,https://pillows.su/f/7529a09dba8374406b52d779d565a9c5
Watch The Throne,Otis,,,,Music Video,High-Res,https://www.youtube.com/watch?v=BoEKWtgJQAU
Watch The Throne,No Church In The Wild,,,,Music Video,High-Res,https://www.youtube.com/watch?v=FJt7gNi3Nr4
Watch The Throne,Watch The Throne (Documentary),"10 minute long documentary showing the Watch The Throne sessions. Contains snippets of songs such as ""Lift Off"" and ""Why I Love You"".",,,Film,Full HQ,https://vimeo.com/29560944
Watch The Throne,"Live at Coachella 2011 [Video]","Performance from Coachella 2011, when Kanye headlined. Features very different versions of some songs.",,,Live Performance,Full HQ,https://big.fileditchstuff.me/b22/UkhgrUxZUEPjDmoaUcZY.mov
Watch The Throne,"Otis [Live at the 2011 VMA's]","Kanye and JAY-Z performed ""Otis"" live at the 2011 VMA's. There are two versions included, one censored and one uncensored.",3:00,,Live Performance,Full CDQ,https://small.fileditchstuff.me/s5/NupDFrIXbpbCHKciBMTp.mp4
Watch The Throne,"Victoria's Secret Fashion Show 2011","Kanye performed at the 2011 Victoria's Secret fashion show, performing ""Stronger"" and a censored version of the song ""Niggas in Paris"" alongside JAY-Z called ""Legends In Paris"".",4:08,,Live Performance,Full CDQ,"https://small.fileditchstuff.me/s5/DrhGYDYaNQoCUTCsiJtV.mp4
https://small.fileditchstuff.me/s5/lmnUTjbSjomEzelzqLPI.mp4"
Watch The Throne,"160
(prod. Diplo)","OG Filename: diplo 160-2
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:36,,Instrumental,Never Recorded,https://pillows.su/f/4a7249dfb6b6ecd2670e3ea22b437218
Watch The Throne,"86bpm
(prod. Diplo & MIKE DEAN)","OG Filename: diplo mike 2 86 bpm-1
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",4:06,,Instrumental,Never Recorded,https://pillows.su/f/983b72aa1fccdbdae43ca7337ae6f7b9
Watch The Throne,"Altitude
(prod. Diplo)","OG Filename: diplo jesse steelo altitude-1
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",2:38,,Instrumental,Never Recorded,https://pillows.su/f/1d26bbcb5bc17821a62c9533875095e3
Watch The Throne,"Go Easy On Me
(prod. Diplo)","OG Filename: diplo go easy on me-2
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:52,,Instrumental,Never Recorded,https://pillows.su/f/1d47b2571da2ce6bbf8b8832a66360c9
Watch The Throne,"Guilded Splinters
(prod. Diplo)","OG Filename: guilded splinters diplo jesse-1
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",2:04,,Instrumental,Never Recorded,https://pillows.su/f/cc19f3c7dbd868e3b6cab906fefd41bb
Watch The Throne,Holy Grail,"Kanye wanted ""Holy Grail"" and ""Oceans"" from Magna Carta on Watch The Throne, and argued with Jay for 4 days about it. Most likely never recorded",,,Other,Never Recorded,https://pitchfork.com/news/51520-kanye-west-wanted-jay-z-to-include-holy-grail-and-oceans-on-watch-the-throne/
Watch The Throne,"Legendary
(prod. Verse Simmonds)","Said to be ""one of those really hard, drum-bass (beats)"". He submitted ""two or three [beats] that didn't really fit - some had hooks and others were just the beat"".",,,Instrumental,Never Recorded,
Watch The Throne,"MILLY STADIUM
(prod. Boi-1da)","OG Filename: 1515 - MILLY STADIUM
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",2:33,,Instrumental,Never Recorded,https://pillows.su/f/eaa17d36b3aef081723a799b8bfec06f
Watch The Throne,Oceans,"Kanye wanted ""Holy Grail"" and ""Oceans"" from Magna Carta on Watch The Throne, and argued with Jay for 4 days about it. Most likely never recorded",,,Other,Never Recorded,https://pitchfork.com/news/51520-kanye-west-wanted-jay-z-to-include-holy-grail-and-oceans-on-watch-the-throne/
Watch The Throne,"OLD SOUL BEAT
(prod. Boi-1da)","OG Filename: 1616 - OLD SOUL BEAT
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",2:34,,Instrumental,Never Recorded,https://pillows.su/f/75c16035d289a6d4b1d75bb5dd7f5e98
Watch The Throne,"START OVER
(prod. Boi-1da)","OG Filename: 1515 - START OVER BEAT
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:43,,Instrumental,Never Recorded,https://pillows.su/f/c9d726951e1feed8fbb8914a28d56645
Watch The Throne,"Timeless
(prod. Hit-Boy)","Song by Benny the Butcher released in 2020. Hit-Boy said the beat was originally made during the Watch The Throne sessions. Most likely never recorded.",,,Other,Never Recorded,
Watch The Throne,"Untitled
(prod. Bink)","An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",1:22,,Instrumental,Never Recorded,https://pillows.su/f/c2faa4203af13bb7eefcdb086fb9ae46
Watch The Throne,"Untitled
(prod. Boi-1da & T-Minus)","An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:30,,Instrumental,Never Recorded,https://pillows.su/f/1e9e78d22adff9ada6e6211d78a08cf2
Watch The Throne,"Untitled
(prod. Hit-Boy)
(Backseat Freestyle)","OG Filename: Hit-Boys1582
An early version of the ""Backseat Freestyle"" instrumental was given to JAY-Z and Kanye for WTT, and is found in session files, but was never used for a song. Includes an extended intro not found on the final Kendrick Lamar version. Instrumental is untitled.",3:20,,Instrumental,Never Recorded,https://pillows.su/f/ac1679bd9a60d2abbda4f0654e03456e
Watch The Throne,"Untitled
(prod. Hit-Boy)","OG Filename: Hit-Boys1499
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:37,,Instrumental,Never Recorded,https://pillows.su/f/411fba4821ab3d8561587e8631278327
Watch The Throne,"Untitled
(prod. Hit-Boy)","OG Filename: Hit-Boys1566
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",2:55,,Instrumental,Never Recorded,https://pillows.su/f/686194a41b0915f9c4e93f3975f8eedd
Watch The Throne,"Untitled
(prod. Hit-Boy)","OG Filename: Hit-Boys1675
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",2:46,,Instrumental,Never Recorded,https://pillows.su/f/811f74a50ac7ee2e591fb2202aa76cee
Watch The Throne,"Untitled
(prod. Hit-Boy)","OG Filename: Hit-Boys1388
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:57,,Instrumental,Never Recorded,https://pillows.su/f/70cc4746095dc1c832081e1299a41061
Watch The Throne,"Untitled
(prod. Hit-Boy)","OG Filename: Hit-Boys1613
An instrumental meant for Kanye, but it is not known if he recorded on it, hence it is here.",3:33,,Instrumental,Never Recorded,https://pillows.su/f/ce375814539ea111145eecfb6da44d8c
Watch The Throne,"Untitled
(prod. Tyler, The Creator)
(SMUCKERS)","The ""SMUCKERS"" beat was sent to Kanye and JAY-Z in 2011 for Watch The Throne before being taken back by Tyler. Most likely never recorded. Was later released in 2015 for Tyler's Cherry Bomb.",,,Other,Never Recorded,
Watch The Throne,"Common - Primetime
(prod. No I.D.)","No I.D. revealed that the song was originally made for Common's album The Dreamer/The Believer before he passed on the song and decided to give it to Nas.",,,Other,Never Recorded,
Watch The Throne,"Nas - Primetime
(prod. No I.D.)","After Common passed on the beat for ""Primetime"", it was going to be given to Nas before No I.D. played the song for Kanye and JAY-Z and they decided to use it on Watch The Throne.",,,Other,Never Recorded,
Watch The Throne,"Pusha T - Niggas In Paris
(prod. Hit-Boy)","The beat for ""Niggas In Paris"" was originally given to Pusha T to record on, but Pusha T allegedly passed on the beat rather quickly. It's likely he never recorded on the song.",,,Other,Never Recorded,
Magna Carta.. Holy Grail,Holy Grail,,,,Music Video,High-Res,https://www.youtube.com/watch?v=4kc5_pfNHGk
Magna Carta.. Holy Grail,Picasso Baby: A Performance Art Film,,,,Music Video,High-Res,https://www.youtube.com/watch?v=67m0ng6fKQE
Magna Carta.. Holy Grail,"???
(prod. J. Cole)","At the tail end of Cole's ""Power Trip"" beat video he asks, to somebody, ""Did I ever play you the beat I made for Jay?"" the person said no and Cole plays a beat, Beat samples ""Brooklyn's Here"" from the popular musical",,,Other,Never Recorded,https://www.youtube.com/watch?v=hjxdny59Coc
4:44,Smile,,,,Music Video,High-Res,https://www.youtube.com/watch?v=SSumXG5_rs8
4:44,The Story Of O.J,,,,Music Video,High-Res,https://www.youtube.com/watch?v=RM7lw0Ovzq0
4:44,Bam,,,,Music Video,High-Res,https://www.youtube.com/watch?v=nXXxUNJ23uk
4:44,4:44,age restricted lol,,,Music Video,High-Res,https://www.youtube.com/watch?v=zSkA61esq_c
4:44,Kill JAY-Z,,,,Music Video,High-Res,https://www.youtube.com/watch?v=rQLVU4j7Ejo
4:44,Family Feud,,,,Music Video,High-Res,https://www.youtube.com/watch?v=z2kEKZ6jyQQ
4:44,Marcy Me,,,,Music Video,High-Res,https://www.youtube.com/watch?v=i5fxxMRzi1Q
4:44,Adnis (Single),,,,Music Video,High-Res,https://www.youtube.com/watch?v=0_jUUKaT9M0
4:44,Moonlight,,,,Music Video,High-Res,https://www.youtube.com/watch?v=FCSh48OlvMo
4:44,Moonlight (Outtakes),,,,Music Video,High-Res,https://www.youtube.com/watch?v=O6Y5-hlTreU
4:44,MaNyfaCedGod (Single),,,,Music Video,High-Res,https://www.youtube.com/watch?v=tn4ZcYMzscM
4:44,Blue's Freestyle (Single),,,,Music Video,High-Res,https://www.youtube.com/watch?v=VVEK0AWeTWA
4:44,"Meek Mill - Scarface
(feat. Jay-Z & Nipsey Hussle)","Meek Mill showed a TL for his upcoming album teasing a Jay-Z and Nipsey Hussle features. It was most likely though this was never recorded and was just a idea laying around for Meek. This track ended up becoming ""Stand Up"" which released on Meek's Album ""Dreams Worth More Than Money""",,,Other,Never Recorded,
4:44,"???
(prod. Zaytoven)","Zaytoven and Jay-Z we're in the studio during November 2016, Zaytoven played some beats in front of Jay-Z. Jay-Z liked the beats with ""piano and strings in them"" however nothing was ever recorded.",,,Other,Never Recorded,https://www.xxlmag.com/zaytoven-confirms-he-jay-z-new-projects/
4:44,"Meek Mill - Scarface
(feat. Jay-Z & Nas)","Meek Mill showed a TL for his upcoming album teasing a Jay-Z and Nas features. It was most likely though this was never recorded and was just a idea laying around for Meek. This track ended up becoming ""Stand Up"" which released on Meek's Album ""Dreams Worth More Than Money""",,,Other,Never Recorded,
Everything Is Love,APESHIT,,,,Music Video,High-Res,https://www.youtube.com/watch?v=kbMqWXnpXcA
LP14,"Fivio Foreign - City of Gods
(with Kanye West, Alicia Keys & JAY-Z) (feat. Playboi Carti) (prod. Kanye West, Tweek Tune, Hemz, Mav Beats, AyoAA, Oji Volta, Dem Jointz, MIKE DEAN & The Chainsmokers)","Fivio revealed in an interview that Ye wanted JAY-Z to be on ""City of Gods"", but the collab did not materialize, as JAY-Z was busy, and Fivio wanted the song out as soon as possible.",,,Other,Never Recorded,https://www.billboard.com/music/rb-hip-hop/fivio-foreign-jay-z-city-of-gods-kanye-west-1235059580/
LP14,"Pop Smoke - Snitching
(feat. Quavo & JAY-Z) (prod. Buddah Bless & SethTheChef)","In the SFTSAFTM Complex article, Steven Victor said the song was offered to Hov but he never responded, so it ended up going to Future instead.",,,Other,Never Recorded,https://www.complex.com/music/pop-smoke-2020-cover-story
