Era,Name,Track Number / Info,Track Length,Release Date,Type,Streaming,Link(s)
Get Rich Or Die Tryin',"Your Life's On The Line [V2]
(prod. Terence Dudley)","Track #7 on ""Guess Who's Back"".",3:44,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"Get Out Of The Club
(prod. Father Shaheed)","Track #8 on ""Guess Who's Back"".",3:38,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"⭐ Be A Gentleman
(prod. Nottz)","Track #9 on ""Guess Who's Back"", Jay-Z diss in response of response to Hov's line dissing 50 Cent in a live freestyle at the 1999 Summer Jam.",2:40,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"Fuck You
(prod. DJ Clark Kent)","Track #10 on ""Guess Who's Back"".",3:55,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"⭐ Too Hot
(feat. Nas & Nature) (prod. Chop D.I.E.S.E.L.)","Track #11 on ""Guess Who's Back"". Said to have been intended for ""The Death of Escobar"" by Nas, 1 one of the 2 tracks that 50 recorded with Nas while both were signed to Columbia records.",3:45,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"Who U Rep With
(feat. Nas & Bravehearts) (prod. Trackmasters)",Track 12 on Guess Who's Back. 1 one of the 2 tracks that 50 recorded with Nas while both were signed to Columbia records.,4:21,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"Corner Bodega
(prod. L.E.S.)","Track 13 on Guess Who's Back, also listed as ""Corner Bodega (Coke Spot)"" on the leaked POTD Copy.",1:34,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"⭐ Ghetto Qur'an (Forgive Me)
(prod. Trackmasters)","Originally leaked by early 2000 and later released as track #14 on ""Guess Who's Back"". Hook later re-used for ""Forgive Me"" by Proof.",4:29,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"As The World Turns
(feat. Bun B) (prod. Red Spyda)","Track #15 on ""Guess Who's Back"".",4:15,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',Whoo Kid Freestyle,"Track #16 on ""Guess Who's Back"".",1:15,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',Stretch Armstrong Freestyle,"Track #17 on ""Guess Who's Back"".",1:19,"Apr 26, 2002",Mixtape Track,No,
"5 Total
5 OST Track(s)","8 Mile Soundtrack
(Collaboration with various artists)","(06/17/2002) (50 Cent signs to Shady Records)
(10/29/2002) (8 Mile soundtrack offically releases)",,,"A soundtrack that was made alongside the 2002 semi-autobiographical movie 8 Mile, starring Eminem. ",,
,Album Tracks,,,,,,
8 Mile Soundtrack,"Love Me
(with Obie Trice, Eminem & 50 Cent) (prod. Eminem)",Track #2 on the 8 Mile Soundtrack.,4:30,"Oct 29, 2002",OST Track,Yes,https://open.spotify.com/track/0jRj0owDUMxxbmz2qkgtSC?si=c6d60b6ffd754fa9
8 Mile Soundtrack,"Places To Go
(with 50 Cent) (prod. Eminem)",Track #5 on the 8 Mile soundtrack. Has Eminem's favorite 50 Cent verse (being verse 2).,4:15,"Oct 29, 2002",OST Track,Yes,https://open.spotify.com/track/2hARTYV46zzxDEjui6AXy1?si=9d13cda56b9e497e
8 Mile Soundtrack,"Rap Game
(with D12 & 50 Cent) (prod. Luis Resto)",Track #6 on the 8 Mile soundtrack.,5:53,"Oct 29, 2002",OST Track,Yes,https://open.spotify.com/track/3WgTbafC5uRpdQdFndQYxE?si=90abe17c9c914a9f
8 Mile Soundtrack,"Wanksta
(with 50 Cent) (prod. J-Praize)",Track #11 on the 8 Mile Soundtrack. Later released as a bonus track to Get Rich Or Die Tryin'.,3:38,"Oct 29, 2002",OST Track,Yes,https://open.spotify.com/track/0lX0NlvFAmuFSltr6gxQAL?si=afc2bdab329c4b22
8 Mile Soundtrack,"Till' I Collapse Freestyle
(with 50 Cent) (prod. Eminem)","Track #3 on 8 Mile: The Special Edition (CD2), later released as track #19 on some versions of Beg For Mercy.",1:26,"Oct 29, 2002",OST Track,No,https://mega.nz/folder/0lJFHagJ#3tKui_P2n1BtLwLw_cKXQQ/file/1942iSqa
"19 Total
14 Album Track(s)
4 Single / Album Track(s)
1 Mixtape Track(s)","Beg For Mercy
(Collaboration with Lloyd Banks, Tony Yayo & Young Buck as G-Unit)","(02/06/2003) (Get Rich Or Die Tryin' officially releases)
(03/03/2005) (The Massacre officially releases)",,,"Beg for Mercy is the debut studio album by American rap group G-Unit, released through Interscope Records and 50 Cent's G-Unit Records. The album was released on November 14, 2003, nine months after 50 Cent's successful debut album Get Rich or Die Tryin'.",,
,Album Tracks,,,,,,
Beg For Mercy,"G-Unit
(prod. Hi-Tek)",Track #1 on Beg For Mercy.,3:29,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Poppin' Them Thangs
(prod. Dr. Dre & Scott Storch)",Track #2 on Beg For Mercy.,4:00,"Nov 14, 2003",Single / Album Track,Yes,
Beg For Mercy,"My Buddy
(prod. Thayod Ausar, Eminem & Luis Resto)",Track #3 on Beg For Mercy.,3:44,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"I'm So Hood
(prod. DJ Twins, Eminem & Luis Resto)",Track #4 on Beg For Mercy.,2:25,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Stunt 101
(prod. Mr. Porter)",Track #5 on Beg For Mercy.,3:52,"Nov 14, 2003",Single / Album Track,Yes,
Beg For Mercy,"Wanna Get To Know You
(feat. Joe) (prod. Red Spyda)",Track #6 on Beg For Mercy.,4:25,"Nov 14, 2003",Single / Album Track,Yes,
Beg For Mercy,"Groupie Love
(feat. Butch Cassidy) (prod. Midi Mafia)",Track #7 on Beg For Mercy.,4:14,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Betta Ask Somebody
(prod. Jake One)",Track #8 on Beg For Mercy.,3:53,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Footprints
(prod. Nottz)",Track #9 on Beg For Mercy.,4:21,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Eye For Eye
(prod. Hi-Tek)",Track #10 on Beg For Mercy.,3:55,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Smile
(prod. No I.D.)",Track #11 on Beg For Mercy.,3:38,"Nov 14, 2003",Single / Album Track,Yes,
Beg For Mercy,"Baby U Got
(prod. Megahertz)",Track #12 on Beg For Mercy.,4:03,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Salute U
(prod. 7th EMP)",Track #13 on Beg For Mercy.,3:00,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Beg for Mercy
(prod. Sha Money XL & Big Toni)",Track #14 on Beg For Mercy.,2:38,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"G'd Up
(prod. Dr. Dre)",Track #14 on Beg For Mercy.,4:47,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Lay You Down
(prod. DJ Khalil)",Track #16 on Beg For Mercy.,4:03,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"Gangsta Shit
(prod. Needlz)",Track #17 on Beg For Mercy.,4:12,"Nov 14, 2003",Album Track,Yes,
Beg For Mercy,"I Smell Pussy [V2]
(prod. Sam Sneed)","Track #18 on Beg For Mercy. Originally called ""U Remind Me Of My Bitch"".",3:58,"Nov 14, 2003",Album Track,Yes,
,Non-Album Tracks,,,,,,
Beg For Mercy,"U Remind Me Of My Bitch [V1]
(prod. Sam Sneed)","Track #6 on Automatic Gunfire, original version of I Smell Pussy with an outro that disses Irv Gotti & Charli Baltimore.",,"Dec 9, 2002",Mixtape Track,No,
"39 Total
1 Intro(s)
19 Album Track(s)
1 Single / Album Track(s)
11 Feature(s)
2 Feature / Bonus Track(s)
1 Single(s)
3 Feature / Single(s)
1 OST Track(s)","The Massacre
(St. Valentine's Day Massacre)","(02/06/2003) (Get Rich Or Die Tryin' officially releases)
(03/03/2005) (The Massacre officially releases)",,,"After 50 released his monstrous debut in 2003, demand was high for 50 content. He would help his fellow G-Unit members get off the ground before releasing The Massacre in 2005. According to 50, the album had a bit of a different direction at first, focusing more on imperfections and with more generally soft content on the album then release, at least for the singles. However, after giving some songs the The Game for ""The Documentary"", he changed his direction and got songs like ""Candy Shop"" and ""Just A Lil' Bit"" among others on the album. The album was supposed to come out in February 2005, however this was delayed to give Game's Documentary more breathing room. 50 was quite unhappy with this and leaked Disco Inferno early, along with Candy Shop months later.",,
,Album Tracks,,,,,,
The Massacre,"Intro/ 50 Cent / The Massacre
(prod. Eminem)","Track #1 on The Massacre. Titled ""Intro"" on physical releases and ""Intro/ 50 Cent / The Massacre"" on streaming.",0:41,"Mar 3, 2005",Intro,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"In My Hood
(prod. C-Styles, Bangout, Eminem & Luis Resto)",Track #2 on The Massacre.,3:51,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"This Is 50
(prod. Black Jeruz & Sha Money XL)",Track #3 on The Massacre.,3:04,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"I'm Supposed To Die Tonight
(prod. Eminem & Luis Resto)",Track #4 on The Massacre.,3:51,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Piggy Bank
(prod. Needlz)",Track #5 on The Massacre.,4:15,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"GATman And Robbin
(feat. Eminem) (prod. Eminem, Jeff Bass & Mark Bass)",Track #6 on The Massacre.,3:46,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Candy Shop
(feat. Olivia) (prod. Scott Storch)",Track #7 on The Massacre.,3:29,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Outta Control
(prod. Dr. Dre & Mike Elizondo)",Track #8 on The Massacre.,3:21,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Get In My Car
(prod. Hi-Tek)",Track #9 on The Massacre.,4:05,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Ski Mask Way
(prod. Disco D, Eminem & Luis Resto)",Track #10 on The Massacre.,3:05,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"A Baltimore Love Thing
(prod. Cue Beats)",Track #11 on The Massacre.,4:17,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Ryder Music
(prod. Hi-Tek)",Track #12 on The Massacre.,3:51,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Disco Inferno
(prod. C-Styles & Bangout)",Track #13 on The Massacre.,3:34,"Mar 3, 2005",Single / Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Just A Lil Bit
(prod. Scott Storch)",Track #14 on The Massacre.,3:57,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Gunz Come Out
(prod. Dr. Dre & Mike Elizondo)",Track #15 on The Massacre.,4:24,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"My Toy Soldier
(feat. Tony Yayo)",Track #16 on The Massacre.,3:44,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Position Of Power
(prod. Jonathan ""JR"" Rotem)",Track #17 on The Massacre.,3:12,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"Build You Up
(feat. Jamie Foxx)",Track #18 on The Massacre.,2:55,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"God Gave Me Style
(prod. Needlz)",Track #19 on The Massacre.,3:01,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"So Amazing
(feat. Olivia) (prod. Jonathan ""JR"" Rotem)",Track #20 on The Massacre.,3:16,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
The Massacre,"I Don't Need 'Em
(prod. Buck Wild)",Track #21 on The Massacre.,3:20,"Mar 3, 2005",Album Track,Yes,https://open.spotify.com/album/2pidzXTaHV4WaIJYRxKDCH?si=9jpIuRnpTRqWkANUWbBH8Q
,Features,,,,,,
The Massacre,"2Pac - Loyal To The Game
(feat. 50 Cent, Lloyd Banks & Young Buck) (prod. Eminem & Luis Resto)","Track #6 on ""Loyal To The Game"".",3:24,"Dec 14, 2004",Feature,Yes,https://open.spotify.com/track/3iNzFuZPs4va5EUrpAFiYt?si=41200148740f4a24
The Massacre,"DMX - Shot Down
(feat. 50 Cent & Styles P) (prod. DJ Salam Wreck)","Track #7 on ""Grand Champ"".",3:42,"Sep 16, 2003",Feature,Yes,https://open.spotify.com/track/7jC2L9bMp27FinnPgFXc1f
The Massacre,"Eminem - Bump Heads [V1]
(feat. Tony Yayo, 50 Cent & Lloyd Banks) (prod. Eminem)","Track #4 on ""Invasion II: Conspiracy Theory"", also appeared on the ""Shady Special Sampler"". Lacks the DJ tags and the intro gunshots.",4:40,2003,Feature,No,
The Massacre,"Eminem - Bump Heads [V2]
(feat. Tony Yayo, 50 Cent & Lloyd Banks) (prod. Eminem)","Released on the ""Business"" single. Later rereleased as track #23 on ""The Eminem Show (Expanded Edition)"".",4:41,"Apr 15, 2003",Feature / Bonus Track,Yes,https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU?si=ifd8WG9rTe-SVFXyBQX3Ow
The Massacre,"Eminem - Encore [V1]
(feat. Dr. Dre & 50 Cent) (prod. Dr. Dre, Luis Resto, Mark Batson & Mike Elizondo)","Released as a b-side to the ""Mockingbird"" single. Lacks the Curtains Down skit.",5:12,"Nov 9, 2004",Single,Yes,https://open.spotify.com/album/2dTGfiD43GE5LIqRmgSRJt
The Massacre,"Eminem - Encore/Curtains Down [V2]
(feat. Dr. Dre & 50 Cent) (prod. Dr. Dre, Luis Resto, Mark Batson & Mike Elizondo)","Track #20 on ""Encore"". From July or August 2004.",5:48,"Nov 12, 2004",Feature,Yes,https://open.spotify.com/album/7tsXPtLqhab1zWeubbf6JH
