Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
A Head Full Of Dreams,Hymn for the Weekend,"OG Filename: HYMN FOR THE WEEKEND HenStB RikMix vt Ref8 X 20150923B [???]
Session contains 171 tracks.","Sep 23, 2015",,N/A,,Not Publicly Available,Not Available,
A Head Full Of Dreams,Life Is Beautiful,,,,N/A,,Not Publicly Available,Not Available,
A Head Full Of Dreams,The Race,,,,N/A,,Not Publicly Available,Not Available,
A Head Full Of Dreams,Adventure of a Lifetime (Multitrack),,,,,,Full,Lossless,Adventure of a Lifetime Stems
A Head Full Of Dreams,Adventure of a Lifetime (Drum Loop) [V1],"OG Filename: Adventure loop
Drum loop from Adventure of a Lifetime.","Dec 2, 2015",,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Adventure of a Lifetime (Drum Loop) [V2],"OG Filename: Adventure loop 112
Listed in a screenshot among leaked demos. Presumably a newer version of the former.","Feb 23, 2016",,,,Not Publicly Available,Not Available,N/A
A Head Full Of Dreams,Hymn for the Weekend (Multitrack),OG Filename Structure: HYMN FOR THE WEEKEND HenStB RikMix Ref8 [...] vt 48k WP 20150923B,"Oct 23, 2015",,,,Full,Lossless,Hymn for the Weekend Stems
A Head Full Of Dreams,Fun (Multitrack),OG Filename Structure: FUN HenStB Ref5 [...] nvt 48k WP SPA 20150924A,"Oct 24, 2015",,,,Full,Lossless,Fun Stems
A Head Full Of Dreams,Birds (Rock Band),,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Something Just Like This (Rock Band),,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Miracles (Someone Special),OG Filename: MIRACLES 2 DGMIX ref16 voc up 20170511D,"May 11, 2017",,,,Confirmed,Not Available,
A Head Full Of Dreams,Gold,,,,,,Confirmed,Not Available,
A Head Full Of Dreams,"Forever, Whatever",Full band ref.,,,,,Full,Lossless,"Forever, Whatever Acapella"
A Head Full of Dreams,Gold,"OG Filename: Gold acca 143 bpm
Listed in a screenshot among leaked demos.",,,,,Not Publicly Available,Not Available,N/A
A Head Full Of Dreams,Legends,,,,,,Full,Lossless,Legends Acapella
A Head Full Of Dreams,A Head Full of Dreams,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Birds,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Hymn for the Weekend,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Everglow,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Adventure of a Lifetime,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Fun,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Army of One,X Marks the Spot is not included.,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Amazing Day,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Colour Spectrum,Released version is instrumental.,,,,,OG File,Lossless,LINK NEEDED
A Head Full Of Dreams,Up&Up,"""Believe in Love"" section is cut off.",,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,All I Can Think About Is You,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Miracles (Someone Special),,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,A L I E N S,,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Something Just Like This (Tokyo Remix),,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Hypnotised (EP Mix),,,,,,Full,High Quality,LINK NEEDED
A Head Full Of Dreams,Something Just Like This,,,,,,Full,Lossless,LINK NEEDED
A Head Full of Dreams,Gold,"OG Filename: Gold cue instr
Listed in a screenshot among leaked demos.",,,,,Not Publicly Available,Not Available,N/A
A Head Full Of Dreams,"Forever, Whatever",Full band ref.,,,,,Full,Lossless,Forever. Whatever Instrumental
A Head Full Of Dreams,"Kaleidoscope
(The Race)",,,,,,Full,Lossless,Kaleidoscope Instrumental
A Head Full Of Dreams,Glastonbury 2016,Full instrumental mix of the show.,,,,,Full,Lossless,LINK NEEDED
Everyday Life,Orphans (Rock Band),,,,3:22,,Full,High Quality,Orphans Stems
Everyday Life,Champion of the World (Rock Band),Has an alternate intro and a different tempo.,,,4:20,,Full,High Quality,Champion of the World Stems
Everyday Life,Sunrise,Released version is instrumental.,,,2:31,,Full,Lossless,Sunrise (Instrumental)
Everyday Life,Church,,,,3:50,,Full,High Quality,Church (Instrumental)
Everyday Life,Trouble in Town,Rougher demo vocals from Tuscany can be heard throughout.,,,4:39,,Full,High Quality,Trouble in Town (Instrumental)
Everyday Life,BrokEn,,,,2:30,,Full,High Quality,BrokEn (Instrumental)
Everyday Life,Daddy,,,,4:58,,Full,High Quality,Daddy (Instrumental)
Everyday Life,Arabesque,Shortened intro.,,,5:23,,Full,Lossless,Arabesque (Instrumental)
Everyday Life,When I Need a Friend,,,,2:35,,Full,High Quality,When I Need a Friend (Instrumental)
Everyday Life,Guns,Has vocal bleed due to the track being recorded in one performance.,,,1:55,,Full,High Quality,Guns (Instrumental)
Everyday Life,Orphans,,,,3:17,,Full,Lossless,Orphans (Instrumental)
Everyday Life,Èkó,,,,2:37,,Full,High Quality,Èkó (Instrumental)
Everyday Life,Cry Cry Cry,,,,2:47,,Full,High Quality,Cry Cry Cry (Instrumental)
Everyday Life,Old Friends,,,,2:27,,Full,High Quality,Old Friends (Instrumental)
Everyday Life,بنی آدم,,,,3:14,,Full,High Quality,(Instrumental) بنی آدم
Everyday Life,Champion of the World,,,,4:17,,Full,High Quality,Champion of the World (Instrumental)
Everyday Life,Everyday Life,,,,4:18,,Full,High Quality,Everyday Life (Instrumental)
Everyday Life,Flags,Rougher demo vocals can be heard throughout.,,,3:36,,Full,Lossless,Flags (Instrumental)
,"Music of the Spheres
Vol. 1: From Earth With Love",,,,,,Everyone is an alien somewhere.,,
Music Of The Spheres,"Robot
(Robots)",Recording sessions for the song Robot (fka Robots) from November 2021.,Nov 2021,,N/A,,Partial,High Quality,Robot [V2]
Music Of The Spheres,Music of the Spheres,OG Filename Structure: Music Of The Spheres F Maj LDN [...] WP 20210622B,"Jun 22, 2021",,,,Full,Lossless,Music of the Spheres Stems
Music Of The Spheres,Higher Power,,,,,,Full,Lossless,Higher Power Stems
Music Of The Spheres,Humankind,,,,,,Full,Lossless,Humankind Stems
Music Of The Spheres,Infinity Sign,,,,,,Full,Lossless,Infinity Sign Stems
Music Of The Spheres,Coloratura,,,,,,Full,Lossless,Coloratura Stems
Music Of The Spheres,Day 'n' Night (Spotify Single),,,,,,Confirmed,Not Available,
Music Of The Spheres,Infinity Sign (Unmixed),"OG Filename: Infinity Sign - 52721- 24Bit Acapella
Included in the Infinity Sign stems. Includes crowd samples and Chris' vocals.","May 27, 2021",,3:56,,OG File,Lossless,"Infinity Sign (Unmixed, Acapella)"
Music Of The Spheres,Music of the Spheres,OG Filename: Music Of The Spheres 1 Revised 20210601 INST V2 Mastered 16B 44K,"Jun 1, 2021",,0:58,,OG File,Lossless,Music Of The Spheres (Instrumental)
Music Of The Spheres,Higher Power,OG Filename: Higher Power 20210401 INST Mastered 16B 44K,"Apr 1, 2021",,3:25,,OG File,Lossless,Higher Power (Instrumental)
Music Of The Spheres,Humankind,"OG Filename: Humankind 20210513 INST V2B Mastered 16B 44K
Alien Choir is included at the end.","May 13, 2021",,5:20,,OG File,Lossless,Humankind (Instrumental)
Music Of The Spheres,Let Somebody Go,OG Filename: Let Somebody Go Ft. Selena Gomez 20210615 INST V2B Mastered 16B 44K,"Jun 15, 2021",,4:01,,OG File,Lossless,Let Somebody Go (Instrumental)
Music Of The Spheres,People Of The Pride,OG Filename: People Of The Pride 20210528 INST V2B Mastered 16B 44K,"May 28, 2021",,3:37,,OG File,Lossless,People Of The Pride (Instrumental)
Music Of The Spheres,Biutyful,OG Filename: Biutyful 20210513 INST V2 Mastered 16B 44K,"May 13, 2021",,3:07,,OG File,Lossless,Biutyful (Instrumental)
Music Of The Spheres,Music of the Spheres II,OG Filename: Music Of The Spheres 2 20210527 INST V2 Mastered 16B 44K,"May 27, 2021",,0:33,,OG File,Lossless,Music Of The Spheres II (Instrumental)
Music Of The Spheres,My Universe,OG Filename: My Universe 20210528 INST V2 Mastered 16B 44K,"May 28, 2021",,3:48,,OG File,Lossless,My Universe (Instrumental)
Music Of The Spheres,Infinity Sign,OG Filename: Infinity Sign V2 20210527 INST V2 Mastered 16B 44K,"May 27, 2021",,3:57,,OG File,Lossless,Infinity Sign (Instrumental)
Music Of The Spheres,Coloratura,OG Filename: Coloratura INST V2B Mastered 16B 44K,2021,,10:19,,OG File,Lossless,Coloratura (Instrumental)
Music Of The Spheres,Infinity Sign (Unmixed),"OG Filename: Infinity Sign - 52721- 24Bit Instrumental
Included in the Infinity Sign stems. Omits everything in the acapella.","May 27, 2021",,3:56,,OG File,Lossless,"Infinity Sign (Unmixed, Instrumental)"
Music Of The Spheres,Higher Power (Tiesto Remix),,,,3:49,,Full,Lossless,Higher Power (Tiësto Remix Instrumental)
Music Of The Spheres,Higher Power (Tiesto Remix Extended),,,,4:17,,Full,Lossless,Higher Power (Tiësto Remix Instrumental Extended)
Music Of The Spheres,Higher Power (ZHU Remix),,,,4:46,,Full,Lossless,Higher Power (ZHU Remix Instrumental)
Music Of The Spheres,From Earth With Love (Early Mix),"OG Filename: FROM EARTH WITH LOVE LA CMedits ref X 2021104F
More developed mix of the song, but lacks the pre-choruses and the rap bridge of the later demo. Uses elements from/that are present in the released version of Neon Forest.","Oct 4, 2021",,3:09,,Full,High Quality,From Earth With Love (Early Mix)
,"Music of the Spheres, Vol. 2:
Moon Music",,,,,,Love is the only answer.,,
Moon Music,Jupiter (Early 2023),"OG Filename Structure: JUPITER PrepForMXM PB [...] stem X 20230312B
Listed in a screenshot given by a source.","Mar 12, 2023",,,,Not Publicly Available,Not Available,N/A
Moon Music,MOON MUSiC,"OG Filename: Moon Music 20240531 MI inst mastered 24b 48k
Unmixed.","May 31, 2024",,4:42,,OG File,Lossless,MOON MUSiC
Moon Music,feelslikeimfallinginlove,OG Filename: Feels like Im falling in love 20240527 MI Vari inst v2 mastered 24b 48k,"May 27, 2024",,3:56,,OG File,Lossless,feelslikeimfallinginlove (Instrumental)
Moon Music,WE PRAY,OG Filename: We Pray 20240614 MI inst v4 mastered 24b 48k,"Jun 14, 2024",,3:53,,OG File,Lossless,WE PRAY (Instrumental)
Moon Music,JUPiTER,"OG Filename: Jupiter 20240602 MI-Vari inst mastered 24b 48k
Unmixed.","Jun 2, 2024",,4:04,,OG File,Lossless,JUPiTER (Instrumental)
Moon Music,GOOD FEELiNGS,"OG Filename: Good Feelings 20240528 MI-Vari inst v3 mastered 24b 48k
Unmixed.","May 28, 2024",,3:42,,OG File,Lossless,GOOD FEELiNGS (Instrumental)
Moon Music,ALiEN HiTS / ALiEN RADiO,"OG Filename: NEON FOREST (w new bits) 20240613 MI inst v3 mastered 24b 48k
Sunshine vocals are present, cuts off right before Angelsong.","Jun 13, 2024",,3:08,,OG File,Lossless,ALiEN HiTS / ALiEN RADiO (Instrumental)
Moon Music,iAAM,OG Filename: iAAM 20240618 MI inst v3 mastered 24b 48k,"Jun 18, 2024",,3:05,,OG File,Lossless,iAAM (Instrumental)
Moon Music,AETERNA,OG Filename: Aeterna rev fade 20240617 MI inst v4 mastered 24b 48k,"Jun 17, 2024",,4:13,,OG File,Lossless,AETERNA (Instrumental)
Moon Music,ALL MY LOVE,OG Filename: All My Love 20240603 MI inst v2 mastered 24b 48k,"Jun 3, 2024",,3:43,,OG File,Lossless,ALL MY LOVE (Instrumental)
Moon Music,ONE WORLD,"OG Filename: One World 20240609 MI inst v2 mastered 24b 48k
(unnamed melody) is not included.","Jun 9, 2024",,4:58,,OG File,Lossless,ONE WORLD (Instrumental)
Moon Music,feelslikeimfallinginlove (Single Version),,,,,,Full,High Quality,LINK NEEDED
Moon Music,Man in The Moon,"OG Filename: Man In The Moon_20240923 MI inst_mastered 24b 48k
Was previously available through UMPG's website with an account but has since been made private.","Sep 23, 2024",,3:54,,Snippet,Medium Quality,Snippet
Moon Music,Angelsong,"OG Filename: Angelsong (ft Will Champion)_202400912 inst_mastered 24b 48k
Available through UMPG's website; account required for full download.","Sep 12, 2024",,4:22,,Snippet,Medium Quality,Snippet
Other,Heaven (Multitrack),Chris x Avicii song.,,,,,Full,Lossless,Heaven Stems
