Era,Name,Notes,Image / Length,Date,Type,Available Length,Quality,Link(s)
,"Beauty Behind The Madness
(Vices & Madonna, Inside Our Dangerously Empty Lives, Mania, Manic Phase, There's Beauty Behind The Madness)","(08/XX/2014) (Republic Records offers Abel making original music for the Fifty Shades of Grey film)
(08/28/2015) (Beauty Behind The Madness is released)",,,,"Once Abel began to work on original music for 'Fifty Shades of Grey' with singles like 'Earned It', he began leaning in to a more mainstream pop sound working with producers like Max Martin and Oscar Holter during the sessions for 'Beauty Behind The Madness', his second studio album released on August 28th, 2015 with the singles 'Cant Feel My Face' and 'The Hills' dominating the pop charts throught the entirety of the year.",,
BBTM,Beauty Behind The Madness [Instrumentals],"Official instrumentals for ""Beauty Behind The Madness"". Leaked in late 2016.",,,,Full,Lossless,Link
BBTM,Can't Feel My Face [Stems],"Official stems for ""Can't Feel My Face"". Leaked in late 2017.",,,,Full,,Link
BBTM,The Hills [Stems],,,,,Partial,,
BBTM,Ruff Ref 3 (Lonely Thoughts) [Instrumental],"Was uploaded by Daxz on his SoundCloud on Jan. 26, 2017, but he deleted it shortly after. Features different structure from the version with vocals.",,,,Full,,Link
BBTM,Ruff Ref 4 (I Wanna Feel You) [Instrumental],"Was uploaded by Daxz on his SoundCloud, but he deleted it shortly after. Features different structure from the version with vocals.",,,,Full,,Link
BBTM,Ruff Ref 5 (How Will I Know?) [Instrumental],"Was uploaded by Daxz on his SoundCloud on Feb. 4, 2017, but he deleted it shortly after. Features different structure from the version with vocals.",,,,Full,,Link
BBTM,Travis Scott - Pray 4 Love (feat. The Weeknd) [Instrumental] ,"Official instrumental for ""Pray 4 Love"". Leaked on Aug. 19, 2020.",,,,Full,,Link
BBTM,Acquainted [Music Video],"Leaked on Feb. 18, 2023. A photo from the shooting of the music video for ""Acquainted"" was posted on Instagram on Feb. 9, 2016. However, it was never released. Directed by Nabil Elderkin.",,,,Full,,Link
BBTM,Hangout Fest ,"Files for ""Hangout Fest"". Leaked on Feb. 3, 2023",,,,Full,,Link
BBTM,Meadowfest ,"Files for ""Meadowfest"". Leaked on Feb. 3, 2023.",,,,Full,,Link
BBTM,The Madness Fall Tour,"Files for the ""The Madness Fall Tour"". Leaked on Feb. 3, 2023. Will link an edit without the ""1 2 3 5"" ",,,,Full,,Link
,Starboy,"(08/28/2015) (Beauty Behind The Madness is released)
(11/25/2016) (Starboy is released)",,,,"Following up the mega success of 'Beauty Behind The Madness', Abel's transition to becoming a popstar was becoming more clear by the amount of mainstream popularity he was getting. As Abel was dominating charts throught 2015 going into 2016, he began working with Daft Punk and a few other collaborators like Future, Lana Del Rey & Kendrick Lamar to create a pop record that has even greater mainstream appeal than BBTM, which resulted in the release of 'Starboy' on November 25th, 2016.",,
Starboy,Starboy [Instrumentals],"Official instrumentals for ""Starboy"". Leaked in late 2016.",,,,Full,,Link
Starboy,I Feel It Coming [Stems],"Stems for the song. Acapella has been previewed in LEAKTH.IS Discord on multiple occasions. Does not appear to be circulating, however possibly privately owned. Snippet withheld from tracker for privacy reasons.",,,,Confirmed,Not Available,
Starboy,Legend Of The Fall Tour,"Files for the ""Legend Of The Fall Tour"". Leaked on Feb. 3, 2023. Will link an edit without the ""1 2 3 5"" ",,,,Full,,Link
,"Untitled
(Upbeat Album, 2017 Album)","(11/23/2016) (Starboy is released)
(10/29/2017) (Abel and Selena break up)",,,,"While Abel began to tour his 2016 album 'Starboy' across North America and Europe, the work on new music continued while on the road. Everything was going well until Abel's relationship with Selena Gomez was starting to dwindle as the tour progressed. Eventually, the two would break up, and Abel had scrapped an entire album of ""upbeat"" songs that he was working on at the time to then make a more darker and melancholic project.",,
Post-Starboy,French Montana - A Lie (feat. The Weeknd & Max B) [Instrumental],"Official instrumental for ""A Lie"". Leaked on July 11, 2020.",,,,Full,,
Post-Starboy,Let Me Go [Studio Session],Official studio session for 'Let Me Go' which contains multiple versions of the song and stems.,,,,Full,,https://sendgb.com/rliND36anIU
,After Hours [V1],"(03/30/2018) (My Dear Melancholy, is released)
(March 2019) (Illangelo steps in to work on 'After Hours')",,,,"As 'My Dear Melancholy' had left a small yet impactful imprint on the mind of fans with it's relatively short EP length, many were waiting to see what Abel had planned next in releasing another full-length LP record. After a successful festival tour around the world and a solo tour across the continent of Asia, Abel returned to work on music for his next project. During an HXOUSE event in 2018, Abel had officially announced that ""Chapter VI"" was on the way.",,
After Hours [V1],SZA - Power Is Power (feat. The Weeknd & Travis Scott) (Demo) [Stems],"Official stems for ""Power Is Power"" demo. Leaked on Aug. 22nd, 2021.",,,,Full,,Link
,After Hours [V2],"(March 2019) (Illangelo steps in to work on 'After Hours')
(04/03/2020) (After Hours (Deluxe) is updated on streaming services)",,,,"After Abel announced that he was working on ""Chapter VI"" in late 2018, the following year would see changes in the project's sound with long-time collaborator Illangelo returning to executive produce. At the same time, Abel and then girlfriend Bella Hadid would split up, and he would go on hiatus for a period of time. Around late 2019, Abel returned to social media, releasing two lead singles and sporting a radically different look with every music video and TV appearance in a red suit and bloody nose. 'After Hours' would release in March 2020 during the beginning of the COVID-19 lockdowns and would propel Abel to new heights on the charts for the remainder of the current decade.",,
,Music Videos,,,,,,,
After Hours [V2],Heartless,,,,,,,
After Hours [V2],"Save Your Tears
(dir. Cliqua)","Music video for ""Save Your Tears"" directed by Cliqua.",,,,Full,High Quality,
After Hours [V2],"Too Late 
(dir. Cliqua)","Music video for ""Too Late"" directed by Cliqua.",,,,Full,High Quality,
After Hours [V2],Snowchild,,,,,Full,High Quality,
After Hours [V2],Until I Bleed Out,,,,,Full,High Quality,
After Hours [V2],Blinding Lights,,,,,Full,High Quality,
After Hours [V2],In Your Eyes,,,,,Full,High Quality,
After Hours [V2],After Hours (Short Film),,,,,Full,High Quality,
After Hours [V2],Blinding Lights (Chromatics Remix),,,,,Full,High Quality,
After Hours [V2],In Your Eyes (Remix) (Feat. Doja Cat),,,,,Full,High Quality,
After Hours [V2],Blinding Lights (Remix) (Feat. ROSALÍA),,,,,Full,High Quality,
After Hours [V2],Faith [Music Video]*,"In the Rolling Stone interview on Sep. 18, 2020 it was mentioned that The Weeknd had treatments lined up for three music videos: ""Too Late"", ""Escape from LA"". and ""Faith"".",,,,Confirmed,Not Available,
After Hours [V2],Escape From LA [Music Video]*,"In the Rolling Stone interview on Sep. 18, 2020 it was mentioned that The Weeknd had treatments lined up for three music videos: ""Too Late"", ""Escape from LA"". and ""Faith"".",,,,Confirmed,Not Available,
,Live Performances,,,,,,,
,Stems,,,,,,,
After Hours [V2],After Hours [Instrumental],"Official instrumental for ""After Hours"". ",,,,Full,High Quality,
After Hours [V2],Blinding Lights [Instrumental],"Official instrumental for ""Blinding Lights"". ",,,,Full,High Quality,
After Hours [V2],Hardest To Love [Instrumental],,,,,Full,High Quality,
After Hours [V2],Over Now [Instrumental],"Official instrumental for ""Over Now"". Leaked on June 30, 2021.",,,,Full,CD Quality,
After Hours [V2],Save Your Tears [Instrumental],"Official instrumental for ""Save Your Tears"". Leaked on Feb. 24, 2021.",,,,Full,CD Quality,
After Hours [V2],Scared To Live [Instrumental],,,,,Full,High Quality,
After Hours [V2],Tongue [Instrumental],"Official instrumental for unreleased song ""Tongue"". Leaked on May 23, 2022.",,,,Full,CD Quality,
,Sessions,,,,,,,
After Hours [V2],In Your Eyes (Remix) (feat. Doja Cat) ,"Offical studio session for 'In Your Eyes (Remix)'. Snippets leaked on LEAKED.CX by Scrapbeak on Jan. 16, 2022. Has over 300+ Doja Cat takes and stems.",,,,Tagged,High Quality,
,Other,,,,,,,
After Hours [V2],After Hours [Font],"Official font used for ""After Hours"" promo materials. Leaked in 2020.",,,,Non Applicable,Non Applicable,
After Hours [V2],Album Title,,,,,Full,High Quality,
After Hours [V2],After Hours Trailer,,,,,Full,High Quality,
After Hours [V2],The Last Meal Before The Super Bowl,,,,,Full,High Quality,
After Hours [V2],Blinding Lights [Behind The Scenes],,,,,Full,High Quality,
After Hours [V2],"Save Your Tears (The Tik Tok Experience)
(dir. Daniel Sierra)","Animated video of Save Your Tears for Tik-Tok, Directed by Daniel Sierra. All proceeds made from the video benfeit the Equal Justice Initiative.",,,,Full,High Quality,
After Hours [V2],"Blinding Lights (The Tik Tok Experience)
(feat. Major Lazer) (dir. Daniel Sierra)","Animated video of Blinding Lights for Tik-Tok, Features Major Lazer. Directed by Daniel Sierra. All proceeds made from the video benfeit the Equal Justice Initiative.",,,,Full,High Quality,
,"Dawn FM
(103.5 Dawn FM)","(04/03/2020) (After Hours (Deluxe) is updated on streaming services)
(01/07/2022) (Dawn FM is released)",,,,"Nearly a year after the release of 'After Hours', Abel headlined Super Bowl LV as the halftime show performer, closing the curtain on the era. Abel later went right to work music inspired by crucial events in 2020 like the pandemic and the Black Lives Matter protests. This project would later be scrapped for something more lighthearted and directly follow up 'After Hours'. At the 2021 BBMA's Abel teased the new project saying that ""the After Hours are over and the dawn is coming"". Later in the year Abel would release the lead single ""Take My Breath"", and during the first week of 2022, began rolling out the album, revealing that Jim Carrey would play a crucial role in narrating the record as a purgatorial radio host.",,
,Music Videos,,,,,,,
Dawn FM,"Gasoline
(dir. Matilda Finn)","Music video for ""Sacrifice"" directed by Matilda Finn.",,,,Full,High Quality,
Dawn FM,"How Do I Make You Love Me?
(dir. Jocelyn Charles & Cliqua)","Animated music video for ""How Do I Make You Love Me?"" Animation directed by Jocelyn Charles. Creative direction + concept by Cliqua.",,,,Full,High Quality,
Dawn FM,"Is There Someone Else?
(dir. Cliqua)","Music video for ""Is There Someone Else?"" directed by Cliqua.",,,,Full,High Quality,
Dawn FM,"Out Of Time
(dir. Cliqua)","Music video for ""Out Of Time"" directed by Cliqua.",,,,Full,High Quality,
Dawn FM,"Take My Breath 
(dir. Cliqua)","Music video for ""Take My Breath"" directed by Cliqua.",,,,Full,High Quality,
Dawn FM,"Sacrifice
(dir. Cliqua)","Music video for ""Sacrifice"" directed by Cliqua.",,,,Full,High Quality,
Dawn FM,"Sacrifice (Remix)
(feat. Swedish House Mafia) (dir. Manu Cossu)","Music video for ""Sacrifice (Remix)"" featuring Swedish House Mafia. Directed by Manu Cossu.",,,,Full,High Quality,
Dawn FM,"Take My Breath (Remix)
(feat. Agents Of Time) (dir. Cliqua)","Music video for ""Take My Breath (Remix)"" featuring Agents Of Time. Consists of reused footage from the original video. Directed by Cliqua.",,,,,,
Dawn FM,"Grimes - Sci-Fi
(feat. The Weeknd) (dir. ???)","Music video for Sci-Fi, confirmed to exist by Grimes herself when she talked about the collab. Unknown if Abel is in this. ",,,,Confirmed,Not Available,
Dawn FM,"Swedish House Mafia - Moth To A Flame 
(with The Weeknd) (dir. Alexander Wessely)","Music video for Swedish House Mafia & The Weeknd's track, ""Moth To A Flame"" directed by Alexander Wesseluy. ",,,,Full,High Quality,
,Stems,,,,,,,
Dawn FM,Dawn FM [Instrumental],"Official instrumental for ""Dawn FM"".",,,,,,
Dawn FM,Don't Break My Heart [Instrumental],"Official instrumental for ""Don't Break My Heart"".",,,,,,
Dawn FM,Take My Breath [Instrumental],"Official instrumental for ""Take My Breath"".",,,,Full,High Quality,
Dawn FM,Toxic Love [Stems],"Official stems for the instrumental overdubs on V2 of ""Toxic Love"" produced by Neenyo. New overdubs in this pack are done by Har2Nok rather than Neenyo.",,,,Partial,CD Quality,
,Other,,,,,,,
Dawn FM,Dawn FM Trailer,,,,,,,
Dawn FM,Dawn FM Tracklist,,,,,,,
Dawn FM,The Dawn Is Coming (Teaser),,,,,,,
,"The Idol
(The Idol: Vol. 1)","(06/29/2021) (The Idol is announced by HBO)
(07/02/2023) (The Idol concludes on HBO)",,,,"In 2021, it was announced that Abel would star in a new HBO series written by him, Reza Fahim, and Sam Levinson called 'The Idol'. With production starting in November 2021, the music for the show was already being prepared, but not too long after, production issues had began to arise, pausing filming until May 2022. Before filming had paused Abel had began working closely with Mike Dean on his last minute Coachella 2022 headlining show with Swedish House Mafia, ultimately reworking the project's music. 'The Idol' premeired at the Cannes Film Festival with negative reception by critics and officially began airing on HBO on June 4th, 2023. Soon after, the series was cancelled after one season.",,
,Music Videos,,,,,,,
The Idol,"Double Fantasy
(feat. Future) (dir. Sam Levinson)","Official video for ""Double Fantasy"" featuring Future. Mostly comprises of clips from various episodes of ""The Idol""",4:30,"Apr 21, 2023",Music Video,Full,High Quality,
The Idol,"One Of The Girls 
(with JENNIE & Lily-Rose Depp) (dir. Sam Levinson)","Official video for ""One Of The Girls"" with JENNIE & Lily-Rose Depp. Mostly comprises of clips from various episodes of ""The Idol""",4:19,"Jul 6, 2023",Music Video,Full,High Quality,
The Idol,"Popular
(with Madonna & Playboi Carti) (dir. Cliqua)","Music video for ""Popular"" with Madonna & Playboi Carti. Initially released as a timed exclusive through Fortnite Festival's Jam Stage on February 15th, 2024, later released in full high quality on February 22nd, 2024.",3:51,"Feb 22, 2024",Music Video,Full,CD Quality,
,Videos,,,,,,,
The Idol,The Idol (Teaser #1),"First teaser for ""The Idol"" debuted during the New York stop of the ""After Hours Til' Dawn"" tour at MetLife Stadium on July 16th, 2022. Officially released the following day on July 17th, 2022.",1:24,"Jul 17, 2022",Promo,Full,High Quality,
The Idol,The Idol (Teaser #2),"Second teaser for ""The Idol"" released on August 21st, 2022.",1:28,"Aug 21, 2022",Promo,Full,High Quality,
The Idol,The Idol (Teaser #3),"Third teaser for ""The Idol"" released on October 6th, 2022.",1:37,"Oct 6, 2022",Promo,Full,High Quality,
The Idol,Take Me Back [Acapella],"Official acapella for ""Take Me Back""",,,,Full,,Link
The Idol,Take Me Back [Instrumental],"Official instrumental for ""Take Me Back""",,,,Full,,Link
,Hurry Up Tomorrow,"(01/07/2022) (Dawn FM is released)
(01/31/2024) (Hurry Up Tomorrow is released)",,,,"Shortly after the release of 'Dawn FM', fans had theorized that seeds of Abel's next studio album were planted on the song ""Every Angel Is Terrifying"" as a fictional radio ad for ""After Life"" is played. Abel confirmed a week after the release of 'Dawn FM' that it was part of a divine comedy inspired trilogy with 'After Hours', confirming the existence of an untitled third entry on the way. As Abel toured North America, selling out stadiums and promoting 'The Idol', he confirmed with the release of the 'Live At SoFi Stadium' concert special that he could see ""the horizon"", teasing fans for what's to come.",,
,Music Videos,,,,,,,
Hurry Up Tomorrow,"Dancing In The Flames
(dir. Anton Tammi)","Music video for ""Dancing In The Flames"" directed by Anton Tammi. Shot on iPhone 16 Pro by cinematographer Erik Henriksson.",4:17,"Sep 13, 2024",Music Video,Full,CD Quality,
Hurry Up Tomorrow,"Dancing In The Flames (Acoustic)
(dir. Evan Larsen)","Music video for the acoustic version of ""Dancing In The Flames"" directed by Evan Larsen.",3:21,"Sep 16, 2024",Music Video,Full,CD Quality,
Hurry Up Tomorrow,"Timeless
(with Playboi Carti) (dir. Gunner Stahl)","Official video for ""Timeless"" with Playboi Carti. Directed by longtime collaborator of Carti's Gunner Stahl. Metadata for a story posted by Abel dates the video being shot in September 2023 but an Instagram model who was an extrra on the set posted about shooting the video on September 17th, 2024.",4:17,"Sep 30, 2024",Music Video,Full,CD Quality,
Hurry Up Tomorrow,"São Paulo 
(with Anitta) (dir. Freeka Tet)","Video for ""São Paulo"" with Anitta, directed by Freeka Tet. Supposedly shot around August 2024 on an iPhone according to Instagram story metadata. What the hell was this video man.",3:30,"Oct 30, 2024",Music Video,Full,CD Quality,
Hurry Up Tomorrow,"The Weeknd: Open Hearts
(dir. Anton Tammi)","Apple Immersive Video for 'Open Hearts', that was exclusive to Apple Vision Pro until the video's wide release on February 2nd, 2025. Announced during Apple's WWDC24 keynote on June 10th, 2024.",5:20,"Nov 14, 2024",Music Video,Full,CD Quality,https://tv.apple.com/us/movie/the-weeknd-open-hearts/umc.cmc.514y68fx73q3blcgkvcoe1lie
Hurry Up Tomorrow,"Red Terror
(dir. Eddie Alcazar)","Official music video for ""Red Terror"" released on February 1st, 2025. Directly follows up the ""Open Hearts"" performance on Jimmy Kimmel.",3:19,"Feb 1, 2025",Music Video,Full,CD Quality,
Hurry Up Tomorrow,"Open Hearts
(dir. Anton Tammi)",,,,Music Video,Full,CD Quality,
Hurry Up Tomorrow,Cry For Me,,,,Music Video,Full,CD Quality,
Hurry Up Tomorrow,Drive,,,,Music Video,Full,CD Quality,
Hurry Up Tomorrow,Hurry Up Tomorrow,,,,Music Video,Full,CD Quality,
Hurry Up Tomorrow,Baptized In Fear,,,,Music Video,Full,CD Quality,
Hurry Up Tomorrow,Big Sleep,,,,Music Video,Full,CD Quality,
,Videos,,,,,,,
Hurry Up Tomorrow,"Chapter 1
(dir. Evan Larsen)
(There Are Three Chapters In This Tale)","OG Filename: CHAPTER 1 (with end title)
First of three teasers released by Abel on social media platforms to tease ""Hurry Up Tommorow"" and the one-night São Paulo show. Features mashups of songs from '""After Hours"" and ""Dawn FM"".",2:21,"Jul 18, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,"Chapter 2
(dir. Evan Larsen)
(The abyss gazes also into you...)","OG Filename: CHAPTER 2
Second of three teasers released by Abel on social media platforms to tease ""Hurry Up Tommorow"" and the one-night São Paulo show. This video features a snippet of ""Regular"" with it being cut off by the beat drop.",2:28,"Jul 23, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,"Chapter 3
(dir. Evan Larsen)
(Unprepared certainty...)","OG Filename: CHAPTER 3
The third and final teaser released by Abel on social media platforms to tease ""Hurry Up Tommorow"" and the one-night São Paulo show. This video features snippets of ""Wake Me Up"" and ""Runaway"".",3:35,"Aug 5, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,"São Paulo Livestream Teaser
(dir. YZA Voku)","Teaser for the São Paulo show livestream that features a drumless snippet of ""São Paulo"". Visuals were generated with AI using Midjourney, Runway, Veo, & Luma Dream Machine.",1:11,"Aug 21, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,Album Title,"Album title reveal for ""Hurry Up Tommorow"", posted on September 4th, 2024 across Abel's social media.",1:36,"Sep 4, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,Dancing In The Flames [Behind The Scenes],"Played during Apple's ""Glowtime"" September keynote on September 9th, 2024.",2:42,"Sep 9, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,Dancing In The Flames [Apple Commercial],"Advertisement cut of the ""Dancing In The Flames"" music video tailored to promote the iPhone 16 Pro. ",1:08,"Sep 9, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,"São Paulo Show Recap
(dir. Evan Larsen)","Recap of the one-night special concert that took place in São Paulo, Brazil on September 7th, 2024, features the first HQ snippet of ""In Heaven"". Directed by Evan Larsen.",1:24,"Oct 1, 2024",Promo,Full,High Quality,
Hurry Up Tomorrow,Hurry Up Tomorrow [Official Trailer],"Official trailer for the ""Hurry Up Tomorrow"" film, released on February 4th, 2025.",2:13,"Feb 5, 2025",Promo,Full,High Quality,
,Live Performances,,,,,,,
Hurry Up Tomorrow,São Paulo Livestream,"Official livesteam in partnership with YouTube for the one-night only São Paulo concert that occured on September 7th, 2024. Linked here is an updated version of the livestream edited post-air date that includes updated mixing and 4K quality.

Setlist:
1. The Crowd (Without a Warning)
2. Wake Me Up
3. After Hours
4. Too Late
5. Take My Breath
6. Sacrifice
7. How Do I Make You Love Me?
6. Escape From LA
7. Take Me Back To LA
8. Dancing In The Flames
9. Travis Scott - FE!N (feat. Playboi Carti)
10. Timeless (with Playboi Carti)
11. São Paulo (with Anitta)
12. Heartless
13. Repeat After Me (Interlude)
14. Regular (The Abyss)
15. Faith
16. Alone Again
17. Runaway
18. Out of Time
19. Is There Someone Else?
20. Hardest To Love
21. Scared To Live
22. Save Your Tears
23. Less Than Zero
24. Blinding Lights
25. In Heaven",93:28,"Sep 7, 2024",Live Performance,Full,High Quality,https://drive.google.com/file/d/1nPht9phboOYpAlseaV0i-_XnbxEmTN6-/view
Hurry Up Tomorrow,iHeart Radio Music Festival 2024,"Live performance from the iHeart Radio Music Festival at the T-Mobile Arena in Las Vegas. Streamed on Hulu on September 21st, 2024.

Setlist:
1. Dancing In The Flames
2. Take My Breath
3. Sacrifice
4. São Paulo
5. Save Your Tears
6. Blinding Lights
7. Dancing In The Flames",22:43,"Sep 21, 2024",Live Performance,Full,High Quality,
Hurry Up Tomorrow,"Billions Club Live with The Weeknd: A Concert Film",,,"Jan 7, 2025",Live Performance,Partial,High Quality,
Hurry Up Tomorrow,Open Hearts (Live on Jimmy Kimmel Live!),"Debut TV performance for ""Open Hearts"" performed on the night of the ""Hurry Up Tomorrow"" album release on January 30th, 2025. Includes an unaired extended ending that directly leads into the ""Red Terror"" music video.",5:48,"Jan 31, 2025",Live Performance,Full,High Quality,
Hurry Up Tomorrow,67th GRAMMY Awards Performance,"Surprise guest performance aired on CBS during the broadcast for the 67th annual GRAMMY awards on February 3rd, 2025. Features a guest performance by Playboi Carti for 'Timeless'.

Setlist:
1. Cry For Me
2. Timeless (with Playboi Carti)",,"Feb 3, 2025",Live Performance,Full,High Quality,
,Other,,,,,,,
Hurry Up Tomorrow,"Hurry Up Tomorrow [Film]
(dir. Trey Edward Schults)","Hurry Up Tomorrow is a 2025 American psychological thriller film directed by Trey Edward Shults and written by Shults, Abel ""The Weeknd"" Tesfaye, and Reza Fahim. It serves as a companion piece to Tesfaye's 2025 album of the same name and stars Tesfaye as a fictionalized version of himself, alongside Jenna Ortega and Barry Keoghan. In the film, Tesfaye, struggling with depression and insomnia, gets pulled into an existential odyssey by a mysterious fan.",,,Film,Full,CD Quality,
Hurry Up Tomorrow,??? [Documentary],"Abel in a FaceTime interview with Zane Lowe celebrating the release of ""Popular"" mentions a documentary being shot while he was on tour in Europe in mid 2023. Unknown if parts of this documentary are what became of the ""Popular"" live music video or it's a full length documentary that will be released.",,,Film,Rumored,Not Available,
Hurry Up Tomorrow,??? [Photo Shoot],"OG Filename: ABEL ORANGE ROOM 2 SHOOT
Unknown photoshoot for ""Hurry Up Tommorow"" spotted in Mike Dean's files in a video for Reverb. Unknown if these are the same visuals used in the Billboard Brazil magazine spread.",,,Other,Confirmed,Not Available,
Hurry Up Tomorrow,Unknown [Anton Tammi Collaborations],"Abel has posted photos of him and Anton Tammi working together on visuals for ""Hurry Up Tommorow"". Unknown if there are any more outside of ""Dancing In The Flames"" or ""Open Hearts"".",,,Other,Confirmed,Not Available,
,Ongoing,(01/31/2024) (Hurry Up Tomorrow is released),,,,,,
,Music Videos,,,,,,,
Ongoing,"Rio
(dir. Takashi Miike)",Premiered during the Latin America leg of the 2026 AHTD tour.,2:31,,Music Video,Full,Recording,
