Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Before Baby Keem,"Mike Taz - When I Want It
(prod. HiiFii)",A free beat posted by Keem would be used on track 9 on Mike Taz's album Higher Learning and Armed Rhymery's album titled Swim both track 9,,"Dec 24, 2017",,Full,Low Quality,https://pillows.su/f/7c4635c9b70392291217bad91399a431
Before Baby Keem,"MASI - Zone
(prod. HiiFii)",,,"Dec 31, 2017",,Full,CD Quality,https://pillows.su/f/434695c9aad6c3469b3b1361202ed38d
"0 OG File(s)
2 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","The Sound of Bad Habit
(Collaboration with Cardo)","(May 18th, 2018) Keem works with Cardo and Kendrick Lamar on his first mixtape under the name Baby Keem
(August 16th, 2018) Hearts & Darts released
(October 29th, 2018) The Sound of Bad Habit officially releases",,,"Following a name change from Hykeem Carter, to HiiFii, to Baby Keem, and the release of his eighth EP “Hearts and Darts”, Keem would shift his focus to the release of his first commercial mixtape, dubbed “The Sound of Bad Habit.” Along with Cardo, Kendrick Lamar would be brought in to help with the recording process; his work mostly consisted of being another ear in the room and doing reference tracks for his cousin. Despite the mixtape’s release on October 29, 2018, Kendrick Lamar remains uncredited as a writer on all streaming platforms.",,,
The Sound of Bad Habit,"Lil Nas X - Titanic
(prod. ArubWahed)",Instrumental used for Titanic V1.,,,,Full,Lossless,https://pillows.su/f/727a6616004e6755d8cd5ecf1fdbb47f
The Sound of Bad Habit,"Baby Keem - So What [Inst.]
(prod. Cardo Got Wings)","OG Filename: SANDOS 3
Instrumental for Baby Keem's ""So What"" leaked on October 12nd, 2023.",4:12,"Oct 12, 2023",,Full,High Quality,https://pillows.su/f/585beb31bfb75f5ae373266dc51fc052
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",DIE FOR MY BITCH,"(October 29, 2018) Keem starts working on his 2nd mixtape
(July 19, 2019) DIE FOR MY BITCH released on major streaming services",,,"DIE FOR MY BITCH, Baby Keem’s second mixtape, arrived about eight months after his 2018 debut and included the singles “INVENTED IT,” “FRANCE FREESTYLE,” and the breakout hit “ORANGE SODA.” Around the same time, early forms of “BULLIES” were taking shape, beginning with a rough Kendrick Lamar freestyle over a different instrumental that circulated informally during London sessions. A subsequent February 2019 version kept most of the mumble‑style ideas but had an incomplete hook, abrupt ending, and scattered piano and unusual sounds.",,,
DIE FOR MY BITCH,"HONEST [V1]
(feat. Bekon) (prod. Bekon, Baby Keem, Sounwave)",Version of honest with extra alt production from Bekon. Song was apart of the Outta Pocket (OG N95) buy as a blind bonus,,"Feb 1, 2024",,Full,CD Quality,https://pillows.su/f/b255ae0d1db87fc5d5b1653dcf00c70e
"0 OG File(s)
9 Full
0 Tagged
0 Partial
3 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","The Melodic Blue
(LLC THE DEAD)","(July 19, 2019) DIE FOR MY BITCH releases to all major streaming services
(??/??/2020) Melodic Blue is delayed due to Covid-19
(September 22, 2021) The Melodic Blue receives its ""DLC""",,,"The Melodic Blue, Baby Keem’s debut album, was developed from late 2019 and first teased in mid‑2020, followed by early promos like hooligan / sons & critics and merch featuring track titles. Throughout 2021 he continued the rollout with “no sense,” the lead single “durag activity” with Travis Scott, and “family ties” with Kendrick Lamar. After signaling the album was nearly finished, Keem announced it was turned in at the end of August and confirmed its September release, later unveiling the artwork, release date, and tracklist in early September.",,,
,Stems,,,,,,,
The Melodic Blue,"damn dawg [Stems]
(gwfm, hawaii)",The beat contains an open verse and no drums.,,"May 13, 2022",,Full,CD Quality,https://pillows.su/f/b8e01260e9e29e3000b59c7f13ef21a7
The Melodic Blue,"Kanye West - Praise God
(feat. Travis Scott & Baby Keem) (prod. 30 Roc, Ojivolta, Zentachi & MIKE DEAN)",Taken from the Stemplayer.,,,,Full,High Quality,https://pillows.su/f/cd2e7787d8bab8362eb4b566206e3470
The Melodic Blue,"Kendrick Lamar - N95 [Stems]
(feat. Travis Scott & Baby Keem) (prod. 30 Roc, Ojivolta, Zentachi & MIKE DEAN)",,,,,Full,High Quality,https://pillows.su/f/cd2e7787d8bab8362eb4b566206e3470
The Melodic Blue,"Kendrick Lamar - Die Hard [Stems]
(feat. Travis Scott & Baby Keem) (prod. 30 Roc, Ojivolta, Zentachi & MIKE DEAN)",,,,,Full,High Quality,https://pillows.su/f/cd2e7787d8bab8362eb4b566206e3470
The Melodic Blue,"Kendrick Lamar - Savior Interlude [Stems]
(feat. Travis Scott & Baby Keem) (prod. 30 Roc, Ojivolta, Zentachi & MIKE DEAN)",,,,,Full,High Quality,https://pillows.su/f/cd2e7787d8bab8362eb4b566206e3470
The Melodic Blue,"Kendrick Lamar - Savior [Stems]
(feat. Travis Scott & Baby Keem) (prod. 30 Roc, Ojivolta, Zentachi & MIKE DEAN)",,,,,Full,High Quality,https://pillows.su/f/cd2e7787d8bab8362eb4b566206e3470
,Instrumentals,,,,,,,
The Melodic Blue,"Impatient (naked) [Inst.]
(prod. CardoGotWings)
(naked freestyle)","A version of naked freestyle before the beat was reworked and presumably sent to Keem. Snippet posted by Cardo, who also produced the final version.",,"Dec 1, 2021",,Snippet,CD Quality,https://pillows.su/f/89bcb6dd4e464b1db8007a328450fee2
The Melodic Blue,"Jump 1
(feat. Kendrick Lamar) (prod. Nik Dean)
(family ties)","Leaked in full on February 2, 2024.",,"Feb 2, 2024",,Full,CD Quality,https://pillows.su/f/fcd40f6004cbfada098589163453c344
The Melodic Blue,"Jump 2
(feat. Kendrick Lamar) (prod. Nik Dean)
(family ties, Jump 1)",Keem posted the teaser on his Twitter with no vocals. That tweet has since been deleted.,,"Mar 5, 2020",,Full,CD Quality,https://pillows.su/f/197595b735bc4033e04813f2b1d0edf7
The Melodic Blue,"Untitled
(prod. Scott Bridgeway & ???)
(I Just Wanna Touch You)","Freestyle ""recorded"" while on Instagram live on April 5, 2021. With Keem mainly just mumbling to himself while the producer (Scott Bridgeway) is still working on the beat. The beat also shares a slight resemblance to the track ""Fine China"".",,"Apr 5, 2021",,Full,High Quality,https://pillows.su/f/3b964b6700e5437a35efccc1f9927e6a
The Melodic Blue,"???
(prod. Baby Keem)
(Back To The Beats)","Short snippet of an untitled beat posted on Keem's Instagram story on May 7, 2021, just a few months before the release of The Melodic Blue. Likely a throwaway beat that was never used.",,"Apr 17, 2023",,Snippet,Low Quality,https://pillows.su/f/9b2ac3949eccf09ecfbf7161965f9d29
The Melodic Blue,"??? [V1]
(prod. Baby Keem)",Untitled beat made minutes before Keem was supposed to go on stage. The beat would later be reworked and previewed during The Big Steppers Tour live stream. Posted by @babykeemworld on instagram currently unknown who the original source is.,,"Aug 15, 2021",,Snippet,Recording,https://pillows.su/f/1600edf22882bca344876542a9fbf3ef
"0 OG File(s)
8 Full
0 Tagged
0 Partial
2 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","Child With Wolves
(Janice, eerietimes, Classical Rage)","(May 25th, 2022) Keem hints at working on a new project
(August 5th, 2023) ""new album coming soon motherfuckers""
(January 2th, 2024) Child With Wolves is revealed to be the name of the album",,,"Child With Wolves was Keem’s upcoming sophomore album, after The Melodic Blue and was built from various teasers, snippets, as well as The Melodic Blue short film, after months of speculation about the title Keem confirmed the name in early 2024. Showcasing concept artwork that had an eerie aesthetic, including the interactive site eerietimes.com, though the tracklist is largely speculative. Child With Wolves eventually became Janice, then Ca$ino. However, Child With Wolves is considered separate from Ca$ino, as it’s “more of a sadder body of work”, according to Keem.",,,
,Acapellas,,,,,,,
Child With Wolves,"Fred Again.. - leavemealone
(feat. Baby Keem) (prod. Fred Again..)
(Leave Me Alone, Mission, Everybody, south africa, BULLIES)",The official acapella from the song leavemealone by Fred Again..,,"Dec 18, 2023",,Full,Lossless,https://pillows.su/f/5bc5def03ebfd0a7156c8e7e79ddcdee
Child With Wolves,"Kanye West - Pablo
(ref. Baby Keem) (prod. ATL Jacob & FNZ)","The official reference acapella from the song ""Pablo"" by Kanye West",,"Dec 18, 2023",,Full,High Quality,https://pillows.su/f/a3895b65d8424e5ec0fca5d6e34b42e1
Child With Wolves,"Kanye West - Security
(ref. Baby Keem) (prod. Kanye West)
(Be On The Album, Security At Risk)","The official reference acapella from the song ""Security"" by Kanye West",,"Dec 18, 2023",,Full,Lossless,https://pillows.su/f/a3895b65d8424e5ec0fca5d6e34b42e1
,Stems,,,,,,,
Child With Wolves,"Kanye West - We Did It Kid
(feat. Baby Keem, Offset & Quavo) (prod. Digital Nas, Ryan Svendsen, & Ojivolta)
(Kid We Did It, We Did It)",Taken from the Stemplayer.,,"Feb 22, 2022",,Full,CD Quality,
Child With Wolves,"Kanye West - Security
(ref. Baby Keem) (prod. Kanye West)
(Be On The Album, Security At Risk)","Stems for the ""Security"" reference by Kanye West. ",,,,Full,CD Quality,
,Instrumentals,,,,,,,
Child With Wolves,"The Hillbillies
(with Kendrick Lamar) (prod. EVILGIANE)","Instrumental for ""The Hillbillies"". Surfaced on Hipstrumentals.",3:24,"Jun 7, 2023",,Full,CD Quality,https://pillows.su/f/5a35bda8c141806ddcbe8480a0887674
Child With Wolves,"???
(prod. Boi-1da & Scott Bridgeway)
(Takeout, how i am comin)","Short 1 second snippet of a beat made by Scott Bridgeway. Its believed to either be an untitled song or a reworked beat to ""Takeout"" because of the relative similarity that both beats share.",,,,Snippet,High Quality,https://pillows.su/f/00aaeba95f5b4b12b135de408f01f491
Child With Wolves,"???
(prod. Baby Keem)
(October 5, 2021)",An unknown beat Keem previewed on an Instagram Live on October 5th 2021.,,"Oct 5, 2021",,Full,High Quality,https://pillows.su/f/5116cba8bbaabe5e76f100f79911c022
Child With Wolves,"???
(prod. Baby Keem, Scott Bridgeway & ???)
(December 8, 2021)",Keem would go on IG live during his vacation and make a beat with Scott Bridgeway and an unknown producer. The beat was likely a throwaway for Kendrick Lamar's Mr. Morale & the Big Steppers or is intended to be used on Keem's upcoming album. Nothing else is known about it.,,"Dec 8, 2021",,Full,High Quality,https://pillows.su/f/0f7f61f9e1824a11d1ba297003c5455e
Child With Wolves,"??? [V2]
(prod. Baby Keem)",Second version of the Untitled beat that Keem made minutes before performing. This version of the beat was reworked and previewed during The Big Steppers Tour live stream. Its currently unknown if any other producers helped in reworking the beat. Samples the opening intro to the 1951-59 crime show Dragnet.,,"Oct 22, 2022",,Snippet,High Quality,https://pillows.su/f/e70f873ff75d3fdc72ea2b8b97b522ba
"0 OG File(s)
4 Full
0 Tagged
1 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Ca$ino,"(2024) Keem gets a sinus infection and surgery for it, changing his voice.
(2025) The 'Child With Wolves' name gets scrapped.
(February 20th, 2026) CA$INO is released.",,,"Ca$ino is Baby Keem’s long-awaited sophomore studio album. The album is Keem’s first album release in five (technically four) years, following his 2021 debut, The Melodic Blue. and its deluxe version in 2022. As Keem described the title at the album’s listening party. Listed as an seperate era to ""Child With Wolves"", this era will be updated when more information has surfaced to distinguish whether this is simply a name change or a completely different project.",,,
,Acapellas,,,,,,,
CA$INO,"Circus Circus Free$tyle
(prod. Baby Keem, Sean Momberger, Bēkon, Teo Halm, Danja & Scott Bridgeway)","OG Filename: Circus Circus Free$tyle VOX 125.3 BPM
Official acapella for the first part of ""Circus Circus Free$tyle"".",0:40,,"Mar 2, 2026",Partial,Lossless,https://pillows.su/f/46f42efff1f8eccbc420cd58fdbd5a15
CA$INO,"Good Flirts
(feat. Kendrick Lamar) (prod. Baby Keem, Teo Halm, Rascal & SAILORR)","OG Filename: Good Flirts (Studio Lead)
Official acapella for ""Good Flirts"". Only contains lead Keem & Kendrick vocals.",3:52,,"Mar 2, 2026",Full,Lossless,https://pillows.su/f/6f4c2e6b8798764800a673eca16c460d
CA$INO,"House Money
(feat. Kendrick Lamar) (add. Denzel Curry) (prod. Evan Kobe Hood, Scott Bridgeway, Kendrick Lamar, Teo Halm, Floyd Nathaniel Hillis, Mark Williams, Raul Cubina, Philip Andre Mueller, Steve Wightman)","OG Filename: House Money (Lead Vocals)
Official acapella for ""House Money"".",3:17,,"Mar 2, 2026",Full,Lossless,https://pillows.su/f/ffc7f218f562e8cda0c97222f4e96fb1
CA$INO,"No Security
(prod. Baby Keem, FNZ, Scott Bridgeway, Danja & Doc McKinney)","OG Filename: No Security VOX 141 BPM
Official acapella for ""No Security"".",1:46,,"Mar 2, 2026",Full,Lossless,https://pillows.su/f/f0f3c6ad9a84ca088405c349df6cc813
,Instrumentals,,,,,,,
CA$INO,"House Money
(feat. Kendrick Lamar) (add. Denzel Curry) (prod. Evan Kobe Hood, Scott Bridgeway, Kendrick Lamar, Teo Halm, Floyd Nathaniel Hillis, Mark Williams, Raul Cubina, Philip Andre Mueller, Steve Wightman)","Official Instrumental for ""House Money"".",3:17,,"Mar 2, 2026",Full,Lossless,https://pillows.su/f/567a8680024428bc0b62863882e260e1
