Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
Ctrl [V2],"Love Galore (Rehearsal) [V4]
(prod. Carter Lang & ThankGod4Cody)","OG Filename: SZA-LOVE GALORE-REH REC-10_29
Leaked on 12/9/2024 as a bonus to the stem leaks of ""Love Galore"" and ""The Weekend"". Recorded on 10/29/2017.",?:??,"Oct 29, 2017",Other,OG File,Lossless,https://pillows.su/f/6c9385ad5cca318e2af3dfb41d9b95d4
Ctrl [V2],"Love Galore (Rehearsal) [V5]
(prod. Carter Lang & ThankGod4Cody)",OG Filename: SZA-LOVE GALORE-REH REC-10_30,?:??,"Oct 30, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V1]
(prod. ThankGod4Cody)","OG Filename: The Weekend Ref
Leaked on 12/9/2024 as a bonus to the stem leaks of ""Love Galore"" and ""The Weekend"". Recording date unknown.",4:46,,Other,OG File,Lossless,https://pillows.su/f/cbaafdd819d5ce5c93b24c2cac082add
Ctrl [V2],"The Weekend (Rehearsal) [V2]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_07,?:??,"Oct 7, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V3]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_14,?:??,"Oct 14, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V4]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_15,?:??,"Oct 15, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V5]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_16,?:??,"Oct 16, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V6]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_17,?:??,"Oct 17, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V7]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_19,?:??,"Oct 19, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V8]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_26,?:??,"Oct 26, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V9]
(prod. ThankGod4Cody)",OG Filename: SZA-THE WEEKEND-REH REC-10_27,?:??,"Oct 27, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"The Weekend (Rehearsal) [V10]
(prod. ThankGod4Cody)","OG Filename: SZA-THE WEEKEND-REH REC-10_28
Leaked on 12/9/2024 as a bonus to the stem leaks of ""Love Galore"" and ""The Weekend"". Recorded on 10/28/2017.",4:46,"Oct 28, 2017",Other,OG File,Lossless,https://pillows.su/f/4a578a9fa3385a519b941e214b468f72
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","SOS
(S.O.S, Save Our Ship)","(06/09/2017) (Ctrl officially releases)
(09/04/2020) (""Hit Different"" releases as a loose single)
(12/25/2020) (The first single ""Good Days"" officially releases)
(??/??/2021) (The album's progress picked up pace throughout 2021 and 2022)
(06/09/2022) (The deluxe edition of Ctrl officially releases)
(12/09/2022) (SOS officially releases)",,,"SOS is the second studio album by American singer-songwriter SZA. It was released on December 9, 2022, by Top Dawg Entertainment and RCA Records. The album features guest appearances from Don Toliver, Phoebe Bridgers, Travis Scott, and the late Ol' Dirty Bastard. SZA worked with a variety of record producers and songwriters such as Babyface, Jeff Bhasker, Rob Bisel, Benny Blanco, Darkchild, DJ Dahi, Ant Clemons, and Lizzo. It serves as the follow-up to SZA's debut album Ctrl.",,,
,Music Videos,,,,,,,
SOS,Brace Yourself [Music Video],"The official music video for the unreleased throwaway from SOS titled ""Brace Yourself"". On 5/29/2019, SZA quote-retweeted a user on Twitter asking for the song to release, which she replied that the music video would be shot next week from then. It is unknown if the video was ever recorded, but there is a record of its existence.

SZA via Twitter (5/29/2019):
""Shooting brace urself like next week 🤔""",N/A,June 2019,Music Video,Confirmed,Not Available,https://x.com/sza/status/1133870523761512448
SOS,"Low [Music Video]
(dir. Gibson Hazard)","An unreleased music video for ""Low"", the fourth track on SZA's sophomore album SOS. It was previewed at a live concert where the snippet of the video was recorded second-hand by a member of the audience. Only a few seconds of the video are played out before text stating ""COMING SOON"" displays. SZA has not made any further explanations for why the music video was scrapped. On 12/25/2022, a video surfaced in which SZA and Travis Scott could be seen filming the music video on a presumably empty road. The editing of the video was reportedly not finished, hence the reason the video never released.",N/A,"Dec 25, 2022",Music Video,Snippet,Recording,"https://www.youtube.com/watch?v=JLVYPIiZGc4
https://x.com/rapalert6/status/1607000710817939458"
,Videos,,,,,,,
SOS,64th Annual Grammy Awards Show Interview,"A short, backstage interview with SZA that was posted to the Recording Academy YouTube channel on 4/4/2022. She discusses why she needed crutches that day, collaborating with Doja Cat on ""Kiss Me More,"" and winning the Best Pop Duo/Group Performance with her.",2:48,"Apr 3, 2022",Interview,Full,High Quality,https://youtu.be/NrU5zfvFdBM
SOS,"888-808-0CRY
(dir. SZA)","Promotional video posted to SZA's Instagram to bring attention to a hotline she created for the purpose of giving her fans resources and interacting with them. ""Good Days"" plays in the background.

SZA via Instagram post (1/20/2021):
""Uhhh random I made a hotline to cry n laugh n talk w chall 2 days outta the week 🥺 Put some custom meditations on there too + other resources . LOVE YOU 🗣CALL NOW 💗 #GOODLINE 🤝 (MAKING THE MEDITATIONS LONGER ROGHT NAOOWW)""",0:37,"Jan 20, 2021",Promo,Full,High Quality,https://www.instagram.com/p/CKSayOiFcSY/?igsh=MXh0NmJvNGFtY3ZlMA==
SOS,American Express UNSTAGED with SZA East Coast,"A pay-per-view live performance hosted by American Express for their UNSTAGED series. The set list composed of tracks from Ctrl and singles released after the album. It was aired on 6/17/2021. Collaborators such as Travis Scott and Isaiah Rashad made appearances. Missing the ""Anything"" performance from the beginning of the show in the video. The second link attached is the full 46-minute audio from the online concert.",46:00,"Jun 17, 2021",Live Performance,Full,High Quality,"https://youtu.be/Snrd9ZHDfqc
https://soundcloud.com/jeremiah-louis-325297026/sza-unstaged-concert-live-performance"
SOS,"Big Boys (Saturday Night Live Skit)
(with Keke Palmer & Punkie Johnson)
(Cuffing Season)","A holiday skit created for the 48th issue of Saturday Night Live featuring SZA and Keke Palmer as guests. The guest stars performed the skit's respective song with Punkie Johnson. It was performed on 12/4/2022 and started trending on platforms, like TikTok, with many fans asking SZA to release the song, even though she does not own the legal rights to it.",3:33,"Dec 4, 2022",Other,Full,High Quality,https://youtu.be/B9Z5YtWOJBM
SOS,GREY GOOSE® Essences In Bloom | Imagined by SZA,"A live performance taken place on 7/1/2021 and was sponsored by GREY GOOSE®. SZA performed songs from Ctrl, ""All The Stars,"" ""Kiss Me More,"" ""Hit Different,"" ""Good Days,"" the ""Shirt"" snippet, and the alternate verse of ""Love Galore"" which was not released at the time. The snippet of ""Shirt"" she performed had a slight alteration in the lyrics in the chorus, which had changed to the lines of the released version.",51:05,"Jul 1, 2021",Live Performance,Full,High Quality,https://youtu.be/OAtVLmsshqY
SOS,Kerwin Frost Interview,"An interview between Kerwin Frost and SZA was uploaded to Frost's YouTube Channel on 8/19/2019. She discusses meeting with Justin Timberlake, living in California, her debut studio album Ctrl, being a bartender in New Jersey, and additional topics.",1:18:49,"Aug 19, 2019",Interview,Full,High Quality,https://youtu.be/OpHw3byrimM
SOS,"PSA [Teaser]
(dir. Bradley J. Calder)
(Potting Season)","The teaser for SOS which is titled ""PSA"" (extendedly, ""Potting Season""). Although this was used as a promotional video for the imminent release of SZA's second studio album, it could be regarded as the music video for the song, considering the released version of ""PSA,"" set as track 19 on LANA, is not the extended mix SZA said would appear on the deluxe.",1:41,"Nov 8, 2022",Promo,Full,High Quality,https://youtu.be/fC06V0ZLGwg
SOS,PSA (Behind The Scenes),"Behind-the-scenes footage of the ""PSA"" teaser. A snippet was posted to SZA's Instagram on 11/10/2022.",?:??,"Nov 10, 2022",Other,Snippet,Recording,https://www.instagram.com/p/Ckzafl4LSrv
SOS,SOS: WHERE THE HELL HAVE YOU BEEN,"Official short documentary for the development of SZA's second studio album SOS. Uploaded to SZA's YouTube channel on 12/16/2022. Contains a track listing which displays the intro track as ""Grief,"" which may be an alternate title for ""SOS."" The video also shows a whiteboard with song titles that SZA had teased in her Instagram Stories prior to the album release, though most of the titles were blurry or too far away to see.",5:58,"Dec 16, 2022",Film,Full,High Quality,https://youtu.be/MIOtiFP4GHI
,Fakes/Edits,,,,,,,
SOS,"Ghost in the Machine
(prod. Carter Lang & Rob Bisel)","A stem edit of ""Ghost in the Machine"" which was being sold on 10/29/2024 and being advertised as a ""solo version"" of the song. The vocals in the snippet are from an unmixed vocal take in the sessions. Shortly after this was posted, [V12] officially leaked on 11/3/2024.",?:??,"Oct 29, 2024",Other,Snippet,CD Quality,https://pillows.su/f/a82fb06e5a0df2b360d5de5d7cf061df
SOS,"Notice Me
(prod. Michael Uzowuru, Teo Halm, ThankGod4Cody & Carter Lang)","Stem-edited version of ""Notice Me"" which was posted to LEAKED.CX on 7/21/2023 as a ""demo"" of the song with a different instrumental and intro, though it is not a legitimate version; however, the instrumental and vocals are real and consist of takes from the song's sessions.",2:21,"Jul 21, 2023",Other,Full,CD Quality,https://pillows.su/f/febfed10cb639ff41e8092d664c5ebf5
,Never Recorded,,,,,,,
SOS,"Bikini Bottom
(prod. Childish Major)
(Ms. Bikini Bottom)","A version of ""Bikini Bottom"" which SZA said she would rerecord to include it in the official track listing for the Ctrl deluxe edition. It was likely never recorded.",N/A,,Other,Never  Recorded,Not Available,N/A
SOS,"Shirt
(feat. Doja Cat) (prod. Rodney Jerkins & Freaky Rob)
(Bloodstain)","At the Mad Cool Festival on 7/10/2022, SZA announced a future collaboration with a female artist whose stage name rhymed with ""Soulja"" and started with the letter ""D"" alongside stating she had previously collaborated with them, which confirmed the featured artist as Doja Cat. Due to medical complications at the time, Doja was not able to record her parts of the song. It remains unknown if a recorded copy of ""Shirt"" featuring Doja Cat exists.",?:??,,Other,Never  Recorded,Not Available,https://www.billboard.com/music/music-news/sza-doja-cat-collaborating-shirt-song-1235112564/
SOS,"Butterflies
(prod. SAINT MINO)","OG Filename (Beat): butterflies_prod. mino_84
Instrumental idea for SOS which was likely unused.",0:45,,Instrumental,Never  Recorded,CD Quality,https://pillows.su/f/321dba0bb20e31fa19e5f1a0f7e8a0fc
SOS,"Dark
(prod. SAINT MINO)","OG Filename (Beat): dark_82bpm (@saintmino)
Instrumental idea for SOS which was likely unused.",1:48,,Instrumental,Never  Recorded,CD Quality,https://pillows.su/f/0f2e078dc2a7997576bcaad4c9f58447
SOS,"Green Apple [V1]
(prod. Carter Lang, Ben Lusher & Linden Jay)",Early version of the instrumental which exists due to the filename of the leaked version.,?:??,,Instrumental,Never  Recorded,Not Available,N/A
SOS,"Green Apple [V2]
(prod. Carter Lang, Ben Lusher & Linden Jay)","OG Filename (Beat): green apple v2 - 139 BPM.wav - linden x carter x lusher for sza
Instrumental idea for SOS which was likely unused.",3:47,,Instrumental,Never  Recorded,Low Quality,https://pillows.su/f/2c514860f58588cde9ab794748602101
SOS,"Lost And Found
(prod. SAINT MINO)","OG Filename (Beat): lost and found_mino_80
Instrumental idea for SOS which was likely unused.",1:18,,Instrumental,Never  Recorded,CD Quality,https://pillows.su/f/5bd5a7b26a029cf16499da8e1adf3d86
SOS,"Noise
(prod. SAINT MINO & ???)","OG Filename (Beat): noise_137 (@saintmino x jean)
Instrumental idea for SOS which was likely unused.",1:55,,Instrumental,Never  Recorded,CD Quality,https://pillows.su/f/4431b864e7d3069fcc789d5a8cbc18ff
SOS,"Water
(prod. SAINT MINO & ???)","OG Filename (Beat): waters_126 (@saintmino x coop)
Instrumental idea for SOS which was likely unused.",2:36,,Instrumental,Never  Recorded,High Quality,https://pillows.su/f/db3ffcc89979cb1aa1b6216354a158e9
SOS,"???
(prod. Carter Lang)","OG Filename (Beat): szagunna - 157 [beat] — Carter Lang
Instrumental idea for SOS which was likely unused.",4:42,,Instrumental,Never  Recorded,Lossless,https://pillows.su/f/2708b447e0f4802d6601e61e466b0baa
SOS,"???
(prod. SAINT MINO)","OG Filename (Beat): 81_bpm (@saintmino)
Instrumental idea for SOS which was likely unused.",3:00,,Instrumental,Never  Recorded,High Quality,https://pillows.su/f/c82cdff8ef39bd0ce79571866c5dba07
SOS,"Nicki Minaj - Don't Do
(feat. SZA)","OG Filename: Dont Do (open vrses)
Version of the song only containing open verses according to the filename. Sent to Punch for SZA to record a hook and outro since she was ""heavy into her album"" at the time. Requested around the same timeframe that the ""Good Days"" sessions were recorded. Unknown if any Nicki vocals are present.",N/A,,Other,Never  Recorded,Not Available,https://pixeldrain.com/u/bG88HcV4
SOS,"Nicki Minaj - ???
(feat. SZA)",Another unknown collaboration that was never recorded after Nicki Minaj sent a feature request.,N/A,,Other,Never  Recorded,Not Available,https://pixeldrain.com/u/bG88HcV4
,Other,,,,,,,
SOS,"Anonymous SoundCloud Account
(user-251587705)","The SoundCloud account used for the 8/22/2021 surprise releases of ""Joni,"" ""Nightbird,"" and ""I Hate U,"" titled as ""I Hate You"" according to the filename. ""Joni"" would be later taken down, likely by automation, as it was copyright protected. The account remains inactive and likely will not post new content.",N/A,"Aug 22, 2021",Other,Confirmed,Not Available,https://soundcloud.com/user-251587705
SOS,Billboard Photoshoot,SZA's photoshoot for Billboard in a green hat. Contains 130 images.,N/A,,Photoshoot,Full,High-Res,https://pixeldrain.com/u/RsDswfpt
SOS,Fader Photoshoot,Fader photoshoot ZIP that leaked after a groupbuy. Reuploaded by Jisenku.,N/A,,Photoshoot,Full,High-Res,https://imgur.gg/f/vNsmhcP
SOS,"Conceited (Lead Vocals)
(prod. ThankGod4Cody)","Lead vocals for ""Conceited"" which is likely to be a filter due to recurring artifacts in the audio.",2:31,,Other,Full,Lossless,https://pillows.su/f/91ed77afa14fb9019668b79db9252d81
SOS,Early Tracklist,"On 3/18/2022, SZA posted a photo of her in a studio setting with a whiteboard containing possible tracks behind the microphone. A notable few of unreleased songs can be seen from this view, including: ""Work It"", ""Sunrise"", ""Shirt"", ""Joni"", etc. This same whiteboard would be displayed in the SOS: Where The Hell Have You Been documentary on 12/16/2022, including additional titles which were originally blocked by a microphone, such as: the original version of ""F2F"" titled ""Charlatan"" featuring Lizzo, the original version of ""30 For 30"" titled ""I Like It,"" ""King & Queen,"" ""Cardigans,"" ""Another World,"" ""Murder Them,"" etc.",N/A,"Mar 18, 2022",Tracklist,Full,High-Res,https://pixeldrain.com/u/ZNEfTiKn
SOS,"New ""SZA"" Logo","In the ""Hit Different"" music video and single cover, a new, modernized/futuristic design of SZA's name splash made a debut, signaling the incoming new era known today as SOS. This design was scrapped and has not been present in any new media besides the American Express UNSTAGED online concert posters. It could have been intended for an earlier concept of SOS, but this has yet to be confirmed.",N/A,,Other,Full,High-Res,https://pixeldrain.com/u/4o55JkgD
SOS,"Used (Jam Session Inst.)
(prod. Dahi)","OG Filename: LOOP-34.42
The original, extended version of the ""Used"" instrumental which was used for earlier versions of the song. The Ableton Live session was previewed by DJ Dahi in a YouTube video by Fliko in which he broke down the elements of the song. It contains some vocals from SZA's first verse of the song where Don Toliver's chorus would be, added presumably after the track released. He described the instrumental as ""just a jam."" Partially teased on 12/14/2022.",?:??,,Instrumental,Partial,High Quality,https://pillows.su/f/69cd7a9a45bdbc4e5b3685aa76c5f360
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","LANA [V1]
(SOS Deluxe)","(08/08/2023) (LANA is announced to be released in fall of 2023)
(03/27/2024) (LANA receives a full rework)",,,"The first version of Lana, the deluxe edition of American singer-songwriter SZA's sophomore album SOS, was originally going to contain fan-favorite unreleased tracks, as stated by the artist on a Stationhead livestream which took place on December 14, 2022. It was likely to contain a version of ""BMF"" featuring Lizzo, which did not appear in the released version of the deluxe. She presented six potential album covers on December 10, 2022, which were also not used for the official release.",,,
,Music Videos,,,,,,,
LANA [V1],DTM (Diamond Boy) [Music Video],"The original visualizer for ""Diamond Boy (DTM)"" which was teased in the end ""Snooze"" music video on 8/25/2023. The audio in the  snippet is the original mix of the song before drums and other elements were added to the instrumental. Timestamp of the beginning is 3:21.",?:??,,Music Video,Partial,High Quality,https://youtu.be/LDY_XyxBu8A&t=201
,Videos,,,,,,,
LANA [V1],BMF [Live Performance],"Live performance of ""BMF"" by SZA taken place at a pop-up show in Brooklyn, New York, on 9/7/2023. She only performed this partially, ending at the beginning of the second verse. The backing audio was from the third version of the song, which recorded in 2021.",N/A,"Sep 7, 2023",Live Performance,Partial,Recording,https://pillows.su/f/128351439a2877e46326004cf56075e5
LANA [V1],Apple Music Live Interview with Zane Lowe,"The interview between Zane Lowe and SZA which took place in Brooklyn, NY, only hours before her Apple Music Live performance at the Barclays Center. She discusses the SOS Tour, recording the album and the deluxe, writing and collaborations, and other aspects of her life. Published by Apple Music on 12/12/2023.",52:41,"Dec 12, 2023",Interview,Full,High Quality,https://youtu.be/zc0vRDh1ECA
,Never Recorded,,,,,,,
LANA [V1],"BMF
(feat. Lizzo) (prod. Carter Lang, Blake Slatkin & Omer Fedi)
(Boy From South Detroit, Black Mafia Family, Blowing Money Fast)","A version of ""BMF"" featuring Lizzo. SZA said it would appear in the deluxe edition of her sophomore album SOS during an Instagram livestream with Lizzo, but the song was never recorded.",?:??,,Remix,Never  Recorded,Not Available,N/A
,Other,,,,,,,
LANA [V1],Photoshoot,"Photos from the tent cover of Lana have surfaced several times, but the full shoot has yet to leak.",N/A,,Photoshoot,Partial,High-Res,https://pixeldrain.com/u/nf8Rf3s9
LANA [V1],Photoshoot (Behind The Scenes),Leaked 12/23/2024. Contains burst frames from the behind-the-scenes of the Lana photoshoot. Unknown when the photoshoot took place. This was during the camping tent album cover shoot. Could potentially be intended for the Lana documentary.,?:??,,Other,Snippet,High Quality,https://pixeldrain.com/u/WwRY1awD
LANA [V1],Promotional Posters,"In Fall 2023, across the United States, promotional posters for LANA were plastered along the walls of buildings with the vague caption, ""Coming soon,"" displayed in all capitalization. The locations where these posters have been sighted are: Chicago, Dallas, Los Angeles, Nashville, New York, Philadelphia, and St. Louis. A user on Instagram, and many others on other social media platforms such as Twitter, posted each sighting of these promotional pieces. The image of each poster was of one of the six potential album covers for the album SZA teased on the second anniversary of SOS, mainly the one of SZA in a grass field and the other in a farm setting. The artist acknowledged the existence of this promotion by reposting a user's sighting on her Instagram Stories.",N/A,,Promo,Confirmed,High-Res,"https://pixeldrain.com/u/fPwYEShP
https://pixeldrain.com/u/MuZsRfQ3
https://pixeldrain.com/u/169hUgyK"
LANA [V1],Unknown Tracklist,"The original track listing for Lana was likely intended to be composed of the three untitled tracks which were titled ""Song1,"" ""Song2,"" and ""Song3"" respectively. It is unknown if there was ever ""Song4"" or other later created tracks in this sequence. SZA has previously stated on 12/14/2022 on a Stationhead session that several throwaways from SOS would make appearances on the rеissue of the album.",N/A,,Tracklist,Rumored,Not Available,N/A
