Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
WUNNA,"MOTW
(prod. Wheezy & Outtatown)","Vocals for track 3 on WUNNA, ""MOTW"".","Feb 15, 2020","May 3, 2026",2:32,,OG File,Low Quality,https://pillows.su/f/f94341ed8ee889cb802645f8abc3aa07
Slime Language 2,"Young Stoner Life & Gunna - Came Out
(feat. Lil Keed) (prod. ​star boy, Outtatown, BabyWave & Wheezy)","OG Filename: Came Out (Lil Keed, Gunna)_instrumental_mstr 04-27_44k
Instrumental for track 14 on Slime Language 2, ""Came Out"" featuring Lil Keed.","Jun 7, 2018","Jun 28, 2022",3:12,,OG File,CD Quality,https://pillows.su/f/d8812f92edc36d763b53e496760a9f4e
Slime Language 2,"Young Stoner Life, Young Thug & Gunna - Diamonds Dancing
(feat. Travis Scott) (prod. Turbo)","OG Filename: Diamonds Dancing (Young Thug, Gunna, Travis Scott)_instrumental_mstr 04-27_44k
Instrumental for track 3 on Slime Language 2, ""Diamonds Dancing"" featuring Travis Scott.","Jun 7, 2018","Jun 28, 2022",2:32,,OG File,CD Quality,https://pillows.su/f/8ea6ee9217d843b97a2e7065a0b4ffcf
Slime Language 2,"Young Stoner Life, Young Thug & Gunna - Ski
(prod. Wheezy, Outtatown & BabyWave)
(Fuckin' with Gunna)","Instrumental for track 2 on Slime Language 2, ""Ski"".",,"May 18, 2021",2:32,,Full,CD Quality,https://pillows.su/f/f20e9bd67336fed26b5ab21a98b2ac1d
Slime Language 2,"Young Stoner Life, Young Thug & Gunna - Slam the Door
(prod. Dez Wright & Wheezy)","OG Filename: Slam The Door_Thug x Gunna_instrumental_mstr 04-27_44k
Instrumental for track 1 on Slime Language 2 (Deluxe), ""Slam the Door"".","Jun 7, 2018","Jun 28, 2022",3:08,,OG File,CD Quality,https://pillows.su/f/74bc82844fcdabcd1476c180e1ea58be
Slime Language 2,"Young Stoner Life, Young Thug & Gunna - Slatty
(feat. Yak Gotti & Lil Duke) (prod. Southside, Gunboi & PVLACE)","OG Filename: Slatty (Young Thug, Yak Gotti, Gunna, Lil Duke)_instrumental_mstr 04-27_44k
Instrumental for track 1 on Slime Language 2, ""Slatty"" featuring Yak Gotti & Lil Duke.","Jun 7, 2018","Jun 28, 2022",4:50,,OG File,CD Quality,https://pillows.su/f/8476603ea1e507ab7f619769e88e93a5
Slime Language 2,"Young Stoner Life, Young Thug & Gunna - Solid
(feat. Drake) (prod. Wheezy, OZ, Foreign Teck & Elyas)","OG Filename: Solid (Young Thug, Drake, Gunna)_instrumental_mstr 04-27_44k
Instrumental for track 4 on Slime Language 2, ""Solid"" featuring Drake.","Jun 7, 2018","Jun 28, 2022",3:35,,OG File,CD Quality,https://pillows.su/f/b1acad5c4c189124a5d4a14d4d2d9c83
Slime Language 2,"Young Stoner Life, Young Thug & Gunna - Take it to Trial
(feat. Yak Gotti) (prod. Wheezy, 2Epik & SMPLGTWY)","Instrumental for track 16 on Slime Language 2, ""Take it to Trial"" featuring Yak Gotti.",,"May 7, 2023",4:50,,Full,CD Quality,https://pillows.su/f/91747fc47f2095aa56f0edc59897d307
DS4EVER,"Young Scooter - Magic City Monday
(feat. Gunna & Future)
(Magic City Mondays)","Studio session for ""Magic City Monday.""",,"Aug 7, 2023",Varied,,Full,Lossless,Link Needed
DS4EVER,"game is taught
(feat. T.I.) (prod. Kenny Stuntin & Louie Oblin)
(took some losses)","OG Filename: pac stone ( prod by kenny ) 142bpm
Instrumental for ""game is taught"" featuring T.I.",,"Nov 26, 2025",3:09,,OG File,Lossless,https://pillows.su/f/5ec55c02c0ddc0b0af607e3f7408b906
