Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
WUNNA,WUNNA [October/November 2019],"Seemingly unfinished tracklist.

1. WUNNA
2. MET GALA
3. FAR
4. ROCKSTAR
5. NASTY GIRL / ON CAMERA
6. WORTH IT
7. DOLLARS ON MY MIND (DOLLAZ ON MY HEAD?)
8. DO BETTER
9. DON'T PLAY AROUND
10. CHOPPA SING
11. SUNDAY
12. ???
13. ???

* CHOPPER PILLOW
* BIG BODY
* LIFE IS AMAZING
* GIMMICK",,,Blocked,Secondary,
WUNNA,WUNNA [April 2020],"Shown on Instagram Live via Gunna.

1. ???
2. ???
3. MOTW
4. FEIGNING
5. SKY BOX
6. WUNNA
7. DOLLAZ ON MY HEAD
8. BLIND FOLD
9. STACKIN IT
10. ROCKSTAR
11. MET GALA BALL
12. NASTY GIRL
12. ON CAMERA
13. COOLER THAN A BITCH
14. I'M ON SOME
15. DON'T PLAY AROUND
16. DO BETTER
17. FAR",,April 2020,Blurry,Gunna,
WUNNA,WUNNA,"Official tracklist for WUNNA.

1. ARGENTINA
2. GIMMICK
3. MOTW
4. FEIGNING
5. DOLLAZ ON MY HEAD (feat. Young Thug)
6. ADDYS (feat. Nechie)
7. SKYBOX
8. WUNNA
9. BLINDFOLD (feat. Lil Baby)
10. ROCKSTAR BIKERS & CHAINS
11. MET GALA
12. NASTY GIRL / ON CAMERA
13. COOLER THAN A BITCH (feat. Roddy Ricch)
14. I'M ON SOME
15. TOP FLOOR (feat. Travis Scott)
16. DON'T PLAY AROUND
17. DO BETTER
18. FAR (feat. Young Thug)",,"May 22, 2020",Clear,Gunna,
WUNNA (Deluxe),WUNNA (Deluxe),"Official tracklist for WUNNA (Deluxe).

1. 200 FOR LUNCH
2. DOLLAZ ON MY HEAD (feat. Young Thug)
3. WUNNA FLO (feat. Yak Gotti)
4. GIMMICK
5. FEIGNING
6. STREET SWEEPER (feat. Future)
7. MOTW
8. ONE WATCH (feat. Young Thug)
9. ARGENTINA
10. SUN CAME OUT
11. COOLER THAN A BITCH (feat. Roddy Ricch)
12. ADDYS (feat. Nechie)
13. DIRTY DIANA
14. NOTHING 4 FREE (feat. NAV)
15. TOP FLOOR (feat. Travis Scott)
16. SKYBOX
17. WUNNA
18. BLINDFOLD (feat. Lil Baby)
19. ROCKSTAR BIKERS & CHAINS
20. MET GALA
21. NASTY GIRL / ON CAMERA
22. I'M ON SOME
23. RELENTLESS (feat. Lil Uzi Vert)
24. DON'T PLAY AROUND
25. DO BETTER
26. FAR (feat. Young Thug)",,"Jul 24, 2020",Clear,Gunna,
DS4EVER,DS4EVER [6.19.2021],"Shown on Instagram Live via Gunna.

1. Private Island
2. Too Easy
3. Alotta Cake
4. ???
5. Occupation
6. Thought I Was Playing
7. 9 X 10
8. ???
9. ???
10. ???
11. ???
12. ???
12. ???
13. Mess

* Accommodated
* Flooded
* Life Gets Hard
* Playas Only
* Bank Don't Close
* Bustin Rhymes
* ???
* ???
* Concierge
* Body Different
* All The Money
* Switch Lanes
* Jump Back
* Push Start
* It's Nothing
* Relations",,"Jun 19, 2021",Blurry,Gunna,
DS4EVER,DS4EVER [8.27.2021],"List of tracks.

* thought i was playing
* flooded
* 9/10
* life of sins
* jumpback
* south to west
* accommodated",,"Aug 27, 2021",Blocked,Secondary,
DS4EVER,DS4EVER [10.8.2021],"October 8, 2021 tracklist for DS4EVER, leaked in full on May 9, 2024.

1. private island
2. all the money
3. life of sin
4. though i was playing (feat. 21 Savage)
5. pussy power
6. mop (feat. Young Thug)
7. shit too easy
8. switchen lanes
9. mess / south to the west
10. flooded
11. alotta cake
12. tax free (feat. Strick)
13. why me baby
14. accomodated
15. die alone
16. miss me
17. so far ahead",,"Oct 8, 2021",Clear,Leaked,
DS4EVER,DS4EVER [1.5.2022],"Original tracklist for DS4EVER.

1. ‎private island
2. ‎pushin P (feat. Future & Young Thug)
3. ‎poochie gown
4. ‎mop (feat. Young Thug)
5. ​thought i was playing (feat. 21 Savage)
6. pussy power (feat. Drake) (P power)
7. ‎how you did that (feat. Kodak Black)
8. ‎alotta cake
9. ‎livin wild
10. ‎you & me (feat. Chlöe Bailey)
11. ‎south to west
12. 25k jacket (feat. Lil Baby)
13. ​too easy (feat, Future)
14. ​idk that bitch (feat. G Herbo)
15. ​flooded
16. ​life of sin (feat. Nechie)
17. ​die alone by Gunna (feat. Yung Bleu & Chris Brown)
18. ​missing me
19. ​so far ahead ᐳ empire
20. ​​too easy (Remix) [feat. Future & Roddy Ricch]",,"Jan 5, 2022",Clear,Gunna,
DS4EVER,DS4EVER,"Official tracklist for DS4EVER.

1. ‎private island
2. ‎pushin P (with Future) (feat. Young Thug)
3. ‎poochie gown
4. ‎mop (feat. Young Thug)
5. ​thought i was playing (with 21 Savage)
6. ‎how you did that (feat. Kodak Black)
7. ‎alotta cake
8. ‎livin wild
9. ‎you & me (with Chlöe)
10. ‎south to west
11. 25k jacket (feat. Lil Baby)
12. ​too easy (with Future)
13. ​idk that bitch (feat. G Herbo)
14. ​flooded
15. ​life of sin (feat. Nechie)
16. ​die alone by Gunna (with Chris Brown) (feat. Yung Bleu)
17. ​missing me
18. ​so far ahead ᐳ empire
19. ​​too easy (Remix) [feat. Future & Roddy Ricch]",,"Jan 7, 2022",Clear,Gunna,
DS4EVER,DRIP SEASON 4EVER,"Official tracklist for DRIP SEASON 4EVER.

1. ‎private island
2. ‎pushin P (with Future) (feat. Young Thug)
3. ‎poochie gown
4. ‎mop (feat. Young Thug)
5. ​thought i was playing (with 21 Savage)
6. P power (feat. Drake)
7. ‎how you did that (feat. Kodak Black)
8. ‎alotta cake
9. ‎livin wild
10. ‎you & me (with Chlöe)
11. ‎south to west
12. 25k jacket (feat. Lil Baby)
13. ​too easy (with Future)
14. ​idk that bitch (feat. G Herbo)
15. ​flooded
16. ​life of sin (feat. Nechie)
17. ​die alone by Gunna (with Chris Brown) (feat. Yung Bleu)
18. ​missing me
19. ​so far ahead ᐳ empire
20. ​​too easy (Remix) [feat. Future & Roddy Ricch]",,"Jan 13, 2022",Clear,Gunna,
a Gift & a Curse,a Gift & a Curse,"Official tracklist for a Gift & a Curse.

1. ​back at it
2. ​back to the moon
3. ​idk nomore
4. ​paybach
5. ​ca$h $hit
6. ​fukumean
7. ​rodeo dr
8. ​bottom
9. ​p angels
10. ​born rich
11. ​go crazy
12. ​bread & butter
13. ​turned your back
14. ​i was just thinking
15. ​alright",,"Jun 16, 2023",Clear,Gunna,
One of Wun,fukumean - EP,"Official tracklist for the fukumean EP.

1. ​fukumean
2. ​fukumean (sped up version)
3. ​fukumean (chopped ’n screwed)
4. ​fukumean (reversed)
5. ​fukumean (instrumental)",,"Jul 21, 2023",Clear,Gunna,
One of Wun,One of Wun,"Official tracklist for One of Wun.

1. ​​collage
2. ​​one of wun
3. ​​neck on a yacht
4. ​​whatsapp (​​wassam)
5. ​​hakuna matata
6. ​​prada ​​dem (feat. Offset)
7. ​​treesh
8. ​​on ​​one ​​tonight
9. ​​back in the a
10. ​​trio
11. ​​still prevail
12. ​​blackjack
13. $$$ (feat. Normani)
14. ​​clear my rain (feat. Leon Bridges)
15. ​​conscience
16. ​​the time
17. ​let it breathe (feat. Roddy Ricch)
18. ​​life's changing
19. ​​today i did good
20. ​​time reveals, be careful what you wish for",,"May 10, 2024",Clear,Gunna,
The Last Wun,The Last Wun [6.1.2025],"Shown on an Instagram story from @june10thboy on June 1, 2025.

1. Many Nights
2. Won't Stop
3. Let That Sink In
4. ???
5. Sak Pase
6. GP
7. At My Purest (feat. Offset)
8. Prototype
9. Biting My Game
10. Forever Be Mine
11. Again
12. Endless
13. Can't Feel My Face (feat. Roddy Ricch)
14. ???
15. Fuck w/ You Boy
16. On Me
17. What They Thinking
18. ???
19. Showed 'Em",,"Jun 1, 2025",Blurry,Secondary,
