Era,Name,Notes,Length,Release Date,Shoot Date,Type,Availability,Status,Link(s)
Chucky Era,Sneak Dissin' [Music Video],"Music Video for ""Sneak Dissin""",1:06,"Mar 4, 2016",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=tCSHmtA11LA
Chucky Era,Rich The Kid - Plug [Music Video],"Uploaded to Youtube by WSHH on December 11, 2015",4:01,"Dec 11, 2015",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=_y5wyRPxQzg
Chucky Era,"WHAT [MUSIC VIDEO]
(with UNOTHEACTIVIST)","Music Video for ""WHAT"". Uploaed to A$AP Rocky's youtube channel.",2:39,"Jun 30, 2016",N/A,Music Video,Full,Officially Released,https://youtu.be/wcJVXg7gg4w
Chucky Era,"Talk (ICYTWAT Remix) [Music Video]
(dir. NASSACRE)","Music Video for ""Talk (ICYTWAT Remix)"" released on July 26, 2015, Was taken down.",2:40,"Jul 26, 2015",N/A,Music Video,Full,Deleted,https://www.youtube.com/watch?v=iTS6qvCSU8w
Ca$h Carti Season,3 Chains [Music Video],"MV for ""3 Chains"" featuring Carti & Rich The Kid.",3:42,N/A,N/A,Music Video,Full,Unofficially Released,https://www.youtube.com/watch?v=9tYivkA9Xy8
Ca$h Carti Season,"Left Right [Music Video]
(w/ Lil Uzi Vert) (dir. Mezzy)","Music Video for ""Left Right"".",3:28,"Feb 14, 2019",Early 2016,Music Video,Full,Unofficially Released,https://www.youtube.com/watch?v=y5eLBe6kOio
Ca$h Carti Season,"KEY! - Ghost [Music Video]
(dir. Ratchet Man)",Previously deleted but re-uploaded.,3:23,N/A,N/A,Music Video,Full,Deleted,https://youtu.be/CuoiGga5Shs?si=7sJGpaN8hGcxyqPm
Ca$h Carti Season,No Pressure [Music Video],"Music Video for ""No Pressure"", released and deleted sometime later.",N/A,N/A,N/A,Music Video,Full,Deleted,https://www.dailymotion.com/video/x4cci3d
Ca$h Carti Season,No Pressure [Alt Music Video],"Alt Music Video snippet for ""No Pressure"".",N/A,N/A,N/A,Music Video,Snippet,Unreleased,NEW LINK NEEDED
Playboi Carti,"Magnolia [Music Video] [V1]
(dir. AWGE)",OG Music video for Magnolia.,N/A,N/A,N/A,Music Video,Partial,Unreleased,https://www.youtube.com/watch?v=kaTwfAwHKf8
Playboi Carti,"Magnolia [Music Video] [V2]
(dir. AWGE)",Earlier version of the official release with a few different shots.,3:25,N/A,N/A,Music Video,Full,Unreleased,https://www.youtube.com/watch?v=7vg4v4wFr8k
Playboi Carti,"Magnolia [Music Video] [V3]
(dir. AWGE)","Music Video for ""Magnolia"".",3:25,"Jul 10, 2017",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=oCveByMXd_0
Playboi Carti,🥉 Let It Go [Music Video],"Only a snippet is available, previewed by Carti, also uses Let It Go [V2]",N/A,"Mar 12, 2017",N/A,Music Video,Snippet,Unreleased,https://x.com/playboicarti/status/841107158414557184/video/1
Playboi Carti,In My Car [Music Video],"Partial MV for In My Car, it's unknown if the video uses the original version of the song or the one with Lil Yachty.",N/A,N/A,N/A,Music Video,Partial,Unreleased,"https://krakenfiles.com/view/28Lo3XAgFT/file.html
https://youtu.be/LUrsuJ6UT3E"
Playboi Carti,Yah Mean [Music Video],Partial Music video for Yah Mean and also features A$AP Rocky.,N/A,N/A,N/A,Music Video,Partial,Unreleased,https://www.youtube.com/watch?v=XaeKjQ3nIIs
Playboi Carti,"New Choppa [Music Video]
(feat. A$AP Rocky) (dir. James Mackel & AWGE)","Music Video for ""New Choppa"".",2:34,"Aug 31, 2017",N/A,Music Video,Full,Officially Released,https://youtu.be/_JZqoGz0b6o
Playboi Carti,"Lookin
(feat. Lil Uzi Vert) (dir. Gibson Hazard)","Music Video for ""Lookin"", was only released in the AWGE DVD Vol. 2 that was deleted sometime later.",3:10,"Jan 22, 2018",N/A,Music Video,OG File,Deleted,https://imgur.gg/f/3QlhrdY
Playboi Carti,"wokeuplikethis* [Music Video] [V1]
(feat. Lil Uzi Vert) (dir. JMP)","OG music Video for ""wokeuplikethis*"".",4:01,"Jul 31, 2017",N/A,Music Video,Full,Unofficially Released,https://vimeo.com/227770605
Playboi Carti,"wokeuplikethis* [Music Video] [V2]
(feat. Lil Uzi Vert) (dir. JMP)","Music Video for ""wokeuplikethis*"".",3:59,"Aug 9, 2017",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=REmZhFKmOmo
Die Lit,"✨ Lean 4 Real [Music Video]
(feat. Skepta)","Unreleased music video for the released song ""Lean 4 Real"". The video features a slightly different version of the song. The MV features a appeareance from Skepta and Rocky.",2:56,"Feb 19, 2021",N/A,Music Video,Full,Unreleased,https://youtu.be/SCvaLHjbetU
Die Lit,Skepta x Suspect OTB - Look Alive [Music Video],Carti is seen in the music video at 2:42,3:07,"Feb 18, 2018",N/A,Music Video,Full,Officially Released,https://youtu.be/rYCD05L9NSk?si=kgOQEteUEqlUD_n4&t=161
Die Lit,"A$AP Rocky - A$AP Forever [Music Video]
(feat. Moby)","Music Video for ""A$AP Forever"" featuring Moby. Carti appears for a few seconds with A$AP Rocky",4:00,"Apr 5, 2018",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=BNzc6hG3yN4
Die Lit,"R.I.P. [Music Video]
(dir. Nick Walker)","Music Video for ""R.I.P."". Uses R.I.P. [V4], a slightly earlier mix than the one on streaming.",3:09,"Jun 11, 2018",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=GRoa6w-wnT4
Die Lit,Southside - Ain't Doin That [Music Video],Official MV for Ain't Doin That by Southside featuring Carti.,2:52,"Jun 21, 2018",N/A,Music Video,Full,Officially Released,https://youtu.be/ZJ5JsriJ9nI?si=v1MlwuHBH90_j6rI
Die Lit,Jim Jones - Banging [Music Video],"Music Video for ""Banging"" featuring Mozzy. Carti appears multiple times throughout the video after the 1:39 mark.",3:18,"Jul 12, 2018",N/A,Music Video,Full,Officially Released,https://youtu.be/PISqB6XdULc?si=SqvEVAkL4mIjW6Fk&t=99
Die Lit,Pi'erre Bourne - Yo Pi'erre! [Music Video],Leaked music video for Yo Pi'erre! featuring Carti.,2:48,N/A,N/A,Music Video,Full,Unreleased,https://www.youtube.com/watch?v=DDLvfGMlVFw
Die Lit,A$AP Mob - Blowin' Minds (Skateboard) [Music Video],Music video for Blowin' Minds featuring Carti.,4:00,N/A,N/A,Music Video,Full,Unreleased,https://www.youtube.com/watch?v=X6bhXtC_h7Y
Die Lit,Foreign [Music Video],"Snippet, was previewed on the AWGE DVD Vol. 2 and was never dropped in full.",N/A,N/A,N/A,Music Video,Snippet,Unreleased,"https://youtu.be/OVL-8ySCfL8
https://www.youtube.com/shorts/A2m2qz5AO4g"
Die Lit,Old Money [Music Video],Music video that was never dropped in full.,N/A,N/A,N/A,Music Video,Snippet,Unreleased,http://music.froste.lol/video/64e91aac730fd0c64c4dcb4249fb5ee2/play
Die Lit,Choppa Won't Miss [Music Video],Music video for the version with Pi'erre and Young Thug. Previewed to some members of the comm.,N/A,N/A,N/A,Music Video,N/A,Unreleased,N/A
Whole Lotta Red [V1],"Lil Yachty - Get Dripped
(feat. Playboi Carti) (dir. Chadwick Tyler)","Music Video for ""Get Dripped"" featuring Playboi Carti.",2:39,"Nov 26, 2018",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=v3xjbk9GPqA
Whole Lotta Red [V1],Unknown Video,"A snippet of the video was posted by Joy Divizn on February 25, 2019. The full video leaked as a bonus for the Solo Dolo Pt. IV groupbuy. A higher quality version of it, surfaced from the mass Carti iCloud leak.",2:23,"Apr 15, 2024","Feb 12, 2019",Music Video,Full,Unreleased,http://music.froste.lol/video/c15ded6c65ffafc513406189317c3c35/play
Whole Lotta Red [V1],"Cancún [Music Video]
(dir. Chris Skylark)",Previewed many times by Carti's affiliates at the time.,N/A,N/A,N/A,Music Video,Partial,Unreleased,http://music.froste.lol/video/c91c55e9120c5bced8c682b45c40f9a3/play
Whole Lotta Red [V1],New N3on [Music Video],"Screenshots of the supposed MV have been leaked often throughout years by various people including @govwok and @rel9te. Speculated to be for N3on but could just be a photoshoot as no real videos have leaked. Whole Folder leaked on April 5, 2026 by Vivet Hub.",N/A,N/A,N/A,Music Video,Screenshot,Unreleased,https://pixeldrain.com/u/bnm1k3Ru
Whole Lotta Red [V2],🥉 Bitch Boy [Music Video],"Music video for ""Bitch Boy"". Previewed in the Whole Lotta Red documentary. Joy has the MV shoot posted to his close friends on instagram aswell.",N/A,N/A,N/A,Music Video,Recording,Unreleased,https://www.youtube.com/watch?v=alBI2SYHJkQ&t=2973s
Whole Lotta Red [V2],"Cartier [Music Video]
(feat. Lil Uzi Vert) (dir. Art Dealer)","A music video directed by Art Dealer for ""Cartier"".",2:19,"Apr 6, 2021",N/A,Music Video,OG File,Unreleased,https://imgur.gg/f/GzHe7cu
Whole Lotta Red [V2],X Files [Music Video],Music Video for X Files. Yung Lean appears in the MV.,N/A,N/A,N/A,Music Video,Snippet,Unreleased,https://mega.nz/folder/HR9VGL7Y#P5AoJsVkdaD71Joc8xH-tA
Whole Lotta Red [V2],"@ MEH [Music Video]
(dir. Playboi Carti & Nick Walker)","Music video for ""@ MEH"".",2:48,"Apr 16, 2020",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=nMDOSLEVdBw
Whole Lotta Red [V2],Lil Meech - Paranoid [Music Video],"A music video for ""Paranoid"" by Lil Meech, Carti appears multiple times throughout the video.",2:58,N/A,N/A,Music Video,Full,Officially Released,https://youtu.be/FnKEle3a_TM?si=I9eWITarpZtxL1JR
Whole Lotta Red [V3],"Red Rain
(dir. ???)","Posted by the King Bob account on twitter. Music Video for the song ""Red Rain"".",N/A,"Dec 14, 2025",Late 2020,Music Video,Snippet,Unreleased,https://music.froste.lol/video/41e66da69d86af8f460aa46a69a94ffc
Whole Lotta Red [V4],"King Vamp [Music Video]
(dir. Joy Divizn)","A music video for ""King Vamp"" was allegedly recorded in March 2020 according to @2vet9. The authenticity of this shoot being related to ""King Vamp"" is currently uncertain.",N/A,N/A,N/A,Music Video,Screenshot,Unreleased,https://imgur.com/a/tuvThEX
Whole Lotta Red [V4],"Teen X [Music Video] [V1]
(feat. Future) (dir. Zhamak Fullad & Raheem)","A music video for ""Teen X"" recorded a few days before the release of Whole Lotta Red. The editor of the music video said we will never see it release.",N/A,N/A,N/A,Music Video,Screenshot,Unreleased,https://mega.nz/folder/vQEnCD4B#xMn6Zdmge_aPYmZelg9nGA
Whole Lotta Red [V4],"Teen X [Music Video] [V2]
(feat. Future) (dir. Zhamak Fullad & Raheem)","An alternate version of the ""Teen X"" music video is said to exist by @2vet9 and one of the directors.",N/A,N/A,N/A,Music Video,Screenshot,Unreleased,"https://i.imgur.gg/Kb0nXiq.jpg 
https://i.imgur.gg/xSkVaQ9-to6ydqqqmu081.jpg"
Whole Lotta Red [V4],"✨ Sky [Music Video] [V1]
(dir. Nick Walker)","OG music video for Sky. Has 32 seconds of later cut takes, parts with no coloring and different outro. Leaked by canwone & opivanum after they bought it for 200$.",3:12,"Apr 7, 2024","Feb 17, 2021",Music Video,Full,Unreleased,https://krakenfiles.com/view/8rx0wSiSw6/file.html
Whole Lotta Red [V4],"Sky [Music Video] [V1-V17]
(dir. Nick Walker)",17 different versions of the SKY MV as a result of a Sidepiece Hub GB.,~3:12,"Apr 5, 2026","Feb 17, 2021",Music Video,Full,Unreleased,https://gofile.io/d/kZa0ZT
Whole Lotta Red [V4],"Sky [Music Video] [V2]
(dir. Nick Walker)","OG Filename: PlayboiCarti_Sky_USUV72101311_BCAST
Shoot Info: 2021-03-16T12:31:44-04:00
Music video for ""Sky"".",3:12,"Apr 2, 2021","Feb 17, 2021",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=KnumAWWWgUE
Whole Lotta Red [V4],"🥉Vamp Anthem [Music Video]
(dir. Hidji Films) (exec. prod. Chad Tennies)","The MV was for Vamp Anthem
It was shot on or around Jan 21, 2021
Shot in 16 locations
Was fully finished, made it into post production
Shot by the same crew which shot Sky music video
Costed almost 100k, and Carti STILL didnt drop it",N/A,"Mar 5, 2025","Jan 21, 2021",Music Video,N/A,Unreleased,https://imgur.com/a6yZ2rL
Whole Lotta Red [V4],🥉 Over [Music Video],"Music video for ""Over"". Previewed in the Whole Lotta Red documentary.",N/A,N/A,N/A,Music Video,Recording,Unreleased,https://odysee.com/@griz:b/WLR:b?t=5192
Whole Lotta Red [V4],"M3tamorphosis [Music Video]
(feat. Kid Cudi) (dir. Nico Ballesteros)","Music video for ""M3tamorphosis"".",5:16,"Dec 25, 2020",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=wGBsIelFe-E
Whole Lotta Red [V4],"Lil Yachty - Flex Up [Music Video] [V1]
(feat. Future) (dir. Raheem & Zhamak Fullad)",OG Music video for Flex Up before Carti recorded his take.,2:53,N/A,N/A,Music Video,Full,Unreleased,https://gofile.io/d/6oyHBA
Whole Lotta Red [V4],"Lil Yachty - Flex Up [Music Video] [V2]
(feat. Playboi Carti & Future) (dir. Raheem & Zhamak Fullad)","Music video for ""Flex Up"" featuring Playboi Carti.",2:53,"Nov 27, 2020",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=kGV5V_VIVc8
Whole Lotta Red [V4],Pi'erre Bourne - 4U [Alt Video],"Alternate version of Pi'erre Bourne's ""4U"" music video that features a cameo appearance from Carti. Leaked on January 11, 2023 alongside 2 other alternate versions.",3:33,"Jan 11, 2023","Nov ~, 2020",Music Video,Full,Unreleased,https://youtu.be/Bk-sw9_h-DM
Whole Lotta Red [V4],Pi'erre Bourne - 4U [Alt Video BTS],Behind the scenes of the Alternate leaked Video for 4U with Carti.,N/A,N/A,"Nov ~, 2020",Music Video,Snippet,Unreleased,https://youtube.com/shorts/Ql2R5qLd5io?si=URd7KWFaUGr780MR
Narcissist,"Sights [Music Video]
(feat. A$AP Rocky)","Music video for ""Sights"" uploaded onto A$AP Rocky's Instagram. Was later taken down.",2:58,"Dec 9, 2022",N/A,Music Video,Full,Unofficially Released,https://music.froste.lol/video/b30ba9dec344c8e939e0b005d8a67d80/play
Narcissist,"Miss The Rage [Music Video]
(dir. Nick Walker)","Official music video for Trippie Redd's ""Miss The Rage"" featuring Carti.",3:45,N/A,N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=2ow-9oyca40
Narcissist,"ABRA - Unlock It [OG Music Video]
(feat. Playboi Carti)","OG Music Video for Unlock It which has Carti in it, but obviously, Carti didn't clear it.",N/A,N/A,N/A,Music Video,Snippet,Unreleased,https://youtu.be/tSHijHAOFts
MUSIC [V1],"FOMDJ [Music Video]
(dir. Playboi Carti, Gab3 & Myles Henrik Hall)","Shot in the end of May in 2023. Released on YT, under the label of ""Official Visualizer"", and as promotion for the 'MUSIC - SORRY 4 DA WAIT' Bonus version.",3:20,"Mar 25, 2025","May 29, 2023",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=N5dOy9FGtDg
MUSIC [V1],"Ye - Mr. Miyagi [Music Video]
(feat. Playboi Carti & Future)",Apparently Mr. Miyagi has a Music Video that has yet to release/leak.,N/A,N/A,N/A,Music Video,Snippet,Unreleased,https://www.youtube.com/watch?v=m8Uwb-qpyVI
MUSIC [V2],MEET YO MAKER [REMIX] [Music Video],Music Video for MEET YO MAKER [REMIX]. Video leaked by Raahim as a final gift to the Carti community.,3:32,"Sep 4, 2025",N/A,Music Video,OG File,Unreleased,https://gofile.io/d/ugjqiR
MUSIC [V2],WICKED [Music Video],"According to tons of insiders, WICKED had a music video. However, Cardo revealed in an interview that said music video was planned to be recorded the day after the track leaked. Likely got scrapped after it leaked.",N/A,N/A,N/A,Music Video,Never Recorded,Unreleased,N/A
MUSIC [V2],??? [Music Video],"Carti was seen shooting a music video on August 23th, 2023. Behind the scenes was posted on tik tok. Possibly ""Crib"" MV?",N/A,"Aug 24, 2023","Aug 23, 2023",Music Video,Recording,Unreleased,https://www.youtube.com/shorts/A4luVOgFR0E
MUSIC [V3],"2024 [Music Video]
(dir. Louie Knows)","Teased by Carti on his IG story. The worker at the gas station confirmed the mv was filmed on Dec 12, 2023.",3:29,"Dec 15, 2023","Dec 12, 2023",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=YG3EhWlBaoI
MUSIC [V3],"BACKR00MS [Music Video]
(feat. Travis Scott) (prod. OjiVolta, Cardo)","Featuring Travis, sexisdeath, and Joy Divizn. Travis showcases the opium cross Carti gifted him.",4:22,"Jan 1, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=ftaXMKV3ffE
MUSIC [V3],Different Day [Music Video],A single for I AM MUSIC.,2:48,"Dec 9, 2023",N/A,Music Video,Full,Unofficially Released,https://www.instagram.com/p/C0nT7y_Ic4O/
MUSIC [V3],"DIS 1 GOT IT [Music Video] 
(dir. louieknows)",MV for DIS 1 GOT IT,2:02,"Mar 14, 2025",N/A,Music Video,Full,Unofficially Released,https://imgur.gg/f/iDwLCoX
MUSIC [V3],"EVIL J0RDAN [Music Video]
(feat. DJ Swamp Izzo) (prod. DJ Moon & Cardo)
(Ms. Jackson, Moving The Molly, Disrespect The 5)",Re-released on YouTube in HQ.,2:05,"Mar 16, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=VcRc2DHHhoM
MUSIC [V3],"H00DBYAIR [Music Video]
(Tundra)","A behind the scenes video was first posted by Carti on his @opium_00pium account on December 14, 2023. Later released the full MV on December 20, 2023.",3:32,"Dec 20, 2023",N/A,Music Video,Full,Unofficially Released,https://www.instagram.com/p/C1DqmxPIncy/
MUSIC [V3],"LIKE WEEZY [Visualizer] [V1]
(dir. louieknows)","Uncensored version posted by Carti on his @opium_00pium account on March 14, 2025. The MV is cropped to hide the original song's title ""Buddha Man""",1:57,"Mar 14, 2025",Dec 2023,Music Video,Full,Unofficially Released,https://imgur.gg/f/JpcxF21
MUSIC [V3],"LIKE WEEZY [Visualizer] [V3]
(dir. louieknows)","Previewed on Dec 25, 2023 with I AM MUSIC censors. Released by Carti officially on Mar 20, 2025. Features Destroy Lonely, Ken Carson and Carti's close friends in it.",1:57,"Mar 19, 2025",Dec 2023,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=C217vygclrk
MUSIC [V3],KETAMINE [Music Video],A single for I AM MUSIC.,1:53,"Mar 12, 2024",N/A,Music Video,Full,Unofficially Released,https://www.instagram.com/p/C4b5vOtAeze/
MUSIC [V3],"FINE SHIT [Music Video]
(dir. Azriel)",A music video for FINE SHIT.,1:47,"Apr 8, 2025",2025,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=uMZiaJ4speo
MUSIC [V3],"OPM BABI [MUSIC Video]
(prod. Clayco, opiumbaby & Streo)",Music video for OPM BABI released through Playboi Carti's Twitter. Linked is a YouTube reupload. Has one extra adlib.,3:05,"Mar 16, 2025",N/A,Music Video,Full,Unofficially Released,https://www.youtube.com/watch?v=UNAWyLCfhPo
MUSIC [V3],"EVIL J0RDAN [Music Video]
(feat. DJ Swamp Izzo) (prod. DJ Moon & Cardo)
(Ms. Jackson, Moving The Molly, Disrespect The 5)",Music Video for EVIL J0RDAN.,2:04,"Jan 15, 2024",N/A,Music Video,OG File,Unreleased,https://i.imgur.gg/DoiSXXa-EVILJ0RDAN.MP4
MUSIC [V3],"Latto - Blick Sum [Music Video]
(feat. Playboi Carti)
(dir. Hidji World and Gunner Stahl)",Music Video for Blick Sum.,3:12,"Jan 28, 2025","Jan ~, 2025",Music Video,OG File,Unreleased,https://imgur.gg/f/vpNPTSC
MUSIC [V3],"Camilla Cabello - I LUV IT [Music Video]
(dir. Nicolás Méndez)",A music video for a Camilla Cabello song with Playboi Carti,3:32,"Mar 27, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=rDG-6Ue_Qbw
MUSIC [V3],"The Weeknd - Popular [Music Video]
(with Maddonna & Playboi Carti)",MV for popular. It first premiered in Fortnite on Feb 16 and later was released on The Weeknd yt channel,3:51,"Feb 22, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=vt0i6nuqNEo
MUSIC [V3],"Travis Scott - FE!N [Music Video]
(feat. Playboi Carti & Sheck Wes) (prod. Travis Scott & Jahaan Sweet)",Official MV for FE!N by Travis Scott featuring Playboi Carti. Seperate from the Circus Maximus MV for FE!N.,3:30,"Mar 30, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=B9synWjqBn8
MUSIC [V3],"Latto - Blick Sum [Music Video]
(feat. Playboi Carti)
(dir. Hidji World and Gunner Stahl)","Video surfaced of Latto & Carti listening to his verse in a club. Snippet of the music video was posted by Latto on 1/27, and it released a day later.",3:12,"Jan 28, 2025","Jan ~, 2025",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=3oA8kt8685I
MUSIC [V3],"Future & Metro Boomin - Type Shit [Music Video] [V2]
(feat. Playboi Carti & Travis Scott)",A music video for Type Shit by Future and Metro Boomin featuring Carti and Travis. Ken Carson appears in the music video,3:49,"Mar 22, 2024","Feb 5, 2025",Music Video,Full,Officially Released,"https://www.youtube.com/watch?v=I0fgkcTbBoI 
https://imgur.gg/f/ESFA7Xf"
MUSIC [V3],"The Weeknd - Popular [Music Video]
(with Maddonna & Playboi Carti)",MV for popular. It first premiered in Fortnite on Feb 16 and later was released on The Weeknd yt channel,3:51,"Feb 22, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=vt0i6nuqNEo
MUSIC [V3],"The Weeknd - Timeless [Music Video] [V1]
(with Playboi Carti) (prod. Pharrel Williams, OjiVolta, Mike Dean)","OG Filename: weekend f carti - 1t.mp4
Has slight color differences and some different shots. It contains the 5th version of the song.",4:24,N/A,"Sep 16, 2024",Music Video,OG File,Unreleased,https://krakenfiles.com/view/ryQ7fQRpMq/file.html
MUSIC [V3],"The Weeknd - Timeless [Music Video]
(with Playboi Carti) (prod. Pharrel Williams, OjiVolta, Mike Dean)","A music video for TIMELESS has been confirmed to be shot on Sep 16, 2024, by supposed models featured in it.",3:!3,"Sep 30, 2024","Sep 16, 2024",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=5EpyN_6dqyk
MUSIC [V3],"Travis Scott - FE!N [Music Video]
(feat. Playboi Carti & Sheck Wes) (dir. Gabriel Moses)",Official MV for FE!N by Travis Scott featuring Playboi Carti. Seperate from the Circus Maximus MV for FE!N.,3:30,"Mar 30, 2024",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=B9synWjqBn8
MUSIC [V3],CRANK [Music Video],A possible upcoming MV,N/A,"Jan 24, 2024","Jan 24, 2024",Music Video,Recording,Unreleased,https://krakenfiles.com/view/AY5HCwE6X2/file.html
MUSIC [V3],🥉 KAREER KRIMINAL [Music Video],Snippets of the Music Video surfaced.,N/A,"Feb 22, 2024","Feb 22, 2024",Music Video,Recording,Unreleased,"https://krakenfiles.com/view/oAdOIe8xAS/file.html
https://krakenfiles.com/view/RZudsp5pnF/file.html"
MUSIC [V3],"LIKE WEEZY [Visualizer] [V2]
(dir. louieknows)","MV with ""I AM MUSIC"" censors without audio teased by Carti on December 25th, 2023. Unknown if any other changes were made.",N/A,"Dec 25, 2023",Dec 2023,Music Video,Snippet,Unreleased,https://imgur.gg/f/cwBgsNB
