Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s),Location,Director(s),In Circulation?
X,"Lowlife
(prod. Plu2o Nash)",Alternative music video for Lowlife.,,,Officially Released,,,https://www.youtube.com/watch?v=EuWLvnenAlo,,,Officially Released
Freewave,"Freewave 1
(prod. Big Shep)",Official music video for Freewave 1.,2:15,"Aug 14, 2015",Officially Released,,,https://www.youtube.com/watch?v=GmACevGaFpE,,Antoinne Bryant,Officially Released
Freewave,"Newer Me
(prod. Michael Akhari)",Official music video for Newer Me released alongside Freewave 4.,,"Sep 24, 2015",Officially Released,,,https://www.youtube.com/watch?v=ZtW3U7NKIlw,,Sam Kfare,Officially Released
Freewave,"Freewave 4
(prod. DJ Sawbuck)",Official music video for Freewave 4 released alongside Newer Me.,,"Sep 24, 2015",Officially Released,,,https://www.youtube.com/watch?v=ZtW3U7NKIlw,,Sam Kfare,Officially Released
Freewave,"Lucki Eck$ Freewave 7
(prod. K SWISHA)",Official music video for Freewave 7.,2:17,"Oct 13, 2015",Officially Released,,,https://www.youtube.com/watch?v=Yrpc4w38diU,,BryanZawlocki,Officially Released
Freewave,"Freewave 8
(prod. K SWISHA)",Official music video for Freewave 8.,2:29,"Oct 22, 2015",Officially Released,,,https://www.youtube.com/watch?v=IRxFcaHDjJc,,Antoinne Bryant,Officially Released
SON OF SAM,"DOUBLE CHECK
(prod. Kenny Beats)",Official music video for Double Check.,2:34,"Aug 17, 2022",Officially Released,,,https://www.youtube.com/watch?v=AL1O1aZejKk,,BryanZawlocki,Officially Released
Freewave 2,"Medicine
(prod. Plu2o Nash)",Official music video for Medicine.,1:59,"Apr 17, 2016",Officially Released,,,https://www.youtube.com/watch?v=RuJwuuIUovg,,Antoinne Bryant,Officially Released
Freewave 2,"Bloody Freestyle 
(prod. DJ YoungKash)",Official music video for Bloody Freestyle.,2:15,"Oct 22, 2016",Officially Released,,,https://www.youtube.com/watch?v=-0WGUbVZukE,,Sam Kfare,Officially Released
Watch My Back,"Leave With You
(prod. Clams Casino & Plu2o Nash)",Official music video for Leave With You.,2:23,"Jan 6, 2017",Officially Released,,,https://www.youtube.com/watch?v=XHYkwuLUpl4,,LONEWOLF,Officially Released
Watch My Back,"Options
(prod. F1LTHY)",Official music video for Options.,2:04,"Feb 22, 2017",Officially Released,,,https://www.youtube.com/watch?v=ipbNaut9Sz8,,LONEWOLF,Officially Released
Watch My Back,"No Wok
(prod. Mayhem Meech & Plu2o Nash)",Official music video for No Wok.,1:16,"Mar 26, 2017",Officially Released,,,https://www.youtube.com/watch?v=WdVvuetyHCM,,Jake Osmun,Officially Released
Watch My Back,"Don't You Love Me
(prod. Cortdot)",Official music video for Don't You Love Me.,1:29,"May 4, 2017",Officially Released,,,https://www.youtube.com/watch?v=G_jnDpjKdiE,,Jake Osmun,Officially Released
DAYS B4 II EP,"Incoming
(prod. StoopidXool)",Official Music video for Incoming.,2:24,"Nov 24, 2017",Officially Released,,,https://www.youtube.com/watch?v=Stb5z3dHYRM,,LONEWOLF,Officially Released
DAYS B4 II EP,"4everybody
(prod. Marcusbasquiat)",Official Music video for 4everybody.,1:37,"Mar 13, 2018",Officially Released,,,https://www.youtube.com/watch?v=foEdP58pd6E,,LONEWOLF,Officially Released
DAYS B4 II EP,"Root of All
(prod. Marcusbasquiat)",Official Music video for Root of All.,2:21,"Apr 12, 2018",Officially Released,,,https://www.youtube.com/watch?v=6KsS4eST0Po,,Jake Osmun,Officially Released
DAYS B4 II EP,"Switchlanes
(prod. Wiardon)",Official Music video for Switchlanes,2:24,"May 8, 2018",Officially Released,,,https://www.youtube.com/watch?v=Y-66OdLOxyk,,LONEWOLF,Officially Released
DAYS B4 II EP,"Fools Gold
(prod. 100BandXan)",Official Music video for Fools Gold.,2:06,"Feb 26, 2019",Officially Released,,,https://www.youtube.com/watch?v=_EdgI7OvE3k,,Believe,Officially Released
Freewave 3,"Politics
(prod. DopamineFiend)",Official Music video for Politics.,1:45,"Feb 15, 2019",Officially Released,,,https://www.youtube.com/watch?v=P8LSH29FIeg,,LONEWOLF,Officially Released
Freewave 3,"More Than Ever
(prod. CHASETHEMONEY)",Official Music video for More Than Ever.,2:40,"Mar 12, 2019",Officially Released,,,https://www.youtube.com/watch?v=7-QK_1oHoiQ,,Jake Osmun,Officially Released
Freewave 3,"Believe the Hype
(prod. Art Gallery)",Official Music video for Believe The Hype.,2:26,"May 2, 2019",Officially Released,,,https://www.youtube.com/watch?v=rz_ZENYmwOw,,Toinne_,Officially Released
Freewave 3,"Glory Boy
(prod. LOTTO)",Official Music video for Glory Boy.,1:43,"Jul 14, 2019",Officially Released,,,https://www.youtube.com/watch?v=1bwBfdFuFAQ,,LONEWOLF,Officially Released
Days B4 III,"Nascar Dashcar
(prod. DJ Eway)",Official Music video for Nascar Dashcar.,2:23,"Oct 2, 2019",Officially Released,,,https://www.youtube.com/watch?v=q5Sf2xz9cIk,,Jake Osmun,Officially Released
Days B4 III,"Hush Skit
(prod. Condo)",Official Music video for Hush Skit.,1:47,"Oct 24, 2019",Officially Released,,,https://www.youtube.com/watch?v=Ic0_H1vCxDQ,,Jake Osmun,Officially Released
Days B4 III,"4 The Betta
(prod. DJ Eway)",Official Music video for 4 The Betta.,2:07,"Oct 31, 2019",Officially Released,,,https://www.youtube.com/watch?v=7vyGnES3KlY,,LONEWOLF,Officially Released
Almost There,"Role Play
(prod. Kid Hazel & Plu2o Nash)",Official Music video for Roleplay,2:05,"Mar 19, 2020",Officially Released,,,https://www.youtube.com/watch?v=iw0adzal5wk,,Walker Flocker,Officially Released
Almost There,"Faith
(prod. Yung Icey)",Official Music video for Faith,2:01,"Apr 27, 2020",Officially Released,,,https://www.youtube.com/watch?v=z1KmSYeHc6I,,LONEWOLF,Officially Released
Almost There,"Prada Tune
(prod. StoopidXool)",Official Music video for Prada Tune,2:09,"Jun 22, 2020",Officially Released,,,https://www.youtube.com/watch?v=HTC1KiBLPBU,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V1],"Chosen One
(prod. Wavywess, Okami, & BrentRambo)",Official Music video for Chosen One,2:12,"Dec 15, 2020",Officially Released,,,https://www.youtube.com/watch?v=Yb65r7mJqLw,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V1],"Widebody
(prod. BrentRambo)",Official Music video for Widebody,2:08,"Jan 6, 2021",Officially Released,,,https://www.youtube.com/watch?v=wqEpXyEtrjI,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V1],"Greed
(feat. Lil Yachty) (prod. Sheila's Son & Cardo)",Official Music video for Greed,1:56,"Feb 12, 2021",Officially Released,,,https://www.youtube.com/watch?v=IrDij7YoMWs,,,Officially Released
WAKE UP LUCKI,"LifestyleBrazy
(prod. Andrew Kiessling & BrentRambo)",Official Music video for LifestyleBrazy,2:09,"Apr 16, 2021",Officially Released,,,https://www.youtube.com/watch?v=GJc2JR3xyvE,,LONEWOLF,Officially Released
WAKE UP LUCKI,"No Joke
(prod. Adio & Plu2o Nash)",Official Music video for No Joke,1:49,"Apr 28, 2021",Officially Released,,,https://www.youtube.com/watch?v=xBSxvaLbc5g,,Wonton,Officially Released
WAKE UP LUCKI,"New Drank
(prod. flansie)
(All Of Me)",Official Music video for New Drank,1:42,"Oct 12, 2021",Officially Released,,,https://www.youtube.com/watch?v=vXvqB2AiAio,,LONEWOLF,Officially Released
WAKE UP LUCKI,"4Ever Eva
(prod. Zaytoven)
(4Ever Ever Freestyle)",Official Music video for 4Ever Eva,3:37,"Nov 9, 2021",Officially Released,,,https://www.youtube.com/watch?v=S_ogJtUctgs,,Walker Flocker,Officially Released
WAKE UP LUCKI,"NEPTUNE V.S INDUSTRY
(prod. ShaunGoBrazy, ProdByAlien, & F1LTHY)",Official Music video for NEPTUNE V.S INDUSTRY,2:01,"Nov 19, 2021",Officially Released,,,https://www.youtube.com/watch?v=S_ogJtUctgs,,LONEWOLF,Officially Released
WAKE UP LUCKI,"U.G.K
(prod. ShaunGoBrazy & F1LTHY)",Official Music video for U.G.K,2:29,"Dec 6, 2021",Officially Released,,,https://www.youtube.com/watch?v=wqHrFNJ_VaA,,LONEWOLF,Officially Released
WAKE UP LUCKI,"2019
(prod. ShaunGoBrazy & F1LTHY)",Official Music video for 2019,2:20,"Dec 20, 2021",Officially Released,,,https://www.youtube.com/watch?v=HWNWQ9iZmh4,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V2],"Super Urus
(prod. flansie)
(Lamb Truck, Lambtruck)",Official Music video for Super Urus,2:28,"Feb 18, 2022",Officially Released,,,https://www.youtube.com/watch?v=fIrSkilUvHw,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V2],"MEET ME THERE
(prod. Chello Beats, Akachi, & BrentRambo)
(I'm In Space)",Official Music video for MEET ME THERE,2:20,"Apr 1, 2022",Officially Released,,,https://www.youtube.com/watch?v=fIrSkilUvHw,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V2],"GOOD MEMORIES
(prod. Fallwood & Samsson)
(Run It Up)",Official Music video for GOOD MEMORIES,2:03,"May 23, 2022",Officially Released,,,https://www.youtube.com/watch?v=1CLW1KcGW-E,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V2],"Y NOT?
(prod. Bhristo)",Official Music video for Y NOT?,2:30,"Jun 14, 2022",Officially Released,,,https://www.youtube.com/watch?v=ugou23mYCmE,,Walker Andrews,Officially Released
FLAWLESS LIKE ME [V2],"COINCIDENCE
(prod. Samsson & flansie)
(Artery, In The Hood)",Official Music video for COINCIDENCE,2:06,"Aug 19, 2022",Officially Released,,,https://www.youtube.com/watch?v=AzXH0bOSiHI,,Cole Bennett,Officially Released
FLAWLESS LIKE ME [V2],"13
(prod. BrentRambo & Andrew Kiessling)
(Old Harden)",Official Music video for 13,2:38,"Oct 11, 2022",Officially Released,,,https://www.youtube.com/watch?v=Yq_qdfajtNI,,Walker Flocker,Officially Released
FLAWLESS LIKE ME [V2],"LIFE MOCKS ART
(prod. Yung Icey)",Official Music video for LIFE MOCKS ART,2:43,"Nov 2, 2022",Officially Released,,,https://www.youtube.com/watch?v=HElG0vrHb7I,,Lestyn Park,Officially Released
FLAWLESS LIKE ME [V2],"GOODFELLAS
(prod. Cash Cobain)",Official Music video for GOODFELLAS,2:22,"Nov 8, 2022",Officially Released,,,https://www.youtube.com/watch?v=6uuL43i-JQY,,LONEWOLF,Officially Released
FLAWLESS LIKE ME [V2],"MADE MY DAY
(prod. Bhristo, CGM Beats, & Maxvon)
(Saw U 2Day)",Unreleased music video for MADE MY DAY,2:06,"Feb 23, 2025",Full,,,,,,CD Quality
s*x m*ney dr*gs,"Talibando - Millions
(feat. Veeze & Lucki) (prod. M.O.B. Waddup)",Official Music video for Millions,3:12,"Mar 30, 2023",Officially Released,,,https://www.youtube.com/watch?v=l4QpYpKqKoo,,,Officially Released
s*x m*ney dr*gs,"DaeMoney - Who Is That?
(w/ LUCKI & Money Musik) (feat. Babyface Ray & Veeze) (prod. Money Musik)",Official Music video for Who Is That?,2:49,"May 3, 2023",Officially Released,,,https://www.youtube.com/watch?v=JSWg7WlVzjI,,,Officially Released
s*x m*ney dr*gs,"NO BAP
(prod. Bhristo)",Official Music video for NO BAP,2:22,"May 30, 2023",Officially Released,,,https://www.youtube.com/watch?v=jbrarMb6fpw,,LONEWOLF,Officially Released
s*x m*ney dr*gs,"Mubu
(prod. Bhristo, ThankYouWill, niketaz, & Kavi)
(Telegram, Man Up)",Official Music video for Mubu,2:42,"Jul 10, 2023",Officially Released,,,https://www.youtube.com/watch?v=QodLIb2ZKxo,,LONEWOLF,Officially Released
s*x m*ney dr*gs,"Gemini Love
(prod. Bhristo, Jdolla, & Maxvon)
(Broad Day)",Official Music video for Gemini Love,2:52,"Aug 28, 2023",Officially Released,,,https://www.youtube.com/watch?v=Vg0JgB2sN98,,,Officially Released
s*x m*ney dr*gs,"2021 Vibes
(prod. Cash Cobain)
(Easy)",Official Music video for 2021 Vibes,2:12,"Jan 5, 2024",Officially Released,,,https://www.youtube.com/watch?v=S3RSq6J8uzQ,,LONEWOLF,Officially Released
GEMINI!,"PAIDNFULL
(prod. Mac Fly & Paul Williams)
(Rich Off Pain, Kept It Plain)",Official Music video for PAIDNFULL alongside COLORFUL DRUGS,4:03,"Jan 22, 2024",Officially Released,,,https://www.youtube.com/watch?v=sKu8Zg7Hplc,,Walker Andrews,Officially Released
GEMINI!,"COLORFUL DRUGS
(prod. Bhristo, BrentRambo, Synthetic, & Rio Leyva)
(Colorful Drugz)",Official Music video for COLORFUL DRUGS alongside PAIDNFULL,4:03,"Jan 22, 2024",Officially Released,,,https://www.youtube.com/watch?v=sKu8Zg7Hplc,,Walker Andrews,Officially Released
GEMINI!,"All Love
(prod. BrentRambo & kloudbwwoy)
(To Work)",Official Music video for All Love,2:29,"Mar 22, 2024",Officially Released,,,https://www.youtube.com/watch?v=_eaHtgNNPKA,,Cole Bennett,Officially Released
GEMINI!,"Gerskiway
(feat. Rylo Rodrigues & Veeze) (prod. Yung Icey)",Official Music video for Gerskiway,2:27,"Jun 14, 2024",Officially Released,,,https://www.youtube.com/watch?v=yK96Yl2AYgc,,Lestyn Park,Officially Released
GEMINI!,"Heavy On My Heart
(prod. COUPE)",Official Music video for Heavy On My Heart,2:53,"Jun 18, 2024",Officially Released,,,https://www.youtube.com/watch?v=IgBLFQBCCuU,,JMP,Officially Released
GEMINI!,"SIGNED UP
(prod. Yung Icey)
(Whatever It Is)",Official Music video for SIGNED UP,2:08,"Jun 14, 2024",Officially Released,,,https://www.youtube.com/watch?v=YTZ7Nakfx_g,,Lestyn Park,Officially Released
GEMINI!,"X6
(prod. Tye Beats & ky.roseland)",Official Music video for X6,2:27,"Jun 14, 2024",Officially Released,,,https://www.youtube.com/watch?v=KKAYk5TG09s,,Lestyn Park,Officially Released
GEMINI!,"KYLIE!!!
(prod. Bhristo, BrentRambo, Bobby Raps, Mayday & AR)
(Told Her I Miss Her)",Official Music video for KYLIE!!! alongside EXOTIC,4:32,"Oct 11, 2024",Officially Released,,,https://www.youtube.com/watch?v=OQ5EPVjRYAQ,,JMP,Officially Released
GEMINI!,"KYLIE!!!
(prod. Bhristo, BrentRambo, Bobby Raps, Mayday & AR)
(Told Her I Miss Her)",Official Music video for KYLIE!!! alongside EXOTIC,4:32,"Oct 11, 2024",Officially Released,,,https://www.youtube.com/watch?v=OQ5EPVjRYAQ,,JMP,Officially Released
GEMINI!,"EXOTIC
(prod. Bhristo & Kavi)",Official Music video for EXOTIC alongside KYLIE!!!,4:32,"Oct 11, 2024",Officially Released,,,https://www.youtube.com/watch?v=OQ5EPVjRYAQ,,JMP,Officially Released
dr*gs r bad [V1],"Bad InFluence Freestyle
(prod. Hurt-M-Badd, 2Pac, Mannie Fresh, Taurus, Rocaine, Koncept P & 808 Jayy)
(Against All Odds, Represent, Oath)",Official Music video for Bad InFluence Freestyle,5:44,"Mar 3, 2025",Officially Released,,,https://www.youtube.com/watch?v=6fE-pmQG0Ks,,LONEWOLF,Officially Released
dr*gs r bad [V1],"OverTh!nking
(prod. BrentRambo & Tunjijuju)
(Deeper The Thought, Overthinking)",Official Music video for OverTh!nking,1:56,"Mar 13, 2025",Officially Released,,,https://www.youtube.com/watch?v=Ed3_NqN7pls,,LONEWOLF,Officially Released
dr*gs r bad [V1],"Free Mr. Banks
(prod. BrentRambo)
(JFG)",Official Music video for Free Mr. Banks,2:04,"Apr 4, 2025",Officially Released,,,https://www.youtube.com/watch?v=yoKU-adT3kg,,LONEWOLF,Officially Released
dr*gs r bad [V1],"Chuckyy - Hotseat
(with LUCKI) (prod. arthur bean & Bhristo)
(Do You Bad)",Official Music video for Hotseat,3:02,"May 12, 2025",Officially Released,,,https://www.youtube.com/watch?v=GmmU95R74b8,,Bugg,Officially Released
dr*gs r bad [V1],"Diamond Stitching
(prod. Mac Fly)
(Bad Dreams, Better Now, Diamond Stitching, Orange Leather Seats)",Official Music video for Diamond Stitching,2:30,"May 30, 2025",Officially Released,,,https://www.youtube.com/watch?v=rgCbZFPnx80,,LONEWOLF,Officially Released
Dr*gs R Bad [V2],"Babyface Ray - Standing on Business
(with LUCKI) (prod. LulRose & Canessauce)",Official Music video for Standing on Business,3:49,"Aug 15, 2025",Officially Released,,,https://www.youtube.com/watch?v=xt74rwLdeyg,,Lestyn Park,Officially Released
Dr*gs R Bad [V2],"I Don't Care...
(with Lil Yachty) (prod. SG1, Childboy & Kyuro)",Official Music video for I Don't Care...,3:35,"Aug 22, 2025",Officially Released,,,https://www.youtube.com/watch?v=x9pVY4rBv8Q,,LONEWOLF,Officially Released
Dr*gs R Bad [V2],"Not So Virgo Of You
(prod. Bhristo, BrentRambo & Car!ton)",Official Music video for Not So Virgo Of You,4:08,"Sep 30, 2025",Officially Released,,,https://www.youtube.com/watch?v=RhPABrBoek8,,LONEWOLF,Officially Released
