Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Wu-Tang Forever,"Hellz Wind Staff
(prod. RZA)",Leaked.,,,,,Yes,,
Wu-Tang Forever,"Heaterz
(prod. True Master)",Leaked. Is a rip from the vinyl.,,,,,Yes,,
Wu-Tang Forever,"Secret Rivals [V1]
(prod. Mathematics)","Released by Mathematics as ""Soul 3"" on his Soul Of A Man album.",,,,,Yes,,
,INSTRUMENTALS,,,,,,9.5 / 14,,
The W,"Intro (Shaolin Finger Jab) / Chamber Music
(prod. RZA)",Shaolin Finger Jab instrumental was leaked. Chamber Music is yet to be made available.,,,,,Yes,,
The W,"Careful (Click, Click)
(prod. RZA)",Released on the single.,,,,90.4,Yes,,
The W,"Hollow Bones
(prod. RZA)","Released on the One Blood / Hollow Bones promo vinyl.
However I can't find any rip online.",,,,,No,,
The W,"One Blood Under W
(prod. RZA)",Released on the One Blood promo CD.,,,,,Yes,,
The W,"Conditioner
(prod. RZA)","Released on the Do You Really (Thang, Thang) / Conditioner promo vinyl. However I can't find any rip online.",,,,,No,,
The W,"Protect Ya Neck (The Jump Off)
(prod. RZA)",Released on the single.,,,,,Yes,,
The W,"I Can't Go To Sleep
(prod. RZA)",Released on the single.,,,,,Yes,,
The W,"Do You Really (Thang, Thang)
(prod. Mathematics)","Released on the Do You Really (Thang, Thang) / Conditioner promo vinyl. However I can't find any rip online.",,,,,No,,
The W,"Gravel Pit
(prod. RZA)",Released on the single.,,,,,Yes,,
Iron Flag,"In The Hood
(prod. RZA)",Released on the In The Hood / Rules promo vinyl.,,,,,Yes,,
Iron Flag,"Rules
(prod. Mathematics)",Released on the In The Hood / Rules promo vinyl.,,,,,Yes,,
Iron Flag,"Uzi (Pinky Ring)
(prod. RZA)",Released on the Uzi (Pinky Ring) / Y'all Been Warned promo vinyl.,,,,,Yes,,
Iron Flag,"Y'all Been Warned
(prod. True Master)",Released on the Uzi (Pinky Ring) / Y'all Been Warned promo vinyl.,,,,,Yes,,
Iron Flag,"Back In The Game
(prod. Trackmasters)",Released on the Back In The Game promo vinyl and CDs.,,,,,Yes,,
8 Diagrams,"Take It Back
(prod. Easy Mo Bee, RZA)",Released on the B-Side of The Heart Gently Weeps promos.,,,,,Yes,,
8 Diagrams,"The Heart Gently Weeps
(prod. RZA, George Drakouilas)",Released on the The Heart Gently Weeps promos.,,,,,Yes,,
A Better Tomorrow,"Ruckus In B Minor [V1]
(prod. RZA, Rick Rubin)",Shorter version of the instrumental.,,,3:57,,Yes,,
A Better Tomorrow,"Ruckus In B Minor [V2]
(prod. RZA, Rick Rubin)","Released on the Vinyl of the album.
Unfortunately the rip we have is not the best.",,,4:57,,Yes,,
A Better Tomorrow,"Mistaken Identity
(prod. RZA)","Released on the Vinyl of the album.
Unfortunately the rip we have is not the best.",,,5:45,,Yes,,
A Better Tomorrow,"Keep Watch
(prod. Mathematics)","Released on the Vinyl of the album.
Unfortunately the rip we have is not the best.",,,,,Yes,,
A Better Tomorrow,"Miracle
(prod. 4th Disciple, RZA)","Released on the Vinyl of the album.
Unfortunately the rip we have is not the best.",,,5:02,,Yes,,
A Better Tomorrow,"Ron O'Neal
(prod. RZA)","Released on the Vinyl of the album.
Unfortunately the rip we have is not the best.",,,4:25,,Yes,,
A Better Tomorrow,"Never Let Go
(prod. RZA)","Released on the Vinyl of the album.
Unfortunately the rip we have is not the best.",,,4:40,,Yes,,
,INSTRUMENTALS,,,,,,ALL (excl. Skits),,
The Saga Continues,"Wu-Tang: The Saga Continues (Intro)
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Lesson Learn'd 
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Fast and Furious
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Famous Fighters (Skit)
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"If Time Is Money (Fly Navigation)
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Frozen
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Pearl Harbor
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"People Say
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Why Why Why
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"G'd Up
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"If What You Say Is True
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"Hood Go Bang!
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
The Saga Continues,"My Only One
(prod. Mathematics)","Released with the limited box set of The Saga Continues.
Couldn't find any rip.",,,,,No,,
,INSTRUMENTALS,,,,,,ALL,,
"Black Samson, The Bastard Swordsman","Sucker Free City
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Mandingo
(prod. Mathematics, RZA)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Roar of The Lion (The Lion's Pit)
(prod. Mathematics, RZA)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Claudine
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Shaolin vs. Lama
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Executioners From Shaolin
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Cleopatra Jones
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Warriors Two, Cooley High
(prod. Mathematics, Wize Beatz)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Let's Do It Again
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Dolemite
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Trouble Man (Outro)
(prod. Mathematics, Shroom)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Charleston Blue, Legend Of A Fighter
(prod. Mathematics, Wu-10)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Sinners (Mo' Better Blues)
(prod. Mathematics)",Released on the official instrumental album and the Deluxe.,,,,,Yes,,
"Black Samson, The Bastard Swordsman","Warriors Two, Cooley High
(perf. Method Man) (feat. Benny The Butcher)","Released through a collaboration with SoundCloud, intended for an open verse challenge.",,,,,Yes,,
,INSTRUMENTALS,,,,,,12 / 13,,Missing B.I.B.L.E.
Liquid Swords,"Liquid Swords
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Duel Of The Iron Mic
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Living In The World Today
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Gold
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Cold World
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Labels
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"4th Chamber
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Shadowboxin'
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Hell's Wind Staff / Killa Hills 10304
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Investigative Reports
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"Swordsman
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"I Gotcha Back
(prod. RZA)","Released on the 2013 box set of Liquid Swords.
Previously leaked through bootlegs.",,,,,Yes,,
Liquid Swords,"B.I.B.L.E.
(prod. RZA)
(Basic Instructions Before Leaving Earth)",The only instrumental missing.,,,,,No,,
,INSTRUMENTALS,,,,,,17 / 18,,
Return To The 36 Chambers,"Shimmy Shimmy Ya
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Baby C'mon
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Brooklyn Zoo
(prod. RZA, True Master)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Hippa To Da Hoppa
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Raw Hide
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Damage
(prod. RZA, 4th Disciple)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Don't U Know
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"The Stomp
(prod. Ol' Dirty Bastard, RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Goin' Down
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Drunk Game (Sweet Sugar Pie)
(prod. Ol' Dirty Bastard, Ethan Ryman)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Snakes
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Brooklyn Zoo II (Tiger Crane)
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Proteck Ya Neck II The Zoo
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Dirty Dancin'
(prod. RZA)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Return To The 36 Chambers,"Harlem World
(prod. Big Dore)",Released on the 25th Anniversary. Is remastered.,,,,,Yes,,
Nigga Please,"Got Your Money
(prod. The Neptunes)",Released on the single.,,,,,Yes,,
Trials and Tribulations,"Dirty & Stinkin' [V2]
(prod. One Eye)",Released on the single.,,,,,Yes,,
,INSTRUMENTALS,,,,,,4 (5) / 18,,
Osirus,"Pop Shots [V1]
(prod. DJ Premier)",Released on the single.,,,,,Yes,,
Osirus,"Dirty, Dirty
(prod. Mark Ronson)",Released on the single.,,,,,Yes,,
Osirus,"High In The Clouds
(prod. K-Def)","Released on the Dirty, Dirty single.
Don't ask me why it wasn't put on it's own single.",,,,,No,,
Osirus,"Dirty Run
(prod. Ill Will Fulton)",Released on the High In The Clouds promo single.,,,,,Yes,,
Osirus,"Pop Shots [Clinton Sparks Remix]
(prod. Clinton Sparks)",Released on the Pop Shots single.,,,,,Yes,,
A Son Unique,"Pop Shots [V2]
(prod. DJ Premier)","Released on the Operator / Pop Shots promo vinyl.
Unfortunately I can't find a rip.",,,,,No,,
A Son Unique,"Operator
(prod. The Neptunes)","Released on the Operator / Pop Shots promo vinyl.
Unfortunately I can't find a rip.",,,,,No,,
A Son Unique,"ODB, Don't Go Breaking My Heart
(prod. Damon Elliott)",Released on the single.,,,,,Yes,,
A Son Unique,"Intoxicated
(prod. RZA)",Released on the single.,,,,,Yes,,
