Era,"Name
All content from this tracker is sourced from existing sources online, collected for the purpose of being showcased in one location, all rights are reserved with the original artists.","Notes
(Join the Wu-Tang Discord)",Length,Date,Type,Portion,Quality,Link(s)
A Better Tomorrow,,,,,,,,
A Better Tomorrow,,,,,,,,
A Better Tomorrow,,,,,,,,
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",,"2007 - 2015
(Shaolin)
🟠 = The actual tracks to avoid confusion",,,,"The seventh Wu-Tang album. A whole different approach—recorded in secret with only one physical copy ever made, at least that was the original thought. It is expected there are about 5000 bootlegs of the album out there. Produced by Cilvaringz, it’s darker and more introspective, with a unique mix of experimental sounds. He blends old-school Wu with something more cinematic and atmospheric. The whole thing became a cultural artifact, especially after the wild story of Shkreli owning it and nearly destroying it. This album is probably the biggest grail in unreleased hip-hop music history.
IT'S FOUND, GO HELP DECRYPTING.",,
,Other,,,,,,,
Once Upon A Time In Shaolin,Cilvaringz Beat Session,Cilvaringz played beats that ended up being used for Once Upon A Time In Shaolin back in [YEAR].,,,Other,Full,Recording,
Once Upon A Time In Shaolin,"Once Upon A Time In Shaolin [Sampler]
(Staple Town – Part I, Stone Him!, Swords Stained With Royal Blood, Hail, Snow & Earthquakes [Rainy Dayz II], Flowers Blossoming, Stone Finger)","PleasrDAO has put out a sampler for 1$ on the website ""thealbum.com"". They also began selling partial ownership of the album as an NFT, with each purchase accelerating the release by 88 seconds.",5:03,2024,Other,Full,CD Quality,
Once Upon A Time In Shaolin,"Tasmanian Chamber Mix
(MONA Listening Party)","The 36 minute mix of the album which was played at MONA, a museum in Australia. It was playen on a Wu-Tang-branded PS1, having a Wu-Tang ""W"" on the disc reader. The mix was edited in the spirit of the Wu-Tang Forever Sampler Tape. The last song played was most likely Stone Finger, info given by an insider. Clivaringz probably arranged this mix, but it's unconfirmed.",~36:00,"Jun 15, 2024",Other,Confirmed,Not Available,
,Loose,,,,,,,
Once Upon A Time In Shaolin,"The Killa B-Ching [Tracklist, V1]
(I)","An early tracklist to Cilvaringz' album ""I"". Has a striking resemblance to the OUATIS tracklist, although Cilvaringz confirmed that these were just song title ideas and it's not related to OUATIS.

Shaolin School

1. Poison Ring Chamber (Intro)
2. Valentine Day Massacre (feat. U-God, Holocaust, Shabazz the Disciple & 12 O'Clock)
3. Razasharp
4. Ninja Starz (feat. RZA & Barrakjudah)
5. Tongue Fu / Dartmageddon
6. When All Hell Brakes Loose
7. Throw Your Sword Up (feat. Killarmy)

Allah School

8. Gold Bell Cover
9. Man Woman & Child
10. The Method (Interlude) (feat. Method Man)
11. Family
12. Hail Snow & Earthquakes
13. Poison Ring Chamber (Outro)
14. Nagin (Bonus Track)",,,,Confirmed,Not Available,https://web.archive.org/web/19991003232013/http://194.22.151.181/wu-fam/
"(RZA, GZA, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",,2023 - 2025,,,,"The ninth–and final Wu-Tang album (so they say). It was initially released on vinyl with a limited 5,000 copies available. The album is the first Wu-Tang project since Once Upon a Time in Shaolin to feature all nine living members. The album features a lot of recycled verses, with some being more than a decade old.",,
,Videos,,,,,,,
"Black Samson, The Bastard Swordsman",Claudine [Music Video],Official music video of Claudine.,,,,Full,CD Quality,
"Black Samson, The Bastard Swordsman",Mandingo [Music Video],"Official music video of Mandingo.
A.I.-Generated.",,,,Full,Lossless,
"Black Samson, The Bastard Swordsman","Warriors Two, Cooley High [Music Video]","Official music video of Warriors Two, Cooley High.
A.I.-Generated.",,,,Full,Lossless,
"Black Samson, The Bastard Swordsman","Warriors Two, Cooley High / Roar of the Lion [Music Video]","Official music video of Warriors Two, Cooley High and Roar of the Lion (The Lion's Pit).",,,,Full,CD Quality,
"Special thank you to everybody for supporting the Tracker, we wouldn't be doing this without you.",,,,,,,,
,"You'll Never Know [Music Video]
(feat. Cilvaringz)",Video was never released due to being illegally filmed inside of a piramid. Sneak peak of the video was posted years later by Cilvaringz on his Instagram.,,,,Confirmed,Not Available,
