Era,Name,"Notes
(Join the Wu-Tang Discord)",Designer,Art Type,Image,Project Type,Use,Link(s)
The W,The W,One of the shots for the back cover that wasn't used. Shot on a different location. The photo shown is a fan art cover by Hidden Chamber for a compilation of them.,Unknown,Digital,,Back Cover,Unused,
Iron Flag,Iron Flag,Front cover for vinyl releases of the album.,Unknown,Digital,,Front Cover,Used,
Iron Flag,Iron Flag,Back cover for vinyl releases.,Unknown,Scan,,Back Cover,Used,
Iron Flag,Iron Flag,Alternate take for the front cover. Photo taken seconds before or after the actual cover was shot.,Unknown,Digital,,Front Cover,Unused,
Iron Flag,Iron Flag,Alternate take for the front cover. Photo taken seconds before or after the actual cover was shot.,Unknown,Digital,,Front Cover,Unused,
Iron Flag,Iron Flag,Alternate take for the back cover. Insanely low quality. Posted by RZA on Facebook.,Unknown,Digital,,Back Cover,Unused,
Iron Flag,Iron Flag,Alternate take for the back cover. Posted by Masta Killa on Facebook.,Unknown,Digital,,Back Cover,Unused,
8 Diagrams,8 Diagrams,"Main cover for ""8 Diagrams"" that is used on streaming services and some physical copies.",Unknown,Digital,,Front Cover,Used,
8 Diagrams,8 Diagrams,Alternate cover.,Unknown,Scan,,Front Cover,Used,
8 Diagrams,8 Diagrams,Cover for limited edition releases.,Unknown,Scan,,Front Cover,Used,
8 Diagrams,8 Diagrams,"Back cover for ""8 Diagrams"".",Unknown,Scan,,Back Cover,Used,
A Better Tomorrow,A Better Tomorrow,Cover for A Better Tomorrow.,Caleb Kuhl,Scan,,Front Cover,Used,
A Better Tomorrow,A Better Tomorrow,Back cover for A Better Tomorrow.,Caleb Kuhl,Scan,,Back Cover,Used,
A Better Tomorrow,Family Reunion,Cover for the Family Reunion promotional single. Later renamed to Wu-Tang Reunion on the album.,Unknown,Digital,,Front Cover,Used,
A Better Tomorrow,Keep Watch,Cover for the Keep Watch single.,Unknown,Digital,,Front Cover,Used,
A Better Tomorrow,Ron O'Neal,Cover for the Ron O'Neal single.,Unknown,Digital,,Front Cover,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"Main cover for the album. First posted by Cilvaringz on his Instagram in 2017, later also being teased again by Pleasr in the 15 second promotional video. Danny Hastings was apparently an inspiration for this cover.",Unknown,Digital,,Front Cover,Used,https://x.com/PleasrDAO/status/1781397236926033931
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"First alternate cover, first leaked by Pleasr on X in a 15 second promotional video for them buying the album. Very likely shot in front of a church, because of the crosses in the background.",Unknown,Digital,,Alternative Cover,Used,https://x.com/PleasrDAO/status/1781397236926033931
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"Second alternate cover, first leaked by Pleasr on X in a 15 seconds promotional video for them buying the album. Cilvaringz is probably the one with the mask that has the eyes cut out.",Unknown,Digital,,Alternative Cover,Used,https://x.com/PleasrDAO/status/1781397236926033931
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"The case for the case for the case of the CD case. Made out of cedarwood and covered in black cow leather with light beige velvet lining. 

How many fucking cases does thing thing need?",Yahya Rouach,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The case for the case of the CD case. Made of silver and nickel.,Yahya Rouach,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The case for the CD case. Made of silver and nickel.,Yahya Rouach,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The CD case. Made of silver and nickel., Yahya Rouach,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The inside of the CD case., Yahya Rouach,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,Earlier version of the CD print for Shaolin School (Disc 1).,Unknown,Digital,,Other,Unused,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The CD print for Shaolin School (Disc 1).,Unknown,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The CD print for Allah School (Disc 2).,Unknown,Photo,,Physical Packaging,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"The credit page in the booklet for ""Enter"".",Unknown,Unknown,,Booklet,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"The credit page in the booklet for ""The Magnificent Butchers"" and ""Staple Town - Part I"".",Unknown,Unknown,,Booklet,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"Etiher the credit page or a promotional cover for ""Stone Finger"". Posted on November 13, 2013 by Cilvaringz on Instagram during the rollout for the album. ",Unknown,Photo,,Promo Art,Unknown,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,A 175-page leather-bound lyric book.,Unknown,Photo,,Other,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,A gold-leafed certificate of authenticity that comes with the album.,Unknown,Photo,,Other,Used,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,The redacted bill of sale for Once Upon A Time In Shaolin (for PleasrDAO). Why do we have this?,Department of Justice,Digital,,Other,Alternate,
Once Upon A Time In Shaolin,Once Upon A Time In Shaolin,"Promotional cover. Found in the 15 second promotional video by Pleasr. Uses the same font as ""Enter The Wu-Tang: 36 Chambers"", to further establish the idea of bringing back the old Wu-Tang style.",Unknown,Digital,,Promo Art,Used,https://x.com/PleasrDAO/status/1781397236926033931
The Saga Continues,The Saga Continues,The official cover for The Saga Continues.,Unknown,Scan,,Front Cover,Used,
The Saga Continues,The Saga Continues,Cover for digital releases.,Unknown,Digital,,Front Cover,Used,
The Saga Continues,The Saga Continues,"Back cover for ""The Saga Continues"".",Unknown,Photo,,Back Cover,Used,
"Black Samson, The Bastard Swordsman",Wu-Tang: Of Mics and Men EP,Cover for the Wu-Tang: Of Mics and Men EP.,Unknown,Digital,,Front Cover,Used,
"Black Samson, The Bastard Swordsman",Wu-Tang: Of Mics and Men EP,Back cover for the Wu-Tang: Of Mics and Men EP.,Unknown,Digital,,Back Cover,Used,
"Black Samson, The Bastard Swordsman","Black Samson, The Bastard Swordsman","Cover for Black Samson, The Bastard Swordsman.",,,,Front Cover,Used,
"Black Samson, The Bastard Swordsman","Black Samson, The Bastard Swordman",Back cover of the Record Store Day releases.,,,,Back Cover,Used,
"Black Samson, The Bastard Swordsman",Claudine,Cover for the Claudine single.,Artificial Intelligence,Digital,,Front Cover,Used,
"Black Samson, The Bastard Swordsman",Claudine,"Alternate cover for ""Claudine"" that was online for a short period of time and then got deleted.",Artificial Intelligence,Digital,,Front Cover,Unused,
"Black Samson, The Bastard Swordsman",Mandingo,Cover for the Mandingo single.,Unknown,Digital,,Front Cover,Used,
"Black Samson, The Bastard Swordsman","Warriors Two, Cooley High","Cover for the Warriors Two, Cooley High single.",Unknown,Digital,,Front Cover,Used,
"Black Samson, The Bastard Swordsman","Black Samson, The Bastard Swordsman","One of the 5000 covers for Black Samson, The Bastard Swordsman.",Unknown,Scan,,Alternative Cover,Used,
"Black Samson, The Bastard Swordsman","Black Samson, The Bastard Swordsman",Cover for CD releases that has a pink parental advisory sticker.,Unknown,Digital,,Alternative Cover,Used,
"Black Samson, The Bastard Swordsman","Black Samson, The Bastard Swordsman","Cover for the deluxe of Black Samson, The Bastard Swordsman.",Unknown,Digital,,Alternative Cover,Used,
"Black Samson, The Bastard Swordsman","Black Samson, The Bastard Swordsman","Promotional cover for Black Samson, The Bastard Swordsman.",Unknown,Digital,,Promo Art,Used,
