Era,Name,Notes,Leak Date,Type,Available Length,Quality,Link(s)
Good Girl Gone Bad,"Disturbia (Session)
(prod. Brian Kennedy & Makeba Riddick)","ProTools Session for ""Disturbia"".","Jun 29, 2021",Session,Full,Lossless,https://krakenfiles.com/view/kJx5VG9U4p/file.html
"3 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Rated R,"(06/02/2008) (Good Girl Gone Bad: Reloaded is released.)
(11/20/2009) (Rated R is released.)",,,,,
Rated R,"Rude Boy (Instrumental)
(prod. StarGate, Rob Swire & Makeba Riddick)","Instrumental for ""Rude Boy"", not sure if it's official but it sounds it.",,Instrumental,Full,CD Quality,Link Needed
Rated R,"Russian Roulette (Session)
(ref. Ne-Yo) (prod. Chuck Harmony, Makeba Riddick & Ne-Yo)","Vocals from the session for the reference track of ""Russian Roulette"" by Ne-Yo.","Jan 6, 2022",Stems,Full,Lossless,https://drive.google.com/file/d/1YCyM221vfPHIyLO9d4Z3nJfbZWZmKj2F/view?usp=sharing
Rated R,"Te Amo (Stems)
(prod. StarGate & Mikkel Storleer Eriksen)","Multitrack stems for ""Te Amo"".","May 17, 2023",Stems,Full,Lossless,https://drive.google.com/file/d/1yC_TaykPTsmVghg_AaM9MQKt44wmqKbE/view?usp=sharing
"6 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Loud,"(11/20/2009) (Rated R is released.)
(11/12/2010) (Loud is released.)",,,,,
,Instrumentals,,,,,,
Loud,"Raining Men (Instrumental)
(prod. Mel & Mus & Kuk Harrell)","Instrumental for ""Raining Men"".",,Instrumental,Full,CD Quality,Link Needed
Loud,"S&M (Instrumental)
(prod. StarGate, Sandy Vee, Kuk Harrell & Veronika Bozeman)","Instrumental for ""S&M"".",,Instrumental,Full,CD Quality,Link Needed
Loud,"What's My Name (Instrumental)
(prod. StarGate & Kuk Harrell)","Instrumental for ""What's My Name"".",,Instrumental,Full,CD Quality,Link Needed
Loud,"Nicki Minaj - Fly (Instrumental)
(feat. Rihanna) (prod. J.R)","Instrumental for ""Fly"".",,Instrumental,Full,Lossless,Link Needed
,Sessions,,,,,,
Loud,"Cheers (Drink To That) (Session)
(prod. The Runners & Makeba Riddick)","ProTools session for ""Cheers (Drink To That)"".","Jul 24, 2022",Session,Full,Lossless,Link Needed
,Backing Tracks,,,,,,
Loud,"Only Girl (In The World)
(prod. StarGate)",The official backing track used by Rihanna during her MTV EMA performance in 2010.,"Aug 17, 2023",Other,Full,CD Quality,Link Needed
"7 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Talk That Talk,"(11/12/2010) (Loud is released.)
(11/18/2011) (Talk That Talk is released.)",,,,,
,Instrumentals,,,,,,
Talk That Talk,"Birthday Cake (Remix) (Instrumental)
(prod. Da Internz, The-Dream & Kuk Harrell)","Instrumental for ""Birthday Cake (Remix)"".","May 7, 2023",Instrumental,Full,CD Quality,Link Needed
Talk That Talk,"We Found Love (Instrumental)
(prod. Calvin Harris & Kuk Harrell)","Instrumental for ""We Found Love"".",,Instrumental,Full,CD Quality,Link Needed
Talk That Talk,"Where Have You Been (Instrumental)
(prod. Dr. Luke, Cirkut, Kuk Harrell & Calvin Harris)","Instrumental for ""Where Have You Been"".",,Instrumental,Full,High Quality,Link Needed
Talk That Talk,"David Guetta - Who's That Chick? (Instrumental)
(feat. Rihanna) (prod. David Guetta)","Instrumental for ""Who's That Chick?"".",,Instrumental,Full,CD Quality,Link Needed
,Acapellas,,,,,,
Talk That Talk,"Birthday Cake (Remix) (Acapella)
(feat. Chris Brown)","Acapella for the clean version of ""Birthday Cake (Remix)"".","May 7, 2023",Acapella,Full,CD Quality,Link Needed
,Stems / Sessions,,,,,,
Talk That Talk,"We Found Love (Stems)
(prod. Calvin Harris & Kuk Harrell)","Multitrack stems for ""We Found Love"".","May 17, 2023",Stems,Full,Lossless,https://drive.google.com/file/d/1YBH4vqGz8hGWNtCDieH3LuHV7xN-diU2/view?usp=sharing
Talk That Talk,"Where Have You Been (Stems)
(prod. Dr. Luke, Cirkut, Kuk Harrell & Calvin Harris)","Multitrack stems for ""Where Have You Been"".",,Stems,Full,Lossless,Link Needed
"6 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Unapologetic,"(11/18/2011) (Talk That Talk is released.)
(11/19/2012) (Unapologetic is released.)",,,,,
,Instrumentals,,,,,,
Unapologetic,"Diamonds (Instrumental)
(prod. StarGate & Benny Blanco)","Instrumental for ""Diamonds"".",,Instrumental,Full,Lossless,Link Needed
Unapologetic,"Lost In Paradise (Instrumental)
(prod. StarGate & Labrinth)","Instrumental for ""Lost In Paradise"".",,Instrumental,Full,High Quality,Link Needed
Unapologetic,"Pour It Up (Instrumental)
(prod. Mike WiLL Made-It & J-Bo)","Instrumental for ""Pour It Up"".",,Instrumental,Full,CD Quality,Link Needed
,Acapellas,,,,,,
Unapologetic,"Diamonds (Acapella)
(prod. StarGate & Benny Blanco)","Acapella for ""Diamonds"".",,Acapella,Full,Lossless,Link Needed
Unapologetic,"Pour It Up (Acapella)
(prod. Mike WiLL Made-It & J-Bo)","Acapella for ""Pour It Up"".",,Acapella,Full,Lossless,https://krakenfiles.com/view/2KRYUNTYuT/file.html
,Stems / Sessions,,,,,,
Unapologetic,"Diamonds (Stems)
(prod. StarGate & Benny Blanco)","Studio stems for ""Diamonds"".",,Stems,Full,Lossless,https://drive.google.com/file/d/1vjTXAV6dYTnudrzIurRGW983uTRTI2G0/view?usp=sharing
"36 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",ANTI,"(11/19/2012) (Unapologetic is released.)
(01/28/2016) (ANTI is released.)",,,,,
,Instrumentals,,,,,,
ANTI,"American Oxygen (Instrumental)
(prod. Kuk Harrell & Alex Da Kid)","Instrumental for ""American Oxygen"".",,Instrumental,Full,CD Quality,Link Needed
ANTI,"Consideration (Instrumental)
(prod. Scum & Kuk Harrell)","Instrumental for ""Consideration"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Bitch Better Have My Money (Instrumental)
(prod. Kanye West, Travis Scott, Deputy, WondaGurl & Kuk Harrell)","Instrumental for ""Bitch Better Have My Money"".","Jan 5, 2022",Instrumental,Full,Lossless,https://krakenfiles.com/view/BI1IiK3QRR/file.html
ANTI,"Close To You (Instrumental)
(prod. Brian Kennedy & Kuk Harrell)","Instrumental for ""Close To You"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Desperado (Instrumental)
(prod. Schultz & Kuk Harrell)","Instrumental for ""Desperado"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Goodnight Gotham (Instrumental)
(prod. Keyon Christ & Kuk Harrell)","Instrumental for ""Goodnight Gotham"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Higher (Instrumental)
(prod. No. I.D & Kuk Harrell)","Instrumental for ""Higher"".","Jan 5, 2022",Instrumental,Full,Lossless,https://www.youtube.com/watch?v=VqQuzTTuuIE
ANTI,"James Joint (Instrumental)
(prod. Shea Taylor & Kuk Harrell)","Instrumental for ""James Joint"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Kiss It Better (Instrumental)
(prod. Jeff Bhasker, Glass John & Kuk Harrell)","Instrumental for ""Kiss It Better"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Love On The Brain (Instrumental)
(prod. Fred Ball & Kuk Harrell)","Instrumental for ""Love On The Brain"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Needed Me (Instrumental)
(prod. DJ Mustard, Frank Dukes, Kuk Harrell & Twice as Nice)","Instrumental for ""Needed Me"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Same Ol' Mistakes (Instrumental)
(prod. Kevin Parker & Kuk Harrell)","Instrumental for ""Same Ol' Mistakes"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Pose (Instrumental)
(prod. Hit-Boy, Kuk Harrell & Travis Scott)","Instrumental for ""Pose"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Sex With Me (Instrumental)
(prod. Boi-1da, Vinylz, Frank Dukes & Kuk Harrell)","Instrumental for ""Sex With Me"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Woo (Instrumental)
(prod. Hit-Boy, Travis Scott & Kuk Harrell)","Instrumental for ""Woo"".","Jan 5, 2022",Instrumental,Full,Lossless,https://krakenfiles.com/view/P1ZEOLWb6r/file.html
ANTI,"Work (Instrumental)
(prod. Boi-1da, Kuk Harrell & 40)","Instrumental for ""Work"".","Jan 5, 2022",Instrumental,Full,Lossless,Link Needed
ANTI,"Shakira - Can't Remember To Forget You (Instrumental)
(feat. Rihanna) (prod. Shakira, John Hill & Kid Harpoon)","Instrumental for ""Can't Remember To Forget You"".",,Instrumental,Full,CD Quality,Link Needed
,Acapellas,,,,,,
ANTI,"Consideration (Acapella)
(prod. Scum & Kuk Harrell)","Acapella for ""Consideration"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Bitch Better Have My Money (Acapella)
(prod. Kanye West, Travis Scott, Deputy, WondaGurl & Kuk Harrell)","Acapella for ""Bitch Better Have My Money"".","Jan 5, 2022",Acapella,Full,Lossless,https://krakenfiles.com/view/UsyjJLQFXm/file.html
ANTI,"Close To You (Acapella)
(prod. Brian Kennedy & Kuk Harrell)","Acapella for ""Close To You"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Desperado (Acapella)
(prod. Schultz & Kuk Harrell)","Acapella for ""Desperado"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Goodnight Gotham (Acapella)
(prod. Keyon Christ & Kuk Harrell)","Acapella for ""Goodnight Gotham"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Higher (Acapella)
(prod. No. I.D & Kuk Harrell)","Acapella for ""Higher"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"James Joint (Acapella)
(prod. Shea Taylor & Kuk Harrell)","Acapella for ""James Joint"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Kiss It Better (Acapella)
(prod. Jeff Bhasker, Glass John & Kuk Harrell)","Acapella for ""Kiss It Better"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Love On The Brain (Acapella)
(prod. Fred Ball & Kuk Harrell)","Acapella for ""Love On The Brain"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Needed Me (Acapella)
(prod. DJ Mustard, Frank Dukes, Kuk Harrell & Twice as Nice)","Acapella for ""Needed Me"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Same Ol' Mistakes (Acapella)
(prod. Kevin Parker & Kuk Harrell)","Acapella for ""Same Ol' Mistakes"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Pose (Acapella)
(prod. Hit-Boy, Kuk Harrell & Travis Scott)","Acapella for ""Pose"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Sex With Me (Acapella)
(prod. Boi-1da, Vinylz, Frank Dukes & Kuk Harrell)","Acapella for ""Sex With Me"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
ANTI,"Woo (Acapella)
(prod. Hit-Boy, Travis Scott & Kuk Harrell)","Acapella for ""Woo"".","Jan 5, 2022",Acapella,Full,Lossless,https://krakenfiles.com/view/fG0WetbsFI/file.html
ANTI,"Work (Acapella)
(prod. Boi-1da, Kuk Harrell & 40)","Acapella for ""Work"".","Jan 5, 2022",Acapella,Full,Lossless,Link Needed
,Stems / Sessions,,,,,,
ANTI,"Bitch Better Have My Money (Stems)
(prod. Kanye West, Travis Scott, Deputy, WondaGurl & Kuk Harrell)","Studio stems for ""Bitch Better Have My Money"".",,Stems,Full,Lossless,https://drive.google.com/file/d/1JOgr_uFz9xwmzg3VZvbnEP6lPAczxn44/view?usp=sharing
ANTI,"Consideration (Stems)
(feat. SZA) (prod. Scum & Kuk Harrell)","Studio stems for ""Consideration"".",,Stems,Full,Lossless,Link Needed
ANTI,"Kiss It Better (Stems)
(prod. Jeff Bhasker, Glass John & Kuk Harrell)","Studio stems for ""Kiss It Better"".",,Stems,Full,Lossless,https://drive.google.com/file/d/1sJwz7r5WPEvL98Nv4vzH74-foa4xQOGx/view?usp=sharing
ANTI,"Needed Me (Stems)
(prod. DJ Mustard, Frank Dukes, Kuk Harrell & Twice as Nice)","Studio stems for ""Needed Me"".",,Stems,Full,Lossless,https://drive.google.com/file/d/110U6iIMZTNuXZYwLfnqIYWYplB8A-_y3/view?usp=sharing
"2 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",R9 [V1],"(01/28/2016) (ANTI is released)
(??/??/2019) (Rihanna scraps a ""reggae album"")",,,,,
,Instrumentals,,,,,,
R9 [V1],"Calvin Harris - This Is What You Came For (Instrumental)
(feat. Rihanna) (prod. Calvin Harris & Kuk Harrell)","Instrumental for ""This Is What You Came For"".",,Instrumental,Full,CD Quality,https://krakenfiles.com/view/PU0WT0GqBG/file.html
R9 [V1],"Mike WiLL Made-It - Nothing Is Promised (Instrumental)
(feat. Rihanna) (prod. Pluss & Mike WiLL Made-It)","Instrumental for ""Nothing Is Promised"".",,Instrumental,Full,CD Quality,Link Needed
"2 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",R9 [V2],"(??/??/2019) (Rihanna scraps a ""reggae album"")
(Ongoing)",,,,,
,Instrumentals,,,,,,
R9 [V2],"Lift Me Up (Instrumental)
(prod. Ludwig Goransson)","Instrumental for ""Lift Me Up"".",,Instrumental,Full,CD Quality,Link Needed
R9 [V2],"Friend Of Mine (Instrumental)
(prod. Jon Bellion, f a l l e n & Pete Nappi)",Officially released instrumental.,,Instrumental,Full,CD Quality,Link Needed
"Is There A Problem With The Tracker You Have Seen?
Report It at the TrackerHub Discord!",,,,,,,
