Era,Name,Tracklist,Date,Availability,Quality,Image
Eternal Atake [V1],Eternal Atake,"
November 2018 tracklist for ""Eternal Atake"", posted by @uzirareupdates at some point. It's unknown if we have the full tracklist, but incredibly unlikely. Uzi confirmed that It's Going Down was on a November 2018 tracklist likely being this one.

1. Intro (speculated to be 'Let's go' by tm 88)
#?. Hunnid
#?. This Way
#?. Of Course
#?. Rockstar Living
#?. Not The Same
#?. Run It Up
#?. Kappa
#?. All My Guap
#?. Bands
#?. It's Going Down
",November 2018,Blocked,Leaked,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"
A copy of EA had 8 placements from producer Bugz Ronin. In a August 2025 QnA, he revealed some of the song that were on said tracklist (it was all that he could remember at the time, didn't seem to intentionally leave out info) 

#?. Can't Save Her
#?. Weds and Thurs
#?. Risk It All
#?. Hunnid
#?. Secure The Bag
#?. ???
#?. ???

Confirmed: 
#?. U A Winner (Although Bugz didn't talk about it, we can speculate with the info with have on that song that it was on it and following ''Risk It All'')",2018,Blocked,Leaked,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"
Pop, Prices, Urgency and a few others were said to be on several Eternal Atake tracklists.

 #?. Of Course
#?. All My Guap
#?. Pop
#?. Up On My Price (Prices)
#?. Urgency
#?. Not The Same (Secure The Bag)
",2018,Blocked,Leaked,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"
This Way was said to be on 5 different Eternal Atake tracklists. It's unknown what all these tracklists contained.

#?. This Way
",2018,Blocked,Leaked,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"Take My Cake was confirmed to be on some EA tracklists in 2018 and in 2019.

#?. Take My Cake
",2018-2019,Blocked,Leaked,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"Sanguine Paradise Alt. mix Bounced December 14, 2018. Just 6 days after announcing the album was finished, at a live show - Well Fargo Center, PA.

#?.Sanguine Paradise
#?.Of Course
#?.Racks
#?.New Patek 
#?.Rolli ft. Chief Keef
",December 2018,Blocked,Uzi,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"Partial January 2019 tracklist for ""Eternal Atake"". Full tracklist has yet to be revealed.

1. Eternal Atake
2. Better Find Closure
3. Of Course",Janurary 2019,Blocked,Leaked,LINK NEEDED
Eternal Atake [V2],"WOD Tape / ""Tranquility"" EP","A rumored 10 track EP consisting only of songs produced by Working On Dying. It was supposed to drop in March 2019, but Uzi's label wouldn't allow it. Uzi dropped ""Free Uzi"" in response, causing Eternal Atake to be delayed. There's a chance that this EP is fake, as this hasn't been confirmed to exist to this day.

#?. All My Guap
#?. Zoom
#?. Watch This
#?. Of Course
#?. Music Cap
6. - 10. ???",2019,Blocked,Leaked,LINK NEEDED
Eternal Atake [V2],Eternal Atake,"
Tracklist for a 2019 version of Eternal Atake owned by Caskets, very similar to May 2019 tracklist.

Atake Intro (WondaGurl)
 It's Going Down
 London
 Zoom
 Rose Gold
 Pack That (The Funny Way)
 Bust Me
 Sanguine Paradise
 Pop Ya
 Up On My Price
 Watch This
 Funny Money (Silly Watch)
 On The Road (Secure The Bag)
 That Way
 Urgency (feat. Syd)
 Cayy Benji
",2019,Blocked,Leaked,LINK NEEDED
Eternal Atake [V2],Eternal Atake,"
Tracklist for a July 10, 2019 version of Eternal Atake.
1. Funny Money
2. Bust Me
3. Cayy Benji
4. Main and My Side
5. Nothing To Think About
6. Want It That Way
7. Move
8. POP
9. Urgency (feat. SYD)
10. Immortal (Move The Same) 
11. Not The Same (Secure The Bag)
12. Up On My Price

#? Bands Bands
#? Weds and Thurs
#? Rose Gold
#? The Funny Way
#? Who Wanna Race
#? Chrome Heart Tags
",July 2019,Clear,Leaked,
Eternal Atake [V3],Eternal Atake,"
Tracklist for the official release of Eternal Atake

1. Baby Pluto
2. Lo Mein
3. Silly Watch
4. POP
5. You Better Move
6. Homecoming
7. I'm Sorry
8. Celebration Station
9. Bigger Than Life
10. Chrome Heart Tags
11. Bust Me
12. Prices
13. Urgency
14. Venetia
15. Secure The Bag
16. P2
17. Futsal Shuffle 2020 - Bonus Track
18. That Way - Bonus Track
",2020,Clear,Uzi,N/A
Eternal Atake [V3],Eternal Atake (Deluxe),"
It was stated by Uzi on twitter that A Boogie Wit Da Hoodie & Lil Baby were going to be on the deluxe version of Eternal Atake, however their features were cut last minute. We do not know 100% which of their collaborations were meant to be on the deluxe.

#?. ??? (feat. Lil Baby)
#?. Too Brazy (with A Boogie wit da Hoodie)
",2020,Blocked,Uzi,LINK NEEDED
Eternal Atake [V3],Eternal Atake (Deluxe) - LUV vs. The World 2.,"
Tracklist for the official release of Eternal Atake (Deluxe) - LUV vs. the World 2.

LUV vs. The World 2:
1. Myron
2. Lotus
3. Bean (Kobe)
4. Yessirskii
5. Wassup
6. Strawberry Peels
7. I Can Show You
8. Moon Relate
9. Come This Way
10. Trap This Way (This Way)
11. No Auto
12. Money Spread
13. Got The Guap
14. Leaders

Eternal Atake:
1. Baby Pluto
2. Lo Mein
3. Silly Watch
4. POP
5. You Better Move
6. Homecoming
7. I'm Sorry
8. Celebration Station
9. Bigger Than Life
10. Chrome Heart Tags
11. Bust Me
12. Prices
13. Urgency
14. Venetia
15. Secure The Bag
16. P2
17. Futsal Shuffle 2020 - Bonus Track
18. That Way - Bonus Track
",2020,Clear,Uzi,N/A
Pluto x Baby Pluto,Pluto x Baby Pluto,"
Tracklist for the official release of Pluto x Baby Pluto

1. Stripes Like Burberry
2. Marni on Me
3. Sleeping on the Floor
4. Real Baby Pluto
5. Drankin n Smokin
6. Million Dollar Play
7. Plastic
8. That's it
9. Bought a Bad Bitch
10. Rockstar Chainz
11. Lullaby
12. She Never Been to Pluto
13. Off Dat
14. I Don't Wanna Break Up
15. Bankroll
16. Moment of Clarity
",2020,Clear,Uzi,N/A
Pluto x Baby Pluto,Pluto x Baby Pluto (Deluxe),"
Tracklist for the official release of Pluto x Baby Pluto (Deluxe)

1. Stripes Like Burberry
2. Marni on Me
3. Sleeping on the Floor
4. Real Baby Pluto
5. Drankin n Smokin
6. Million Dollar Play
7. Plastic
8. That's it
9. Bought a Bad Bitch
10. Rockstar Chainz
11. Lullaby
12. She Never Been to Pluto
13. Off Dat
14. I Don't Wanna Break Up
15. Bankroll
16. Moment of Clarity
17. Tic Tac
18. My Legacy
19. Heart in Pieces
20. Because of You
21. Bust a Move
22. Baby Sauke
23. Patek
24. Over Your Head
",2020,Clear,Uzi,N/A
Forever Young,Soundcloud Tape,"
It was stated by Lil Uzi Vert that a soundcloud exclusive tape was in the works. Was said to have ""soundcloud vibes"". It's unknown what tracks were on this tape, but a livestream was done showing off tracks made during the session for the tape.

#?. Proud Of You
#?. Have You (Super Saiyan 2)
#?. Hey You (Emeralds, Excuse My French, You Over There)
",2020,Blocked,Uzi,LINK NEEDED
Forever Young,"December 20th, 2020 Livestream
(and associated December 2020 Live songs)","
In a series of livestreams on Instagram Live, primarily on December 20th, 2020 but also in the days preceeding and following the 20th, Uzi previewed numerous songs and grails, some in full and most partially. 

December 20th:
1. Heaven (Hold On)
2. Homies (Show Me)
3. I Can't Lie (Sad Raps)
4. I Gotta (Ridiculous)
5. Do Gangsters Go to Heaven (Thank Her)
6. Sinner (Been Up)
7. Not My Fault (Gucci Sneaks) 
8. The Walk (Naw / I Got Swag)
9. Prophet (Find Me / Ashanti)
10. King Von (Sasuke 2)
11. Here's A Rose
12. Street Music
13. Good In The Hood
14. Cold (Go!)
15. On My Line (So many girls on my line)
16. Have You (Super Saiyan 2)
17. Pluto To Mars
18. Old Days (Old Ways)
19. Tell Me What You Want (Regular)
20. Ok Cool!
21. Hey You (Emeralds, Excuse My French, You Over There)
22. Look At This
23. Guap (What's Up)
24. Hold On (Don't Wanna Talk About Nothing)
25. I Won't Fall
26. Even Steven (Street Shit)
27. Carlton (By The Morning, Can't Stop)
28. Cancel (Lean In The Fanta)
29. Keep Coming (Overseas Money)
30. 3D My Wrist
31. Sleep With a Bag
32. Proud of You
33. Hold Me Back



December 17-19th:
1. Ridiculous (I Gotta)
2. I Take No Breaks
3. Porsche (Of Course 2)
4. Swap That 
5. Homies (Goosebumps) {Show Me}

December 21st
1. Fell in Love
2. Go Crazy (freestyle)
3. Sleep With A Bag
4. Finessin Hearts Pt. 2 

December 23rd 
1. Better Than Me (Sad Hours)
",2020,Blocked,Uzi,N/A
Forever Young,Luv Is Rage 3,"
It was stated in an instagram live that ""Luv Is Rage 3"" was on the way, and intended to release in 2021. While 'Finessin Hearts Pt. 2' is confirmed, t's unknown what was on this project, but several snippets were previewed by Uzi on Instagram with the pinned comment saying ""Luv Is Rage 3"". The last 3 songs are assumed to be related due to them either being previewed at the same time, or being ""given"" to DP Beats for ""DP Vs The World 2"" - which very likely could be a lie given DP claims to not have a majority of the songs, updated or old, with vocals (and none released either).
Uzi would also collab with his older producers, from his previous “Luv Is Rage” projects with new recruits.

#?. Finessin Hearts Pt. 2
#?. Have You (Super Saiyan 2)
#?. Here's A Rose",2020,Blocked,Uzi,LINK NEEDED
Forever Young,Forever Young,"
It was stated in an instagram live that ""Forever Young"" was intended to release in 2021, and was a seperate project from ""Luv Is Rage 3"".
(WOD Producers are Speculated to have placements)
#1-?. ???

#?. Forever Young Intro
#?. Old Me / Stoner
#?. Pluto To Mars
#?. Goose Chase (Sleep With a Bag)
#?. 3D My Wrist
#?. Movie
#?. Wetter
#?. Line
#?. Mama I'm Sorry 
#?. Old Days
#?. Fell in Love
#?. Swap (Swap That)
#?. That Body
#?. Good In The Hood
#?. Cold
#?. I Gotta
#?. Glocky
 Unconfirmed but likely:
#?. Party With The Demons
#?. Finessin Hearts Pt. 2
",2020-2021,Blocked,Uzi,LINK NEEDED
Forever Young,The Real Uzi 2,"
Incomplete tracklist for an alleged The Real Uzi 2 - Possibly fake, source claims the leaker got this from someone in Uzi's camp, may have just been an idea (that lasted a full year)

1. It's A 40
2. Bank Teller
3. Bankroll (Out of Control)
4. Slide
5. Skin Crawl
6. -> #?. ???

""Confirmed""
#?. Backpack
#?. It's Up
",2021,Blocked,Uzi,LINK NEEDED
Forever Young,Forever Young,"
A tracklist for Forever Young is said to exist, and in some iteration lasted until March 2022 - despite Pink Tape being announced

.1 -> #?. ???
",2021-2022,Blocked,Uzi,LINK NEEDED
Pink Tape [V1],Delta Pink Tape,"
A early tracklist was seen on a white board on @xvirock IG story in late December 2021. It only contained two track names, but the tracklist itself was 6 songs long, with several other songs listed to the side. Possibly a very early version of Red and White

1. Space Cadet
2. ???
3. Aye (Yea!) (Rage Music)
4. ???
5. ???
6. Final Fantasy (not seen in image)

#?. Red Wraith
#?. Lean? (Lean)
#?. Prove A Point
#?. I Gotta
#?. Swap
#?. Astro Kat
#?. Hate Me
",November 2021,Blocked,Uzi,LINK NEEDED
Pink Tape [V1],The Pink Tape,"
It was said at one point that 'Pink Tape' was a punk rock album.

#?. Demon High
#?. Astro Kat

Unconfirmed:
#?. Party With The Demons",2022,Blocked,Leaked,LINK NEEDED
Red and White,Red & White (Soundcloud V1),"
A version of Red & White was said to have multiple grails prior to Uzi asking a groupchat of fans what songs he should put on it

#?. Daytona (Denim Tears)
#?. Rage
",2022,N/A,Secondary,LINK NEEDED
Red and White,Red & White (Fan Groupchat Requests),"
A version of Red & White was said to have multiple grails prior to Uzi asking a groupchat of fans what songs he should put on it. Included is the (likely uncomplete) list of songs they asked 

#?. Up The Opp
#?. 3D My Wrist 
#?. Backspace
#?. Pour Me Numb
#?. On My Bank *
#?. Don't Trap Off No iPhone
 #?. Space Cadet
#?. I Know
#?. Cigarette
#?. For Fun

*requested by fans, but Uzi mentioned it would be dropping",2022,N/A,Secondary,LINK NEEDED
Red and White,Red & White (Soundcloud V2),"
A version of Red & White was said to have ""Pardon Me"" and ""Internet"", reinforced by JT previewing these songs in full days after release. Additionally, Vault claims ""Pour Me Numb"" and ""Flooded The Face"" were sent out to Uzi during the rollout, and were considered to drop.

#?. Internet
#?. Pardon Me
#?. Pour Me Numb
#?. Flooded The Face",2022,N/A,Secondary,LINK NEEDED
Red and White,Red & White (Soundcloud V3),"
The first version of Red & White released on Soundcloud.

1. Space Cadet
2. I Know
3. Flex Up
4. Hittin My Shoulder
5. For Fun
6. Believe Me
7. Issa Hit
8. Glock in My Purse
9. Final Fantasy
",July 2022,Clear,Uzi,N/A
Red and White,Red & White (Streaming V1),"
The first version of Red & White released on Streaming.

1. For Fun
2. Cigarette
3. Issa Hit
4. Glock in My Purse
5. F.F.
",July 2022,Clear,Uzi,N/A
Red and White,Red & White (Soundcloud V4),"
The second version of Red & White released on Soundcloud.
1. Space Cadet
2. I Know
3. Flex Up
4. Hittin My Shoulder
5. Cigarette
6. For Fun
7. Believe Me
8. Issa Hit
9. Glock in My Purse
10. Final Fantasy
",July 2022,Clear,Uzi,N/A
Red and White,Red & White (Streaming V2),"
The second version of Red & White released on Streaming
1. Space Cadet
2. I Know
3. Flex Up
4. Hittin My Shoulder
5. For Fun
6. Cigarette
7. Issa Hit
8. Glock in My Purse
9. F.F.
",July 2022,Clear,Uzi,N/A
Pink Tape [V3],Pink Tape,"
It's been said the Kanye West had put together a tracklist for Pink Tape in August 2022. It's unknown what this tracklist contained.
#?.",August 2022,Blocked,Secondary,LINK NEEDED
Pink Tape [V3],Pink Tape,"
In a interview done with TMZ, Uzi confirmed that For Me/City Girl would be on the album

#?. For Me
",2023,Blocked,Uzi,LINK NEEDED
Pink Tape [V3],Pink Tape,"
A version of the album was played for Uzi fan page owners and Gabriel Flores, with conflicting sources on what was played/on the tape. Allegedly no snippets from listening party, and songs played were confirmed to exist by Chris afterwards. Those invited had to have their phone screens facing up and in a corner to show they weren't recording to prevent leaks

#?. Rage Music
#?. Just Wanna Rock
#?. Ridiculous
#?. Patience
#?. Can't Feel My Body
#?. Pluto To Mars
#?. All Alone
#?. Flooded The Face
#?. She Took The Molly
",2023,Blocked,Secondary,LINK NEEDED
Pink Tape [V3],Pink Tape,"
Tracklist for Pink Tape, posted by lyleleduff

1. Flood The Face
2. Aye
3. Nakamaru
4. Heartbeat (gunshots)
5. Suicide Door (crow)
6. Crush'em
7. Life Goes On (if (censored) does it [presumed to have been Baby Keem])/Pluto to Mars
8. Days Come and Go
9. Mama Im Sorry
10. Aim Higher
11. Seroquel (ft. Don Toliver)
12. Just Wanna Rock
13. I Gotta
14. For Me (porn)
15. Global (thrax)
16. All of the Lights Are Off
17. Bound
18. Fire Alarm
19. Chop Suey
20. Listen to Me
21. Switch My Bitch Up
22. Ramona
23. Rehab
24. Baby Metal

'These were just in case joints'

??. Geek Monster
?? . Pluto to Mars
??. Head Crack
??. Tribal Tattoo 
??. Digits 
",May-June 2023,Blocked,Secondary,
Pink Tape [V3],Pink Tape,"
One of the final tracklists for Pink Tape. The track order was confimed to have been completed sometime before June 17th, 2023, and is 27 songs long. 25 main songs, and 2 bonus tracks.

1-27. ???

#?. Kray (X2)
#?. Just Wanna Rock

#?. Pluto To Mars
#?. Of Course
#?. Rage Music (Aye)
#?. Flooded The Face
#?. It's On Me
#?. That Fiya

Unconfirmed:
#?. Chopper
",June 2023,Blocked,Uzi,LINK NEEDED
Pink Tape [V3],Pink Tape,"
""Pass It"" was said to have been on Pink Tape from June 17th, 2023 until June 24th, 2023, when Carti asked for the song to be taken off Pink Tape. Allegedly he wanted to re-record after SummerSmash but Uzi said it was too late. Released on Youtube as ""Patience"" (instead of the actual song) on 'accident' on June 30th, taken down later - not confirmed but likely track 20 before Carti pulled it

#?.  Pass It
",June 2023,Blocked,Leaked,LINK NEEDED
Pink Tape [V3],Pink Tape,"
Tracklist for the released version of Pink Tape.

1. Flooded The Face
2. Suicide Doors
3. Aye
4. Crush Em
5. Amped
6. x2
7. Died and Came Back
8. Spin Again
9. That Fiya
10. I Gotta
11. Endless Fashion
12. Mama, I'm Sorry
13. All Alone
14. Nakamura
15. Just Wanna Rock
16. Fire Alarm
17. CS
18. Werewolf
19. Pluto To Mars
20. Patience
21. Days Come and Go
22. Rehab
23. The End
24. Zoom (Bonus Track)
25. Of Course (Bonus Track)
26. Shardai (Bonus Track)
",June 2023,Clear,Uzi,N/A
Barter 16,Barter 16 [V1],"
Seen on an Ike Beatz Instagram post/stream.

1. Intro / Scary Stories
2. Barter
3. Racks
4. RIP Ms. Connie
5. Stick Up
6. Green Diamonds
7. Thigh Pads
8. Shar Pei
9. Butter In It
10. ???
11. Realest From Philly
12. Thug Voice
13. Workout (feat. Young Thug)
14. Bob Marley
15. ???
16. K-Pop
17. ???
",August 2023,Blocked,Secondary,
Barter 16,Barter 16 [V2],"
Shown by @uzirareupdates on ig, Stick Up was removed and Jet was added

1. Intro / B16
2. Barter
3. Racks
4. RIP Ms. Connie
5. Free Da Goat (feat. Young Thug)
6. Green Diamonds
7. Thigh Pads
8. Shar Pei
9. ???
10. ???
11. Thug Voice
12. Jet (BK)
13. Guarantee (feat. Young Thug)
14. Realest From Philly
15. Workout (feat. Young Thug)
",August 2023,Blocked,Secondary,
Eternal Atake 2,Eternal Atake 2,"
Admins have claimed that on an earlier Eternal Atake 2 tracklist 'Stay Down' was originally on it before being scrapped.

#?. Stay Down
",2024,Blocked,Secondary,
Eternal Atake 2,Eternal Atake 2,"
An earlier Eternal Atake 2 tracklist, partially shown by uzi on an IG post. Has 15 tracks and 4 bonus tracks.

1. ???
2. ???
3. W.. ..y (Wocky)
4. ...$H
5. S.. ..IT (Stop It)
6. ???
7. ???
8. ???
9. ???
10. ???
11. L...
12. N...
13. ???
14. ...T
15. Chill ebro

- Bonus Tracks -
16. ???
17. ???
18. ???
19. ???
",October 2024,Blocked,Uzi,
Eternal Atake 2,Eternal Atake 2,"
An EA2 tracklist shown by Uzi on an IG post. The IG post was later deleted. Contains 16 tracks and 4 bonus tracks.

1. I'm Cooked (skit) (feat. bling bling)
2. Don't think they ready (pre-game) (Light Year (Practice))
3. Aura (intro) (Meteor Man)
4. Wocky slush (Paars In The Mars)
5. Big time rush (The Rush)
6. Stop it (Not An Option)
7. Stank (She Stank)
8. Leslie (Mr Chow)
9. Lyft (Lyft Em Up)
10. How ? (Chips and Dip)
11. Eye 2 Eye (song cry) (Black Hole)
12. Don't do it (Chill Bae)
13. Na uh uh (Goddard Song)
14. Potion (PerkySex)
15. All That (Conceited)
16. Chill ebro

- Bonus Tracks -
17. McWhistle leak (Blow Da Whistle)
18. floatin (prod. Maaly Raw)
19. FTB (Fucking The Bank)
20. Thank you for listening
",October 2024,Clear,Uzi,
Eternal Atake 2,Eternal Atake 2,"
Official Eternal Atake 2 tracklist first posted by Uzi on IG. The tracklist had earlier been posted in Uzi's ""Alien Language"". Confirmed to be the real tracklist as the songs are seen encrypted on the album preview.

1. We Good
2. Light Year (Practice)
3. Meteor Man
4. Paars In The Mars
5. The Rush (feat. Big Time Rush)
6. Not An Option
7. She Stank
8. Mr Chow
9. Lyft Em Up
10. Chips and Dip
11. Black Hole
12. Chill Bae
13. Goddard Song
14. PerkySex
15. Conceited
16. Space High
",November 2024,Clear,Uzi,N/A
