Era,Name,Track Number / Info,Track Length,Release Date,Type,Streaming,Link(s)
N.W.A. And The Posse,"Fat Girl
(prod. Dr. Dre)",Track 10 on N.W.A. And The Posse.,2:48,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/3zZQBK70PhxltIZ9htS8wG?si=XlC3a5_pTuybWqCTklY0zg
N.W.A. And The Posse,"3 The Hard Way
(prod. Dr. Dre & Dr. Rock)",Track 11 on N.W.A. And The Posse.,4:13,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/3D0zSIrr2G6hfBLApXE2Er?si=6Gwy5w0GTTmUyIxKFN2_Og
,Production,,,,,,
N.W.A. And The Posse,"C.I.A. - My Posse
(prod. Dr. Dre)","Track 1 on the 12"" single ""Kru-Cut Records Presents: The C.I.A."", the first and only release by C.I.A., a group Ice Cube was a part of prior to N.W.A alongside Sir Jinx and Kid Disaster. Released under The World Class Wreckin' Cru's label and executive produced by Lonzo.",5:24,1987,Production,Yes,https://open.spotify.com/track/4xDdR3yHPB2AHTjpssaSN2
N.W.A. And The Posse,"C.I.A. - Jus 4 The Cash $
(prod. Dr. Dre)","Track 2 on the 12"" single ""Kru-Cut Records Presents: The C.I.A."".",4:30,1987,Production,Yes,https://open.spotify.com/track/5Sc8UZKW1P8j4RZntpjdtp
N.W.A. And The Posse,"C.I.A. - Ill-Legal
(prod. Dr. Dre)","Track 3 on the 12"" single ""Kru-Cut Records Presents: The C.I.A."".",4:55,1987,Production,Yes,https://open.spotify.com/track/0doETDx34UyzPDr1ZmUmlE
"35 Total
1 Single / Album Track
12 Album Track
22 Production","Straight Outta Compton
(Collaboration with N.W.A.)","(11/06/1987) (N.W.A. And The Posse officially releases)
(01/25/1989) (Straight Outta Compton officially releases)",,,,Straight Outta Compton is the debut studio album of Compton rap group N.W.A.,
Straight Outta Compton,"Straight Outta Compton
(prod. Dr. Dre & DJ Yella)",Track 1 on Straight Outta Compton.,4:18,"Jan 25, 1989",Single / Album Track,Yes,https://open.spotify.com/track/6KIKRz9eSTXdNsGUnomdtW?si=byZ93PnaTcGIBH5qXxmCrw
Straight Outta Compton,"Fuck Tha Police
(prod. Dr. Dre & DJ Yella)",Track 2 on Straight Outta Compton.,5:45,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/5n8Aro6j1bEGIy7Tpo7FV7?si=YHAyWuatQV6cyBYrYeBlTA
Straight Outta Compton,"Gangsta Gangsta
(prod. Dr. Dre & DJ Yella)",Track 3 on Straight Outta Compton.,5:36,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/1pOIpxfrQ8AszXZdKR3aH3?si=VhwrDQVFTM2VYDEmUEotXA
Straight Outta Compton,If It Ain't Ruff,Track 4 on Straight Outta Compton.,3:34,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/68Wj3g73FAl8Q22q9vO6Fw?si=BewtmYFEQr6t1XQoFWbTBg
Straight Outta Compton,Parental Discretion Iz Advised,Track 5 on Straight Outta Compton.,5:15,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/75vzHroJkJWv0AvwzWv1zU?si=znm5X2XCQCmM7Aoqior-OA
Straight Outta Compton,8 Ball (Remix),Track 6 on Straight Outta Compton.,4:52,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/1i0kVfX5LdEdo52St39QM0?si=fBo97d3uSiu5mBddtN-TmA
Straight Outta Compton,Something Like That,Track 7 on Straight Outta Compton.,3:35,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/6wVScBh7XU6rAgIUrqboUB?si=yV1fjqOJRx2SyhKcFGMq7g
Straight Outta Compton,Express Yourself,Track 8 on Straight Outta Compton.,4:25,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/52IuMfbQa9aqRPz2oYPAI8?si=u44s4QwmT3GiJxI7DlPNrw
Straight Outta Compton,Compton's N The House (Remix),Track 9 on Straight Outta Compton.,5:20,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/0nGLRyRhkkGm1vEFkUMctq?si=3xNWMHEmQIWHmYACU1ECIw
Straight Outta Compton,I Ain't Tha 1,Track 10 on Straight Outta Compton.,4:54,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/4YT8aYraXHbVxYeupvChSv?si=1_2iSDtFThm77w3HGXLXMw
Straight Outta Compton,Dopeman (Remix),Track 11 on Straight Outta Compton.,5:20,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/12G1TYIfbpvC0mdFFn4Pbg?si=HVoBSWp7S8W_LQjLODbYmg
Straight Outta Compton,Quiet On The Set,Track 12 on Straight Outta Compton.,3:59,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/7j8g8gUNi8e3yvLMRHKQuY?si=yNEr4gNYRuSkee_rUswHWg
Straight Outta Compton,Something 2 Dance 2,Track 13 on Straight Outta Compton.,3:23\,"Jan 25, 1989",Album Track,Yes,https://open.spotify.com/track/0iQzC9nxzQZ5hVWlE5Lewy?si=ML8hcJ3KRhC0R42YtZe83w
,Production,,,,,,
Straight Outta Compton,"Bobby Jimmy & The Critters - Milkshake
(prod. Dr. Dre & Arabian Prince)","Track 1 on ""Back And Proud"" and released as a single.",4:22,1987,Production,No,
Straight Outta Compton,"Bobby Jimmy & The Critters - N.Y./L.A. Rappers
(prod. Dr. Dre)",Released as a single when Jimmy & The Critters were briefly signed to Ruthless Records. Executive produced by Eazy-E.,5:41,1988,Production,No,
Straight Outta Compton,"Bobby Jimmy & The Critters - Fone Freak
(prod. Dr. Dre)","Released as a b-side for ""N.Y./L.A. Rappers"".",4:19,1988,Production,No,
Straight Outta Compton,"Bobby Jimmy & The Critters - Wienie Whistlers
(prod. Dr. Dre)","Released as a b-side for ""N.Y./L.A. Rappers"".",4:07,1988,Production,No,
Straight Outta Compton,"Eazy-E - Eazy-Duz-It
(add. Dr. Dre, MC Ren & Michel'le) (prod. Dr. Dre & DJ Yella)","Track 6 on ""Eazy-Duz-It"" and released as a single sometime before the album. Samples ""The Back Down"" by Richard Pryor, ""Wino Dealing With Dracula"" by Richard Pryor, ""Dope Man"" by N.W.A, ""My Melody"" by Eric B. & Rakim, ""Girls"" by Beastie Boys, ""Bootzilla"" by Bootsy's Rubber Band, ""Terminator X Speaks with His Hands"" by Public Enemy, ""Go See the Doctor"" by Kool Moe Dee, ""Bass"" by King T, ""Change The Beat (French Rap)"" by Beside, ""Hold It Now, Hit It"" by Beastie Boys, ""Get Off Your Ass and Jam"" by Funkadelic, ""Impeach The President"" by The Honey Drippers, ""Baby Let Me Take You (In My Arms)"" by Detroit Emeralds, ""Boyz-n-the Hood"" by Eazy-E, ""Sing a Simple Song"" by Sly and the Family Stone, ""Let's Go Crazy"" by Prince and the Revolution and ""It's My Turn"" by Dezo Daz.",4:19,1988,Production,Yes,https://open.spotify.com/track/1ohwrBQrxIlqMYfkoYERiN?si=_xzGcyyLQwmFaOjhhHjKwQ
Straight Outta Compton,"Eazy-E - Ruthless Villain
(feat. MC Ren) (add. Dr. Dre) (prod. Dr. Dre & DJ Yella)","Track 3 on ""Eazy-Duz-It"" and released as a single sometime before the album. Excluded from early pressings of the album. Samples ""The Champ"" by The Mohawks and ""8 Ball (Remix)"" by N.W.A.",2:57,1988,Production,Yes,https://open.spotify.com/track/209lm4CLIZIlwEeQby1nWP
Straight Outta Compton,"Eazy-E - Radio
(feat. Greg Mack & Nasty Ness) (add. Dr. Dre, MC Ren, DJ Speed & Stan “The Guitar” Man) (prod. Dr. Dre & DJ Yella)","Track 9 on ""Eazy-Duz-It"" and released as a single sometime before the album. Samples ""Dopeman (Remix)"" by N.W.A, ""Rebel Without a Pause"" by Public Enemy, ""The New Style"" by Beastie Boys, ""Let the Jingle Bells Rock"" by Sweet Tee, ""I Can't Live Without My Radio"" by LL Cool J, ""You're a Customer"" by EPMD, ""The Big Beat"" by Billy Squier, ""King of Rock"" by Run–DMC, ""Heartbeat"" by Taana Gardner and ""World's Famous (Radio I.D.)"" by Malcolm McLaren.",4:58,1988,Production,Yes,https://open.spotify.com/track/3BXZSoQubMuDfDh9GdP8pI?si=hy_sfCnFSxy8ZVQhfqgNUQ
Straight Outta Compton,"J.J. Fad - Supersonic
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 1 on ""Supersonic - The Album"". A version of ""Supersonic"" produced solely by Arabian Prince originally released as a single in 1997, but was remixed for the album. Samples ""Rocket in the Pocket (Live in Paris)"" by Cerrone and ""Change The Beat (French Rap)"" by Beside.",3:53,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/3G3lahQSMk4BHnap1i853u
Straight Outta Compton,"J.J. Fad - Way Out
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 2 on ""Supersonic - The Album"". Samples ""Mary, Mary"" by The Monkees.",2:49,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/2bKTM9zRve0Qd8tYYEwtB8?si=JglIkIA1SpibmgFl3cUZNQ
Straight Outta Compton,"J.J. Fad - Blame It On The Muzick
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 3 on ""Supersonic - The Album"".",3:47,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/4zfis3jO07WTgldWDW7Osl?si=lPjsibFXThqIjUjCbvn_aA
Straight Outta Compton,"J.J. Fad - In The Mix
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 4 on ""Supersonic - The Album"". Samples ""Bounce, Rock, Skate, Roll"" by Vaughan Mason and Crew, ""Musique Non Stop"" by Kraftwerk, and ""122 BPM"" by Willesden Dodgers.",3:32,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/0pL2PJvMCLIrFZuU7nPeZZ?si=fToHEv0TSg-c0CjD4vb4Yg
Straight Outta Compton,"J.J. Fad - Eenie Meenie Beats
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 5 on ""Supersonic - The Album"".",2:55,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/2TF1lr2nApVOzA8RQEGCux?si=Y9sl55I8TR-L9oDOXUo20w
Straight Outta Compton,"J.J. Fad - My Dope Intro
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 6 on ""Supersonic - The Album"". Samples ""Get Up and Dance"" by Freedom,
""Black Grass"" by Bad Bascomb, ""Apache"" by Incredible Bongo Band, and ""The Boogie Back"" by Roy Ayers Ubiquity.",3:38,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/5JGmTcCPa2BEGTRklu78yk?si=AryO0Kq4R9GP2H8sXPd4hw
Straight Outta Compton,"J.J. Fad - Let's Get Hyped
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 7 on ""Supersonic - The Album"".",3:41,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/0k6ujCjF4G54ZqUGawKtVc?si=fjZPU7zAQy6q3G_FcP1SgA
Straight Outta Compton,"J.J. Fad - Now Really
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 8 on ""Supersonic - The Album"". Samples ""My Philosophy"" by Boogie Down Productions.",3:20,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/0kaywDSxHbtCnk7dOk6fnz?si=waRwG_34Qu-hUaje2f1DZQ
Straight Outta Compton,"J.J. Fad - Time Tah Get Stupid
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 9 on ""Supersonic - The Album"".",1:55,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/1w1ruopvkS5miTePjQxkOe?si=CZYLJXAbQ4O116RgzuBIDQ
Straight Outta Compton,"J.J. Fad - Is It Love
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 10 on ""Supersonic - The Album"".",3:04,"Jun 15, 1988",Production,Yes,https://open.spotify.com/track/2pxXrmgstADhRFZg1vrm6L?si=79oW5rhOTh-prN5_k9D68w
Straight Outta Compton,"J.J. Fad - Comin' Correct
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Track 7 on the soundtrack for the film ""Coming To America"" starring Eddie Murphy. Appeared as a b-side on the single release of ""Way Out"" as well.",3:56,"Jul 1, 1988",Production,No,
,Other,,,,,,
Straight Outta Compton,"Eazy-E - Eazy-Duz-It (Radio Edit)
(prod. Dr. Dre & DJ Yella)","Shortened version of ""Eazy-Duz-It"" released alongside the album version as a single.",3:47,1988,Production,No,
Straight Outta Compton,"J.J. Fad - Supersonic (Remix)
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Lengthy remix of ""Supersonic"" released as a single.",6:45,"Jun 27, 1988",Production,No,
Straight Outta Compton,"J.J. Fad - Supersonic (Without Intro)
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Shortened version of ""Supersonic"" included on some versions of the single.",3:20,"Jun 27, 1988",Production,No,
Straight Outta Compton,"J.J. Fad - Way Out (Long Version)
(prod. Dr. Dre, DJ Yella & Arabian Prince)","Extended mix of ""Way Out"" released as a single.",5:15,"Jul 1, 1988",Production,No,
"79 Total
1 Intro
12 Album Track
5 Interlude
6 Feature
55 Production","efiL4zaggiN
(Collaboration with N.W.A.)
(Niggaz4Life)","(01/25/1988) (Straight Outta Compton officially releases)
(05/28/1991) (efiL4zaggiN officially releases)",,,,"efiL4zaggiN (Niggaz4Life spelled backwards) is the second and final studio album by N.W.A., and the only N.W.A. album to not feature Ice Cube as a group member. The project is notable for its extremely dark sound, lyrics and subject matter such as rape and mutilation, teetering on horrorcore at some points. This is in stark contrast to other N.W.A. projects which are somewhat lighter in tone.",
,Album Tracks,,,,,,
efiL4zaggiN,Prelude,Track 1 on efiL4zaggiN.,2:27,"May 28, 1991",Intro,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Real Niggaz Don't Die,Track 2 on efiL4zaggiN.,3:40,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Niggaz 4 Life,Track 3 on efiL4zaggiN.,4:58,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Protest,Track 4 on efiL4zaggiN.,0:53,"May 28, 1991",Interlude,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Appetite For Destruction,Track 5 on efiL4zaggiN.,3:22,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Don't Drink That Wine,Track 6 on efiL4zaggiN.,1:07,"May 28, 1991",Interlude,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Alwayz Into Somethin',Track 7 on efiL4zaggiN.,4:25,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Message To B.A.,Track 8 on efiL4zaggiN.,0:48,"May 28, 1991",Interlude,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Real Niggaz,Track 9 on efiL4zaggiN.,4:27,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,To Kill A Hooker,Track 10 on efiL4zaggiN.,0:50,"May 28, 1991",Interlude,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,One Less Bitch,Track 11 on efiL4zaggiN.,4:47,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,"Findum, Fuckum And Flee",Track 12 on efiL4zaggiN.,3:54,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Automobile,Track 13 on efiL4zaggiN.,3:15,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,She Swallowed It,Track 14 on efiL4zaggiN.,4:14,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,I'd Rather Fuck You,Track 15 on efiL4zaggiN.,3:57,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,Approach To Danger,Track 16 on efiL4zaggiN.,2:47,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,1-900-2-Compton,Track 17 on efiL4zaggiN.,1:27,"May 28, 1991",Interlude,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
efiL4zaggiN,The Dayz Of Wayback,Track 18 on efiL4zaggiN.,4:15,"May 28, 1991",Album Track,Yes,https://open.spotify.com/album/3OSID3YChn6nOjfUAlSXQZ?si=Pf9hNsLHSSyIn8kakkFZCg
,Features,,,,,,
efiL4zaggiN,"Above The Law - The Last Song
(feat. N.W.A) (prod. Dr. Dre, Above The Law & Laylaw)","Track 10 on ""Livin’ Like Hustlers. Features verses from Dr. Dre, MC Ren and Eazy-E. Samples ""Baby Let Me Take You (In My Arms)"" by the Detroit Emeralds and ""Gangsta Gangsta"" by N.W.A.",6:21,"Feb 20, 1990",Feature,Yes,
efiL4zaggiN,"Tairrie B - Player
(feat. Eazy-E, Dr. Dre & The D.O.C.)","Track 9 on The Power of A Woman. Dr. Dre, Eazy & D.O.C. have vocals in the intro and outro.",5:24,"Jun 12, 1990",Feature,Yes,https://music.apple.com/us/song/player-feat-eazy-e-dr-dre-the-d-o-c/1443862467
efiL4zaggiN,"The D.O.C. - The Grand Finalé
(feat. N.W.A) (prod. Dr. Dre)","Track 13 on ""No One Can Do It Better"". Includes drums by DJ Yella and guitar by Stan “The Guitar” Man. Samples ""Chocolate City"" by Parliament.",4:40,"Jul 13, 1989",Feature,Yes,
efiL4zaggiN,"The West Coast Rap All-Stars - We're All In The Same Gang
(feat. King Tee, Body & Soul, Def Jef, Tone Loc, Above The Law, N.W.A, Michel'le, Digital Underground, Young M.C., Ice-T, Eazy-E, Oaktown's 3.5.7, MC Hammer & J. J. Fad) (add. Lee Marshall) (prod. Dr. Dre)",A massive collaboration between west coast rap artists released as a single in promotion of an anti-gang violence message. Included on a compilation of the same name as track 1.,7:28,"May 22, 1990",Feature,No,
efiL4zaggiN,"The West Coast Rap All-Stars - We're All In The Same Gang (Radio Special)
(feat. King Tee, Body & Soul, Tone Loc, N.W.A, Michel'le, Digital Underground, Young M.C., Ice-T & Eazy-E) (prod. Dr. Dre)","Shortened version of ""We're All In The Same Gang"" for radio that removes a handful of verses. Included on the song's single release.",4:15,"May 22, 1990",Feature,No,
efiL4zaggiN,"The West Coast Rap All-Stars - We're All In The Same Gang (Gangster Mix)
(feat. King Tee, Body & Soul, Def Jef, Tone Loc, Above The Law, N.W.A, Michel'le, Digital Underground, Young M.C., Ice-T, Eazy-E, Oaktown's 3.5.7, MC Hammer & J. J. Fad) (prod. Dr. Dre)","Gangster mix included as track 11 on the ""We're All In The Same Gang"" compilation album.",8:18,"Jun 12, 1990",Feature,No,
,Production,,,,,,
efiL4zaggiN,"Above The Law - Murder Rap
(prod. Dr. Dre, Above The Law & Laylaw)","Track 1 on ""Livin’ Like Hustlers"" and the lead single released for the album. Samples ""Ironside"" by Quincy Jones, ""Hook and Sling - Part I"" by Eddie Bo, ""Keep Your Distance"" by Babe Ruth, ""Funky Drummer"" by James Brown, and ""Sister Sanctified"" by Stanley Turrentine & Milt Jackson.",4:13,"Feb 8, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Untouchable
(prod. Dr. Dre, Above The Law & Laylaw)","Track 2 on ""Livin’ Like Hustlers. Samples ""Light My Fire"" by Young-Holt Unlimited, ""Ironside"" by Quincy Jones, ""Funky Drummer"" by James Brown, and ""Fuck tha Police"" by N.W.A.",3:43,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Livin' Like Hustlers
(add. Dr. Dre) (prod. Dr. Dre, Above The Law & Laylaw)","Track 3 on ""Livin’ Like Hustlers. Samples ""Hikky Burr"" by Quincy Jones & Bill Cosby, ""The Champ"" by The Mohawks, ""Hot (I Need to Be Loved, Loved, Loved, Loved)"" by James Brown, ""Comm. 2"" by The D.O.C. and ""The Big Beat"" by Billy Squier.",5:44,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Another Execution
(add. Dr. Dre) (prod. Dr. Dre, Above The Law & Laylaw)","Track 4 on ""Livin’ Like Hustlers"" and released as a b-side to ""Murder Rap"". Samples ""Do Your Thing"" by Lyn Collins, ""Good Old Music"" by Funkadelic, and ""Afro-Strut"" by the Nite-Liters.",4:20,"Feb 8, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Menace To Society
(prod. Dr. Dre, Above The Law & Laylaw)","Track 5 on ""Livin’ Like Hustlers. Samples ""Let a Woman Be a Woman, Let a Man Be a Man"" by Dyke and the Blazers, ""I Got You (I Feel Good)"" by James Brown, and ""Once You Get It"", ""This House Is Smokin'"" and ""Do You Like It"" by B.T. Express.",4:31,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Just Kickin' Lyrics
(add. Dr. Dre) (prod. Dr. Dre, Above The Law & Laylaw)","Track 6 on ""Livin’ Like Hustlers. Includes keys by LA Dre. Samples ""Hyperbolicsyllabicsesquedalymistic"" by Isaac Hayes, ""More Peas"" by Fred Wesley & the J.B.'s, and ""Papa Was Too"" by Joe Tex.",4:20,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Ballin'
(prod. Dr. Dre, Above The Law & Laylaw)","Track 7 on ""Livin’ Like Hustlers. Includes bass and guitar by Mike Sims. Samples ""Why Have I Lost You"" by Cameo.",4:18,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Freedom Of Speech
(prod. Dr. Dre, Above The Law & Laylaw)","Track 8 on ""Livin’ Like Hustlers. Includes keys by LA Dre and bass and guitar by Mike Sims. Samples ""The Message from the Soul Sisters"" by Myra Barnes and ""Funky Drummer"" by James Brown.",4:16,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Above The Law - Flow On
(add. Dr. Dre) (prod. Dr. Dre, Above The Law & Laylaw)","Track 9 on ""Livin’ Like Hustlers. Includes keys by LA Dre, and bass by Mike Sims. Samples ""Move Me No Mountain"" by Love Unlimited and ""Paid in Full"" by Eric B. & Rakim.",3:56,"Feb 20, 1990",Production,Yes,
efiL4zaggiN,"Eazy-E - Still Talkin'
(add. Ice Cube & Dr. Dre) (prod. Dr. Dre & DJ Yella)","Track 1 on ""Eazy-Duz-It"". Samples ""Prelude"" by Parliament and ""The Champ"" by The Mohawks",3:38,"Sep 13, 1988",Production,Yes,
efiL4zaggiN,"Eazy-E - Nobody Move
(add. MC Ren) (prod. Dr. Dre & DJ Yella)","Track 2 on ""Eazy-Duz-It"". Samples ""Sixty Minute Man"" by Rufus Thomas, ""Rapp Dirty/Blowfly's Rapp"" by Blowfly, ""Nobody Move, Nobody Get Hurt"" by Yellowman and ""Living for the City"" by Stevie Wonder.",4:47,"Sep 13, 1988",Production,Yes,
efiL4zaggiN,"Eazy-E - 2 Hard Mutha’s
(feat. MC Ren) (add. Dr. Dre & DJ Yella) (prod. Dr. Dre & DJ Yella)","Track 4 on ""Eazy-Duz-It"".",4:26,"Sep 13, 1988",Production,Yes,
efiL4zaggiN,"Eazy-E - Boyz-N-The-Hood (Remix)
(add. Dr. Dre, MC Ren & Ice Cube) (prod. Dr. Dre & DJ Yella)","Track 5 on ""Eazy-Duz-It"".",6:20,"Sep 13, 1988",Production,Yes,
