Era,Name,Notes,Date,Type,Portion,Quality,Link(s)
The Aftermath,"Been There, Done That [Music Video]","Official music video for Been There, Done That.",,Music Video,Full,High Quality,https://youtu.be/c80dWbiONqM?si=RKf7R--lRLG2OBpq
,"2001
(Chronic 2001, Chronic 2000: No Seeds, Chronic 2000, The Chronic II)","(03/22/1996) (Dr. Dre leaves Death Row Records)
(??/??/1998) (2001 sessions begin)
(11/16/1999) (2001 officially releases)",,2001 (otherwise known as Chronic 2001 or simply The Chronic 2) is the sophomore studio album of Compton rapper/producer Dr. Dre.,,,
,Music Videos,,,,,,
2001,"Forgot About Dre [Music Video]
(feat. Eminem) (dir. Philip Atwell)",Official music video for Forgot About Dre.,,Music Video,Full,High Quality,https://youtu.be/QFcv5Ma8u8k?si=w2qqWttchGsSwfVo
2001,"Still D.R.E. [Music Video]
(feat. Snoop Dogg) (dir. Hype Williams)",Official music video for Still D.R.E.,,Music Video,Full,High Quality,https://youtu.be/_CL6n0FJZpk?si=55xUp_JrMk_R7n_e
2001,"The Next Episode [Music Video]
(feat. Snoop Dogg, Kurupt & Nate Dogg) (dir. Paul Hunter)",Official music video for The Next Episode.,July 2000,Music Video,Full,High Quality,https://youtu.be/QZXc39hT8t4?si=yHDVFv88FEX895c_
2001,"Zoom [Music Video]
(with LL COOL J) (dir. Hubert Bodner)",Official music video for Zoom.,1998,Music Video,Full,High Quality,https://youtu.be/hctD2mwHpRc?si=rNMOpOesjuWXmvUE
2001,"Blackstreet - No Diggity [Music Video]
(feat. Dr. Dre & Queen Pen) (dir. Hype Williams)",Official music video for No Diggity.,,Music Video,Full,High Quality,https://youtu.be/3KL9mRus19o?si=o06g_U-dcgA4oTu0
2001,"Eminem - Guilty Conscience [Music Video]
(feat. Dr. Dre) (dir. Philip Atwell & Dr. Dre)",Official music video for Guilty Conscience.,,Music Video,Full,High Quality,https://youtu.be/Xbw_BxDwdjk?si=9FyJZ0yNkFBwgaHN
2001,"Soul Assassins - Puppet Master [Music Video]
(feat. Dr. Dre)",Official music video for Puppet Master.,1997,Music Video,Full,CD Quality,https://youtu.be/eTPjOgOaOl8?si=TBqrtwCP3yqybJ3I
,Never Recorded,,,,,,
2001,"Forgot About Dre
(prod. Bud'da)","In an interview with DubCNN from May 2011, Bud'da mentioned that Dre gave him the opportunity to ""come up with music"" for Forgot About Dre, and that none of it was used except some programming he did for the song.",,Other,Never Recorded,N/A,
2001,"???
(feat. Notorious B.I.G. & King Tee) (prod. Dr. Dre)","Hittman stated on twitter that he was told by Mel-Man that Dr. Dre, King Tee and Biggie Smalls were set to make a collaboration song before Biggie's death, it is unknown if any material was produced, recorded or written but it is possible it was meant for Thy Kingdom Come, King Tee's unreleased Aftermath album.",,Production,Never Recorded,N/A,https://www.hotnewhiphop.com/331684-dr-dre-notorious-big-and-king-tee-were-supposed-to-collaborate-news
,"N.W.A. Reunion Album
(Collaboration with N.W.A.)
(Not These Niggaz Again, Not Those Niggaz Again)","(??/??/1999) (The album begins production)
(11/??/2003) (MC Ren says nothing is happening with the N.W.A. reunion)",,"In 1999, the members of N.W.A. (aside from Eazy-E & DJ Yella) would record the song ""Chin Check"" for the soundtrack of Ice Cube's movie 'Next Friday'. This song sparked the idea of an N.W.A. reunion album, which began being teased after the soundtrack's release. Snoop Dogg would take the place of Eazy-E in this reunion, which was Dre's idea according to MC Ren. A 2nd N.W.A. track called ""Hello"" would release on Ice Cube's album 'War & Peace Vol. 2 (The Peace Disc)', and would feature verses from Dre and MC Ren as well as ad-libs from Snoop Dogg. As time went by, nothing was heard from the album, and by 2003 ""Chin Check"" would be put on a re-issue of the N.W.A. Greatest Hits album whilst MC Ren said that nothing was going on with the reunion. The main title this album goes by is 'Not These Niggaz Again' which comes from a Dre line on Xzibit's song ""X"" that was later repeated on Eminem's song ""Bitch Please II"".",,,
N.W.A. Reunion,Untitled,This instrumental was played in the Straight Outta Compton movie where Eazy-E collapses due to his sickness. Unclear if it was actually an instrumental made back in the day or if it was just made for the movie.,,Unknown,Partial,Recording,https://pixeldrain.com/u/SKQmDjzq
,Detox [V1],"(11/16/1999) (2001 officially releases)
(02/??/2002) (Detox sessions start in full force)
(08/??/2004) (Dre gives up on Detox)
(11/??/2004) (Dre announces that he's back to working on Detox)",,"The first era of Detox. Off the heels from 2001 Dre took some time to help bring up Eminem and Xzibit's albums and work with other artists, of course while working on his then supposed to be third album, Detox. Dre himself would state that Detox would be a ""hip hop musical"" of sorts, conceptualized about a hitman. However, the concept was scrapped a couple years after. Not much material has leaked from this era but at the time Dre was promoting this as his final album before retiring (even claiming that the verse he recorded for Where I'm From would be his last verse ever). In 2004, Dre also mentioned he wanted to put out up to 12 singles for the album as well, however later that year he seems to have restarted development once again. Songs such as Want Me Back would leave a legacy for Dre.",,,
,Music Videos,,,,,,
Detox [V1],"Ice Cube - Hello [Music Video]
(feat. MC Ren & Dr. Dre) (dir. Philip Atwell)",Official music video for Hello.,Jan 2000,Music Video,Full,High Quality,https://youtu.be/ShWDx9g7zbg?si=Xs5MEnw9mbVIEnei
Detox [V1],"Knoc-Turn'Al - The Knoc [Music Video]
(feat. Dr. Dre & Missy Elliot) (dir. Jeff Richter)",Official music video for The Knoc.,Jan 2000,Music Video,Full,High Quality,https://youtu.be/eyklttqjDTs?si=8rde0Pc4nkUJ1pkz
Detox [V1],"Xzibit - Symphony In X Major [Music Video]
(feat. Dr. Dre) (dir. Joe Hahn)",Official music video for Symphony In X Major.,2002,Music Video,Full,High Quality,https://youtu.be/b-bUJZp-rz8?si=7EyCDKycd9JHrive
,Never Recorded,,,,,,
Detox [V1],"JAY-Z - ???
(prod. Dr. Dre)","Dr. Dre was listed as a producer on the early Black Album tracklist when the concept of the album was 13 songs and 13 producers, however, he doesn't appear in the final album. This was because when JAY-Z had his studio session with Dre he couldn't find the right beat to use and so nothing was recorded.",,Production,Never Recorded,N/A,https://web.archive.org/web/20050122102831/http://www.mtv.com/news/articles/1479256/20030924/jay_z.jhtml
Detox [V1],The Watcher 2 [Music Video],"According to Ab-Liva, Dre wanted to make a big music video for the original version of The Watcher 2 and release it as a maxi-single. 3 days after Dre said this to Ab-Liva he then later said he no longer had any interest in it.",2000,Music Video,Never Recorded,N/A,https://youtu.be/dUzc__gDggI?t=81
,"The Wash (The Original Motion Picture Soundtrack)
(Soundtrack for The Wash, Collaboration with multiple artists)","(??/??/2001) (Recording sessions start)
(11/6/2001) (The Wash OST releases)
(11/16/2001) (The Wash releases)",,The Wash was a movie written and directed by notable producer DJ Pooh and starred multiple Aftermath related artists. It was received very poorly by critics. Despite this a soundtrack for it was also put out containing several original songs.,,,
,Music Videos,,,,,,
The Wash,"Bad Intentions [Music Video]
(feat. Knoc-Turn'Al)",Official music video for Bad Intentions.,Feb 2000,Music Video,Full,High Quality,https://youtu.be/UhSVlp2-u20?si=ikEf2mKj6NczuoU7
,Detox [V2],"(11/??/2004) (Dre announces that he's back to working on Detox)
(??/??/2005) (The D.O.C. reunites with Dre and starts working on Detox)
(09/??/2007) (Dr. Dre flies out to Detroit to help Eminem finish his mixtape)",,Detox V2 was quite the busy time for Dre and was the start of the many delays that would happen to Detox. During this time Dre would start to branch out for working with artists and would change up the Detox sound. This was also the era when his working relationship with JAY-Z really came to a start. We dont have many leaks from this time but from what we know this was a promising iteration of Detox.,,,
,Music Videos,,,,,,
Detox [V2],"Eminem - Syllables [Music Video]
(feat. JAY-Z, Dr. Dre, 50 Cent, Stat Quo & Ca$his)","According to Ca$his, Syllables was gonna have a music video. Unclear if this was ever shot judging by the way he said it.",,Music Video,Rumored,N/A,
,Never Recorded,,,,,,
Detox [V2],Say Dr. Dre [V2],"Erotic D mentioned that the Say Dr. Dre reference track leaked out before Dre used it, which meant that Dre never recorded for the song. It was implied Dre was going to record for the track, but it leaked, so he did not end up using it.",,Throwaway,Never Recorded,N/A,https://www.dubcnn.com/interviews/eroticd-part2/
Detox [V2],"When The Gun Draws [V2]
(feat. Mr. Porter) (prod. Mr. Porter)","According to Mr. Porter, When The Gun Draws by Pharaohe Monch was originally made for Detox. Judging by what Porter said in the same article, it seems like he took the song back before Dre used it.",,OG,Never Recorded,N/A,https://web.archive.org/web/20220626165254/https://hiphopdx.com/news/id.71288/title.pharoahe-monchs-gun-draws-was-meant-for-dr-dres-detox-13-others-things-we-learned-about-desire-lp#
Detox [V2],"??? [V1]
(prod. DJ Khalil)
(I Made It)","According to DJ Khalil, the song was originally made for Detox, but when Dre sent it to Jay to write for him Jay really liked the song and begged for Dre to let him have it for Kingdom Come.",,OG,Never Recorded,N/A,https://www.hotnewhiphop.com/340345-dj-khalil-on-how-kendrick-lamar-influences-him-dr-dre-update-and-timbaland-controversy-news
Detox [V2],"??? [V1]
(prod. Mr. Porter)
(Decision)","According to Mr. Porter, Busta Rhymes' song ""Decisions"" was originally made for Detox. Judging by what Mr. Porter said in a Complex article talking about the song, Busta was given the song before Dre could record on it.",,OG,Never Recorded,N/A,"https://web.archive.org/web/20220626165254/https://hiphopdx.com/news/id.71288/title.pharoahe-monchs-gun-draws-was-meant-for-dr-dres-detox-13-others-things-we-learned-about-desire-lp#
https://www.complex.com/music/a/daniel-isenberg/interview-mr-porter-classics"
Detox [V2],"??? [V1]
(prod. Hi-Tek)
(Runnin')","According to Hi-Tek, he originally sent the song with Detox in mind.",,OG,Never Recorded,N/A,
Detox [V2],"DMX - ???
(prod. Dr. Dre)","Dre sent a beat to DMX around the time he left Def Jam however, DMX never recorded for it because Dre only wanted DMX on the beat. DMX's people wanted to turn it into a posse cut and when they reached out to Dr. Dre he said ""Nah, keep that beat for X"".",,Production,Never Recorded,N/A,https://www.vibe.com/music/music-news/dmx-talks-staying-sober-new-reality-show-being-single-losing-dre-beat-pg2-44984/
Detox [V2],"Eminem - ???
(prod. Dr. Dre)","According to Eminem, he had a session with Dre to make songs for Curtain Call, but because Em couldn't come up with anything nothing was recorded.",,Throwaway,Never Recorded,N/A,
,Other,,,,,,
Detox [V2],50 Cent: Bulletproof (All Eminem & Dr. Dre Cutscenes),All cutscenes from 50 Cent: Bulletproof that include Eminem & Dr. Dre.,2005,Other,Full,High Quality,https://archive.org/details/bulletproof-scenes-50
Detox [V2],The D.O.C. DubCNN Interview,"A recording of the December 2006 DubCNN interview with D.O.C. where they discuss Detox, Bishop Lamont, Snoop Dogg's Blue Carpet Treatment album, Six-two's Deuce album, The D.O.C.'s unreleased album ""Voices Through Hot Vessels"" and a few other topics.  ",2006,Other,Full,Low Quality,https://pillows.su/f/27dc19ca22814e0578ab875132c88600
,Detox [V3],"(09/??/2007) (Dr. Dre flies out to Detroit to help Eminem finish his mixtape)
(03/16/2009) (Eminem, Dr. Dre & 50 Cent fly to Vegas to shoot the We Made You music video)",,"One of the more lesser heard from eras of Detox is the third iteration, it was mostly carried by Bishop Lamont & Hayes with Slim The Mobster only getting involved near the end of this version around 2007. Dre was noticeably quiet on the released music side with not much content involving his name coming out. This version of Detox would also start to introduce different producers into the sound such as Jake One and DJ Khalil along with working with other artists such as T.I. & Rain 910. Lastly, this era would also introduce Sly Pyper, Dre's most underrated Aftermath artist.",,,
,Never Recorded,,,,,,
Detox [V3],"Bishop Lamont - I Dominate [Music Video]
(feat. Dr. Dre)","A music video for I Dominate was shot, but due to the song not releasing, the music video was shelved as well.",,Music Video,Confirmed,Not Available,
,Never Recorded,,,,,,
Detox [V3],"Eminem - ??? [V1]
(prod. Dr. Dre)
(I Get It In)","Dr. Dre originally made the beat for Em to record on, but it was given to 50 instead.",,OG,Never Recorded,N/A,https://web.archive.org/web/20090216211344/http://mtv.com:80/news/articles/1602122/20090106/50_cent.jhtml
,Planets,"(??/??/2008) (Dre begins working on the album)
(??/??/2010) (The album is presumably scrapped)",,Dre started work in 2008 on a conceptual type album called Planets which would be a surround sound like instrumental album. This project was mentioned once and never again so who knows what happened to it.,,,
Planets,,,,,Confirmed,Not Available,N/A
,Detox [V4],"(03/16/2009) (Eminem, Dr. Dre & 50 Cent fly to Vegas to shoot the We Made You music video)
(11/14/2011) (Dre announces a break from solo music)",,"The most wanted version of Detox. Coming out of ""Relapse"" sessions ""Detox"" is finally put into full focus by Dr. Dre, and the most extensive sessions are held through this period. Singles are released and the album comes the closest it ever did to releasing, but ultimately burns out and Dre steps back from working on his own music again in 2011.",,,
,Music Videos,,,,,,
Detox [V4],"I Need A Doctor [Music Video]
(feat. Eminem & Skylar Gray) (dir. Allen Hughes)",Official music video for I Need A Doctor.,"Feb 24, 2011",Music Video,Full,1080p,https://youtu.be/VA770wpLX-Q?si=jszd5d9w3bdM8YAw
Detox [V4],"Kush [Music Video]
(feat. Snoop Dogg & Akon) (dir. Joe Hahn)",Official music video for Kush.,"Dec 10, 2010",Music Video,Full,1080p,https://youtu.be/BuJDaOVz2qY?si=f5_vYU2yXPmPlC_c
Detox [V4],"Eminem - We Made You [Music Video]
(dir. Joseph Kahn)",Official music video for We Made You. 50 Cent and Dr. Dre make guest appearances with infamous YouTuber Trisha Paytas playing the girl in the intro. Also the pornstar Lisa Ann is in this for all the old head gooners.,"Apr 7, 2009",Music Video,Full,1080p,https://www.youtube.com/watch?v=RSdKmX2BH7o
Detox [V4],"Eminem - We Made You [Director's Cut Music Video]
(dir. Joseph Kahn)",Uncensored We Made You music video that was only shown once. Features Eminem playing with Lisa Ann's breasts.,,Music Video,Full,1080p,https://drive.google.com/file/d/14fWAt2dSj7TTCds0hL_voWYJH1y-onH-/view
Detox [V4],"Raekwon - Catalina [Music Video]
(feat. Lyfe Jennings) (prod. Dr. Dre & Mark Batson)",Official music video for Catalina.,"Nov 9, 2009",Music Video,Full,360p,https://youtu.be/zO1C8_YS30Y?si=UjX7xtvh7Y6oaDri
,Never Recorded,,,,,,
Detox [V4],"I Need A Doctor
(feat. Eminem & Lady Gaga)","INAD's hook was originally ghost-written by Skylar Grey for Lady Gaga, but Em decided to keep Skylar on the song as a thank you for Love The Way You Lie's success.",,OG,Never Recorded,N/A,N/A
Detox [V4],???,"Beat played in a video with Slim The Mobster in the studio. Unknown if this was ever recorded on. Samples ""Polovtsian Dances and Suie from Prince Igor"", seemingly the version performed by the BBC Symphony.",,Production,Never Recorded,Recording,https://vimeo.com/8212004?fl=pl&fe=vl
,"Detox [V5]
(Thanks To My Patients For Your Patience)","(11/14/2011) (Dre announces a break from solo music)
(08/05/2014) (Princple photography for Straight Outta Compton begins)",,"Taking a step back from solo music Dre focuses heavily on ushering in a new era of Afermath artists while giving some side time to another version of Detox. From this stretch of time emerges Jon Connor, Kendrick Lamar and the formation of the ICU. Though this version of Detox didn't bear much fruit it morphed into what we now know as Compton.",,,
,Music Videos,,,,,,
Detox [V5],"50 Cent - New Day [Lyric Video 1]
(feat. Dr. Dre & Alicia Keys) (prod. Dr. Dre, Swizz Beats & Eminem)",Official lyric video for New Day.,"Aug 18, 2012",Lyric Video,Full,1080p,https://www.youtube.com/watch?v=la6Jq1Zj_vY
Detox [V5],"50 Cent - New Day [Lyric Video 2]
(feat. Dr. Dre & Alicia Keys) (prod. Dr. Dre, Swizz Beats & Eminem)",Official lyric video for New Day.,"Aug 24, 2012",Lyric Video,Full,1080p,https://www.youtube.com/watch?v=x0mmajhLKh8
Detox [V5],"50 Cent - New Day [Music Video]
(feat. Dr. Dre & Alicia Keys) (prod. Dr. Dre, Swizz Beats & Eminem)","A music video for New Day was gonna be shot in September of 2012, but was scrapped due to Chris Lighty's death.",Sep 2012,Music Video,Never Recorded,N/A,https://web.archive.org/web/20120918222439/http://realtalkny.uproxx.com/2012/09/topic/topic/interviews/video-50-cent-speaks-on-chris-lighty-doesnt-believe-it-was-a-suicide/
Detox [V5],"Kendrick Lamar - The Recipe [Music Video]
(feat. Dr. Dre) (prod. Scoop DeVille)","A music video for The Recipe was shot, and some pictures of it are available online. Unknown why it was never released.",,Music Video,Confirmed,Not Available,https://www.dubcnn.com/2018/10/04/sir-jinx-interview-october-2018/
Detox [V5],"Kendrick Lamar - The Recipe [Lyric Video]
(feat. Dr. Dre) (prod. Scoop DeVille)",Official lyric video for The Recipe.,"Apr 23, 2012",Lyric Video,Full,1080p,https://www.youtube.com/watch?v=YpugK0RpEaU
,Never Recorded,,,,,,
Detox [V5],"??? [V2]
(feat. Rick Ross & Rihanna)
(Mafia Music III)","According to Bink!, Dr. Dre wanted Rihanna on the hook of what would become Mafia Music III, but because he never revisited the song this never happened.",,OG,Never Recorded,N/A,https://www.xxlmag.com/6-producers-making-rick-ross-mastermind/#photogallery-1=3
,Live Performances,,,,,,
Detox [V5],Eminem - Live at the Beats Music Event,"Eminem performed at the Beats Music Event alongside Dr. Dre.

1. My Name Is
2. Forgot About Dre (feat. Dr. Dre)
3. Lose Yourself","Apr 21, 2014",Live Performance,Full,High Quality,https://youtu.be/Dn3qfGz_Yq8?si=jcABS8FQMajhZ1vI
,"Compton
(Compton: A Soundtrack By Dr. Dre)","(08/05/2014) (Principal photography for Straight Outta Compton begins)
(08/07/2015) (Compton officially releases)",,"Inspired by working on ""Straight Outta Compton"" and the memories of his early career, Dr. Dre works on ""Compton"", first intended as a tie-in soundtrack for the movie but evolving to take its place as his long-awaited third studio album.",,,
,Music Videos,,,,,,
Compton,Talk About It [Music Video],Official lyric video for Talk About It.,"Aug 7, 2020",Lyric Video,Full,1080p,https://www.youtube.com/watch?v=T9CHWOsGrx0
Compton,Talking To My Diary [Music Video],A music video for Talking To My Diary was apparently filmed but never released. According to Michael K. Williams (who was part of the music video) it turned into something bigger.,,Music Video,Confirmed,Not Available,https://www.youtube.com/watch?v=SaCkDOQtHlA
,Never Recorded,,,,,,
Compton,"Just Another Day
(feat. The Game, Kendrick Lamar & Asia Bryant) (prod. Trevor Lawrence Jr. & Neff-U)","According to Asia Bryant, Kendrick Lamar was originally supposed to be on ""Just Another Day"", however, Kendrick hopped on another track which Dre thought was a better fit.",,OG,Never Recorded,N/A,"https://web.archive.org/web/20151122043422/http://mrwavvy.com/asia-bryant/"
Compton,"Loose Cannons 
(feat. Cold 187um, Eminem & Sly Pyper)","According to Cold 187um, Eminem was considered to be on Loose Cannons before Xzibit was on the song.",,OG,Never Recorded,N/A,https://youtu.be/MwP3PZ4I0S4?si=aH4L790rRP9Vpd_X&t=237
Compton,"Loose Cannons 
(feat. Cold 187um, Ice Cube & Sly Pyper)","According to Cold 187um, Ice Cube was considered to be on Loose Cannons before Xzibit was on the song.",,OG,Never Recorded,N/A,https://youtu.be/MwP3PZ4I0S4?si=aH4L790rRP9Vpd_X&t=237
Compton,"Loose Cannons 
(feat. Cold 187um, Snoop Dogg & Sly Pyper)","According to Cold 187um, Snoop Dogg was considered to be on Loose Cannons before Xzibit was on the song.",,OG,Never Recorded,N/A,https://youtu.be/MwP3PZ4I0S4?si=aH4L790rRP9Vpd_X&t=237
