Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Old Self,Old Self,"Tracklist for the offical release of Old Self.

1. Super Sayin 14
2. Careless Vibes (feat. Hendoo)
3. Real (feat. Skynny Blu3)
4. Lithium (Hope It Ain't Too Late)
5. FUCK NIGGA (feat. Kodie Shane)
6. DRUGGY (feat. TTO K.T)
7. Trench Dweller
8. Love Is Dead
9. 2014 Freestyle
10. I'm Rich !
11. APPLY THE PRESSURE (feat. TTO K.T)
12. Pull Up On You (feat. Rasta Papii)
13. HOT BOYS (feat. Lil Twist & Fooly Faime)
14. Beat It
15. Superman (feat. Major Zoe)
16. All The Way Home (feat. Bobby Biz & Major Zoe)
17. 1400/Zoe Gang (Turn Me Up) (feat. Major Zoe)",,"Feb 28, 2019",N/A,Trippie,
!,!,"Tracklist for the offical release of !.

1. !
2. Snake Skin
3. Be Yourself
4. I Try
5. They Afraid of You (feat. Playboi Carti)
6. Immortal (feat. The Game)
7. Throw It Away
8. Keep Your Head Up
9. RIOT
10. Mac 10 (feat. Lil Baby & Lil Duke)
11. Everything BoZ (feat. Coi Leray)
12. Under Enemy Arms
13. Lil Wayne
14. Signing Off",,"Aug 9, 2019",N/A,Trippie,
!,! (Revision),"A version of ! where the song ""They Afraid of You"" has been taken off, aswell as I Try. The song was taken off on April 10, 2024.

1. !
2. Snake Skin
3. Be Yourself
4. Immortal (feat. The Game)
5. Throw It Away
6. Keep Your Head Up
7. RIOT
8. Mac 10 (feat. Lil Baby & Lil Duke)
9. Everything BoZ (feat. Coi Leray)
10. Under Enemy Arms
11. Lil Wayne
12. Signing Off",,"Apr 10, 2024",N/A,Trippie,
A Love Letter To You 4,A Love Letter To You 4,"An early version of the ALLTY4 tracklist, being 20 tracks.

1. Who Needs Love
2. Love Sick
3. Love Me More
4. Real Feel
5. This Ain't That (feat. Lil Mosey)
6. 6 Kiss (feat. Juice WRLD & YNW Melly)
7. Till The End Of Time
8. Heart Break Again (feat. Pi'erre Bourne)
9. U Deserve It (feat. Chris King & Quan'ta)
10. Hate Me (feat. Youngboy Never Broke Again)
11. All For Me (feat. Smokepurpp)
12. How I Was Raised (feat. Lil Tecca)
13. Abandoned Interlude
14. The Grinch
15. Death (feat. DaBaby)
16. RMP
17. M's (feat. Lil Yachty & Pi'erre Bourne)
18. Bust Down 2 (feat. Youv Dee)
19. The Jungle Book (feat. Lil Wop)
20. Chosen",,2019,Clear,Secondary Source,
A Love Letter To You 4,A Love Letter To You 4,"Tracklist for the offical release of A Love Letter To You 4.

1. Leray
2. Who Needs Love
3. Love Sick
4. Love Me More
5. Real Feel
6. This Ain't That (feat. Lil Mosey)
7. 6 Kiss (feat. Juice WRLD & YNW Melly)
8. Till The End Of Time
9. U Deserve It (feat. Chris King & Quan'ta)
10. Hate Me (feat. Youngboy Never Broke Again)
11. All For Me (feat. Smokepurpp)
12. Sickening (feat. Tory Lanez)
13. The Grinch
14. Death (feat. DaBaby)
15. RMP
16. M's (feat. Lil Yachty & Pi'erre Bourne)
17. Bust Down Deux (feat. Youv Dee)
18. The Jungle Book (feat. Lil Wop)
19. Chosen
20. Abandoned (feat. Mariah The Scientist)
21. Can You Rap Like Me, Pt. 2 (feat. Chris King)",,"Nov 22, 2019",Clear,Trippie,
A Love Letter To You 4 (Deluxe),A Love Letter To You 4 (Deluxe),"Tracklist for the offical release of A Love Letter To You 4 (Deluxe).

1. I Love You (feat. Chance The Rapper)
2. The Way (feat. Russ)
3. YELL OH (feat. Young Thug)
4. How I Was Raised (feat. Lil Tecca)
5. OTF KNIGHTMARE (feat. Lil Durk & G Herbo)
6. Even Steven
7. Amazinggg (feat. Sahbabii)
8. Koi",,"Feb 21, 2020",Clear,Trippie,
Pegasus,Voodoo Child,"The complete tracklist that was submitted to Trippie's label but never released. This EP was meant to release shortly before Pegasus, however was scrapped.

1. Voodoo Child
2. Moonlight
3. So Stressed
4. Never Change
5. No Honorable Mention
6. Obito",,2020,Clear,Leaked,
Pegasus,Pegasus,"The earlier version of the Pegasus album from May 20, 2020.

1. Let It Out (feat. Myiah Lynnae)
2. Moonlight
3. Do You Love Me
4. Rainfall (feat. Lil Wayne & HoodyBaby)
5. So Stressed (feat. Yung LB)
6. Excitement (feat. PARTYNEXTDOOR)
7. Mood (feat. Chris Brown)
8. Pegasus
9. V-12
10. Personal Favorite (feat. Rich the Kid)
11. N/A
12. Trapped In My Head (Spaceships) (feat. Young Thug)
13. Never Change (feat. Future)
14. Good Morning
15. No Honorable Mention (feat. Quavo & Lil Mosey)
16. Too Fly
17. Red Beam (feat. Sean Kingston)
18. Sun God (feat. Myiah Lynnae)
19. Take One
20. Wine Glass (feat. FBG GOAT)
21. Sleepy Hollow
22. Kidd that Didd (feat. Future & Doe Boy)
23. Really High (Obito)
24. TR666 (feat. Swae Lee)
25. Voodoo Child",,"May 20, 2020",Clear,Leaked,
Pegasus,Pegasus,"Tracklist for the offical release of Pegasus.

1. Let It Out (feat. Myiah Lynnae)
2. Moonlight
3. Love Scars 4
4. The Nether
5. So Stressed (feat. Yung LB)
6. Excitement (feat. PARTYNEXTDOOR)
7. Mood (feat. Chris Brown)
8. Pegasus
9. Weeeeee
10. Personal Favorite (feat. Rich the Kid)
11. V-12
12. Spaceships (feat. Young Thug)
13. Never Change (feat. Future)
14. Good Morning
15. No Honorable Mention (feat. Quavo & Lil Mosey)
16. I Got You (feat. Busta Rhymes)
17. Too Fly
18. Red Beam (feat. Sean Kingston)
19. Oomps Revenge, Pt. 2
20. Take One
21. Sleepy Hollow
22. Kidd that Didd (feat. Future & Doe Boy)
23. Don
24. Hell Rain (feat. Lil Wayne & HoodyBaby)
25. TR666 (feat. Swae Lee)
26. Sun God (feat. Myiah Lynnae)",,"Oct 30, 2020",N/A,Trippie,
Pegasus,Pegasus (Target Exclusive),"The tracklist for the Target exclusive version for Pegasus.

1. Let It Out (feat. Myiah Lynnae)
2. Moonlight
3. Love Scars 4
4. The Nether
5. So Stressed (feat. Yung LB)
6. Excitement (feat. PARTYNEXTDOOR)
7. Mood (feat. Chris Brown)
8. Pegasus
9. Weeeeee
10. Personal Favorite (feat. Rich the Kid)
11. V-12
12. Spaceships (feat. Young Thug)
13. Never Change (feat. Future)
14. Good Morning
15. No Honorable Mention (feat. Quavo & Lil Mosey)
16. I Got You (feat. Busta Rhymes)
17. Too Fly
18. Red Beam (feat. Sean Kingston)
19. Oomps Revenge, Pt. 2
20. Take One
21. Sleepy Hollow
22. Kidd that Didd (feat. Future & Doe Boy)
23. Don
24. Hell Rain (feat. Lil Wayne & HoodyBaby)
25. TR666 (feat. Swae Lee)
26. Sun God (feat. Myiah Lynnae)
27. Where You Goin
28. Lightning",,"Oct 30, 2020",Clear,Trippie,
Pegasus: Neon Shark vs Pegasus,Pegasus: Neon Shark vs Pegasus,"Earlier tracklist for the collab project with Travis Barker, Pegasus: Neon Shark vs Pegasus, with a different order of songs, discovered with the filenames.


1. WITHOUT YOU
2. SWIMMING
3. FEMALE SHARK
4. GERONIMO (feat. Chino Moreno)
5. PILL BREAKER (feat. mgk & blackbear)
6. SEA WORLD
7. IT'S COMING
8. LEADERS
9. SAVE YOURSELF
10. DREAMER
11. RED SKY ((feat. mgk)
12. MEGLADON
13. FROZEN OCEAN
14. DEAD DESERT (feat. Scarlxrd & ZillaKami)",,N/A,N/A,Secondary Source,
Pegasus: Neon Shark vs Pegasus,Pegasus: Neon Shark vs Pegasus,"Tracklist for the offical release of the collab project with Travis Barker, Pegasus: Neon Shark vs Pegasus.

1. PILL BREAKER (feat. mgk & blackbear)
2. WITHOUT YOU
3. SWIMMING
4. FEMALE SHARK
5. GERONIMO (feat. Chino Moreno)
6. SEA WORLD
7. RED SKY (feat. mgk)
8. MEGLADON
9. SAVE YOURSELF
10. DREAMER
11. IT'S COMING
12. LEADERS
13. FROZEN OCEAN
14. DEAD DESERT (feat. Scarlxrd & ZillaKami)",,"Feb 19, 2021",Clear,Trippie,
Trip At Knight [V1],Trip At Knight,"An early version of Trip At Knight with the filenames' numbers pieced together.

1. TRIP McKNIGHT
2. Way Back Home (with Skrillex & PinkPanthress)
5. LMK
6. Let It Go
10. Black Ops
11. Super Glue
12. MAMA BOYYY
15. Throwback Flow (feat. Ron Avant)
16. Third Eye View",,2020,N/A,Leaked,
Trip At Knight [V2],Trip At Knight,"An early version of Trip At Knight, with No Ice replacing Space Time.

13. No Ice",,2021,N/A,Leaked,
Trip At Knight [V2],Trip At Knight,"Tracklist for the offical release of Trip At Knight.

1. Molly Hearts
2. MP5 (feat. SoFaygo)
3. Finish Line
4. Holy Smokes (feat. Lil Uzi Vert)
5. Super Cell
6. Miss The Rage (feat. Playboi Carti)
7. Supernatural
8. Demon Time (feat. Ski Mask The Slump God)
9. Matt Hardy 999 (feat. Juice WRLD)
10. Vibes
11. New Money
12. Danny Phantom (feat. XXXTENTACION)
13. Space Time
14. Baki
15. iPhone
16. Rich MF (feat. Polo G & Lil Durk)
17. Captain Crunch (feat. Sada Baby, Icewear Vezzo, & Babyface Ray)",,"Aug 19, 2021",N/A,Trippie,
Trip At Knight [V2],Trip At Knight,"Tracklist for the offical release of Trip At Knight (Complete Edition).

1. Molly Hearts
2. MP5 (feat. SoFaygo)
3. Betrayal (feat. Drake)
4. Finish Line
5. Holy Smokes (feat. Lil Uzi Vert)
6. Super Cell
7. Miss The Rage (feat. Playboi Carti)
8. Supernatural
9. Demon Time (feat. Ski Mask The Slump God)
10. Matt Hardy 999 (feat. Juice WRLD)
11. Vibes
12. New Money
13. Danny Phantom (feat. XXXTENTACION)
14. Space Time
15. Baki
16. iPhone
17. Rich MF (feat. Polo G & Lil Durk)
18. Captain Crunch (feat. Sada Baby, Icewear Vezzo, & Babyface Ray)",,"Aug 21, 2021",Clear,Trippie,
hα†ε ïš dεαd,hα†ε ïš dεαd,"Tracklist for the offical release of hα†ε ïš dεαd.

1. 𝔉𝔦𝔯𝔢 ℑ𝔫 𝔐𝔶 ℌ𝔢𝔞𝔯𝔱 <3
2. 𝕽𝖊𝖆𝖉𝖞 𝕱𝖔𝖗 𝕷𝖔𝖛𝖊
3. 𝔰𝔬 𝔗ℌ𝔄𝔑𝔎𝔉𝔘𝔏
4. ℜՅ𝔇 𝔏𝔦𝔑Յ
5. 𝔗𝔥𝔯𝔬𝔴 ℑ𝔱 𝔘𝔭
6. ℑ 𝔊𝔬𝔱 𝔊𝔞𝔪𝔢
7. 𝔐𝔲𝔡
8. 𝕱𝖔𝖗𝖊𝖛𝖊𝖗 𝖄𝖔𝖚𝖓𝖌
9. 𝔥𝔞𝔱𝔢 (feat. K Suave & Zelly Ocho)",,"Feb 19, 2021",N/A,Trippie,
First Draft,First Draft,"Tracklist for the offical release of First Draft.

1. Save Me, Please
2. 1st Degree Murder",,"Sep 30, 2022",Clear,Trippie,
MANSION MUSIK [V1],A Love Letter To You 5,"An early tracklist of A Love Letter To You 5, sourced from the album mix filenames of October 30, 2022.

1. Heads Up
4. Closed Doors (feat. Roddy Rich)
5. Take Me Away (feat. Corbin)
6. Blinds (feat. Polo G)
8. 4Lifer
9. Stunnin
11. Wind (feat. The Kid LAROI)
12. A Feeling (feat. Skye Morales)
14. Ain't Safe (feat. Don Toliver)
16. Elite (feat. DaBaby)",,"Oct 31, 2022",N/A,Secondary Source,
MANSION MUSIK [V1],MANSION MUSIK,"These songs are sourced from the album mix filenames of December 8, 2022.

1. Mansion Musik (feat. Playboi Carti)
14. Africa
20. Rock Out (feat. Chief Keef & Gucci Mane)",,"Dec 8, 2022",N/A,Secondary Source,
MANSION MUSIK [V2],MANSION MUSIK,"An early tracklist of MANSION MUSIK with the song PEAKY BLINDERS as track 14. It was seen on a 1400 Club tank top containing a mock tracklist of MANSION MUSIK.

1. MANSION MUSIK
2. ATLANTIS (feat. Chief Keef)
3. PSYCHO (feat. Future)
4. FULLY LOADED (feat. Future & Lil Baby)
5. KNIGHT CRAWLER (feat. Juice WRLD)
6. VAN HELSING
7. DARK BROTHERHOOD (feat. Lil Baby)
8. FREE RIO
9. KRZY TRAIN (feat. Travis Scott)
10. MUSCLE (feat. Lil Durk)
11. GOODFELLAS (feat. Nardo Wick)
12. KILLIONAIRE (feat. Kodak Black)
13. HIGH HOPES (feat. BIG30)
14. PEAKY BLINDERS
15. WHO ELSE? (feat. Rich The Kid)
16. BIGGEST BIRD (feat. Summrs)
17. HIDEOUT (feat. Fijimacintosh)
18. WITCHCRAFT (feat. Rylo Rodgriguez)
19. TOILET WATER (feat. Ski Mask The Slump God)
20. PURE (feat. G Herbo)
21. ROCK OUT (feat. Chief Keef)
22. ARMAGEDDON (feat. Rob49)
23. NUN (feat. DaBaby)
24. SWAG LIKE OHIO PT. 2 (feat. Lil B)
25. COLORS (feat. Kodak Black)",,2023,Clear,Secondary Source,
MANSION MUSIK [V2],MANSION MUSIK,"An early tracklist of MANSION MUSIK posted by Trippie on January 16, 2023.

1. MANSION MUSIK
2. ATLANTIS (feat. Chief Keef)
3. PSYCHO (feat. Future)
4. FULLY LOADED (feat. Future & Lil Baby)
5. KNIGHT CRAWLER (feat. Juice WRLD)
6. VAN HELSING
7. DARK BROTHERHOOD (feat. Lil Baby)
8. FREE RIO
9. KRZY TRAIN (feat. Travis Scott)
10. MUSCLE (feat. Lil Durk)
11. GOODFELLAS (feat. Nardo Wick)
12. KILLIONAIRE (feat. Kodak Black)
13. HIGH HOPES (feat. BIG30)
14. DIE DIE (feat. LUCKI)
15. WHO ELSE? (feat. Rich The Kid)
16. BIGGEST BIRD (feat. Summrs)
17. HIDEOUT (feat. Fijimacintosh)
18. WITCHCRAFT (feat. Rylo Rodgriguez)
19. TOILET WATER (feat. Ski Mask The Slump God)
20. PURE (feat. G Herbo)
21. ROCK OUT (feat. Chief Keef)
22. ARMAGEDDON (feat. Rob49)
23. NUN (feat. DaBaby)
24. SWAG LIKE OHIO PT. 2 (feat. Lil B)
25. COLORS (feat. Kodak Black)",,"Jan 16, 2023",Clear,Trippie,
MANSION MUSIK [V2],MANSION MUSIK,"The third version of the tracklist with final mixes, moving around a couple tracks.

1. MANSION MUSIK
2. ATLANTIS (feat. Chief Keef)
3. PSYCHO (feat. Future)
4. FULLY LOADED (feat. Future & Lil Baby)
5. VAN HELSING
6. DARK BROTHERHOOD (feat. Lil Baby)
7. FREE RIO
8. KRZY TRAIN (feat. Travis Scott)
9. MUSCLE (feat. Lil Durk)
10. GOODFELLAS (feat. Nardo Wick)
11. KILLIONAIRE
12. HIGH HOPES (feat. BIG30)
13. DIE DIE (feat. LUCKI)
13. HIGH HOPES (feat. Rich The Kid)
15. KNIGHT CRAWLER (feat. Juice WRLD)
16. BIGGEST BIRD (feat. Summrs)
17. HIDEOUT (feat. Fijimacintosh)
18. WITCHCRAFT (feat. Rylo Rodgriguez)
19. TOILET WATER (feat. Ski Mask The Slump God)
20. PURE (feat. G Herbo)
21. ROCK OUT (feat. Chief Keef)
22. ARMAGEDDON (feat. Rob49)
23. NUN (feat. DaBaby)
24. SWAG LIKE OHIO PT. 2 (feat. Lil B)
25. COLORS (feat. Kodak Black)",,"Jan 17, 2023",N/A,Secondary Source,
MANSION MUSIK [V2],MANSION MUSIK,"Tracklist for the offical release of MANSION MUSIK.

1. MANSION MUSIK
2. ATLANTIS (feat. Chief Keef)
3. PSYCHO (feat. Future)
4. FULLY LOADED (feat. Future & Lil Baby)
5. KNIGHT CRAWLER (feat. Juice WRLD)
6. VAN HELSING
7. DARK BROTHERHOOD (feat. Lil Baby)
8. FREE RIO
9. KRZY TRAIN (feat. Travis Scott)
10. MUSCLE (feat. Lil Durk)
11. GOODFELLAS (feat. Nardo Wick)
12. KILLIONAIRE
13. HIGH HOPES (feat. BIG30)
14. DIE DIE (feat. LUCKI)
15. WHO ELSE? (feat. Rich The Kid)
16. BIGGEST BIRD (feat. Summrs)
17. HIDEOUT (feat. Fijimacintosh)
18. WITCHCRAFT (feat. Rylo Rodgriguez)
19. TOILET WATER (feat. Ski Mask The Slump God)
20. PURE (feat. G Herbo)
21. ROCK OUT (feat. Chief Keef)
22. ARMAGEDDON (feat. Rob49)
23. NUN (feat. DaBaby)
24. SWAG LIKE OHIO PT. 2 (feat. Lil B)
25. COLORS (feat. Kodak Black)",,"Jan 20, 2023",N/A,Trippie,
MANSION MUSIK [V2],MANSION MUSIK (Re-release),"The re-release of MANSION MUSIK that removes Chief Keef off of ATLANTIS and ROCK OUT. The reason why Chief Keef was taken off is because of issues Chief Keef's label at the moment.

1. MANSION MUSIK
2. ATLANTIS
3. PSYCHO (feat. Future)
4. FULLY LOADED (feat. Future & Lil Baby)
5. KNIGHT CRAWLER (feat. Juice WRLD)
6. VAN HELSING
7. DARK BROTHERHOOD (feat. Lil Baby)
8. FREE RIO
9. KRZY TRAIN (feat. Travis Scott)
10. MUSCLE (feat. Lil Durk)
11. GOODFELLAS (feat. Nardo Wick)
12. KILLIONAIRE
13. HIGH HOPES (feat. BIG30)
14. DIE DIE (feat. LUCKI)
15. WHO ELSE? (feat. Rich The Kid)
16. BIGGEST BIRD (feat. Summrs)
17. HIDEOUT (feat. Fijimacintosh)
18. WITCHCRAFT (feat. Rylo Rodgriguez)
19. TOILET WATER (feat. Ski Mask The Slump God)
20. PURE (feat. G Herbo)
21. ROCK OUT
22. ARMAGEDDON (feat. Rob49)
23. NUN (feat. DaBaby)
24. SWAG LIKE OHIO PT. 2 (feat. Lil B)
25. COLORS (feat. Kodak Black)",,"Dec 22, 2023",Clear,Secondary Source,
A Love Letter To You 5 [V2],A Love Letter To You 5,"An early tracklist for A Love Letter To You 5, shown in some scapped merch design. Order might not be the same as shown below.

1. Take Me Away (feat. Corbin)
2. Last Days
3. Let It Go
4. All I Need
5. Thinking Bout You
6. Praying 4 Love
7. Reality
8. A Feeling (feat. Skye Morales)
9. Romantic Fantasy
10. I'm Mad At Me (feat. Lil Wayne)
11. Closed Doors (feat. Roddy Ricch)
12. Action
13. Left 4 Dead
14. My Heart
15. Took My Breath Away (feat. Skye Morales)
16. The Hate
17. Trip McKnight",,N/A,Clear,Secondary Source,
A Love Letter To You 5 [V2],A Love Letter To You 5,"Tracklist for the offical release of A Love Letter To You 5.

1. Take Me Away (feat. Corbin)
2. Last Days
3. Thy Motion
4. How You Alive
5. Thinking Bout You
6. Praying 4 Love
7. Reality
8. A Feeling (feat. Skye Morales)
9. Romantic Fantasy
10. I'm Mad At Me (feat. Lil Wayne)
11. Closed Doors (feat. Roddy Ricch)
12. Action
13. Left 4 Dead
14. Wind (feat. The Kid LAROI)
15. Helicopter (feat. Tommy Lee Sparta)
16. Took My Breath Away (feat. Skye Morales)
17. Flowers (feat. Bryson Tiller)
18. The Hate
19. Trip McKnight",,"Jul 24, 2023",Clear,Trippie,
A Love Letter To You 5 [V2],A Love Letter To You 5 (Physical Version),"Tracklist for the offical release on vinyl of A Love Letter To You 5.

1. Left 4 Dead
2. Action
3. Thy Motion
4. I'm Mad At Me (feat. Lil Wayne)
5. Closed Doors (feat. Roddy Rich)
6. Took My Breath Away (feat. Skye Morales)
7. Reality
8. Take Me Away (feat. Corbin)
9. Thinking Boutt You
10. Helicopter (feat. Tommy Lee Sparta)
11. Last Days
12. Wind (feat. The Kid LAROI)
13. A Feeling (feat. Skye Morales)
14. Romantic Fantasy
15. The Hate
16. Flowers (feat. Bryson Tiller)
17. Praying 4 Love
18. How You Alive
19. Trip McKnight",,"Aug 11, 2023",Clear,Trippie,
A Love Letter To You 5 [V2],A Love Letter To You 5 (Bonus),"Tracklist for the offical release of A Love Letter To You 5 (Bonus).

1. Take Me Away (feat. Corbin)
2. Last Days
3. Thy Motion
4. How You Alive
5. Thinking Bout You
6. Praying 4 Love
7. Reality
8. A Feeling (feat. Skye Morales)
9. Romantic Fantasy
10. I'm Mad At Me (feat. Lil Wayne)
11. Closed Doors (feat. Roddy Ricch)
12. Action
13. Left 4 Dead
14. Wind (feat. The Kid LAROI)
15. Helicopter (feat. Tommy Lee Sparta)
16. Took My Breath Away (feat. Skye Morales)
17. Flowers (feat. Bryson Tiller)
18. The Hate
19. Trip McKnight
20. Tory Lanez - Hurts Me (with Trippie Redd & Yoko Gold)",,"Aug 11, 2023",N/A,Trippie,
Saint Michael,Saint Michael,"Tracklist for the offical release of Saint Michael.

1. Pray 4 Us
2. Van Cleef Island
3. 1716 Osage
4. Ok, Cool
5. 7am in Ohio
6. Yo Pi’erre Slime
7. Saint Michael Myers (feat. BANKS)",,"Nov 10, 2023",Clear,Secondary Source,
Saint Michael V2,Saint Michael V2,"The initial tracklist revealed by Trippie on Twitter/X.

1. #RBDG
2. Popular (feat. 9lives)
3. I Love It
4. Pepe Lit
5. Snail Shells (feat. YTB Fatt)
6. TrippieBoat (feat. Lil Yachty)
7. SIN
8. Pray 4 Us
9. Van Cleef Island
10. 1716 Osage
11. Ok, Cool
12. 7am in Ohio
13. Yo Pi'erre Slime
14. Saint Michael Myers (feat. BANKS)
15. Psychotic Lunatic
16. Mrs. Tonya
17. Skeletons",,"Nov 15, 2023",Clear,Trippie,
Saint Michael V2,Saint Michael V2,"Tracklist for the offical release of Saint Michael 2.

1. #RBDG
2. Popular (feat. 9lives)
3. Wizard 101
4. Pepe Lit
5. Snail Shells (feat. YTB Fatt)
6. TrippieSuave (feat. K Suave)
7. Moncler Coat
8. Pray 4 Us
9. Van Cleef Island
10. 1716 Osage
11. Ok, Cool
12. 7am in Ohio
13. Yo Pi'erre Slime
14. Saint Michael Myers (feat. BANKS)
15. Psychotic Lunatic
16. #SDWL ;)
17. Skeletons",,"Nov 22, 2023",N/A,Trippie,
genre : sadboy,genre : sadboy,"Tracklist for the offical release of the collab project with mgk, genre : sadboy.

1. lost boys
2. beauty
3. time travel (feat. Zzz)
4. struggles
5. suddenly
6. half dead
7. ​hiding in the hills
8. no more
9. who do i call (feat. JID)
10. summer's gone",,"Mar 25, 2024",Clear,Trippie,
LIVE LOVE LAUGH DIE,LLLD,"A potential early tracklist of LLLD, from insiders sources.

#? Fuk ^ Fuk ^
#? Silent Hill 2",,N/A,N/A,Secondary Source,
NDA,JMN/NDA,"Around late April 2025, Trippie had finished a first version of the album, then went to Turks and scrapped it. Trippie's engineers worked on adding a lot of outros/intros for the songs, so we can think that the tracklist looked like this:

#? Hold No Hands
#? Don't Change
#? Spycam
#? Take Me
#? Break It In",,,N/A,N/A,
