"This tab is to showcase the unreleased music videos, the released music videos will be on the Released tab. If there is any problems, join the Trippie Tracker Discord and let us know. Thank you for using the tracker!",,,,,,,,,
Era,Name,"Notes
(Join the Discord to help fix any issues)",Notable Guests,Length,Date,Director(s),Status,Quality,Link
A Love Letter To You 4 (Deluxe),"Suge Knight [V1]
(prod. Staccato)
(Above, Suge)","OG Filename: Trippie Redd - Above New EDIT CUT-4K
The song was initially titled Above, but at some point was re-named to Suge Knight. Leaked on May 6, 2020.","Chris King, Sunny 2point0, hnrz hunter & Shootem Up",3:00,"Dec 19, 2019",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/nwopoPH
A Love Letter To You 4 (Deluxe),"Suge Knight [V2]
(prod. Staccato)
(Above, Suge)","OG Filename: Trippie Redd - Above New Final Version 22-4K
The song was initially titled Above, but at some point was re-named to Suge Knight. Leaked on May 6, 2020.","Chris King, Sunny 2poin0, hnrz hunter & Shootem Up",3:01,"Jan 3, 2020",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/YcWwQww
,Snippets & Unsurfaced,,,,,,,,
A Love Letter To You 4 (Deluxe),"K Suave - Moan
(feat. Trippie Redd) (prod. Pi'erre Bourne)","The track was supposed to release in June, but because of an altercation between Trippie Redd and Pierre Bourne the track was scrapped.
Trippie didn´t want to pay Pierre Bourne $80,000 for the beat. K Suave and Trippie Redd found two new producers to bring life to the track, being CGM Beats and Nadddot. The music video was previewed, but the track never released on all platforms.
Trippie Redd talked about the situation on his Instagram Live.",N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/cUFOT7r
,"Pegasus
(Voodoo Child)","(Feb 21, 2020) (A Love Letter To You 4 (Deluxe) is released)
(Oct 30, 2020) (Pegasus is released)",,,,,,,
Pegasus,"Yung LB - Concrete
(with Trippie Redd) (prod. DJ Durel & DTB)","OG Filename: Yung LB x Trippie Red - Concrete Color Prores-001
Shot in October 2020",N/A,3:03,"Oct 13, 2020",N/A,Leaked,Full HQ,https://mega.z/file/N0BwWB4T#09efx0F578WtBxn-uQuA2uZ8xssimZGY-jUyszLykLE
Pegasus,"DREAMERS
(prod. Yeezo Beats)",OG Filename: DREAMERS_R6_MASTER,N/A,2:59,"Aug 11, 2020",N/A,Leaked,Full HQ,https://mega.nz/file/JoZ33T6B#APdebQKkLJlBA2xP9b39IyOYSvyRGIcYuLpkXJRIMiw
Pegasus,"Obito [V1]
(prod. Honorable C.N.O.T.E.)
(Really High)","Recorded sometime in April 2020, and was first peviewed on May 1, 2020.",Shootem Up,2:41,N/A,Damien Aku & Trippie Redd,Leaked,Full HQ,https://imgur.gg/f/XgblSaW
Pegasus,"Obito [V2]
(prod. Honorable C.N.O.T.E.)
(Really High)","Recorded sometime in April 2020, and was first peviewed on May 1, 2020.",Shootem Up,2:33,N/A,Damien Aku & Trippie Redd,Leaked,Full HQ,https://mega.nz/file/l5AgVACT#UxjX6RCAHCHwLrRuRsri1UQpsIZWUBZvBggt4zDISBc
,Snippets & Unsurfaced,,,,,,,,
Pegasus,"6 Ever
(prod. Chopsquad DJ)
(Thinking Bout U 2, Thinking Bout You 2 Loud)","OG Filename: 6 Ever
A song that was recorded in 2020 and first previewed on October 17, 2020 then was part of the multiple leaks that happened on September 18, 2024. A trailer of the music video was posted.",N/A,N/A,N/A,Damien Aku,Snippet,High Quality,https://imgur.gg/f/FBGWpaX
Pegasus,"Cornbread
(feat. Shootem Up) (prod. LouBeats)",The song was previewed in 2020. Has a music video shot and edited.,N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/j5l7CZL
Pegasus,"Rich The Kid - My Way
(feat. Trippie Redd) (prod. Hollywood Cole, Ed Hardy & 1Mind)
(Will Smith)",Shot in April 2020.,N/A,N/A,N/A,KB Films,Snippet,High Quality,"https://imgur.gg/f/BcNx9Zb
https://imgur.gg/f/iLgzv2Z"
,"Trip At Knight [V1]
(Life's a Trip At Knight)","(Oct 30, 2020) (Pegasus is released)
(Feb 19, 2021) (Neon Shark vs Pegasus is released)
(Feb 2021) (Trip At Knight's theme is switched to a rage/hyperpop album)",,,,,,,
Trip At Knight [V1],"Thinkin' Bout You [V1]
(prod. Greg Sekeres & Hammad Beats)
(Thinking About You)","OG Filename: Trippie Redd - Thinkin Bout You Editor -4K
OG File for ""Thinkin Bout You."" The song leaked as a music video in 2022. The video was shot in 2020, and this track would ultimately be purposed for A Love Letter To You 5 in 2023. This version has alternate mixing.",K Suave & Quincy,2:54,"Nov 21, 2020",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/c93fIg8
Trip At Knight [V1],"Thinkin' Bout You [V2]
(prod. Greg Sekeres & Hammad Beats)
(Thinking About You)","OG Filename: TRIPPIE REDD FINAL CUT
OG File for ""Thinkin Bout You."" The song leaked as a music video in 2022. The video was shot in 2020, and this track would ultimately be purposed for A Love Letter To You 5 in 2023. This version has alternate mixing.",K Suave & Quincy,3:00,"Nov 21, 2020",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/ZNMcyuG
,Snippets & Unsurfaced,,,,,,,,
Trip At Knight [V1],"Black Ops
(prod. Eza & Southside)
(Castro)",Shot in late 2020,N/A,N/A,N/A,WAVYLORD,Snippet,Low Quality,https://imgur.gg/f/jxYPeuy
,"Trip At Knight [V2]
(Life's a Trip At Knight)","(Feb 2021) (Trip At Knight's theme is switched to a rage/hyperpop album)
(August 21, 2021) (Trip At Knight is released)",,,,,,,
Trip At Knight [V2],"Fire In My Heart <3 / Love Me Now
(prod. star boy, Outtatown & Loesoe)
(Pour a 4 Up, Fire In My Heart, 𝔉𝔦𝔯𝔢 ℑ𝔫 𝔐𝔶 ℌ𝔢𝔞𝔯𝔱 <3)","OG Filename: Trippie Redd - Fire In My Heart x Love Me Now-4K
Placeholder",N/A,3:51,"July 22, 2021",WAVYLORD,Leaked,Full HQ,https://mega.nz/file/5sJiFApK#BfS4Gag6ZQZLVGaycQqOnWgTQrf_R-KxXGdGoBk6rIM
Trip At Knight [V2],"Miss The Rage
(feat. Playboi Carti) (prod. Loesoe)","OG Filename: kdcvisions_miss_the_rage_!_v1 (1080p)
Placeholder",N/A,3:57,"May 6, 2021",kdcvisions,Leaked,Full HQ,https://imgur.gg/f/ugpfLDp
Trip At Knight [V2],"Molly Hearts
(prod. star boy, Outtatown & Loesoe)","OG Filename: Trippie Redd - Molly Hearts-4K
Placeholder",N/A,2:45,"May 25, 2021",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/sBVgeq2
Trip At Knight [V2],"Space Time
(prod. star boy & bart how)
(Top 5)","OG Filename: Trippie Redd - Space Time Final-4K
Placeholder",N/A,1:52,"Oct 20, 2021",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/dvxcwy6
Trip At Knight [V2],"Top 5
(prod. star boy & bart how)
(Space Time)","OG Filename: Trippie Redd - Top 5 No VFX-4K
Placeholder",N/A,1:52,"May 7, 2021",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/OPcmCG0
Trip At Knight [V2],"Top 5
(prod. star boy & bart how)
(Space Time)","OG Filename: Trippie Redd - Top 5
Placeholder",N/A,1:52,"May 9, 2021",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/JBYrMdH
Trip At Knight [V2],"Super Cell, 4 Stars, Don't Let Up
(prod. WNDWS, Nadddot, PinkGrillz88 & ???)","OG Filename: Trippie Redd - Super Cell-4K
Placeholder",N/A,4:16,"Apr 26, 2021",WAVYLORD,Leaked,Full HQ,https://mega.nz/file/ckZjTaqZ#8vgSAd07FSD33wukc36gBwFz9r-8j8w463YWxPuvU74
Trip At Knight [V2],"Super Cell, 4 Stars, Don't Let Up
(prod. WNDWS, Nadddot, PinkGrillz88 & ???)","OG Filename: Trippie Redd - Super Cell Final-4K
Placeholder",N/A,4:16,"May 1, 2021",WAVYLORD,Leaked,Full HQ,https://mega.nz/file/51hxGKCI#bJLVFOMdMrZEUc1rDQelm4kx9Z_Dm7IrvyTPNVQKE0M
,Snippets & Unsurfaced,,,,,,,,
Trip At Knight [V2],"800 Baby - Get Money
(prod. Nadddot)",Shot in March 2021,N/A,N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/CZ1Y20O
,"A Love Letter To You 5 [V1]
(555, hα†ε ïš dεαd, First Draft, Pre-MANSION MUSIK)","(August 21, 2021) (Trip At Knight is released)
(Dec 20, 2021) (hα†ε ïš dεαd is released)
(Sep 30, 2022) (First Draft is released)",,,,,,,
A Love Letter To You 5 [V1],"Another Day
(prod. Level & Silo)","OG Filename: Trippie Redd - Another Day-4K
Throwaway from Trip At Knight [V2] sessions. Leaked on February 21, 2021.",hnrz hunter & Sunny 2point0,2:04,"Jan 16, 2022",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/nPzK5o2
A Love Letter To You 5 [V1],"Big Red
(prod. Skimayne & flansie)
(Kill La Kill, Big Redd)","OG Filename: Trippie Redd - Big Red-4K
Leaked in 2022.",hnrz hunter & Sunny 2point0,2:04,"Jan 16, 2022",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/L9aIrih
A Love Letter To You 5 [V1],"Everything Ok
(prod. Skimayne & qqqu1ncy)","The song was first previewed via Instagram post on Februrary 27, 2022. The music video leaked as a bonus of a Kanye West X Travis Scott song's GB that I can't remember LMAO.",K Suave,2:53,N/A,DotComNirvan,Leaked,Full Lossless,https://imgur.gg/f/zjJEHaj
A Love Letter To You 5 [V1],"No Love
(prod. flansie & Yuntec)",Leaked in 2024,N/A,1:53,N/A,Grade A,Leaked,Full HQ,https://imgur.gg/f/pRxlOWB
A Love Letter To You 5 [V1],"Save Me, Please
(prod. RRAREBEAR & Igor Mamet)",Leaked in 2024,N/A,2:10,N/A,Grade A,Leaked,Full HQ,https://imgur.gg/f/CjBwqvU
A Love Letter To You 5 [V1],"Stay Alive
(prod. DT, LastHaze, & LNKmusic)","OG Filename: stayalive_rc
The song was recorded on August 6, 2020. This was first previewed on Trippie's Instagram Live sometime in 2020, and was played again at one of his shows. The song was leaked after it was privately bought, via @kxrma, then the music video leaked on June 19, 2024.",Skye Morales & hnrz hunter,2:25,"Sep 23, 2022",Grade A,Leaked,Full HQ,https://imgur.gg/f/CjBwqvU
A Love Letter To You 5 [V1],"Stoned
(prod. jhuff, Nadddot & Bugz Ronin)","OG Filename: Trippie Redd Stoned-4K
Leaked October 2022",Quincy,2:38,"Jan 17, 2022",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/fMG9cyX
A Love Letter To You 5 [V1],"Zelly Ocho - V14D
(feat. Trippie Redd) (prod. Loesoe & Seal)",Leaked April 9th 2024,N/A,2:16,N/A,DotComNirvan,Leaked,Full HQ,https://imgur.gg/f/4oRAiXz
,"MANSION MUSIK [V1]
(Pre-ALLTY5 Delay, ALLTY5 Preparation, ALLTY5 v1.5)","(Sep 30, 2022) (First Draft is released)
(~Oct, 2022) (A Love Letter To You 5 is put on hold to release MANSION MUSIK)
(Dec 17, 2022) (Trippie Redd announced on Instagram that he would be releasing two new albums in 2023)",,,,,,,
MANSION MUSIK [V1],"Walking Dead / Last Days
(prod. Nadddot, Zodiac & PAX)","This music video surfaced somewhere in 2025, via hyperstar.r.",Quincy,4:26,N/A,WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/1QgX2Te
,"MANSION MUSIK [V2]
(Post-ALLTY5 Delay)","(Dec 17, 2022) (Trippie Redd announced on Instagram that he would be releasing two new albums in 2023)
(Jan 20, 2023) (MANSION MUSIK is released)",,,"""MANSION MUSIK"" is Trippie Redd's 9th album released to streaming platforms, with the album being first announced by Trippie in October 2022, in a now-deleted Instagram post. He then previewed several snippets and claimed that they were meant for his 10th album ""A Love Letter To You 5"". Trippie went on Instagram live a few months later to reveal that this album would be the first of two back-to-back projects. On January 12, 2023, Trippie posted in a now-deleted Instagram story a partial tracklist for the album, alongside revealing half of the projects original cover art. That same day, Trippie took to Twitter denying that the cover shown was the album’s cover art after it was leaked online alongside ten tracks off the album.",,,,
MANSION MUSIK [V2],"Placeholder
(prod. Placeholder)","OG Filename: Placeholder
Placeholder",N/A,N/A,N/A,N/A,Rumored,Not Available,N/A
,"A Love Letter To You 5 [V2]
(555, Post-MANSION MUSIK)","(Jan 20, 2023) (MANSION MUSIK is released)
(Aug 11, 2023) (A Love Letter To You 5 is released)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
A Love Letter To You 5 [V2],"Water To Wine*
(prod. Alexoso, Gray Vues, & Igor Mamet)",The song was first previewed on Trippie's Instagram as a throwaway.,K Suave,N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/5EojMOI
,"Saint Michael
(Saint Michael V2, DruggerDrugger1)","(Aug 11, 2023) (A Love Letter To You 5 is released)
(Nov 10, 2023) (Saint Micheal is released)
(Nov 24, 2023) (Saint Michael V2 is released)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
Saint Michael,"Psychotic Lunatic
(prod. prod. A-Lau, Bobby Raps, EMRLD BEATS & Igor Mamet)","The snippet of this Music Video was teased via Trippie's Twitter account upon the release of Saint Michael, but never saw the light of day.",N/A,N/A,N/A,Emilio Cohen,Snippet,High Quality,https://imgur.gg/f/fGlW4zA
,LIFE'S A TRIP 2,"(Nov 24, 2023) (Saint Michael V2 is released)
(Dec 2023) (LIFE'S A TRIP 2 is announced)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
LIFE'S A TRIP 2,Feb 5th,"The snippet surfaced on September 19, 2024 and has a music video. The song then leaked on Soundcloud on March 1, 2025.The song was then previewed on Trippie's Instagram which simingly hinted at a new music video being shot, but the video was deleted shortly after.","hnrz hunter, Zzz? & MarvGangSav",N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/HVvCpaV
,"LIVE LOVE LAUGH DIE
(LLLD)","(Dec 2023) (LIFE'S A TRIP 2 is announced)
(Sep 19, 2024) (The concept of LIVE LOVE LAUGH DIE is born thanks to the song Double M Gang)
(Sep 22, 2024) (LIVE LOVE LAUGH DIE is announced)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
LIVE LOVE LAUGH DIE,"Gotta Approve
(prod. Bhristo) 
(One In A Million)","The song was first previewed via Instagram showing that the music video was being filmed, on September 10, 2025.",MarvGangSav & Sunny 2Point0,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/FgoSZGt
LIVE LOVE LAUGH DIE,"Shake That Shit
(prod. BNYX®)","The song was first previewed February 17, 2025. Seems like it has a music video.",N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/vxKZeok
,"NDA
(Non-Disclosure Agreement, Judge Me Now)","(Sep 22, 2024) (LIVE LOVE LAUGH DIE is announced)
(Mar 5, 2025) (The concept of Judge Me Now is born thanks to the song Judge Me)
(Mar 16, 2025) (Judge Me Now is offically announced)
(Apr 2025) (NDA is announced)
(Ongoing)",,,,,,,
NDA,"Angel
(prod. vendr & Bosley)
(H-H-H, Hermes, Hermes Walk)","The song dropped on August 26, 2025 via hyperstar.r (Same account that promo'd THE LEAK 2) alongside with a music video with the caption ""#THELEAK3.""",N/A,1:55,N/A,N/A,Leaked,Full HQ,https://imgur.gg/f/y9Fnlp5
NDA,"Face Your Fears [V2]
(prod. G06 Beatz, Igor Mamet, KXVI & liltyh)","Played on N3ON's January 12, 2024 livestream. Leaked May 5, 2024. The song has a music video, that leaked on September 29, 2025, via Harold's Tiktok page.","Harold, hnrz hunter & Shootem Up",3:01,N/A,"Cam Videos, Harold & Trippie Redd",Leaked,Full HQ,https://mega.nz/folder/phJXQKAB#xfXO-ebZfTVFYoREJyAhBg/file/JwxBzBxa
NDA,"METAL GEAR SOLID
(prod. Chopsquad DJ)
(Metal Gear 2 Solid, Look Me In My Eyes)","The snippet was previewed on Harold's Instagram story on May 19, 2024. The song leaked alongside it's music video via Harold on July 7, 2025.",N/A,3:14,N/A,Harold,Leaked,Full HQ,https://imgur.gg/f/EyE3h5T
,Snippets & Unsurfaced,,,,,,,,
NDA,"Break It In
(feat. Ski Mask The Slump God)","Shot on March 8, 2026",N/A,N/A,N/A,N/A,Confirmed,Not Available,N/A
NDA,"Catalog
(feat. Swae Lee)",Shot on October 2025.,N/A,N/A,N/A,N/A,Snippet,Low Quality,"https://imgur.gg/f/VWIMqk0
https://imgur.gg/f/DZe2dh9"
NDA,"Face Your Fears [V1]
(prod. G06 Beatz, Igor Mamet, KXVI & liltyh)","Played on N3ON's January 12, 2024 livestream. Leaked May 5, 2024.",N/A,N/A,N/A,T8CANYON,Snippet,High Quality,"https://imgur.gg/f/XKQgvMH
https://imgur.gg/f/r8OEU2z"
NDA,"Fake Xan
(feat. Sexyy Redd)","Shot on March 9, 2026",N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/oWb3xnc
NDA,"MTV
(feat. Rob49)","Shot on March 11, 2026.",N/A,N/A,N/A,N/A,Confirmed,Not Available,N/A
NDA,"TUTS
(feat. Quavo) (prod. 1ayeyb & Hitmaka)",Pictures of the MV surfaced in mid 2025.,N/A,N/A,N/A,N/A,Confirmed,Not Available,N/A
NDA,"SWAGGER
(Feel Some)","Shot on March 3, 2026.",N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/N7jonXM
NDA,"Switches & Fentanyl
(feat. NoCap)","A part of the music video was revelealed via Trippie's Instagram story, which includes AI footages, like he's been teasing lately. On October 23, 2025, Trippie would post a new snippet of the song, asking 60k comments to drop it, but deleted it a few hours later.",Sunny 2Point0 & Goldie14,N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/fwnsK8N
NDA,Unknown,"Shot on April 9, 2026.",Ayleks,N/A,N/A,N/A,Confirmed,Not Available,N/A
NDA,Unknown [HXG & Ken Carson Collaboration],"Song is rumored to exist, as Trippie and HXG shot a music video with Ken Carson in the background.",N/A,N/A,N/A,N/A,Rumored,Not Available,Source Needed
