Era,Name,Notes,Available Length,Leak Date,Type,Availability,Quality,Link(s)
Luv Is Rage 2 [V1],"Nowadays
(prod. HONORABLE C.N.O.T.E)
(We Made It, Jetoff)",Instrumental for the leaked song 'Nowadays'.,3:30,"Jun 5, 2021",Instrumental,Full,CD Quality,LINK NEEDED
Luv Is Rage 2 [V1],"No iPhone Trapping
(prod. DP Beats)
(Don't Trap Off No iPhone, Can't Be Asked, Mollywater, DTONI)","Instrumental for the unleaked song 'No iPhone Trapping'. Beat made in 2014.
Beat is looped, likely missing production similarly to fruity diamonds",3:15,"Sep 26, 2016",Instrumental,Partial,High Quality,https://pillows.su/f/21400e28310a455899b68bc1b28feb18
Luv Is Rage 2 [V1],"Rags To Riches
(prod. DP Beats)
(Drip)",Instrumental for the leaked song 'Rags To Riches'.,3:18,"Sep 8, 2024",Instrumental,Full,High Quality,https://pillows.su/f/3cfc6b57fbbb1c85500c95da1db734bb
Luv Is Rage 2 [V1],"Ready Set Go (VLone)
(prod. DP Beats)",Instrumental for the released song 'Ready Set Go (VLone)'.,3:23,,Instrumental,Full,High Quality,https://pillows.su/f/8511fb79ddf59c754df0d001d1cc88f8
Luv Is Rage 2 [V1],"Ruler
(prod. DP Beats)
(YSL)","Instrumental for the released song 'YSL"".",3:04,,Instrumental,Full,High Quality,https://pillows.su/f/51321db306097ff7eca6d2dc74ee7916
Luv Is Rage 2 [V1],"Vision Got Clearer
(prod. Derelle Rideout & Honorable C.N.O.T.E.)
(Real Rap, My New Girl, Hear Y'all)",Instrumental for the leaked song 'Vision Got Clearer'.,2:07,"Jun 5, 2021",Instrumental,Full,High Quality,https://pillows.su/f/6a9d940dacf35b5427223414c1dbc2df
Luv Is Rage 2 [V1],"Woke Up Thankful
(prod. DP Beats)",OG file of beat posted on soundcloud,,"Aug 4, 2023",Instrumental,Full,High Quality,LINK NEEDED
Luv Is Rage 2 [V1],"This Way
(prod. Lyle Leduff)
(Come This Way)","Instrumental for the original version of the released song ""Come This Way"".",2:35,,Instrumental,Full,Lossless,https://pillows.su/f/4b56cc6dc6a3fbde0320f5e968d6a34a
Luv Is Rage 2 [V1],"Migos - Bad & Boujee
(feat. Lil Uzi Vert) (prod. Metro Boomin & G Koop)",Instrumental for the released song 'Bad & Boujee' by Migos.,5:32,"Mar 29, 2022",Instrumental,Full,Lossless,https://pillows.su/f/2011bb007d274390f08c65b6988a37f1
,Beat Loops,,,,,,,
Luv Is Rage 2 [V1],"Hatin'
(prod. Don Cannon & Maaly Raw)
(Old N****s Hating, Old Niggas Hating)","Beat loop for ""Hatin'""",0:12,,Beat Loop,Full,Lossless,https://pillows.su/f/b7cb84d8978af29caead60735cf465cc
,1017 Vs. The World,,,,,,,
,Instrumentals,,,,,,,
1017 Vs. The World,"Changed My Phone
(w/ Gucci Mane) (prod. Honorable C.N.O.T.E & D. Rich)","Instrumental for the released song ""Changed My Phone"".",2:02,"Dec 29, 2022",Instrumental,Full,High Quality,https://pillows.su/f/987f703ee770740025972319b1f44500
1017 vs. The World,"Today
(prod. Da Honorable C.N.O.T.E.)
(Today!!, 2 New York)","Instrumental for the released song ""Today"".",2:50,"Jun 5, 2021",Instrumental,Full,High Quality,LINK NEEDED
1017 vs. The World,"IN O4'
(prod. DP Beats & Almighty Red)","Instrumental for the released song ""IN O4'"".",2:49,,Instrumental,Full,High Quality,https://pillows.su/f/04729c898f665ee579cd2e240b1594e2
,Luv Is Rage 2 [V2],,,,,,,
,Instrumentals,,,,,,,
Luv Is Rage 2 [V2],"Automatic
(prod. Wondagurl)
(Wondergirl, Pulled Up, Hunnid Bands, 100 Bands)",Instrumental for the leaked song 'Automatic'. Previewed on Wondagurls IG live on an old unknown date.,,,Instrumental,Full,Recording,LINK NEEDED
Luv Is Rage 2 [V2],"Beat It and Delete It
(prod. Lyle Leduff)
(Ginseng)","Instrumental for the leaked song 'Beat It and Delete It'. Instrumental samples Yung Lean's ""Ginseng Strip 2002"". Previewed on Lyle's IG.
Alt beat that leaked 2024/2025 apparently wasn't real.",,,Instrumental,Partial,Recording,https://pillows.su/f/8edbc8c40812943e48ca290517834df5
Luv Is Rage 2 [V2],"Break The Bank
(with Playboi Carti) (prod. Pi'erre Bourne)",Instrumental for the leaked song 'Break The Bank'.,0:50,,Instrumental,Full,High Quality,LINK NEEDED
Luv Is Rage 2 [V2],"Flex By Mistake
(prod. Maaly Raw)
(Way I Am)",Alt Instrumental for the leaked song 'Flex By Mistake'. This is before Don Cannon added his produciton. Was included in a Maaly Raw beat pack titled 'way i am'.,3:34,"Mar 31, 2024",Alt Instrumental,Full,High Quality,https://pillows.su/f/ffaff3f0762b2e395b0223f631e4b339
Luv Is Rage 2 [V2],"Freebandz*
(prod. Haz Futcha)
(Smoke)","Alt instrumental for the unleaked song 'Freebandz'. It is not confirmed if this is actually from Haz Futcha, or a remaster, but it was included in a stems archive for Uzi.
Listed as Alt instrumental (if real) as strings and other instruments have different pitch and layout based on snippets",3:22,,Alt Instrumental,Full,Low Quality,https://pillows.su/f/5c9becc2764207784870008365a542eb
Luv Is Rage 2 [V2],"Got The Work
(prod. Don Cannon)
(I Got The Work)",Instrumental for the leaked song 'Got The Work'. Includes an unknown sample.,1:03,"Oct 5, 2023",Instrumental,Full,High Quality,https://pillows.su/f/f614b136f60d85a1aed05db4585f5e51
Luv Is Rage 2 [V2],"Just Keep Her
(prod. BassKidsOnTheBeat)
(Imma Keep Ballin)",Instrumental for the leaked song 'Just Keep Her'.,,,Instrumental,Snippet,CD Quality,LINK NEEDED
Luv Is Rage 2 [V2],"I Get It
(prod. Don Cannon)
(Throw Some In It, In It)",Instrumental for the leaked song 'I Get it'. Beat was posted on soundcloud by Don Cannon himself in April 2024 as '2thousandseventeenbeat04.uzi'. OG file for beat surfaced later on. ,2:42,"Apr 26, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/cc749043ff2cb29cb46a3f0f3a0ac501
Luv Is Rage 2 [V2],"I Know
(prod. Sonny Digital)
(Neck On Froze)",Official instrumental for the released song 'I Know'.,3:10,"Sep 16, 2022",Instrumental,Full,High Quality,LINK NEEDED
Luv Is Rage 2 [V2],"I Think Not
(prod. Zaytoven)",Instrumental for the leaked song 'I Think Not'.,2:58,"Feb 11, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Luv Is Rage 2 [V2],"Mission To The Loot
(prod. Don Cannon & Maaly Raw)
(Batman, Mission, Before China, Before China Food)","Instrumental for the leaked song 'Mission To The Loot'. Was posted to Cannon on Souncloud. Original beat file surfaced later on.
2:33 808 bass boost of doom",4:02,"Oct 5, 2023",Instrumental,Full,Lossless,https://pillows.su/f/261b3b1ca9583db664921ab1ad6eed52
Luv Is Rage 2 [V2],"No Sleep Leak
(prod. Don Cannon & CuBeatz)",Instrumental for the released song 'No Sleep Leak'.,3:09,"Oct 5, 2023",Instrumental,Full,CD Quality,https://pillows.su/f/b17d9287abd0edec302ee4b4a93a0680
Luv Is Rage 2 [V2],"Recoup
(prod. DP Beats)",Instrumental for the leaked song 'Recoup'. Posted to Soundcloud by DP Beats. Doesn't contain the distorted sounding second part of the song.,2:01,"Apr 3, 2024",Instrumental,Full,High Quality,https://pillows.su/f/d361e57e2c5860745590e2b87c7fb518
Luv Is Rage 2 [V2],"Sauce It Up
(prod. Don Cannon, Michael Piroli & BeldonDidThat)",Instrumental for the released song 'Sauce It Up'.,3:27,"Oct 5, 2023",Instrumental,Full,CD Quality,https://pillows.su/f/2d11f91b0d1af50d63809266888afeb0
Luv Is Rage 2 [V2],"She All On Me
(prod. Pi'erre Bourne)",Instrumental for the leaked song 'She All On Me'.,0:52,"Mar 25, 2025",Instrumental,Full,High Quality,LINK NEEDED
Luv Is Rage 2 [V2],"Swag Disease
(w/ Playboi Carti) (prod. DP Beats)
(1600 Block, 400 Degrees)",Instrumental for the leaked song 'Swag Disease'. Was posted by DP to soundcloud. Has notably different production not included in actual song.,2:10,"Jul 9, 2019",Alt Instrumental,Full,High Quality,https://pillows.su/f/ac275c302f984b6c29a8666d2784f00e
Luv Is Rage 2 [V2],"Swag Swag
(prod. Pi'erre Bourne)",Instrumental for the leaked song 'Swag Swag'.,0:52,,Instrumental,Full,High Quality,https://pillows.su/f/8ec330528eff981d25a58404577709b4
Luv Is Rage 2 [V2],"The Way Life Goes
(feat. Oh Wonder) (prod. Don Cannon & Ike Beatz)","Instrumental for the released song 'The Way Life Goes'. Instrumental samples ""Landslide"" by Oh Wonder.",3:41,"Oct 5, 2023",Instrumental,Full,High Quality,https://pillows.su/f/27ff0a20545a91df034c0e1116e8e909
Luv Is Rage 2 [V2],"This That
(prod. Don Cannon)
(Remember)",Instrumental for the leaked song 'This That'. Has the original BPM,2:24,"Oct 5, 2023",Instrumental,Full,CD Quality,https://pillows.su/f/d1fe6a0cf495be0ba3e215fb97eff698
Luv Is Rage 2 [V2],"XO Tour Llif3
(prod. TM88 & JW Lucas)",Instrumental for the released song 'XO TourLlif3'. Lossless alternate bounce of beat surfaced on later date.,4:40,"Mar 7, 2023",Instrumental,Full,Lossless,https://pillows.su/f/61802db494a601c4e133524a2f3dc092
,Beat Loops,,,,,,,
Luv Is Rage 2 [V2],"Sauce It Up
(prod. Don Cannon, Michael Piroli & BeldonDidThat)",Beat loop for 'Sauce It Up'.,0:14,,Beat Loop,Full,Lossless,https://pillows.su/f/3ea9008c7917df05e43b2631610e1c2e
Luv Is Rage 2 [V2],"Woke Up On Mars
(prod. DJ Spinz & Honorable C.N.O.T.E.)
(Mars)",Beat loop for 'Woke Up On Mars'.,0:17,,Beat Loop,Full,Lossless,https://pillows.su/f/acd98d697819f98bee8bd5a2f2083c4e
,Sessions,,,,,,,
Luv Is Rage 2 [V2],"Neon Guts
(feat. Pharrell Williams) (prod. Pharrell Williams)",Full session for the song 'Neon Guts'.,N/A,,Session,Full,Lossless,LINK NEEDED
Luv Is Rage 2 [V2],"Pretty Mami
(prod. Don Cannon & Illmind)
(Let You Know, Pretty Miami)",Full session for the song 'Pretty Mami'. Seen titled as 'Let You Know' originally.,N/A,"May 30, 2025",Session,Full,Lossless,https://mega.nz/folder/cDdiFQqZ#_RQZ2rnnmgMsByaEJpQayQ
Luv Is Rage 2 [V2],"Rich By The Morning
(prod. Don Cannon & CuBeatz)
(No Sleep Leak)",snippet of vocals from session from waterfalls,N/A,,Session,Snippet,CD Quality,LINK NEEDED
Luv Is Rage 2 [V2],"XO Tour Llif3
(prod. TM88 & JW Lucas)",Studio session for the released song 'XO Tour Llif3'.,N/A,"Mar 7, 2023",Session,Full,CD Quality,LINK NEEDED
Luv Is Rage 2 [V2],"NAV - Wanted You
(feat. Lil Uzi Vert) (prod. Ben Billions)",Session put up for sale,N/A,"Nov 3, 2023",Session,Snippet,High Quality,LINK NEEDED
,"Tsunami Island
(Collaboration with Wheezy)",,,,,,,
,Beat Loops,,,,,,,
Tsunami Island,"Don't Get Murked Up*
(prod. CuBeatz)
(Hurt Too, Hurt 2)",Beat loop for 'Don't Get Murked Up*'.,0:30,,Beat Loop,Full,Lossless,https://pillows.su/f/92387c0b059e5abda87e1b30474adc4b
,Lil Uzi Vert vs. The World 2 [V1],,,,,,,
,Instrumentals,,,,,,,
Lil Uzi Vert vs. The World 2 [V1],"I Can't Break*
(prod. Metro Boomin, D’Mile, Charlie Handsome & Wheezy)
(Backwoods)",Instrumental for the leaked song 'I Can't Break'.,3:27,"Jun 4, 2021",Instrumental,Full,Lossless,LINK NEEDED
Lil Uzi Vert vs. The World 2 [V1],"I'm Livin'
(prod. Swavey Beats)
(Treat The Rari)",Instrumental for the leaked song 'I'm Livin'. The beat was likely meant for Carti originally based on the name of it. This is the beat before Lyle Leduff slightly tweaked it.,3:14,"Dec 18, 2023",Alt Instrumental,Full,High Quality,LINK NEEDED
Lil Uzi Vert vs. The World 2 [V1],"Masters
(prod. Bugz Ronin)
(Coughing, Tennis Chain, Dark Forest)","Instrumental for the leaked song 'Masters'. Provided by Bugz via a beat pack on Aug 6, 2024.",4:05,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/57538971c50d3896ab1af15b44821e42
Lil Uzi Vert vs. The World 2 [V1],"Million In A Month
(prod. Honorable C-Note)
(Move How I Wanna)",Instrumental for the leaked song 'Million In A Month'.,3:09,,Instrumental,Full,CD Quality,https://pillows.su/f/def957a92631d2abf591785baf6e0331
Lil Uzi Vert vs. The World 2 [V1],"Rolli
(feat. Chief Keef) (prod. Pi'erre Bourne)
(ROLLI, Bean (Kobe), Count It Up, Jellybean, Rockstar Life, Rollie)","Instrumental for the released song ""Bean (Kobe)"".",0:52,"Jan 25, 2026",Instrumental,Full,Lossless,https://pillows.su/f/805c15dd868bf0b56c110978e6ebec0f
Lil Uzi Vert vs. The World 2 [V1],"Sticky
(prod. Don Cannon)",Instrumental for the leaked song 'Sticky'. Instrumental posted in 2020 by Don Cannon on Soundcloud.,3:22,"May 5, 2020",Instrumental,Full,High Quality,https://pillows.su/f/f8bb3aeea8942561c816310875e22d70
Lil Uzi Vert vs. The World 2 [V1],"That Ain't Gucci
(prod. Wheezy)","Instrumental for the leaked song ""That Ain't Gucci"".",2:31,"Jan 2, 2023",Instrumental,Full,Lossless,https://pillows.su/f/5ae8f88befc4eca886af4e8b7e2faac2
Lil Uzi Vert vs. The World 2 [V1],"They Don't Love You
(prod. Ike Beatz & DP Beats)
(Watch Yourself, Sinking)",Instrumental for the leaked song 'They Don't Love You'. Has harder hitting 808s. Instrumental posted in 2023 by DP Beats. Was taken down sometime in 2025.,2:21,"Dec 28, 2023",Instrumental,Full,High Quality,https://pillows.su/f/352b61ecf9ea160e5e8b8671cd44cc70
Lil Uzi Vert vs. The World 2 [V1],"Thot Back
(feat. Ballout) (prod. Pi'erre Bourne)
(Tot Back, Thought Back)
[Unfinished]","Instrumental for the leaked song ""Thot Back"".",0:48,"Jan 25, 2026",Instrumental,Full,Lossless,https://pillows.su/f/48c42d120a4695ddf5484583337e2019
Lil Uzi Vert vs. The World 2 [V1],"Watchu Was On
(prod. Bluxz)
(Money To Me)","Instrumental for the leaked song 'Watchu Was On"". Posted by producer to Soundcloud.
- Has the song snippet added at start by producer also",3:53,"May 31, 2024",Instrumental,Full,High Quality,https://pillows.su/f/8fad23d47086abac919da8edf0c548f3
Lil Uzi Vert vs. The World 2 [V1],"What You Mean*
(feat. Chief Keef) (prod. Pi'erre Bourne)","Instrumental for the leaked song ""What You Mean"".",0:49,"Jan 25, 2026",Instrumental,Full,Lossless,https://pillows.su/f/e2afbee2add9863b6788c2546750f6b4
Lil Uzi Vert vs. The World 2 [V1],"With Your Girl
(prod. Oogie Mane & Forza)
(Relapse)",Instrumental for the leaked song 'With Your Girl'. Beat was previewed in the studio likely during or after the song session.,,,Instrumental,Snippet,Recording,LINK NEEDED
Lil Uzi Vert vs. The World 2 [V1],"Travis Scott - Watch
(feat. Lil Uzi Vert & Kanye West) (prod. Pi'erre Bourne)",Instrumental for the released song 'Watch' by Travis Scott.,1:25,"Aug 6, 2024",Instrumental,Full,CD Quality,LINK NEEDED
,Beat Loops,,,,,,,
Lil Uzi Vert vs. The World 2 [V1],"1600
(prod. Dripchord)
(Drip, Rager Anthem)",Beat loop for '1600'.,0:14,,Beat Loop,Full,Lossless,https://pillows.su/f/feb8405e72643ef257f35c7af005dbc0
Lil Uzi Vert vs. The World 2 [V1],"Target
(prod. CuBeatz)
(Harden, Pocket Rocket)",Beat loop for 'Target'.,0:28,,Beat Loop,Full,Lossless,https://pillows.su/f/758950097fd780f80b3c58f780f6a416
Lil Uzi Vert vs. The World 2 [V1],"That Ain't Gucci
(prod. Wheezy)",Beat loop for 'That Ain't Gucci'.,0:06,,Beat Loop,Full,High Quality,https://pillows.su/f/b12b3bf10e4489537ae9d7a10521d095
Lil Uzi Vert vs. The World 2 [V1],"Won't Let Me In
(prod. Nick Mira)",Beat loop for 'Won't Let Me In'.,0:12,,Beat Loop,Full,Lossless,https://pillows.su/f/3c4f0a483553913e35f096f5586ca646
,Sessions,,,,,,,
Lil Uzi Vert vs. The World 2 [V1],"Rolli
(feat. Chief Keef) (prod. Pi'erre Bourne)
(ROLLI, Bean (Kobe), Count It Up, Jellybean, Rockstar Life, Rollie)","Full session for the song ""Bean (Kobe)"".",N/A,"Jan 25, 2026",Session,Full,Lossless,https://mega.nz/folder/VbsUFJCR#8f5q2i40WXLT-xq-B2atgg
Lil Uzi Vert vs. The World 2 [V1],"That Ain't Gucci
(prod. Wheezy)","Full session for the song ""That Ain't Gucci"".",N/A,"Jan 2, 2023",Session,Full,Lossless,https://mega.nz/file/ob1AwCwJ#DmpRNd2S_ONvk6z1sVXQLm5bv1rLI9ne0hC5qtmbPmo
Lil Uzi Vert vs. The World 2 [V1],"Thot Back
(feat. Ballout) (prod. Pi'erre Bourne)
(Tot Back, Thought Back)
[Unfinished]","Full session for the song ""Thot Back"".",N/A,"Jan 25, 2026",Session,Full,Lossless,https://mega.nz/folder/oWMHlZ5J#VaBLYyPHxRsa1PfVs4BLKg
Lil Uzi Vert vs. The World 2 [V1],"What You Mean*
(feat. Chief Keef) (prod. Pi'erre Bourne)","Full session for the song ""What You Mean"".
Session contains 2 unused beats",N/A,"Jan 25, 2026",Session,Full,Lossless,https://mega.nz/folder/pf0jTaST#dak7QR6Pdf7HOLb3yZCw4Q
Lil Uzi Vert vs. The World 2 [V1],"NAV - Glow Up (Remix)
(feat. Lil Uzi Vert) (prod. ???)","Session for sale in 2023, never ended up leaking",N/A,"Nov 7, 2023",Session,Snippet,High Quality,LINK NEEDED
,Eternal Atake [V1],,,,,,,
,Instrumentals,,,,,,,
Eternal Atake [V1],".223s*
(with Gunna) (prod. Wheezy)
(.223 Drip, Park It)","Official instrumental for the song "".223"".",2:05,"Dec 18, 2022",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"3 Bands
(prod. Oogie Mane)
(Three Bands, Leaving, Lambo)","Instrumental for the leaked song ""3 Bands"".",2:59,"May 1, 2025",Instrumental,Full,Lossless,https://pillows.su/f/7e74ad23b3d2a89f9884003bb781479a
Eternal Atake [V1],"80's Love
(prod. Bugz Ronin)","The beat for an Uzi song from 2018. Likely recorded around the same time as ""Can't Save Her"".",2:50,"Apr 27, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"Balmain and Michael
(prod. Bugz Ronin)
(Samurai)",Instrumental for the leaked song 'Balmain and Michael'. Features a drum part unused in the actual song.,1:58,"Nov 17, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/5b3478cf19c96bac8356f543f4c650fd
Eternal Atake [V1],"Bite My Swag*
(prod. Brandon Finessin & Oogie Mane)
(roll up)",Instrumental for the leaked song 'Bite My Swag'.,2:31,"Nov 10, 2025",Instrumental,Full,Lossless,https://pillows.su/f/40984ba4d9cb4aa6262822d503a5712e
Eternal Atake [V1],"Bust Me
(prod. Bugz Ronin)","Instrumental for the released song 'Bust Me'. Provided by Bugz via a beat pack on Aug 6, 2024.",1:55,"Jan 31, 2022",Instrumental,Full,CD Quality,https://pillows.su/f/b60656f48162e3510012af169838e662
Eternal Atake [V1],"Can't Save Her
(prod. Bugz Ronin)
(Reason)","Instrumental for the leaked song 'Can't Save Her'. Provided by Bugz via a beat pack on Aug 6, 2024.",3:30,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/b6e91d957a127ef9942518c5c19a71ab
Eternal Atake [V1],"Cayy Benji
(prod. Harper & Jordan Ivey)
(CayyBenji, Kayy Benji, Kay Benji)",Instrumental for the leaked song 'Cayy Benji'.,2:52,"Dec 8, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"Cold Like December
(prod. Harper)
(Vetements)",Instrumental for the leaked song 'Cold Like December'.,3:40,"Jan 14, 2026",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"Crazy Girl
(prod. Don Cannon, Lyle Leduff & Ineza Beats)",Instrumental for the leaked song 'Crazy Girl'. Was posted on soundcloud by Don Cannon himself in April 2024 as '2thousandsixteenbeat02.uzi' but was later taken down in May 2025.,1:41,"Apr 14, 2024",Instrumental,Full,High Quality,https://pillows.su/f/07e297cbe01d0af6ab5c5a3689c976ff
